<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AAV,20180713,18.2,20.0,18.2,20.0,482500
AAV,20180712,16.6,18.2,16.5,18.2,518100
AAV,20180711,16.6,16.7,16.3,16.6,82500
AAV,20180710,16.7,16.8,16.5,16.6,151100
AAV,20180709,16.7,16.9,16.5,16.7,248300
AAV,20180706,16.5,16.8,16.4,16.7,232100
AAV,20180705,16.5,16.7,16.4,16.5,144700
AAV,20180704,16.6,16.7,16.5,16.5,80500
AAV,20180703,16.6,16.8,16.5,16.6,98800
AAV,20180702,16.7,16.8,16.1,16.7,129000
AAV,20180629,16.6,16.8,16.5,16.7,108100
AAV,20180628,16.5,16.8,16.5,16.6,210300
AAV,20180627,19.0,19.0,16.5,16.5,532700
AAV,20180626,17.3,17.3,16.0,17.3,800200
