<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ADC,20180713,,,,18.5,0
ADC,20180712,18.5,18.5,18.5,18.5,800
ADC,20180711,,,,18.5,0
ADC,20180710,18.5,18.5,18.5,18.5,500
ADC,20180709,18.0,18.0,18.0,18.0,1000
ADC,20180706,,,,18.0,0
ADC,20180705,18.0,18.0,18.0,18.0,100
ADC,20180704,,,,18.0,0
ADC,20180703,17.6,18.0,17.6,18.0,1100
ADC,20180702,18.3,18.3,18.3,18.3,9
ADC,20180629,,,,18.3,0
ADC,20180628,,,,18.3,0
ADC,20180627,18.3,18.3,18.3,18.3,80
ADC,20180626,,,,18.3,0
ADC,20180625,,,,18.3,0
ADC,20180622,,,,18.3,0
ADC,20180621,,,,18.3,0
ADC,20180620,,,,18.3,0
ADC,20180619,,,,18.3,0
ADC,20180618,,,,18.3,0
ADC,20180615,18.3,18.3,18.3,18.3,1600
ADC,20180614,18.4,18.4,18.3,18.3,1100
ADC,20180613,,,,18.0,0
ADC,20180612,,,,18.0,0
ADC,20180611,,,,18.0,0
ADC,20180608,,,,18.0,0
ADC,20180607,,,,18.0,0
ADC,20180606,18.0,18.0,18.0,18.0,2000
ADC,20180605,,,,19.0,0
ADC,20180604,,,,19.0,0
ADC,20180601,,,,19.0,0
ADC,20180531,,,,19.0,0
ADC,20180530,,,,19.0,0
ADC,20180529,,,,19.0,0
ADC,20180528,,,,19.0,0
ADC,20180525,,,,19.0,0
ADC,20180524,,,,19.0,0
ADC,20180523,,,,19.0,0
ADC,20180522,19.0,19.0,19.0,19.0,10
ADC,20180521,,,,19.0,0
ADC,20180518,19.0,19.0,19.0,19.0,10
ADC,20180517,,,,19.0,0
ADC,20180516,19.0,19.0,19.0,19.0,1900
ADC,20180515,,,,19.0,0
ADC,20180514,19.0,19.0,19.0,19.0,1000
ADC,20180511,,,,18.5,0
ADC,20180510,,,,18.5,0
ADC,20180509,,,,18.5,0
ADC,20180508,18.5,18.5,18.5,18.5,1000
ADC,20180507,17.8,17.8,17.8,17.8,3000
ADC,20180504,16.2,16.2,16.2,16.2,10
ADC,20180503,16.2,16.2,16.2,16.2,60
ADC,20180502,17.5,17.5,16.2,16.2,200
ADC,20180427,18.0,18.0,18.0,18.0,700
ADC,20180426,,,,17.5,0
ADC,20180424,17.5,17.5,17.5,17.5,100
ADC,20180423,17.5,17.5,17.5,17.5,200
ADC,20180420,,,,17.5,0
ADC,20180419,,,,17.5,0
ADC,20180418,17.5,17.5,17.5,17.5,500
ADC,20180417,,,,17.5,0
ADC,20180416,17.5,17.5,17.5,17.5,200
ADC,20180413,,,,17.4,0
ADC,20180412,,,,17.4,0
ADC,20180411,17.5,17.5,17.4,17.4,300
ADC,20180410,,,,17.5,0
ADC,20180409,,,,17.5,0
ADC,20180406,17.5,17.5,17.5,17.5,100
ADC,20180405,17.5,17.5,17.5,17.5,500
ADC,20180404,17.5,17.5,17.5,17.5,2300
ADC,20180403,,,,17.5,0
ADC,20180402,17.5,17.5,17.5,17.5,400
ADC,20180330,,,,17.5,0
ADC,20180329,17.5,17.5,17.5,17.5,300
ADC,20180328,17.5,17.5,17.5,17.5,100
ADC,20180327,,,,17.5,0
ADC,20180326,17.5,17.5,17.5,17.5,210
ADC,20180323,17.5,17.5,17.5,17.5,600
ADC,20180322,,,,17.3,0
ADC,20180321,17.3,17.3,17.3,17.3,100
ADC,20180320,,,,17.1,0
ADC,20180319,17.1,17.1,17.1,17.1,10
ADC,20180316,17.1,17.1,17.1,17.1,100
ADC,20180315,,,,15.6,0
ADC,20180314,15.6,15.6,15.6,15.6,20
ADC,20180313,15.6,15.6,15.6,15.6,10
ADC,20180312,,,,15.6,0
ADC,20180309,,,,15.6,0
ADC,20180308,,,,15.6,0
ADC,20180307,,,,15.6,0
ADC,20180306,,,,15.6,0
ADC,20180305,,,,15.6,0
ADC,20180302,,,,15.6,0
ADC,20180301,15.6,15.6,15.6,15.6,10
ADC,20180228,,,,15.6,0
ADC,20180227,,,,15.6,0
ADC,20180226,,,,15.6,0
ADC,20180223,15.6,15.6,15.6,15.6,140
ADC,20180222,15.6,15.6,15.6,15.6,30
ADC,20180221,,,,15.6,0
ADC,20180213,,,,15.6,0
ADC,20180212,,,,15.6,0
ADC,20180209,,,,15.6,0
ADC,20180208,,,,15.6,0
ADC,20180207,,,,15.6,0
ADC,20180206,,,,15.6,0
ADC,20180205,,,,15.6,0
ADC,20180202,15.6,15.6,15.6,15.6,100
ADC,20180201,,,,15.78,0
