<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ADS,20180713,15.3,15.55,15.3,15.55,14410
ADS,20180712,15.55,15.8,15.1,15.1,16390
ADS,20180711,15.65,15.65,15.4,15.55,11230
ADS,20180710,15.5,15.65,15.5,15.65,10210
ADS,20180709,15.65,15.65,15.5,15.6,18870
ADS,20180706,15.6,15.65,15.6,15.65,11260
ADS,20180705,15.5,15.75,15.5,15.65,11040
ADS,20180704,15.85,15.85,15.5,15.7,13020
ADS,20180703,15.5,15.6,15.5,15.55,12910
ADS,20180702,15.85,15.85,15.7,15.75,12020
ADS,20180629,15.5,15.85,15.5,15.85,20200
ADS,20180628,16.0,16.0,15.85,15.85,14810
ADS,20180627,15.7,15.9,15.7,15.9,18750
ADS,20180626,15.95,15.95,15.5,15.95,19520
ADS,20180625,15.95,16.0,15.9,16.0,15100
ADS,20180622,15.95,15.95,15.9,15.95,14800
ADS,20180621,15.9,15.95,15.9,15.95,8220
ADS,20180620,15.9,15.95,15.85,15.95,16750
ADS,20180619,15.9,15.9,15.5,15.9,16370
ADS,20180618,15.9,16.0,15.7,15.95,15720
ADS,20180615,16.0,16.1,15.5,15.5,13950
ADS,20180614,16.0,16.0,15.8,16.0,11700
ADS,20180613,15.95,16.15,15.7,15.95,14400
ADS,20180612,15.5,16.0,15.5,16.0,14970
ADS,20180611,16.0,16.0,15.9,16.0,16240
ADS,20180608,15.1,15.95,15.1,15.95,13630
ADS,20180607,15.95,16.0,15.9,16.0,14920
ADS,20180606,16.2,16.2,16.0,16.0,13460
ADS,20180605,16.0,16.05,15.5,16.05,13450
ADS,20180604,16.0,16.1,15.95,16.1,12820
ADS,20180601,15.9,15.9,15.8,15.85,13170
ADS,20180531,16.0,16.05,15.95,15.95,11340
ADS,20180530,16.05,16.15,15.8,16.1,12580
ADS,20180529,16.2,16.2,16.05,16.05,13010
ADS,20180528,16.15,16.15,15.05,16.05,30410
