<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AMD,20180713,3.42,3.59,3.42,3.59,902480
AMD,20180712,3.36,3.41,3.21,3.36,656100
AMD,20180711,3.32,3.32,3.2,3.2,362450
AMD,20180710,3.33,3.38,3.3,3.31,295380
AMD,20180709,3.3,3.4,3.3,3.33,446490
AMD,20180706,3.3,3.4,3.3,3.34,459980
AMD,20180705,3.45,3.45,3.3,3.33,193820
AMD,20180704,3.4,3.45,3.34,3.42,367240
AMD,20180703,3.57,3.57,3.4,3.4,429470
AMD,20180702,3.6,3.6,3.49,3.52,406090
AMD,20180629,3.55,3.65,3.55,3.59,199200
AMD,20180628,3.68,3.68,3.51,3.63,307720
AMD,20180627,3.65,3.76,3.63,3.63,304780
AMD,20180626,3.6,3.63,3.57,3.63,636750
AMD,20180625,3.64,3.7,3.6,3.62,267830
AMD,20180622,3.61,3.65,3.58,3.64,304430
AMD,20180621,3.6,3.77,3.51,3.61,293730
AMD,20180620,3.69,3.69,3.53,3.61,511310
AMD,20180619,3.74,3.78,3.56,3.57,822080
AMD,20180618,3.84,3.89,3.75,3.75,495720
AMD,20180615,3.77,4.0,3.77,3.8,450360
AMD,20180614,3.8,3.88,3.79,3.82,343980
AMD,20180613,3.85,3.86,3.81,3.85,271020
AMD,20180612,3.86,3.89,3.76,3.85,1040130
AMD,20180611,3.86,3.98,3.86,3.9,393070
AMD,20180608,3.99,4.0,3.86,3.9,615740
AMD,20180607,3.87,4.02,3.86,3.99,2712370
AMD,20180606,3.86,3.91,3.76,3.76,730260
AMD,20180605,4.14,4.14,3.91,3.92,1402860
AMD,20180604,3.79,3.88,3.75,3.88,984140
AMD,20180601,3.45,3.63,3.45,3.63,921130
AMD,20180531,3.43,3.44,3.37,3.4,230080
AMD,20180530,3.47,3.47,3.36,3.36,254810
AMD,20180529,3.33,3.51,3.3,3.47,948130
AMD,20180528,3.53,3.55,3.31,3.33,1424040
AMD,20180525,3.62,3.7,3.55,3.55,160700
AMD,20180524,3.8,3.8,3.6,3.66,213530
AMD,20180523,3.72,3.78,3.46,3.78,1271640
AMD,20180522,3.89,3.9,3.7,3.72,555040
AMD,20180521,3.95,3.99,3.88,3.89,312970
AMD,20180518,3.9,3.97,3.83,3.91,272170
AMD,20180517,3.98,3.98,3.89,3.9,294240
AMD,20180516,3.95,3.96,3.9,3.91,379360
AMD,20180515,4.01,4.02,3.92,3.95,226260
AMD,20180514,3.98,4.03,3.9,3.98,992010
AMD,20180511,3.8,3.98,3.8,3.9,507850
AMD,20180510,4.0,4.12,3.85,3.9,1217430
AMD,20180509,4.05,4.05,4.0,4.0,2420660
AMD,20180508,3.58,3.79,3.58,3.79,652760
AMD,20180507,3.55,3.57,3.51,3.55,219380
AMD,20180504,3.5,3.58,3.45,3.55,513680
AMD,20180503,3.56,3.57,3.4,3.5,581890
AMD,20180502,3.6,3.64,3.56,3.56,230540
AMD,20180427,3.46,3.6,3.46,3.6,537400
AMD,20180426,3.72,3.75,3.51,3.51,763040
AMD,20180424,3.8,3.89,3.7,3.75,574140
AMD,20180423,4.02,4.13,3.86,3.86,977210
AMD,20180420,4.1,4.23,4.05,4.14,730570
AMD,20180419,4.15,4.3,4.05,4.05,2085000
AMD,20180418,3.82,4.03,3.82,4.03,1239760
AMD,20180417,3.73,3.84,3.73,3.77,509950
AMD,20180416,3.76,3.76,3.67,3.73,532750
AMD,20180413,3.86,3.86,3.74,3.76,1016610
AMD,20180412,3.9,3.92,3.82,3.83,712940
AMD,20180411,4.08,4.08,3.86,3.9,766970
AMD,20180410,4.13,4.13,4.0,4.0,1320860
AMD,20180409,4.17,4.2,4.12,4.13,720570
AMD,20180406,4.18,4.2,4.14,4.15,550270
AMD,20180405,4.16,4.24,4.11,4.17,785180
AMD,20180404,4.17,4.2,4.07,4.12,846750
AMD,20180403,4.32,4.37,4.17,4.17,1243850
AMD,20180402,4.4,4.42,4.31,4.32,825050
AMD,20180330,4.35,4.4,4.35,4.37,541850
AMD,20180329,4.44,4.45,4.35,4.36,658130
AMD,20180328,4.49,4.49,4.42,4.44,752430
AMD,20180327,4.59,4.6,4.48,4.49,1455700
AMD,20180326,4.5,4.6,4.4,4.4,1033290
AMD,20180323,4.72,4.72,4.46,4.5,3001080
AMD,20180322,4.86,4.86,4.75,4.79,1458580
AMD,20180321,4.82,4.94,4.8,4.81,712880
AMD,20180320,4.95,4.95,4.82,4.82,1519690
AMD,20180319,4.93,5.03,4.92,4.93,1008700
AMD,20180316,4.86,5.0,4.86,4.93,598660
AMD,20180315,4.89,5.04,4.83,4.86,1740070
AMD,20180314,4.78,4.99,4.76,4.85,1572660
AMD,20180313,4.84,4.89,4.79,4.81,1686690
AMD,20180312,4.93,5.0,4.87,4.9,1883060
AMD,20180309,5.13,5.13,4.92,5.0,2677400
AMD,20180308,5.55,5.56,5.0,5.07,6619770
AMD,20180307,4.88,5.22,4.88,5.22,3362450
AMD,20180306,4.99,5.05,4.8,4.88,2115750
AMD,20180305,5.01,5.1,4.89,5.0,2391290
AMD,20180302,5.01,5.14,5.0,5.01,1961550
AMD,20180301,5.17,5.19,4.9,5.13,2693250
AMD,20180228,5.22,5.28,5.0,5.1,2798320
AMD,20180227,5.22,5.35,5.1,5.22,1977330
AMD,20180226,5.53,5.59,5.2,5.22,2283360
