<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AME,20180713,,,,13.9,0
AME,20180712,,,,13.9,0
AME,20180711,,,,13.9,0
AME,20180710,13.9,13.9,13.9,13.9,100
AME,20180709,,,,13.9,0
AME,20180706,16.9,16.9,13.9,13.9,500
AME,20180705,,,,15.4,0
AME,20180704,,,,15.4,0
AME,20180703,,,,15.4,0
AME,20180702,,,,15.4,0
AME,20180629,,,,15.4,0
AME,20180628,,,,15.4,0
AME,20180627,15.3,15.4,15.3,15.4,300
AME,20180626,,,,14.0,0
AME,20180625,,,,14.0,0
AME,20180622,,,,14.0,0
AME,20180621,,,,14.0,0
AME,20180620,,,,14.0,0
AME,20180619,,,,14.0,0
AME,20180618,,,,14.0,0
AME,20180615,,,,14.0,0
AME,20180614,14.0,14.0,14.0,14.0,100
AME,20180613,,,,13.5,0
AME,20180612,,,,13.5,0
AME,20180611,,,,13.5,0
AME,20180608,,,,13.5,0
AME,20180607,,,,13.5,0
AME,20180606,,,,13.5,0
AME,20180605,,,,13.5,0
AME,20180604,,,,13.5,0
AME,20180601,,,,13.5,0
AME,20180531,,,,13.5,0
AME,20180530,,,,13.5,0
AME,20180529,,,,13.5,0
AME,20180528,,,,13.5,0
AME,20180525,,,,13.5,0
AME,20180524,,,,13.5,0
AME,20180523,,,,13.5,0
AME,20180522,,,,13.5,0
AME,20180521,,,,13.5,0
AME,20180518,,,,13.5,0
AME,20180517,12.3,13.5,12.3,13.5,200
AME,20180516,,,,12.4,0
AME,20180515,,,,12.4,0
AME,20180514,,,,12.4,0
AME,20180511,,,,12.4,0
AME,20180510,,,,12.4,0
AME,20180509,,,,12.4,0
AME,20180508,,,,12.4,0
AME,20180507,,,,12.4,0
AME,20180504,,,,12.4,0
AME,20180503,,,,12.4,0
AME,20180502,,,,12.4,0
AME,20180427,,,,12.4,0
AME,20180426,,,,12.4,0
AME,20180424,,,,12.4,0
AME,20180423,,,,12.4,0
AME,20180420,,,,12.4,0
AME,20180419,,,,12.4,0
AME,20180418,,,,12.4,0
AME,20180417,,,,12.4,0
AME,20180416,,,,12.4,0
AME,20180413,,,,12.4,0
AME,20180412,,,,12.4,0
AME,20180411,,,,12.4,0
AME,20180410,,,,12.4,0
AME,20180409,,,,12.4,0
AME,20180406,,,,12.4,0
AME,20180405,,,,12.4,0
AME,20180404,,,,12.4,0
AME,20180403,,,,12.4,0
AME,20180402,,,,12.4,0
AME,20180330,,,,12.4,0
AME,20180329,,,,12.4,0
AME,20180328,12.4,12.4,12.4,12.4,800
AME,20180327,,,,13.7,0
AME,20180326,,,,13.7,0
AME,20180323,,,,13.7,0
AME,20180322,,,,13.7,0
AME,20180321,,,,13.7,0
AME,20180320,,,,13.7,0
AME,20180319,,,,13.7,0
AME,20180316,,,,13.7,0
AME,20180315,13.7,13.7,13.7,13.7,1000
AME,20180314,,,,15.2,0
AME,20180313,,,,15.2,0
AME,20180312,15.2,15.2,15.2,15.2,100
AME,20180309,,,,14.0,0
AME,20180308,,,,14.0,0
AME,20180307,,,,14.0,0
AME,20180306,13.0,14.0,13.0,14.0,200
AME,20180305,,,,13.0,0
AME,20180302,,,,13.0,0
AME,20180301,13.3,13.3,13.0,13.0,900
AME,20180228,14.4,14.4,14.4,14.4,800
AME,20180227,16.0,16.0,16.0,16.0,200
AME,20180226,16.2,16.2,16.2,16.2,100
AME,20180223,15.0,15.0,15.0,15.0,100
AME,20180222,,,,14.0,0
AME,20180221,14.0,14.0,14.0,14.0,100
AME,20180213,,,,12.8,0
AME,20180212,12.8,12.8,12.8,12.8,100
AME,20180209,10.3,11.7,10.3,11.7,12700
AME,20180208,10.7,11.4,10.7,11.4,8200
AME,20180207,11.8,11.8,11.8,11.8,3200
AME,20180206,13.1,13.1,13.1,13.1,100
AME,20180205,13.8,13.8,11.4,12.0,3400
AME,20180202,14.0,14.0,12.6,12.6,20400
AME,20180201,14.9,15.0,14.0,14.0,3300
AME,20180131,15.8,15.8,13.1,14.9,9400
AME,20180130,13.5,14.7,13.5,14.4,17100
AME,20180129,11.8,13.4,11.0,13.4,10500
AME,20180126,12.2,12.2,12.2,12.2,6600
AME,20180125,11.1,11.1,11.1,11.1,2100
AME,20180122,7.9,8.5,7.9,8.4,14200
AME,20180119,7.1,7.8,7.1,7.8,17600
AME,20180118,6.3,7.1,6.2,7.1,24200
AME,20180117,7.3,7.3,6.8,6.8,2700
AME,20180116,6.4,6.7,6.4,6.7,2900
