<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
APC,20180713,29.7,31.5,29.0,30.85,33740
APC,20180712,29.7,29.8,28.0,29.7,27130
APC,20180711,27.8,28.95,27.6,28.3,42490
APC,20180710,28.3,28.65,27.9,28.5,26040
APC,20180709,28.1,28.65,27.8,27.9,56420
APC,20180706,27.0,27.45,26.0,27.35,17180
APC,20180705,28.45,28.45,26.6,26.6,24850
APC,20180704,26.35,28.15,26.35,27.5,26840
APC,20180703,27.85,28.0,26.05,26.35,51890
APC,20180702,28.9,29.5,27.85,27.85,40320
APC,20180629,30.2,30.6,29.5,29.8,13470
APC,20180628,29.9,30.2,29.2,30.2,31520
APC,20180627,30.3,31.0,29.9,29.9,18000
APC,20180626,30.2,31.3,29.9,31.0,27420
APC,20180625,31.0,31.5,30.5,30.5,17960
APC,20180622,30.5,31.8,30.0,30.9,23320
APC,20180621,29.7,31.75,29.6,30.2,67790
APC,20180620,31.5,31.5,29.55,29.7,55920
APC,20180619,32.8,32.8,31.2,31.2,79560
APC,20180618,33.5,33.95,32.7,33.5,43980
APC,20180615,31.5,33.5,31.5,33.5,81090
APC,20180614,33.5,34.0,32.7,32.7,131900
APC,20180613,35.0,35.85,33.1,34.05,124250
APC,20180612,33.95,34.7,32.8,34.7,312070
APC,20180611,32.4,32.45,31.9,32.45,191890
APC,20180608,28.9,30.35,28.5,30.35,220460
APC,20180607,28.2,28.6,28.0,28.4,199700
APC,20180606,28.3,28.3,27.5,28.2,21750
APC,20180605,28.2,28.5,27.9,28.1,17700
APC,20180604,28.45,28.8,27.5,28.2,81240
APC,20180601,28.35,28.5,27.8,28.35,22650
APC,20180531,27.75,28.45,27.0,28.3,12940
APC,20180530,27.0,28.0,27.0,27.75,18680
APC,20180529,26.0,27.25,25.4,27.2,40200
APC,20180528,28.4,28.4,25.3,25.5,19370
APC,20180525,28.1,28.1,27.0,27.2,12780
APC,20180524,28.0,28.85,27.8,28.1,12080
APC,20180523,28.3,28.4,28.1,28.1,25150
APC,20180522,29.5,30.0,28.35,28.4,13470
APC,20180521,29.5,30.5,29.1,29.6,438560
APC,20180518,30.0,30.0,29.0,29.5,24470
APC,20180517,30.1,30.5,29.9,29.9,6770
APC,20180516,31.0,31.0,29.5,29.9,8860
APC,20180515,31.0,31.2,30.8,31.0,19620
APC,20180514,30.0,30.8,29.0,30.8,442780
APC,20180511,29.35,29.5,28.85,29.5,11950
APC,20180510,30.0,30.4,29.6,29.6,23690
APC,20180509,30.8,31.0,30.3,30.6,10800
APC,20180508,31.6,31.6,30.6,30.8,14170
APC,20180507,31.75,31.8,30.75,31.6,23190
APC,20180504,31.4,31.4,30.9,31.0,11350
APC,20180503,30.8,31.3,30.7,31.0,13490
APC,20180502,30.8,31.2,30.7,31.1,41310
APC,20180427,30.0,31.1,30.0,31.1,37090
APC,20180426,31.9,32.1,30.5,31.0,42610
APC,20180424,32.0,32.9,31.5,32.4,27050
APC,20180423,31.0,33.15,31.0,32.7,53520
APC,20180420,31.0,31.3,30.0,31.0,28730
APC,20180419,31.1,31.4,30.1,30.3,58670
APC,20180418,30.7,31.9,30.2,31.4,45020
APC,20180417,32.6,32.65,30.5,30.7,134930
APC,20180416,34.0,34.0,32.4,32.6,137450
APC,20180413,35.0,35.5,34.4,34.8,18890
APC,20180412,34.0,35.0,33.5,34.8,44770
APC,20180411,35.8,36.0,34.8,34.8,59760
APC,20180410,35.5,36.0,35.2,35.8,123680
APC,20180409,36.5,36.5,35.5,36.0,85200
APC,20180406,37.7,37.7,36.2,36.95,63090
APC,20180405,35.95,37.3,35.95,37.15,113100
APC,20180404,35.0,36.0,35.0,35.5,68460
APC,20180403,37.0,37.5,34.9,35.0,249270
APC,20180402,38.5,38.5,37.5,37.5,128900
APC,20180330,36.5,39.0,35.2,38.4,169490
APC,20180329,39.5,40.0,36.5,36.8,140670
APC,20180328,40.3,40.3,39.1,39.2,350500
APC,20180327,37.7,37.7,37.5,37.7,850400
APC,20180326,35.25,35.25,35.25,35.25,82720
APC,20180323,37.9,37.9,37.9,37.9,11250
APC,20180322,40.7,40.7,40.7,40.7,18710
APC,20180321,43.75,43.75,43.75,43.75,97740
APC,20180320,47.0,48.9,47.0,47.0,241820
APC,20180319,50.0,50.5,47.9,50.5,154230
APC,20180316,43.45,49.95,43.45,47.2,999850
APC,20180315,46.7,53.0,46.7,46.7,1085280
APC,20180314,50.2,50.2,50.2,50.2,9080
APC,20180313,53.9,53.9,53.9,53.9,12520
APC,20180312,57.9,57.9,57.9,57.9,46180
APC,20180309,62.2,62.2,62.2,62.2,47390
APC,20180308,66.8,66.8,66.8,66.8,117880
APC,20180307,79.8,79.8,71.8,71.8,287490
APC,20180306,72.2,77.2,72.0,77.2,89190
APC,20180305,71.0,72.9,70.5,72.2,50160
APC,20180302,70.7,71.7,70.7,71.3,10910
APC,20180301,71.8,72.0,69.5,71.5,15010
APC,20180228,70.4,71.3,70.4,71.2,11150
APC,20180227,70.0,70.9,69.0,70.6,52170
APC,20180226,72.5,72.5,70.7,70.7,54580
APC,20180223,72.0,72.9,71.9,72.7,33940
APC,20180222,73.6,73.9,72.0,72.4,19920
APC,20180221,71.2,74.5,71.2,73.6,33330
APC,20180213,71.0,71.9,70.4,71.0,25400
APC,20180212,71.0,72.0,68.8,71.4,33590
APC,20180209,67.3,72.3,66.3,71.0,45570
APC,20180208,70.0,71.4,69.5,70.4,9690
APC,20180207,72.0,72.0,69.2,70.9,44220
APC,20180206,65.6,70.5,65.6,69.0,127040
APC,20180205,72.1,72.1,70.0,70.5,35540
APC,20180202,68.4,72.6,68.4,72.1,47100
APC,20180201,72.0,72.0,67.0,68.4,147540
APC,20180131,71.0,73.9,70.0,72.0,58610
APC,20180130,72.2,73.9,70.0,70.5,90250
APC,20180129,79.5,79.5,74.0,74.0,67420
APC,20180126,79.9,81.9,79.0,79.5,37810
APC,20180125,84.5,84.7,79.2,79.2,229840
APC,20180122,84.2,84.2,81.1,84.2,176570
APC,20180119,78.7,78.7,78.7,78.7,29530
APC,20180118,69.0,73.6,69.0,73.6,33820
APC,20180117,69.0,72.8,67.1,71.0,56790
APC,20180116,74.0,75.4,69.8,69.9,91450
APC,20180115,77.6,77.6,74.0,74.0,52790
APC,20180112,78.0,79.8,75.4,77.5,80190
APC,20180111,80.6,80.7,78.9,79.0,56800
APC,20180110,80.2,81.2,80.2,81.0,43110
APC,20180109,82.0,82.2,80.8,81.0,27680
APC,20180108,82.9,82.9,81.0,82.3,29400
APC,20180105,83.0,83.2,81.5,82.3,36780
APC,20180104,80.3,83.8,80.3,83.0,48790
APC,20180103,82.5,82.8,80.5,81.1,93820
APC,20180102,82.3,84.8,82.3,83.0,48400
APC,20171229,83.0,84.0,82.0,82.5,56990
APC,20171228,85.9,86.0,83.0,83.2,93970
APC,20171227,84.8,86.3,84.4,85.0,45310
APC,20171226,81.5,84.0,79.5,84.0,187590
APC,20171225,83.0,83.5,80.5,81.5,177850
APC,20171222,88.0,88.2,82.9,83.5,74740
APC,20171221,89.0,89.0,87.8,88.4,48360
APC,20171220,87.5,90.7,87.5,89.0,39890
APC,20171219,91.5,91.5,87.0,87.8,61670
APC,20171218,87.6,90.8,87.6,90.8,42960
APC,20171215,89.3,93.0,87.6,87.6,56230
APC,20171214,83.2,87.7,83.2,87.7,139380
APC,20171213,80.0,82.9,79.0,82.0,64180
APC,20171212,80.0,80.3,79.0,80.0,54070
APC,20171211,78.0,81.2,77.0,80.0,75310
APC,20171208,77.0,78.5,77.0,78.0,9830
APC,20171207,79.0,79.0,77.0,77.9,17000
APC,20171206,74.6,79.0,73.9,79.0,58530
APC,20171205,76.8,76.8,75.1,75.1,32820
APC,20171204,77.8,78.0,76.7,76.8,59670
APC,20171201,78.5,78.5,76.3,78.4,54350
APC,20171130,78.0,79.0,77.3,78.4,31090
APC,20171129,76.5,79.0,76.5,78.0,59480
APC,20171128,77.5,80.2,75.8,75.8,70440
APC,20171127,73.0,77.0,73.0,76.7,70090
APC,20171124,69.9,72.6,69.5,72.5,60510
APC,20171123,68.0,70.5,68.0,69.9,131730
APC,20171122,67.9,68.0,67.1,68.0,53210
APC,20171121,69.1,69.1,64.3,67.9,64890
APC,20171120,67.6,69.6,67.4,69.1,76640
APC,20171117,68.0,68.5,67.3,67.6,47240
APC,20171116,68.9,68.9,67.2,68.0,58870
APC,20171115,65.3,69.2,65.3,68.5,143250
APC,20171114,63.0,65.6,62.9,65.5,71740
APC,20171113,65.0,65.0,62.5,63.1,106920
APC,20171110,64.5,65.0,63.3,65.0,108440
APC,20171109,66.3,67.5,64.0,65.0,72920
APC,20171108,63.5,66.2,63.5,66.2,81770
APC,20171107,61.5,65.3,61.5,63.5,66720
APC,20171106,62.9,62.9,59.6,61.5,179380
APC,20171103,61.4,65.9,61.4,62.9,154580
APC,20171102,68.1,69.0,63.4,63.4,442170
APC,20171101,66.3,70.5,66.2,68.1,204870
APC,20171031,63.5,66.2,61.0,66.2,214440
APC,20171030,60.0,62.9,60.0,61.9,212720
APC,20171027,57.7,58.9,57.3,58.9,49870
APC,20171026,58.5,59.5,57.9,58.0,60320
APC,20171025,58.5,61.0,58.2,59.0,157690
APC,20171024,54.7,58.5,54.6,58.2,198120
APC,20171023,54.0,57.0,53.0,56.0,176760
APC,20171020,55.3,55.3,52.5,55.0,166570
APC,20171019,45.05,51.7,45.05,51.7,581980
APC,20171018,52.0,52.0,48.4,48.4,88750
APC,20171017,53.0,54.0,51.6,52.0,43840
