<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ATG,20180713,1.32,1.32,1.19,1.2,106720
ATG,20180712,1.27,1.35,1.27,1.27,107380
ATG,20180711,1.4,1.4,1.32,1.36,95900
ATG,20180710,1.39,1.42,1.3,1.41,69940
ATG,20180709,1.46,1.47,1.37,1.37,607220
ATG,20180706,1.58,1.58,1.47,1.47,270050
ATG,20180705,1.68,1.69,1.57,1.57,351180
ATG,20180704,1.6,1.69,1.6,1.68,36870
ATG,20180703,1.66,1.77,1.6,1.6,47900
ATG,20180702,1.82,1.82,1.7,1.7,267300
ATG,20180629,1.84,1.97,1.82,1.82,243870
ATG,20180628,1.92,2.09,1.86,1.95,94690
ATG,20180627,1.87,2.0,1.86,2.0,156360
ATG,20180626,1.82,1.88,1.76,1.87,385330
ATG,20180625,1.62,1.76,1.6,1.76,135900
ATG,20180622,1.67,1.74,1.6,1.65,22090
ATG,20180621,1.74,1.74,1.68,1.7,6580
ATG,20180620,1.74,1.74,1.66,1.67,103150
ATG,20180619,1.75,1.78,1.67,1.77,74270
ATG,20180618,1.85,1.85,1.74,1.75,17530
ATG,20180615,1.79,1.79,1.73,1.78,10410
ATG,20180614,1.8,1.8,1.72,1.79,2750
ATG,20180613,1.68,1.8,1.68,1.72,41380
ATG,20180612,1.79,1.8,1.74,1.78,7350
ATG,20180611,1.8,1.83,1.76,1.82,4690
ATG,20180608,1.76,1.8,1.75,1.8,59810
ATG,20180607,1.8,1.85,1.7,1.75,33310
ATG,20180606,1.8,1.85,1.8,1.81,19900
ATG,20180605,1.8,1.85,1.8,1.8,31880
ATG,20180604,1.86,1.86,1.82,1.85,38140
ATG,20180601,1.79,1.86,1.78,1.86,73280
ATG,20180531,1.75,1.88,1.75,1.77,5460
ATG,20180530,1.8,1.88,1.68,1.88,26820
ATG,20180529,1.76,1.82,1.71,1.8,4150
ATG,20180528,1.84,1.84,1.72,1.76,54100
ATG,20180525,1.93,1.93,1.73,1.84,159360
ATG,20180524,1.84,1.96,1.84,1.86,19720
ATG,20180523,1.97,1.97,1.84,1.84,133810
ATG,20180522,1.98,1.98,1.88,1.97,43790
ATG,20180521,1.98,1.98,1.96,1.98,47820
ATG,20180518,1.99,1.99,1.94,1.98,12530
ATG,20180517,1.95,2.0,1.95,1.95,87530
ATG,20180516,1.91,1.95,1.91,1.95,20450
ATG,20180515,1.95,1.97,1.9,1.91,10730
ATG,20180514,2.0,2.0,1.86,1.95,44450
ATG,20180511,1.92,2.02,1.9,1.95,26100
ATG,20180510,2.0,2.04,1.96,2.03,25270
ATG,20180509,2.0,2.05,1.86,2.0,341190
ATG,20180508,1.98,2.08,1.9,2.0,36670
ATG,20180507,2.07,2.08,1.95,1.95,27060
ATG,20180504,2.05,2.15,2.05,2.09,3700
ATG,20180503,2.09,2.23,2.08,2.08,103210
ATG,20180502,2.2,2.27,2.1,2.23,30740
ATG,20180427,2.2,2.22,2.0,2.22,26930
ATG,20180426,2.17,2.29,2.15,2.15,7790
ATG,20180424,2.17,2.17,2.17,2.17,3810
ATG,20180423,2.2,2.29,2.2,2.29,1890
ATG,20180420,2.25,2.29,2.22,2.29,17310
ATG,20180419,2.3,2.33,2.24,2.26,52500
ATG,20180418,2.3,2.34,2.28,2.33,18140
ATG,20180417,2.35,2.35,2.3,2.3,17170
ATG,20180416,2.3,2.32,2.3,2.31,118350
ATG,20180413,2.34,2.34,2.26,2.3,10420
ATG,20180412,2.28,2.3,2.23,2.3,10810
ATG,20180411,2.3,2.3,2.25,2.27,38760
ATG,20180410,2.37,2.37,2.32,2.33,12570
ATG,20180409,2.3,2.37,2.3,2.37,32000
ATG,20180406,2.29,2.35,2.29,2.35,65440
ATG,20180405,2.38,2.38,2.3,2.33,14870
ATG,20180404,2.38,2.39,2.31,2.38,46360
ATG,20180403,2.32,2.39,2.2,2.38,57530
ATG,20180402,2.29,2.35,2.29,2.35,9120
ATG,20180330,2.4,2.46,2.25,2.25,101250
ATG,20180329,2.35,2.42,2.35,2.4,16190
ATG,20180328,2.46,2.47,2.35,2.35,30700
ATG,20180327,2.43,2.47,2.4,2.47,70440
ATG,20180326,2.45,2.48,2.43,2.43,106660
ATG,20180323,2.49,2.49,2.38,2.43,54710
ATG,20180322,2.42,2.42,2.37,2.37,36410
ATG,20180321,2.48,2.48,2.37,2.42,84050
ATG,20180320,2.4,2.44,2.4,2.44,14480
ATG,20180319,2.37,2.48,2.37,2.43,33840
ATG,20180316,2.48,2.52,2.42,2.5,50070
ATG,20180315,2.5,2.52,2.46,2.52,87770
ATG,20180314,2.43,2.56,2.43,2.5,143860
ATG,20180313,2.45,2.45,2.32,2.4,50910
ATG,20180312,2.4,2.54,2.31,2.48,234910
ATG,20180309,2.5,2.5,2.4,2.4,108630
ATG,20180308,2.6,2.62,2.46,2.5,296760
ATG,20180307,2.6,2.64,2.51,2.64,263500
ATG,20180306,2.85,2.85,2.5,2.68,335520
ATG,20180305,2.68,2.68,2.68,2.68,174900
ATG,20180302,2.35,2.51,2.35,2.51,479650
ATG,20180301,2.4,2.4,2.3,2.35,221080
ATG,20180228,2.45,2.45,2.27,2.4,621230
ATG,20180227,2.33,2.6,2.28,2.44,333330
ATG,20180226,2.45,2.5,2.43,2.45,112390
ATG,20180223,2.55,2.66,2.52,2.52,377240
ATG,20180222,2.71,2.71,2.6,2.7,65760
ATG,20180221,2.75,2.75,2.75,2.75,4410
ATG,20180213,2.8,2.8,2.62,2.75,11760
ATG,20180212,2.6,2.68,2.6,2.67,35100
ATG,20180209,2.73,2.73,2.52,2.52,29220
ATG,20180208,2.69,2.79,2.62,2.62,104540
ATG,20180207,2.6,2.78,2.42,2.62,149840
ATG,20180206,2.65,2.73,2.53,2.6,75730
ATG,20180205,2.92,2.92,2.72,2.72,59430
ATG,20180202,3.0,3.05,2.87,2.92,319710
ATG,20180201,2.86,2.87,2.8,2.87,389550
ATG,20180131,2.52,2.69,2.52,2.69,112700
ATG,20180130,2.61,2.64,2.5,2.52,192700
ATG,20180129,2.8,2.8,2.62,2.63,51860
ATG,20180126,2.72,2.8,2.67,2.8,80990
ATG,20180125,2.76,2.8,2.7,2.8,147940
ATG,20180122,2.82,2.82,2.75,2.76,81420
ATG,20180119,2.88,2.88,2.83,2.86,86100
ATG,20180118,2.85,2.89,2.8,2.86,151320
ATG,20180117,2.83,2.86,2.83,2.85,136090
ATG,20180116,2.81,2.85,2.8,2.83,108560
ATG,20180115,2.91,2.91,2.8,2.81,111770
ATG,20180112,2.87,2.91,2.81,2.88,229860
ATG,20180111,2.86,2.9,2.84,2.9,90200
ATG,20180110,2.9,2.94,2.87,2.88,32650
ATG,20180109,2.89,2.94,2.84,2.9,220410
ATG,20180108,2.9,3.0,2.89,2.94,141210
ATG,20180105,2.89,2.89,2.82,2.82,43430
ATG,20180104,2.84,2.9,2.83,2.89,91920
ATG,20180103,2.89,2.89,2.82,2.82,149530
ATG,20180102,2.9,2.9,2.86,2.87,19600
ATG,20171229,2.92,2.92,2.8,2.9,61890
ATG,20171228,2.9,2.9,2.86,2.9,55740
ATG,20171227,2.9,2.91,2.86,2.86,63070
ATG,20171226,2.95,2.95,2.86,2.91,118840
ATG,20171225,2.9,2.93,2.86,2.9,26990
ATG,20171222,2.94,2.97,2.88,2.9,58580
ATG,20171221,2.88,2.95,2.88,2.94,63160
ATG,20171220,2.99,2.99,2.87,2.92,64870
ATG,20171219,3.1,3.11,2.93,2.96,171450
ATG,20171218,2.98,2.98,2.91,2.93,29230
ATG,20171215,2.91,3.05,2.85,2.93,69440
ATG,20171214,2.93,2.94,2.8,2.91,58820
ATG,20171213,2.85,2.94,2.8,2.94,60850
ATG,20171212,2.77,2.93,2.77,2.9,56270
ATG,20171211,3.0,3.0,2.9,2.9,32310
ATG,20171208,3.02,3.02,2.92,3.0,122710
ATG,20171207,3.01,3.03,2.91,3.0,34490
ATG,20171206,3.02,3.09,2.79,3.0,220550
ATG,20171205,3.0,3.05,2.95,2.99,92330
ATG,20171204,3.14,3.14,2.93,3.0,633970
ATG,20171201,3.27,3.27,3.1,3.14,25450
ATG,20171130,3.28,3.32,3.26,3.27,337580
ATG,20171129,3.09,3.3,3.09,3.28,99110
ATG,20171128,3.16,3.16,3.0,3.09,230990
ATG,20171127,3.0,3.17,3.0,3.16,284790
ATG,20171124,2.9,2.98,2.89,2.98,59550
ATG,20171123,2.94,2.94,2.89,2.9,71430
ATG,20171122,2.92,2.94,2.89,2.94,89820
ATG,20171121,2.96,2.98,2.91,2.98,81200
ATG,20171120,2.94,2.99,2.94,2.96,29470
ATG,20171117,3.05,3.13,2.93,2.94,30720
ATG,20171116,2.8,2.98,2.8,2.96,110770
ATG,20171115,2.7,2.8,2.7,2.8,104050
ATG,20171114,2.68,2.86,2.68,2.8,102830
ATG,20171113,3.04,3.04,2.86,2.86,55570
ATG,20171110,3.05,3.08,3.0,3.01,46920
ATG,20171109,3.05,3.2,3.04,3.08,81650
ATG,20171108,3.02,3.07,3.0,3.04,65590
ATG,20171107,3.01,3.03,3.0,3.02,129960
ATG,20171106,3.1,3.1,3.0,3.01,51910
ATG,20171103,2.96,2.99,2.92,2.99,115410
ATG,20171102,3.0,3.28,2.97,2.99,400030
ATG,20171101,3.43,3.45,3.19,3.19,398150
ATG,20171031,3.55,3.55,3.37,3.43,69560
ATG,20171030,3.55,3.6,3.49,3.5,174410
ATG,20171027,3.32,3.59,3.32,3.5,94830
ATG,20171026,3.6,3.68,3.4,3.54,63710
ATG,20171025,3.65,3.66,3.51,3.59,52990
ATG,20171024,3.71,3.71,3.51,3.57,29360
ATG,20171023,3.68,3.72,3.55,3.56,104930
ATG,20171020,3.71,3.71,3.6,3.68,72930
ATG,20171019,3.72,3.73,3.68,3.71,47220
ATG,20171018,3.69,3.79,3.67,3.72,108690
ATG,20171017,3.73,3.73,3.62,3.69,55440
ATG,20171016,3.62,3.62,3.57,3.59,84570
ATG,20171013,3.51,3.62,3.51,3.59,112020
ATG,20171012,3.61,3.65,3.52,3.6,93700
ATG,20171011,3.58,3.69,3.58,3.61,102310
ATG,20171010,3.76,3.76,3.6,3.61,142390
ATG,20171009,3.88,3.88,3.61,3.61,73910
ATG,20171006,3.75,3.8,3.7,3.71,46350
ATG,20171005,3.8,3.9,3.74,3.74,54720
ATG,20171004,3.45,3.73,3.45,3.73,131260
ATG,20171003,3.71,3.75,3.46,3.49,241020
ATG,20171002,3.89,3.89,3.72,3.72,135920
ATG,20170929,3.88,3.88,3.76,3.83,217590
ATG,20170928,4.07,4.09,3.75,3.76,581240
ATG,20170927,4.0,4.07,3.98,4.0,67660
ATG,20170926,4.07,4.1,3.92,3.98,190860
ATG,20170925,4.14,4.14,4.0,4.07,109420
ATG,20170922,4.08,4.08,3.9,4.0,161850
ATG,20170921,4.07,4.18,3.99,4.08,304590
ATG,20170920,4.15,4.21,4.11,4.21,192420
ATG,20170919,4.35,4.38,4.11,4.3,357120
ATG,20170918,4.37,4.4,4.25,4.32,283400
ATG,20170915,3.91,4.21,3.91,4.21,869430
ATG,20170914,3.83,3.95,3.83,3.94,251680
ATG,20170913,3.89,3.9,3.79,3.85,114580
ATG,20170912,3.75,3.84,3.75,3.82,127630
ATG,20170911,3.8,3.85,3.7,3.79,143850
ATG,20170908,3.88,3.9,3.8,3.8,243810
ATG,20170907,3.9,3.93,3.89,3.9,50510
ATG,20170906,3.95,3.95,3.86,3.91,75580
ATG,20170905,3.95,3.96,3.86,3.86,132480
ATG,20170901,3.95,3.99,3.87,3.95,133750
ATG,20170831,3.85,3.92,3.83,3.86,146100
ATG,20170830,3.98,3.98,3.84,3.92,386840
ATG,20170829,4.03,4.06,3.96,3.98,213980
ATG,20170828,4.28,4.28,4.0,4.03,190270
ATG,20170825,3.65,4.09,3.65,4.09,451630
ATG,20170824,4.0,4.19,3.83,3.83,921540
ATG,20170823,4.3,4.3,4.09,4.11,334000
ATG,20170822,4.44,4.6,4.2,4.3,359550
ATG,20170821,4.15,4.44,4.15,4.44,743430
ATG,20170818,3.99,4.25,3.99,4.15,929590
ATG,20170817,4.5,4.51,4.28,4.28,408780
ATG,20170816,4.88,4.88,4.57,4.6,1006620
ATG,20170815,4.57,4.57,4.5,4.57,675850
ATG,20170814,4.28,4.28,4.27,4.28,434330
ATG,20170811,4.05,4.21,3.98,4.0,901470
ATG,20170810,4.18,4.21,4.0,4.21,1198820
ATG,20170809,3.7,3.94,3.65,3.94,1054020
ATG,20170808,3.85,3.86,3.7,3.7,1175350
ATG,20170807,3.4,3.61,3.4,3.61,942010
ATG,20170804,3.32,3.4,3.24,3.38,249860
ATG,20170803,3.38,3.5,3.32,3.32,302830
ATG,20170802,3.24,3.4,3.14,3.4,736080
ATG,20170801,3.1,3.2,3.08,3.18,230320
