<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ATS,20180713,33.4,33.7,33.3,33.7,8000
ATS,20180712,33.3,33.4,33.0,33.4,7400
ATS,20180711,33.6,33.7,33.6,33.6,6300
ATS,20180710,34.1,34.4,34.0,34.1,9200
ATS,20180709,34.0,34.3,34.0,34.1,9100
ATS,20180706,33.8,34.1,33.6,34.0,9100
ATS,20180705,34.3,34.4,34.0,34.0,7800
ATS,20180704,34.1,34.4,33.8,34.3,8100
ATS,20180703,34.5,34.6,34.3,34.3,8400
ATS,20180702,35.0,35.0,34.3,34.6,8400
ATS,20180629,34.9,35.0,34.6,35.0,8200
ATS,20180628,35.2,35.3,34.8,34.9,9400
ATS,20180627,35.6,35.8,35.3,35.3,8400
ATS,20180626,35.8,35.9,35.5,35.7,9000
ATS,20180625,36.2,36.4,36.1,36.2,9500
ATS,20180622,35.6,36.1,35.5,36.1,8300
ATS,20180621,36.3,36.3,35.6,35.9,9700
ATS,20180620,36.0,36.2,36.0,36.2,10500
ATS,20180619,37.5,37.5,36.0,36.0,9600
ATS,20180618,36.9,37.4,36.9,37.4,9200
ATS,20180615,37.1,37.3,37.0,37.0,8700
ATS,20180614,37.7,37.9,37.2,37.2,10000
ATS,20180613,38.2,38.4,37.8,37.8,11400
ATS,20180612,39.5,39.5,38.3,38.3,10600
ATS,20180611,40.0,40.0,39.5,39.5,9900
ATS,20180608,40.8,40.8,40.1,40.1,11900
ATS,20180607,44.5,45.0,41.0,41.0,24000
ATS,20180606,44.4,44.6,44.0,44.6,44200
ATS,20180605,45.4,45.5,44.5,44.5,21200
ATS,20180604,46.3,46.3,45.5,45.5,16900
ATS,20180601,47.0,47.0,46.2,46.3,24100
ATS,20180531,47.1,47.4,47.1,47.1,15700
ATS,20180530,47.4,47.4,47.0,47.1,11500
ATS,20180529,46.0,47.3,46.0,47.3,9100
ATS,20180528,47.5,47.5,46.1,46.1,9100
ATS,20180525,48.2,48.2,47.6,47.6,9300
ATS,20180524,48.3,48.4,48.0,48.2,9300
ATS,20180523,47.6,48.3,47.4,48.3,15300
ATS,20180522,48.3,48.3,47.7,47.8,9100
ATS,20180521,48.4,48.5,48.2,48.4,8900
ATS,20180518,48.3,48.3,48.0,48.3,9600
ATS,20180517,48.2,48.4,48.1,48.4,10100
ATS,20180516,48.5,48.5,48.2,48.3,8400
ATS,20180515,48.3,48.7,48.3,48.6,9700
ATS,20180514,47.9,48.3,47.8,48.3,10400
ATS,20180511,47.3,47.9,47.2,47.9,9300
ATS,20180510,47.6,47.7,47.2,47.4,10300
ATS,20180509,48.0,48.0,47.5,47.6,9800
ATS,20180508,48.0,48.1,47.8,48.0,9600
ATS,20180507,47.5,48.0,47.5,48.0,10300
ATS,20180504,47.5,47.7,47.3,47.4,9300
ATS,20180503,47.5,47.5,47.2,47.5,10300
ATS,20180502,47.6,47.9,47.5,47.6,10800
ATS,20180427,47.0,47.6,46.9,47.6,9900
ATS,20180426,47.9,48.0,47.0,47.2,10500
ATS,20180424,47.9,48.1,47.6,48.0,12700
ATS,20180423,49.0,49.0,48.0,48.1,9900
ATS,20180420,48.4,48.9,48.4,48.9,11400
ATS,20180419,48.7,48.7,48.2,48.5,11200
ATS,20180418,48.8,48.9,48.5,48.8,10400
ATS,20180417,48.6,48.8,48.5,48.7,10700
ATS,20180416,48.8,49.0,48.6,48.7,9800
ATS,20180413,49.1,49.2,48.7,48.9,10700
ATS,20180412,48.3,49.0,48.2,49.0,12300
ATS,20180411,49.2,49.3,48.1,48.3,12800
ATS,20180410,49.6,49.6,48.9,49.1,13900
ATS,20180409,49.7,49.8,49.4,49.5,14000
ATS,20180406,49.3,49.9,49.2,49.7,13300
ATS,20180405,49.5,49.6,49.3,49.3,14800
ATS,20180404,54.3,55.2,49.5,49.5,21100
ATS,20180403,53.2,54.2,53.0,54.2,15400
ATS,20180402,52.0,53.3,52.0,53.3,15300
ATS,20180330,48.1,52.0,47.8,52.0,12700
ATS,20180329,43.9,48.0,43.8,48.0,13500
ATS,20180328,43.9,43.9,43.7,43.9,13300
ATS,20180327,44.1,44.3,43.8,44.0,13800
ATS,20180326,43.6,44.1,43.5,44.1,14100
ATS,20180323,43.8,43.8,43.4,43.6,10300
ATS,20180322,44.1,44.2,43.9,43.9,13100
ATS,20180321,43.6,44.1,43.5,44.0,16600
ATS,20180320,43.0,43.7,42.8,43.7,16200
