<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
B82,20180713,,,,1.4,0
B82,20180712,1.2,1.4,1.2,1.4,6700
B82,20180711,1.3,1.3,1.3,1.3,500
B82,20180710,1.3,1.3,1.3,1.3,800
B82,20180709,1.2,1.3,1.2,1.3,2400
B82,20180706,1.2,1.2,1.2,1.2,1000
B82,20180705,1.2,1.2,1.2,1.2,100
B82,20180704,1.3,1.3,1.3,1.3,100
B82,20180703,1.4,1.4,1.4,1.4,200
B82,20180702,1.4,1.5,1.4,1.5,6300
B82,20180629,1.3,1.4,1.3,1.4,400
B82,20180628,1.3,1.3,1.3,1.3,200
B82,20180627,1.3,1.3,1.3,1.3,100
B82,20180626,1.4,1.4,1.3,1.3,10700
B82,20180625,,,,1.3,0
B82,20180622,1.3,1.3,1.3,1.3,1500
B82,20180621,1.1,1.2,1.1,1.2,6500
B82,20180620,1.1,1.1,1.1,1.1,100
B82,20180619,,,,1.1,0
B82,20180618,1.1,1.1,1.1,1.1,7400
B82,20180615,1.2,1.3,1.2,1.2,4400
B82,20180614,1.3,1.3,1.3,1.3,100
B82,20180613,1.4,1.4,1.3,1.4,6100
B82,20180612,1.4,1.4,1.4,1.4,100
B82,20180611,,,,1.5,0
B82,20180608,1.4,1.5,1.4,1.5,1100
B82,20180607,1.4,1.5,1.4,1.5,3300
B82,20180606,1.4,1.5,1.4,1.5,300
B82,20180605,1.5,1.5,1.5,1.5,100
B82,20180604,1.4,1.5,1.4,1.5,6800
B82,20180601,1.4,1.5,1.4,1.5,2200
B82,20180531,1.4,1.5,1.4,1.5,8600
B82,20180530,1.5,1.5,1.5,1.5,200
B82,20180529,1.5,1.6,1.5,1.6,4100
B82,20180528,1.6,1.6,1.6,1.6,6100
B82,20180525,1.7,1.7,1.7,1.7,1700
B82,20180524,1.8,1.8,1.8,1.8,100
B82,20180523,1.8,1.9,1.8,1.9,600
B82,20180522,,,,1.9,0
B82,20180521,1.8,1.9,1.8,1.9,4100
B82,20180518,,,,1.9,0
B82,20180517,1.8,1.9,1.8,1.9,3100
B82,20180516,1.8,1.9,1.8,1.9,14600
B82,20180515,1.9,1.9,1.9,1.9,1000
B82,20180514,,,,2.0,0
B82,20180511,2.0,2.0,2.0,2.0,5900
B82,20180510,2.1,2.1,2.1,2.1,600
B82,20180509,,,,2.2,0
B82,20180508,2.2,2.2,2.2,2.2,700
B82,20180507,,,,2.2,0
B82,20180504,2.2,2.2,2.2,2.2,27
B82,20180503,2.2,2.2,2.2,2.2,3
B82,20180502,2.2,2.2,2.2,2.2,800
B82,20180427,,,,2.2,0
B82,20180426,2.2,2.2,2.2,2.2,100
B82,20180424,2.2,2.2,2.2,2.2,100
B82,20180423,2.1,2.1,2.0,2.0,1080
B82,20180420,2.2,2.2,2.2,2.2,2197
B82,20180419,2.1,2.1,2.1,2.1,300
B82,20180418,2.2,2.2,2.0,2.1,2500
B82,20180417,2.2,2.2,2.2,2.2,500
B82,20180416,,,,2.3,0
B82,20180413,2.3,2.3,2.3,2.3,100
B82,20180412,2.2,2.3,2.2,2.3,1200
B82,20180411,,,,2.2,0
B82,20180410,2.3,2.3,2.2,2.2,1108
B82,20180409,2.2,2.3,2.2,2.3,1800
B82,20180406,2.3,2.3,2.3,2.3,136
B82,20180405,,,,2.3,0
B82,20180404,2.3,2.3,2.3,2.3,2300
B82,20180403,2.6,2.6,2.2,2.2,8700
B82,20180402,2.4,2.4,2.4,2.4,600
B82,20180330,,,,2.6,0
B82,20180329,2.3,2.6,2.3,2.6,2500
B82,20180328,2.5,2.5,2.5,2.5,100
B82,20180327,2.3,2.3,2.3,2.3,400
B82,20180326,,,,2.5,0
B82,20180323,2.3,2.5,2.3,2.5,365
B82,20180322,,,,2.4,0
B82,20180321,2.4,2.4,2.4,2.4,426
B82,20180320,2.4,2.4,2.4,2.4,200
B82,20180319,2.5,2.5,2.5,2.5,500
B82,20180316,2.7,2.7,2.7,2.7,100
B82,20180315,2.5,2.6,2.5,2.6,400
