<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BCI,20180222,41.9,41.9,41.1,41.9,51340
BCI,20180221,41.5,42.0,41.5,41.6,4760
BCI,20180213,41.0,41.6,40.9,41.6,32490
BCI,20180212,41.0,41.0,41.0,41.0,11520
BCI,20180209,42.0,42.45,41.0,41.0,172930
BCI,20180208,40.0,41.0,39.7,41.0,28080
BCI,20180207,42.0,42.9,40.0,40.0,38700
BCI,20180206,42.0,42.0,39.25,42.0,28320
BCI,20180205,43.2,43.5,42.2,42.2,27980
BCI,20180202,43.5,44.0,43.5,43.6,14990
BCI,20180201,44.0,44.1,43.5,43.6,14110
BCI,20180131,44.0,45.0,42.6,44.0,12590
BCI,20180130,44.0,44.9,42.0,44.9,8540
BCI,20180129,46.5,47.8,42.6,44.0,6840
BCI,20180126,44.0,44.7,44.0,44.7,38090
BCI,20180125,40.0,42.8,40.0,41.8,137050
BCI,20180122,41.75,41.75,40.0,40.0,30410
BCI,20180119,36.5,39.05,36.5,39.05,28790
BCI,20180118,37.0,37.0,36.2,36.5,6360
BCI,20180117,37.0,37.0,36.0,37.0,12080
BCI,20180116,38.0,38.0,36.2,36.5,11850
BCI,20180115,36.0,38.0,34.2,36.5,12720
BCI,20180112,36.5,38.5,36.0,36.5,12900
BCI,20180111,34.0,36.5,34.0,36.0,29630
BCI,20180110,35.5,35.9,35.2,35.25,3530
BCI,20180109,34.0,35.6,34.0,35.6,20190
BCI,20180108,34.5,36.0,34.5,35.6,14390
BCI,20180105,36.0,36.0,34.1,34.1,11200
BCI,20180104,35.5,36.0,35.5,35.5,12400
BCI,20180103,34.4,35.5,34.4,35.5,15010
BCI,20180102,34.4,34.95,34.0,34.4,1880
BCI,20171229,35.0,35.0,34.3,34.5,3710
BCI,20171228,34.0,35.0,33.1,34.5,3760
BCI,20171227,34.9,36.0,34.0,34.0,1810
BCI,20171226,34.1,35.0,34.1,34.1,2210
BCI,20171225,35.8,35.8,35.75,35.75,1300
BCI,20171222,33.1,33.6,33.1,33.5,2060
BCI,20171221,34.5,35.0,33.5,33.5,4500
BCI,20171220,33.2,35.6,33.2,34.5,6200
BCI,20171219,35.9,35.9,33.6,34.0,3480
BCI,20171218,33.0,35.4,33.0,34.9,1800
BCI,20171215,34.0,34.5,33.6,34.0,5530
BCI,20171214,36.4,36.4,33.8,34.0,8510
BCI,20171213,34.5,34.5,34.0,34.1,3150
BCI,20171212,33.9,35.0,33.9,34.0,56500
BCI,20171211,33.0,35.0,33.0,34.5,40980
BCI,20171208,33.1,33.7,33.1,33.6,4820
BCI,20171207,33.0,34.0,32.85,34.0,18180
BCI,20171206,32.7,32.8,32.7,32.7,12050
BCI,20171205,33.5,33.5,33.0,33.0,4830
BCI,20171204,33.2,34.5,33.2,33.5,12890
BCI,20171201,32.1,34.8,32.1,34.8,8500
BCI,20171130,34.9,35.0,32.2,32.6,22370
BCI,20171129,33.0,34.25,32.8,32.8,12700
BCI,20171128,34.55,36.0,34.55,35.0,15890
BCI,20171127,34.3,35.3,34.3,35.3,4300
BCI,20171124,32.9,35.15,32.9,35.15,17870
BCI,20171123,31.75,33.0,31.75,32.9,17200
BCI,20171122,33.0,33.0,31.9,33.0,9300
BCI,20171121,31.85,32.45,31.85,32.0,106610
BCI,20171120,31.3,32.7,31.3,31.75,34190
BCI,20171117,31.5,31.6,31.5,31.6,1390
BCI,20171116,31.9,32.0,31.65,31.65,6940
BCI,20171115,31.2,31.8,31.2,31.5,11170
BCI,20171114,31.3,31.3,31.2,31.3,3250
BCI,20171113,31.2,31.2,31.2,31.2,3920
BCI,20171110,31.1,31.35,31.1,31.2,7500
BCI,20171109,31.0,31.8,31.0,31.8,24000
BCI,20171108,31.2,31.4,31.2,31.4,22030
BCI,20171107,30.9,31.5,30.9,31.4,6570
BCI,20171106,30.8,30.9,30.8,30.9,3670
BCI,20171103,30.7,30.95,30.5,30.9,14650
BCI,20171102,31.1,31.1,30.9,31.0,20100
BCI,20171101,31.0,31.5,31.0,31.1,15200
BCI,20171031,31.0,31.8,31.0,31.1,2100
BCI,20171030,31.0,32.0,30.8,32.0,24600
BCI,20171027,30.6,32.0,30.6,31.1,44000
BCI,20171026,30.5,30.7,30.5,30.6,12890
BCI,20171025,30.6,30.7,30.6,30.7,8510
BCI,20171024,30.6,30.7,30.6,30.7,13050
BCI,20171023,30.5,30.8,30.5,30.7,11270
BCI,20171020,30.5,30.6,30.45,30.5,11180
BCI,20171019,30.1,30.5,30.1,30.45,12410
BCI,20171018,30.4,30.55,30.4,30.5,7000
BCI,20171017,30.3,30.55,30.1,30.55,13500
BCI,20171016,30.1,30.3,30.1,30.3,8090
BCI,20171013,30.1,30.2,30.1,30.2,6700
BCI,20171012,30.0,30.1,30.0,30.1,3930
BCI,20171011,29.9,30.1,29.9,30.1,5600
BCI,20171010,30.1,30.2,30.1,30.2,4400
BCI,20171009,29.9,30.2,29.9,29.9,4800
BCI,20171006,30.0,30.3,29.9,29.9,8700
BCI,20171005,30.0,30.1,29.9,29.9,9460
BCI,20171004,29.9,29.9,29.9,29.9,2310
BCI,20171003,29.9,29.9,29.9,29.9,500
BCI,20171002,30.0,30.1,30.0,30.1,5160
BCI,20170929,29.8,29.8,29.8,29.8,220
BCI,20170928,29.8,29.8,29.8,29.8,2780
BCI,20170927,29.8,29.8,29.8,29.8,1000
BCI,20170926,29.9,29.9,29.8,29.8,4500
BCI,20170925,29.9,30.0,29.9,29.9,4670
BCI,20170922,30.0,30.0,29.8,30.0,6850
BCI,20170921,29.7,29.8,29.7,29.8,1500
BCI,20170920,29.6,29.8,29.6,29.7,7700
BCI,20170919,29.6,29.7,29.6,29.7,8230
BCI,20170918,29.5,29.6,29.5,29.6,2200
BCI,20170915,29.7,29.8,29.7,29.8,2000
BCI,20170914,29.8,29.9,29.8,29.9,2030
BCI,20170913,29.9,30.0,29.8,30.0,17420
BCI,20170912,29.8,30.0,29.8,30.0,36690
BCI,20170911,29.8,29.9,29.7,29.9,23900
BCI,20170908,29.3,29.8,29.3,29.8,8800
BCI,20170907,29.3,29.8,29.3,29.8,15830
BCI,20170906,29.0,29.3,29.0,29.3,3500
BCI,20170905,29.1,29.6,29.1,29.6,7700
BCI,20170901,29.5,29.7,29.5,29.5,867380
BCI,20170831,29.5,29.5,29.4,29.5,399000
BCI,20170830,29.5,29.5,29.4,29.5,275500
BCI,20170829,29.4,29.5,29.4,29.5,169930
BCI,20170828,29.5,29.5,29.4,29.5,150000
BCI,20170825,29.5,29.5,29.5,29.5,201460
