<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BDB,20180713,,,,4.0,0
BDB,20180712,,,,4.0,0
BDB,20180711,,,,4.0,0
BDB,20180710,,,,4.0,0
BDB,20180709,,,,4.0,0
BDB,20180706,,,,4.0,0
BDB,20180705,4.0,4.0,4.0,4.0,100
BDB,20180704,,,,4.1,0
BDB,20180703,,,,4.1,0
BDB,20180702,4.1,4.1,4.1,4.1,100
BDB,20180629,,,,4.3,0
BDB,20180628,4.3,4.3,4.3,4.3,100
BDB,20180627,4.7,4.7,4.7,4.7,100
BDB,20180626,,,,5.2,0
BDB,20180625,,,,5.2,0
BDB,20180622,,,,5.2,0
BDB,20180621,5.2,5.2,5.2,5.2,100
BDB,20180620,5.7,5.7,5.7,5.7,100
BDB,20180619,5.2,5.2,5.2,5.2,100
BDB,20180618,5.8,5.8,4.8,4.8,200
BDB,20180615,,,,5.3,0
BDB,20180614,5.3,5.3,5.3,5.3,100
BDB,20180613,4.9,4.9,4.9,4.9,100
BDB,20180612,4.5,4.5,4.5,4.5,100
BDB,20180611,4.1,4.1,4.1,4.1,100
BDB,20180608,,,,3.8,0
BDB,20180607,,,,3.8,0
BDB,20180606,,,,3.8,0
BDB,20180605,3.8,3.8,3.8,3.8,100
BDB,20180604,,,,3.5,0
BDB,20180601,,,,3.5,0
BDB,20180531,,,,3.5,0
BDB,20180530,,,,3.5,0
BDB,20180529,,,,3.5,0
BDB,20180528,,,,3.5,0
BDB,20180525,,,,3.5,0
BDB,20180524,,,,3.5,0
BDB,20180523,,,,3.5,0
BDB,20180522,,,,3.5,0
BDB,20180521,,,,3.5,0
BDB,20180518,,,,3.5,0
BDB,20180517,,,,3.5,0
BDB,20180516,,,,3.5,0
BDB,20180515,,,,3.5,0
BDB,20180514,,,,3.5,0
BDB,20180511,,,,3.5,0
BDB,20180510,,,,3.5,0
BDB,20180509,,,,3.5,0
BDB,20180508,,,,3.5,0
BDB,20180507,,,,3.5,0
BDB,20180504,,,,3.5,0
BDB,20180503,,,,3.5,0
BDB,20180502,,,,3.5,0
BDB,20180427,,,,3.5,0
BDB,20180426,,,,3.5,0
BDB,20180424,,,,3.5,0
BDB,20180423,,,,3.5,0
BDB,20180420,,,,3.5,0
BDB,20180419,,,,3.5,0
BDB,20180418,,,,3.5,0
BDB,20180417,,,,3.5,0
BDB,20180416,,,,3.5,0
BDB,20180413,,,,3.5,0
BDB,20180412,,,,3.5,0
BDB,20180411,,,,3.5,0
BDB,20180410,,,,3.5,0
BDB,20180409,,,,3.5,0
BDB,20180406,,,,3.5,0
BDB,20180405,,,,3.5,0
BDB,20180404,,,,3.5,0
BDB,20180403,,,,3.5,0
BDB,20180402,,,,3.5,0
BDB,20180330,,,,3.5,0
BDB,20180329,,,,3.5,0
BDB,20180328,,,,3.5,0
BDB,20180327,,,,3.5,0
BDB,20180326,,,,3.5,0
BDB,20180323,,,,3.5,0
BDB,20180322,,,,3.5,0
BDB,20180321,,,,3.5,0
BDB,20180320,,,,3.5,0
BDB,20180319,,,,3.5,0
BDB,20180316,,,,3.5,0
BDB,20180315,,,,3.5,0
BDB,20180314,,,,3.5,0
BDB,20180313,,,,3.5,0
BDB,20180312,,,,3.5,0
BDB,20180309,,,,3.5,0
BDB,20180308,,,,3.5,0
BDB,20180307,,,,3.5,0
BDB,20180306,,,,3.5,0
BDB,20180305,,,,3.5,0
BDB,20180302,,,,3.5,0
BDB,20180301,,,,3.5,0
BDB,20180228,,,,3.5,0
BDB,20180227,,,,3.5,0
BDB,20180226,,,,3.5,0
BDB,20180223,,,,3.5,0
BDB,20180222,3.5,3.5,3.5,3.5,100
BDB,20180221,,,,3.75,0
BDB,20180213,,,,3.75,0
BDB,20180212,3.75,3.75,3.75,3.75,100
BDB,20180209,4.09,4.09,4.09,4.08,100
BDB,20180208,4.42,4.42,4.42,4.42,100
BDB,20180207,4.75,4.75,4.75,4.75,100
BDB,20180206,5.17,5.17,5.17,5.17,100
BDB,20180205,5.67,5.67,5.67,5.67,100
BDB,20180202,6.25,6.25,6.25,6.25,100
BDB,20180201,6.83,6.83,6.83,6.83,100
BDB,20180131,7.58,7.58,7.58,7.58,100
BDB,20180130,,,,8.33,0
BDB,20180129,,,,8.33,0
BDB,20180126,8.33,8.33,8.33,8.33,3300
BDB,20180125,,,,8.33,0
BDB,20180122,,,,8.33,0
BDB,20180119,,,,8.33,0
BDB,20180118,,,,8.33,0
BDB,20180117,,,,8.33,0
BDB,20180116,,,,8.33,0
BDB,20180115,,,,8.33,0
BDB,20180112,,,,8.33,0
BDB,20180111,,,,8.33,0
BDB,20180110,,,,8.33,0
BDB,20180109,,,,8.33,0
BDB,20180108,,,,8.33,0
