<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BHN,20180713,85.5,85.5,84.0,84.0,550
BHN,20180712,84.0,84.1,78.0,84.0,850
BHN,20180711,90.4,90.4,83.0,83.1,2650
BHN,20180710,86.0,86.4,81.0,86.4,3020
BHN,20180709,75.1,80.8,75.1,80.8,2630
BHN,20180706,81.0,83.6,75.6,75.6,35200
BHN,20180705,86.5,86.5,81.1,81.1,5160
BHN,20180704,87.0,91.3,86.5,86.5,4930
BHN,20180703,92.5,93.0,87.0,93.0,2350
BHN,20180702,91.5,91.5,87.1,91.5,1790
BHN,20180629,98.0,98.0,91.5,91.5,2790
BHN,20180628,101.9,101.9,97.0,97.0,730
BHN,20180627,105.9,105.9,97.1,98.3,450
BHN,20180626,101.1,104.0,100.0,103.9,1620
BHN,20180625,108.9,108.9,101.1,101.1,730
BHN,20180622,105.9,105.9,99.5,105.9,120
BHN,20180621,107.8,107.8,105.0,106.0,220
BHN,20180620,111.0,111.9,99.5,105.0,1410
BHN,20180619,112.7,112.7,105.0,105.0,1440
BHN,20180618,115.0,115.0,105.1,112.8,450
BHN,20180615,117.6,117.6,107.2,111.0,160
BHN,20180614,112.5,113.0,105.7,112.2,5110
BHN,20180613,116.9,116.9,110.0,112.5,540
BHN,20180612,119.5,119.5,110.1,111.0,1810
BHN,20180611,110.1,114.0,109.9,114.0,5660
BHN,20180608,103.3,109.9,103.3,109.9,510
BHN,20180607,107.9,111.5,107.9,110.0,3870
BHN,20180606,111.6,111.6,104.2,110.7,540
BHN,20180605,109.8,109.8,102.9,108.9,1030
BHN,20180604,105.0,110.0,97.0,108.8,3470
BHN,20180601,103.9,103.9,99.5,103.9,370
BHN,20180531,100.0,104.0,100.0,104.0,760
BHN,20180530,104.9,105.9,98.0,104.7,2080
BHN,20180529,111.0,111.0,97.4,104.9,1140
BHN,20180528,109.7,109.9,101.0,104.7,1180
BHN,20180525,112.3,112.3,103.2,108.0,280
BHN,20180524,109.0,109.4,106.9,108.9,390
BHN,20180523,105.8,109.9,105.1,108.8,110
BHN,20180522,115.5,115.5,106.2,107.0,650
BHN,20180521,102.3,115.0,102.3,114.0,580
BHN,20180518,105.1,109.4,105.0,109.0,210
BHN,20180517,109.0,112.9,105.1,105.5,200
BHN,20180516,111.0,115.0,111.0,111.0,400
BHN,20180515,111.0,112.6,109.0,111.0,2360
BHN,20180514,109.0,109.3,100.1,108.8,1160
BHN,20180511,107.0,107.0,100.3,105.9,1000
