<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BHT,20180713,,,,4.8,0
BHT,20180712,,,,4.8,0
BHT,20180711,,,,4.8,0
BHT,20180710,,,,4.8,0
BHT,20180709,,,,4.8,0
BHT,20180706,,,,4.8,0
BHT,20180705,,,,4.8,0
BHT,20180704,,,,4.8,0
BHT,20180703,,,,4.8,0
BHT,20180702,,,,4.8,0
BHT,20180629,,,,4.8,0
BHT,20180628,,,,4.8,0
BHT,20180627,,,,4.8,0
BHT,20180626,,,,4.8,0
BHT,20180625,,,,4.8,0
BHT,20180622,,,,4.8,0
BHT,20180621,,,,4.8,0
BHT,20180620,,,,4.8,0
BHT,20180619,,,,4.8,0
BHT,20180618,,,,4.8,0
BHT,20180615,,,,4.8,0
BHT,20180614,,,,4.8,0
BHT,20180613,,,,4.8,0
BHT,20180612,,,,4.8,0
BHT,20180611,,,,4.8,0
BHT,20180608,,,,4.8,0
BHT,20180607,,,,4.8,0
BHT,20180606,,,,4.8,0
BHT,20180605,,,,4.8,0
BHT,20180604,,,,4.8,0
BHT,20180601,,,,4.8,0
BHT,20180531,,,,4.8,0
BHT,20180530,,,,4.8,0
BHT,20180529,,,,4.8,0
BHT,20180528,,,,4.8,0
BHT,20180525,,,,4.8,0
BHT,20180524,,,,4.8,0
BHT,20180523,,,,4.8,0
BHT,20180522,,,,4.8,0
BHT,20180521,,,,4.8,0
BHT,20180518,,,,4.8,0
BHT,20180517,,,,4.8,0
BHT,20180516,,,,4.8,0
BHT,20180515,,,,4.8,0
BHT,20180514,,,,4.8,0
BHT,20180511,,,,4.8,0
BHT,20180510,,,,4.8,0
BHT,20180509,,,,4.8,0
BHT,20180508,,,,4.8,0
BHT,20180507,4.8,4.8,4.8,4.8,100
BHT,20180504,,,,4.4,0
BHT,20180503,,,,4.4,0
BHT,20180502,,,,4.4,0
BHT,20180427,,,,4.4,0
BHT,20180426,,,,4.4,0
BHT,20180424,,,,4.4,0
BHT,20180423,,,,4.4,0
BHT,20180420,,,,4.4,0
BHT,20180419,,,,4.4,0
BHT,20180418,,,,4.4,0
BHT,20180417,,,,4.4,0
BHT,20180416,,,,4.4,0
BHT,20180413,,,,4.4,0
BHT,20180412,,,,4.4,0
BHT,20180411,,,,4.4,0
BHT,20180410,,,,4.4,0
BHT,20180409,,,,4.4,0
BHT,20180406,,,,4.4,0
BHT,20180405,,,,4.4,0
BHT,20180404,,,,4.4,0
BHT,20180403,,,,4.4,0
BHT,20180402,,,,4.4,0
BHT,20180330,,,,4.4,0
BHT,20180329,,,,4.4,0
BHT,20180328,,,,4.4,0
BHT,20180327,,,,4.4,0
BHT,20180326,4.4,4.4,4.4,4.4,100
BHT,20180323,,,,4.0,0
BHT,20180322,,,,4.0,0
BHT,20180321,,,,4.0,0
BHT,20180320,,,,4.0,0
BHT,20180319,,,,4.0,0
BHT,20180316,,,,4.0,0
BHT,20180315,,,,4.0,0
BHT,20180314,,,,4.0,0
BHT,20180313,,,,4.0,0
BHT,20180312,,,,4.0,0
BHT,20180309,4.0,4.0,4.0,4.0,5000
BHT,20180308,4.0,4.0,4.0,4.0,10000
BHT,20180307,,,,3.9,0
BHT,20180306,,,,3.9,0
BHT,20180305,3.9,3.9,3.9,3.9,100
BHT,20180302,,,,3.6,0
BHT,20180301,3.6,3.6,3.6,3.6,1000
BHT,20180228,,,,3.6,0
BHT,20180227,3.6,3.6,3.6,3.6,100
BHT,20180226,,,,3.3,0
BHT,20180223,,,,3.3,0
BHT,20180222,,,,3.3,0
BHT,20180221,,,,3.3,0
BHT,20180213,,,,3.3,0
BHT,20180212,3.3,3.3,3.3,3.3,1900
BHT,20180209,,,,3.6,0
BHT,20180208,,,,3.6,0
BHT,20180207,,,,3.6,0
BHT,20180206,,,,3.6,0
BHT,20180205,,,,3.6,0
BHT,20180202,3.6,3.6,3.6,3.6,400
BHT,20180201,,,,3.9,0
BHT,20180131,,,,3.9,0
BHT,20180130,,,,3.9,0
BHT,20180129,,,,3.9,0
BHT,20180126,,,,3.9,0
BHT,20180125,3.9,3.9,3.9,3.9,100
BHT,20180122,3.9,3.9,3.9,3.9,100
BHT,20180119,,,,3.6,0
BHT,20180118,,,,3.6,0
BHT,20180117,,,,3.6,0
BHT,20180116,,,,3.6,0
BHT,20180115,,,,3.6,0
BHT,20180112,,,,3.6,0
BHT,20180111,,,,3.6,0
BHT,20180110,,,,3.6,0
BHT,20180109,3.6,3.6,3.6,3.6,100
BHT,20180108,3.3,3.3,3.3,3.3,1000
BHT,20180105,,,,3.6,0
BHT,20180104,,,,3.6,0
BHT,20180103,,,,3.6,0
BHT,20180102,,,,3.6,0
BHT,20171229,,,,3.6,0
BHT,20171228,,,,3.6,0
BHT,20171227,,,,3.6,0
BHT,20171226,,,,3.6,0
BHT,20171225,,,,3.6,0
BHT,20171222,,,,3.6,0
BHT,20171221,,,,3.6,0
BHT,20171220,,,,3.6,0
BHT,20171219,,,,3.6,0
BHT,20171218,,,,3.6,0
BHT,20171215,,,,3.6,0
BHT,20171214,,,,3.6,0
BHT,20171213,,,,3.6,0
BHT,20171212,,,,3.6,0
BHT,20171211,,,,3.6,0
BHT,20171208,,,,3.6,0
BHT,20171207,,,,3.6,0
BHT,20171206,,,,3.6,0
BHT,20171205,3.6,3.6,3.6,3.6,1000
BHT,20171204,,,,4.0,0
BHT,20171201,,,,4.0,0
BHT,20171130,,,,4.0,0
BHT,20171129,,,,4.0,0
BHT,20171128,4.0,4.0,4.0,4.0,4000
BHT,20171127,,,,4.4,0
BHT,20171124,,,,4.4,0
BHT,20171123,,,,4.4,0
BHT,20171122,,,,4.4,0
BHT,20171121,,,,4.4,0
BHT,20171120,,,,4.4,0
BHT,20171117,,,,4.4,0
BHT,20171116,,,,4.4,0
BHT,20171115,,,,4.4,0
BHT,20171114,,,,4.4,0
BHT,20171113,,,,4.4,0
BHT,20171110,,,,4.4,0
BHT,20171109,,,,4.4,0
BHT,20171108,,,,4.4,0
BHT,20171107,,,,4.4,0
BHT,20171106,,,,4.4,0
BHT,20171103,,,,4.4,0
BHT,20171102,,,,4.4,0
BHT,20171101,,,,4.4,0
BHT,20171031,,,,4.4,0
BHT,20171030,,,,4.4,0
BHT,20171027,,,,4.4,0
BHT,20171026,,,,4.4,0
BHT,20171025,,,,4.4,0
BHT,20171024,,,,4.4,0
BHT,20171023,,,,4.4,0
BHT,20171020,,,,4.4,0
BHT,20171019,,,,4.4,0
BHT,20171018,,,,4.4,0
BHT,20171017,,,,4.4,0
BHT,20171016,,,,4.4,0
BHT,20171013,,,,4.4,0
BHT,20171012,,,,4.4,0
BHT,20171011,,,,4.4,0
BHT,20171010,,,,4.4,0
BHT,20171009,,,,4.4,0
BHT,20171006,,,,4.4,0
BHT,20171005,,,,4.4,0
BHT,20171004,4.4,4.4,4.4,4.4,700
BHT,20171003,,,,4.8,0
BHT,20171002,,,,4.8,0
BHT,20170929,,,,4.8,0
BHT,20170928,,,,4.8,0
BHT,20170927,,,,4.8,0
BHT,20170926,,,,4.8,0
BHT,20170925,,,,4.8,0
BHT,20170922,,,,4.8,0
BHT,20170921,,,,4.8,0
BHT,20170920,,,,4.8,0
BHT,20170919,,,,4.8,0
BHT,20170918,,,,4.8,0
BHT,20170915,,,,4.8,0
BHT,20170914,,,,4.8,0
BHT,20170913,,,,4.8,0
BHT,20170912,,,,4.8,0
BHT,20170911,,,,4.8,0
BHT,20170908,,,,4.8,0
BHT,20170907,,,,4.8,0
BHT,20170906,,,,4.8,0
BHT,20170905,,,,4.8,0
BHT,20170901,,,,4.8,0
BHT,20170831,4.8,4.8,4.8,4.8,1000
BHT,20170830,,,,5.0,0
BHT,20170829,4.8,5.0,4.8,5.0,2000
BHT,20170828,4.8,4.8,4.8,4.8,200
BHT,20170825,,,,4.8,0
BHT,20170824,,,,4.8,0
BHT,20170823,,,,4.8,0
BHT,20170822,4.8,4.8,4.8,4.8,1000
BHT,20170821,,,,4.6,0
BHT,20170818,,,,4.6,0
BHT,20170817,,,,4.6,0
BHT,20170816,,,,4.6,0
BHT,20170815,,,,4.6,0
BHT,20170814,4.6,4.6,4.6,4.6,100
BHT,20170811,,,,4.4,0
BHT,20170810,,,,4.4,0
BHT,20170809,,,,4.4,0
BHT,20170808,,,,4.4,0
BHT,20170807,,,,4.4,0
BHT,20170804,,,,4.4,0
BHT,20170803,,,,4.4,0
BHT,20170802,,,,4.4,0
BHT,20170801,,,,4.4,0
BHT,20170731,,,,4.4,0
BHT,20170728,,,,4.4,0
BHT,20170727,4.4,4.4,4.4,4.4,200
BHT,20170726,,,,4.8,0
BHT,20170725,,,,4.8,0
BHT,20170724,,,,4.8,0
BHT,20170721,,,,4.8,0
BHT,20170720,,,,4.8,0
BHT,20170719,,,,4.8,0
BHT,20170718,,,,4.8,0
BHT,20170717,,,,4.8,0
BHT,20170714,,,,4.8,0
BHT,20170713,,,,4.8,0
BHT,20170712,,,,4.8,0
BHT,20170711,,,,4.8,0
BHT,20170710,,,,4.8,0
BHT,20170707,4.8,4.8,4.8,4.8,100
BHT,20170706,,,,5.3,0
BHT,20170705,,,,5.3,0
BHT,20170704,,,,5.3,0
BHT,20170703,,,,5.3,0
BHT,20170630,,,,5.3,0
BHT,20170629,,,,5.3,0
BHT,20170628,,,,5.3,0
BHT,20170627,,,,5.3,0
BHT,20170626,,,,5.3,0
