<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BIC,20180713,28.85,28.85,28.85,28.85,10
BIC,20180712,28.85,28.85,25.25,28.85,5510
BIC,20180711,27.55,27.55,26.6,27.0,3120
BIC,20180710,26.95,27.45,26.8,27.45,10020
BIC,20180709,27.55,27.55,27.4,27.55,5020
BIC,20180706,27.55,27.55,27.55,27.55,1000
BIC,20180705,26.55,27.9,26.15,27.55,7340
BIC,20180704,27.9,27.9,27.9,27.9,10
BIC,20180703,26.1,27.6,26.1,27.6,5020
BIC,20180702,28.7,28.7,27.95,27.95,60
BIC,20180629,27.2,27.2,27.0,27.15,2020
BIC,20180628,27.6,27.7,27.0,27.4,8180
BIC,20180627,28.0,28.0,27.1,27.6,6270
BIC,20180626,28.0,28.0,27.85,27.85,1120
BIC,20180625,29.5,29.5,26.7,27.85,1080
BIC,20180622,26.83,28.0,26.83,27.95,4120
BIC,20180621,28.1,28.1,26.83,28.0,4020
BIC,20180620,26.88,28.1,26.83,28.1,6740
BIC,20180619,26.73,27.9,26.34,27.9,10000
BIC,20180618,28.68,28.68,27.56,28.29,4870
BIC,20180615,28.97,28.97,27.41,28.68,1550
BIC,20180614,29.22,29.22,27.71,28.68,3660
BIC,20180613,28.35,29.56,27.71,29.56,12270
BIC,20180612,29.76,29.76,29.76,29.76,1160
BIC,20180611,29.27,29.56,28.59,29.56,5820
BIC,20180608,29.66,30.49,28.74,29.76,13310
BIC,20180607,29.22,29.76,28.25,29.76,10560
BIC,20180606,29.75,29.75,28.19,29.76,480
BIC,20180605,,,,29.9,0
BIC,20180604,29.95,29.95,28.29,29.9,6140
BIC,20180601,29.96,30.0,29.96,30.0,150
BIC,20180531,30.2,30.2,30.2,30.2,3050
BIC,20180530,,,,30.15,0
BIC,20180529,28.83,30.15,28.05,30.15,2300
BIC,20180528,30.15,30.15,30.15,30.15,70
BIC,20180525,28.69,30.2,28.69,30.2,5440
BIC,20180524,29.75,30.19,29.75,30.2,4000
BIC,20180523,28.53,30.24,28.19,30.24,12330
BIC,20180522,28.48,30.24,28.48,30.24,2190
BIC,20180521,28.78,30.24,28.39,30.24,1670
BIC,20180518,27.95,30.25,27.95,30.24,5910
BIC,20180517,28.48,30.24,28.48,29.27,15090
BIC,20180516,28.78,30.24,28.29,30.24,20460
BIC,20180515,29.27,29.27,27.9,29.07,7100
BIC,20180514,28.88,29.27,27.96,29.27,2680
BIC,20180511,28.29,30.24,28.29,29.37,5060
BIC,20180510,28.48,30.24,28.48,30.24,2010
BIC,20180509,27.02,30.24,26.44,30.24,15780
BIC,20180508,28.59,28.59,27.32,28.29,4650
BIC,20180507,30.05,30.05,28.59,28.59,710
BIC,20180504,30.24,30.24,30.0,30.05,620
BIC,20180503,30.24,30.24,28.83,30.24,3030
BIC,20180502,30.24,30.24,28.39,30.24,5460
BIC,20180427,28.34,30.24,28.34,30.24,2080
BIC,20180426,28.29,30.24,28.29,30.24,3020
BIC,20180424,30.24,30.24,30.24,30.24,6360
BIC,20180423,28.97,31.22,28.97,31.22,5590
BIC,20180420,30.25,30.73,30.25,30.73,3200
BIC,20180419,32.49,32.49,30.25,31.71,7470
BIC,20180418,30.2,32.49,28.64,32.49,12900
BIC,20180417,29.37,30.44,29.17,30.44,12610
BIC,20180416,29.8,31.51,29.8,31.37,11730
BIC,20180413,29.95,32.0,28.88,32.0,24140
BIC,20180412,29.85,30.24,28.88,29.95,16870
BIC,20180411,31.7,31.7,30.24,30.83,37960
BIC,20180410,31.9,31.9,30.73,31.85,25090
BIC,20180409,32.39,33.17,31.8,31.9,17180
BIC,20180406,34.14,34.14,32.1,32.39,48670
BIC,20180405,33.95,34.34,31.8,34.34,35720
BIC,20180404,32.83,33.95,32.74,33.95,28830
BIC,20180403,34.15,34.15,34.05,34.15,3830
BIC,20180402,35.12,35.61,33.37,34.15,11700
BIC,20180330,32.79,35.61,32.74,35.61,16300
BIC,20180329,,,,34.2,0
BIC,20180328,34.0,34.2,34.0,34.2,16300
BIC,20180327,32.49,34.1,32.49,34.05,16450
BIC,20180326,32.49,34.1,32.34,34.1,3560
BIC,20180323,32.29,34.15,32.25,34.15,20980
BIC,20180322,34.15,34.15,34.1,34.1,2030
BIC,20180321,33.8,34.14,32.97,34.15,23490
BIC,20180320,34.15,34.15,33.76,33.9,4020
BIC,20180319,33.85,34.15,33.66,34.15,21010
BIC,20180316,34.15,34.15,32.0,32.0,38970
BIC,20180315,34.14,35.12,33.17,34.15,37150
BIC,20180314,35.56,35.56,34.05,35.12,30180
BIC,20180313,34.19,35.56,34.19,35.56,13110
BIC,20180312,35.95,35.95,35.95,35.95,300
BIC,20180309,36.1,36.1,34.3,35.95,5590
BIC,20180308,34.88,36.83,34.88,36.1,6330
BIC,20180307,37.07,37.07,37.07,37.07,370
BIC,20180306,36.1,37.17,34.63,37.17,75330
BIC,20180305,36.1,37.51,36.1,37.17,26860
BIC,20180302,36.2,38.0,35.71,38.0,25950
BIC,20180301,39.02,39.02,36.43,36.49,5770
BIC,20180228,36.39,39.03,36.25,39.02,34400
BIC,20180227,36.87,38.92,36.68,38.93,35320
BIC,20180226,39.61,39.61,36.88,39.41,18890
BIC,20180223,35.66,39.61,34.63,39.61,25190
BIC,20180222,36.39,37.07,36.29,37.07,29200
BIC,20180221,39.02,39.02,36.29,39.02,35200
BIC,20180213,36.58,39.02,36.39,39.02,23970
BIC,20180212,38.63,39.12,38.58,39.12,20480
BIC,20180209,38.58,41.46,38.58,41.46,10520
BIC,20180208,39.02,41.46,37.27,41.46,5110
BIC,20180207,41.27,41.27,38.39,40.0,12770
BIC,20180206,41.46,41.46,38.58,41.27,8250
BIC,20180205,38.05,41.47,38.05,41.46,12090
BIC,20180202,38.93,38.93,38.05,38.93,15170
BIC,20180201,37.66,38.54,35.27,38.34,23920
BIC,20180131,35.22,37.66,35.22,37.66,14500
BIC,20180130,37.07,37.46,36.09,37.46,11440
BIC,20180129,37.56,37.56,35.61,37.46,13750
BIC,20180126,33.17,36.0,33.17,36.0,16010
BIC,20180125,35.12,36.1,35.12,35.12,18110
BIC,20180122,34.63,35.12,34.53,35.12,5330
BIC,20180119,34.15,34.63,34.15,34.63,13200
BIC,20180118,34.05,34.05,33.66,34.0,20610
BIC,20180117,33.17,34.14,32.39,34.05,18200
BIC,20180116,34.54,34.54,33.95,34.24,12270
BIC,20180115,34.59,34.64,34.15,34.15,13440
BIC,20180112,35.02,35.12,34.15,34.15,10900
BIC,20180111,34.15,34.15,33.17,33.17,20640
BIC,20180110,34.15,34.15,33.17,34.15,14300
BIC,20180109,34.15,35.32,33.66,34.54,7300
BIC,20180108,35.61,35.61,33.17,33.17,1580
BIC,20180105,35.61,35.61,35.61,35.61,260
BIC,20180104,35.12,36.58,35.02,35.61,6500
BIC,20180103,34.73,34.73,34.73,34.73,1000
BIC,20180102,33.56,33.56,33.56,33.56,20
BIC,20171229,34.58,36.09,34.58,36.0,7400
BIC,20171228,33.95,34.63,33.95,34.63,7400
BIC,20171227,32.2,33.96,30.15,33.95,11780
BIC,20171226,31.76,32.2,31.76,32.2,18890
BIC,20171225,31.76,31.76,31.76,31.76,5000
BIC,20171222,29.75,31.8,29.61,31.76,8310
BIC,20171221,,,,31.8,0
BIC,20171220,,,,31.8,0
BIC,20171219,31.21,31.8,31.21,31.8,6000
BIC,20171218,,,,31.8,0
BIC,20171215,,,,31.8,0
BIC,20171214,30.24,31.8,29.75,31.8,6410
BIC,20171213,31.22,32.05,30.24,31.85,29420
BIC,20171212,,,,31.9,0
BIC,20171211,31.9,31.9,31.9,31.9,3000
BIC,20171208,31.95,31.95,31.9,31.9,140
BIC,20171207,32.1,32.1,32.0,32.0,1100
BIC,20171206,32.0,32.0,30.05,32.0,11150
