<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BMC,20180713,12.2,13.0,12.2,13.0,3660
BMC,20180712,12.2,12.3,11.85,12.2,12240
BMC,20180711,12.5,12.7,11.9,12.7,10900
BMC,20180710,12.5,12.5,12.5,12.5,2010
BMC,20180709,11.45,12.5,11.45,12.3,1510
BMC,20180706,12.1,12.5,11.6,12.3,7980
BMC,20180705,12.35,12.9,12.2,12.2,4840
BMC,20180704,12.8,13.1,12.5,13.1,2830
BMC,20180703,12.7,12.9,12.45,12.45,8220
BMC,20180702,13.3,13.3,12.55,13.3,5480
BMC,20180629,13.5,13.5,13.2,13.3,7860
BMC,20180628,13.5,13.9,13.5,13.9,5720
BMC,20180627,14.3,14.3,14.3,14.3,1610
BMC,20180626,13.0,14.3,13.0,14.3,5010
BMC,20180625,13.0,13.5,13.0,13.5,3330
BMC,20180622,13.1,13.1,12.8,13.0,1780
BMC,20180621,13.8,13.8,12.7,13.1,10330
BMC,20180620,12.8,13.6,12.8,13.2,17120
BMC,20180619,13.1,13.7,13.05,13.7,1610
BMC,20180618,13.4,14.0,12.8,14.0,12820
BMC,20180615,13.0,13.5,12.8,13.5,9920
BMC,20180614,13.5,13.5,13.5,13.5,300
BMC,20180613,12.9,13.5,12.5,13.5,13710
BMC,20180612,13.2,13.2,12.6,13.0,26950
BMC,20180611,13.7,13.7,13.5,13.5,1960
BMC,20180608,13.3,13.7,13.3,13.7,3020
BMC,20180607,13.3,13.8,13.3,13.8,4030
BMC,20180606,13.8,13.8,13.8,13.8,1450
BMC,20180605,13.2,13.8,13.2,13.7,2020
BMC,20180604,13.3,13.8,13.2,13.2,4030
BMC,20180601,13.5,13.8,13.3,13.8,5750
BMC,20180531,14.7,14.7,13.4,13.8,1110
BMC,20180530,13.2,13.8,13.2,13.8,4530
BMC,20180529,13.4,13.6,13.4,13.6,900
BMC,20180528,13.5,13.6,13.0,13.6,9510
BMC,20180525,13.6,13.8,13.3,13.8,2510
BMC,20180524,13.3,13.8,13.05,13.8,3730
BMC,20180523,13.95,14.0,13.95,14.0,660
BMC,20180522,14.4,14.5,14.4,14.5,30
BMC,20180521,13.9,14.0,13.25,14.0,4490
BMC,20180518,14.0,14.4,13.6,14.2,5460
BMC,20180517,14.5,14.5,14.5,14.5,100
BMC,20180516,13.9,13.9,13.8,13.8,1000
BMC,20180515,13.71,13.9,13.61,13.9,8520
BMC,20180514,12.85,13.7,12.85,13.71,5670
BMC,20180511,13.8,13.8,13.51,13.8,2810
BMC,20180510,13.71,13.71,13.09,13.13,60
BMC,20180509,12.65,13.51,12.65,13.42,640
BMC,20180508,13.51,13.51,12.75,13.51,2170
BMC,20180507,13.33,13.61,12.66,13.51,1370
BMC,20180504,13.99,13.99,13.47,13.47,4180
BMC,20180503,14.09,14.09,13.61,13.66,2060
BMC,20180502,14.13,14.13,13.23,13.61,2890
BMC,20180427,13.52,13.52,12.47,13.23,3500
BMC,20180426,13.23,13.71,12.9,13.23,4090
BMC,20180424,12.37,12.89,12.37,12.9,2520
BMC,20180423,12.99,12.99,12.37,12.37,1780
BMC,20180420,12.99,13.04,12.99,12.99,1850
BMC,20180419,12.99,12.99,12.95,12.99,720
BMC,20180418,12.52,13.04,12.52,12.85,5350
BMC,20180417,12.65,12.89,12.65,12.85,1500
BMC,20180416,12.94,13.04,12.94,12.94,1890
BMC,20180413,12.75,13.08,12.75,12.94,28110
BMC,20180412,12.85,12.85,12.56,12.75,2290
BMC,20180411,13.33,13.33,12.56,12.56,3560
BMC,20180410,12.94,13.28,12.94,13.04,12310
BMC,20180409,12.85,13.04,12.85,13.04,12590
BMC,20180406,12.56,12.75,12.46,12.75,4010
BMC,20180405,12.57,12.57,12.38,12.56,12010
BMC,20180404,12.75,12.75,12.18,12.52,37560
BMC,20180403,12.7,12.94,12.37,12.94,9760
BMC,20180402,13.13,13.28,12.85,12.94,15260
BMC,20180330,13.23,13.32,13.04,13.23,16240
BMC,20180329,13.42,13.42,13.32,13.37,5020
BMC,20180328,13.32,13.41,13.32,13.42,1920
BMC,20180327,13.81,13.81,13.19,13.51,8930
BMC,20180326,13.42,13.8,13.23,13.71,9060
BMC,20180323,13.32,13.61,13.23,13.47,9560
BMC,20180322,13.56,13.56,13.56,13.56,2800
