<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BMP,20180713,52.0,53.9,52.0,53.3,90040
BMP,20180712,52.0,53.5,51.5,52.0,75830
BMP,20180711,55.0,55.0,52.1,52.1,100840
BMP,20180710,56.5,57.0,54.7,55.1,221410
BMP,20180709,58.0,58.2,56.2,56.2,104890
BMP,20180706,59.5,59.5,58.0,58.0,58020
BMP,20180705,57.1,60.0,57.1,59.5,226250
BMP,20180704,56.0,58.3,55.8,58.0,112510
BMP,20180703,57.5,58.0,55.6,56.5,182190
BMP,20180702,58.0,58.5,56.2,57.5,109490
BMP,20180629,59.5,60.0,58.0,58.6,113150
BMP,20180628,59.0,60.1,59.0,59.5,669830
BMP,20180627,60.3,60.4,59.5,59.6,93350
BMP,20180626,59.0,60.0,58.1,59.7,216990
BMP,20180625,59.0,60.5,59.0,59.1,51720
BMP,20180622,58.2,60.0,58.0,59.0,102710
BMP,20180621,59.4,61.0,57.9,58.2,157720
BMP,20180620,59.0,60.8,58.6,60.0,62950
BMP,20180619,62.0,62.0,58.0,59.7,288770
BMP,20180618,62.5,63.0,61.8,61.8,207200
BMP,20180615,61.8,62.3,61.3,62.3,213280
BMP,20180614,61.0,62.3,60.5,61.0,152460
BMP,20180613,59.4,61.0,59.3,61.0,127700
BMP,20180612,61.0,61.0,59.5,59.6,281390
BMP,20180611,62.0,62.9,61.5,61.6,103480
BMP,20180608,63.0,63.0,61.6,62.5,218360
BMP,20180607,64.4,65.4,63.3,63.3,250700
BMP,20180606,63.0,64.5,62.1,64.0,233910
BMP,20180605,61.2,62.6,60.3,62.6,263090
BMP,20180604,62.1,62.1,60.6,61.2,244860
BMP,20180601,63.5,63.9,62.0,62.1,213620
BMP,20180531,59.8,63.5,59.5,63.5,589170
BMP,20180530,59.8,60.0,58.8,60.0,221580
BMP,20180529,58.0,60.3,56.3,59.6,325470
BMP,20180528,59.5,60.0,56.1,58.5,422070
BMP,20180525,59.8,60.4,58.8,59.7,327180
BMP,20180524,60.3,60.8,59.5,59.7,173940
BMP,20180523,59.5,60.4,58.5,60.3,381500
BMP,20180522,57.6,61.0,57.0,58.9,535020
BMP,20180521,58.0,58.9,57.1,57.6,133350
BMP,20180518,59.0,59.0,57.0,58.0,294150
BMP,20180517,59.1,60.0,58.5,59.1,229090
BMP,20180516,61.9,62.9,59.8,60.0,512510
BMP,20180515,59.5,60.0,59.0,60.0,401580
BMP,20180514,53.5,56.1,52.7,56.1,396360
BMP,20180511,51.5,52.9,51.2,52.5,249350
BMP,20180510,50.96,51.06,50.01,50.1,263720
BMP,20180509,50.96,51.63,50.48,50.96,190110
BMP,20180508,50.38,51.33,50.0,50.96,259560
BMP,20180507,49.05,50.67,49.05,50.0,293110
