<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BST,20180713,,,,14.5,0
BST,20180712,14.5,14.5,14.5,14.5,200
BST,20180711,13.2,13.2,13.2,13.2,400
BST,20180710,,,,12.0,0
BST,20180709,,,,12.0,0
BST,20180706,,,,12.0,0
BST,20180705,,,,12.0,0
BST,20180704,,,,12.0,0
BST,20180703,,,,12.0,0
BST,20180702,,,,12.0,0
BST,20180629,,,,12.0,0
BST,20180628,,,,12.0,0
BST,20180627,,,,12.0,0
BST,20180626,,,,12.0,0
BST,20180625,,,,12.0,0
BST,20180622,,,,12.0,0
BST,20180621,,,,12.0,0
BST,20180620,,,,12.0,0
BST,20180619,,,,12.0,0
BST,20180618,,,,12.0,0
BST,20180615,,,,12.0,0
BST,20180614,,,,12.0,0
BST,20180613,,,,12.0,0
BST,20180612,,,,12.0,0
BST,20180611,12.0,12.0,12.0,12.0,100
BST,20180608,,,,12.3,0
BST,20180607,,,,12.3,0
BST,20180606,,,,12.3,0
BST,20180605,12.3,12.3,12.3,12.3,100
BST,20180604,,,,11.2,0
BST,20180601,,,,11.2,0
BST,20180531,,,,11.2,0
BST,20180530,,,,11.2,0
BST,20180529,,,,11.2,0
BST,20180528,11.2,11.2,11.2,11.2,2300
BST,20180525,,,,10.2,0
BST,20180524,,,,10.2,0
BST,20180523,,,,10.2,0
BST,20180522,,,,10.2,0
BST,20180521,,,,10.2,0
BST,20180518,,,,10.2,0
BST,20180517,,,,10.2,0
BST,20180516,,,,10.2,0
BST,20180515,,,,10.2,0
BST,20180514,,,,10.2,0
BST,20180511,,,,10.2,0
BST,20180510,,,,10.2,0
BST,20180509,,,,10.2,0
BST,20180508,,,,10.2,0
BST,20180507,,,,10.2,0
BST,20180504,,,,10.2,0
BST,20180503,,,,10.2,0
BST,20180502,,,,10.2,0
BST,20180427,10.2,10.2,10.2,10.2,200
BST,20180426,,,,11.0,0
BST,20180424,11.0,11.0,11.0,11.0,200
BST,20180423,,,,12.0,0
BST,20180420,12.0,12.0,12.0,12.0,1000
BST,20180419,11.0,11.0,11.0,11.0,200
BST,20180418,11.5,11.5,11.5,11.5,200
BST,20180417,,,,12.5,0
BST,20180416,,,,12.5,0
BST,20180413,,,,12.5,0
BST,20180412,12.5,12.5,12.5,12.5,200
BST,20180411,,,,11.5,0
BST,20180410,11.5,11.5,11.5,11.5,100
BST,20180409,,,,12.5,0
BST,20180406,,,,12.5,0
BST,20180405,11.0,12.5,11.0,12.5,200
BST,20180404,,,,12.0,0
BST,20180403,,,,12.0,0
BST,20180402,,,,12.0,0
BST,20180330,,,,12.0,0
BST,20180329,,,,12.0,0
BST,20180328,,,,12.0,0
BST,20180327,12.0,12.0,12.0,12.0,2000
BST,20180326,,,,12.0,0
BST,20180323,12.0,12.0,12.0,12.0,200
BST,20180322,11.0,11.0,11.0,11.0,100
BST,20180321,,,,10.1,0
BST,20180320,,,,10.1,0
BST,20180319,,,,10.1,0
BST,20180316,10.1,10.1,10.1,10.1,1900
BST,20180315,,,,10.1,0
BST,20180314,,,,10.1,0
BST,20180313,,,,10.1,0
BST,20180312,,,,10.1,0
BST,20180309,,,,10.1,0
BST,20180308,,,,10.1,0
BST,20180307,,,,10.1,0
BST,20180306,,,,10.1,0
BST,20180305,,,,10.1,0
BST,20180302,,,,10.1,0
BST,20180301,,,,10.1,0
BST,20180228,,,,10.1,0
BST,20180227,,,,10.1,0
BST,20180226,,,,10.1,0
BST,20180223,10.1,10.1,10.1,10.1,100
BST,20180222,11.1,11.1,11.1,11.1,100
BST,20180221,,,,10.1,0
BST,20180213,,,,10.1,0
BST,20180212,10.1,10.1,10.1,10.1,100
BST,20180209,11.2,11.2,11.2,11.2,100
BST,20180208,,,,10.2,0
BST,20180207,,,,10.2,0
BST,20180206,,,,10.2,0
BST,20180205,,,,10.2,0
BST,20180202,10.2,10.2,10.2,10.2,100
BST,20180201,,,,9.3,0
BST,20180131,,,,9.3,0
BST,20180130,,,,9.3,0
BST,20180129,,,,9.3,0
BST,20180126,10.15,10.15,9.3,9.3,200
BST,20180125,9.3,9.3,9.3,9.3,100
BST,20180122,9.11,9.11,9.11,9.11,100
BST,20180119,,,,10.06,0
BST,20180118,,,,10.06,0
BST,20180117,,,,10.06,0
BST,20180116,,,,10.06,0
BST,20180115,,,,10.06,0
BST,20180112,,,,10.06,0
BST,20180111,,,,10.06,0
BST,20180110,,,,10.06,0
BST,20180109,,,,10.06,0
BST,20180108,,,,10.06,0
BST,20180105,,,,10.06,0
BST,20180104,,,,10.06,0
BST,20180103,10.05,10.05,10.05,10.06,1200
BST,20180102,9.97,9.97,9.97,9.96,500
BST,20171229,11.01,11.01,11.01,11.01,2500
BST,20171228,,,,11.01,0
BST,20171227,,,,11.01,0
BST,20171226,,,,11.01,0
BST,20171225,,,,11.01,0
BST,20171222,,,,11.01,0
BST,20171221,,,,11.01,0
BST,20171220,11.01,11.01,11.01,11.01,1000
BST,20171219,,,,11.2,0
BST,20171218,,,,11.2,0
BST,20171215,,,,11.2,0
BST,20171214,,,,11.2,0
BST,20171213,,,,11.2,0
BST,20171212,,,,11.2,0
BST,20171211,,,,11.2,0
BST,20171208,,,,11.2,0
BST,20171207,,,,11.2,0
BST,20171206,,,,11.2,0
BST,20171205,,,,11.2,0
BST,20171204,11.2,11.2,11.2,11.2,1910
BST,20171201,,,,11.86,0
BST,20171130,,,,11.86,0
BST,20171129,,,,11.86,0
BST,20171128,11.39,11.86,11.39,11.86,800
BST,20171127,12.52,12.52,12.43,12.43,600
BST,20171124,12.43,12.43,12.43,12.43,200
BST,20171123,,,,12.43,0
BST,20171122,12.43,12.43,12.43,12.43,200
BST,20171121,,,,12.43,0
BST,20171120,12.43,12.43,12.43,12.43,200
BST,20171117,12.34,12.34,12.34,12.34,100
BST,20171116,,,,12.34,0
BST,20171115,12.34,12.34,12.34,12.34,100
BST,20171114,,,,12.15,0
BST,20171113,,,,12.15,0
BST,20171110,,,,12.15,0
BST,20171109,,,,12.15,0
BST,20171108,,,,12.15,0
BST,20171107,,,,12.15,0
BST,20171106,,,,12.15,0
BST,20171103,,,,12.15,0
BST,20171102,,,,12.15,0
BST,20171101,,,,12.15,0
BST,20171031,,,,12.15,0
BST,20171030,,,,12.15,0
BST,20171027,,,,12.15,0
BST,20171026,,,,12.15,0
BST,20171025,,,,12.15,0
BST,20171024,,,,12.15,0
BST,20171023,,,,12.15,0
BST,20171020,12.14,12.14,12.14,12.15,300
BST,20171019,,,,11.87,0
BST,20171018,,,,11.87,0
BST,20171017,,,,11.87,0
BST,20171016,,,,11.87,0
BST,20171013,11.88,11.88,11.88,11.87,800
BST,20171012,11.32,11.5,11.32,11.51,200
BST,20171011,10.5,10.5,10.5,10.5,100
BST,20171010,10.95,10.95,10.95,10.96,100
