<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BVS,20180713,16.8,16.9,16.8,16.8,4000
BVS,20180712,17.28,17.28,16.8,16.8,1122
BVS,20180711,15.55,16.12,14.97,16.13,7135
BVS,20180710,15.84,16.22,15.84,16.22,700
BVS,20180709,16.22,16.22,16.22,16.22,20
BVS,20180706,15.55,16.22,15.45,16.22,6300
BVS,20180705,15.16,16.03,14.2,16.03,11301
BVS,20180704,15.16,15.26,15.16,15.26,7300
BVS,20180703,15.46,15.46,15.26,15.26,1242
BVS,20180702,16.03,16.03,15.45,15.84,11000
BVS,20180629,16.03,16.03,16.03,16.03,1010
BVS,20180628,15.84,16.03,15.74,16.03,17100
BVS,20180627,16.03,16.03,16.03,16.03,2200
BVS,20180626,16.12,16.12,16.12,16.13,1000
BVS,20180625,15.45,16.22,15.45,16.22,7100
BVS,20180622,15.84,16.13,15.17,16.03,12800
BVS,20180621,15.65,16.13,15.17,16.13,9000
BVS,20180620,15.17,16.32,15.17,16.32,15880
BVS,20180619,15.45,15.45,15.07,15.36,12799
BVS,20180618,15.84,16.22,15.84,16.22,2200
BVS,20180615,15.65,16.22,15.55,16.22,28350
BVS,20180614,16.71,16.71,15.46,16.32,12200
BVS,20180613,15.46,16.13,15.36,16.13,2299
BVS,20180612,16.42,16.42,16.23,16.32,2800
BVS,20180611,16.7,16.7,16.41,16.42,11750
BVS,20180608,16.8,17.19,16.42,16.7,34900
BVS,20180607,16.9,17.09,16.8,17.09,2700
BVS,20180606,16.8,17.09,16.8,17.09,32716
BVS,20180605,16.99,17.28,16.9,17.28,11458
BVS,20180604,18.24,18.24,16.8,17.76,18410
BVS,20180601,17.28,17.47,16.9,17.28,33300
BVS,20180531,17.28,17.76,17.28,17.76,37100
BVS,20180530,17.67,17.67,17.67,17.66,128
BVS,20180529,16.99,16.99,16.8,16.9,20120
BVS,20180528,18.63,18.63,16.51,17.09,20100
BVS,20180525,17.96,19.2,17.09,17.09,15700
BVS,20180524,17.66,17.95,16.61,17.86,80800
BVS,20180523,17.28,17.95,17.28,17.95,6100
BVS,20180522,17.47,18.04,17.47,17.95,4410
BVS,20180521,18.14,18.14,17.76,18.14,9800
BVS,20180518,17.95,18.24,17.95,18.24,21900
BVS,20180517,18.24,18.24,18.05,18.24,8000
BVS,20180516,18.43,18.53,18.05,18.43,21100
BVS,20180515,18.53,19.68,17.95,18.53,10410
BVS,20180514,17.76,18.62,17.76,18.53,21620
BVS,20180511,18.24,18.72,18.24,18.62,10500
BVS,20180510,17.76,18.62,17.66,18.53,11306
BVS,20180509,18.05,18.72,17.85,18.62,15110
BVS,20180508,18.04,18.43,18.04,18.43,8700
BVS,20180507,19.68,19.68,18.14,18.14,1100
BVS,20180504,18.72,18.72,17.57,18.14,7220
BVS,20180503,17.57,18.24,17.57,18.24,3200
BVS,20180502,18.24,18.24,18.24,18.24,3100
BVS,20180427,18.34,18.34,17.86,18.34,6200
BVS,20180426,18.33,18.33,17.28,18.34,9000
BVS,20180424,18.43,18.72,18.24,18.62,31920
BVS,20180423,18.43,18.72,18.43,18.72,12680
BVS,20180420,19.01,19.01,19.01,19.01,5000
BVS,20180419,19.01,19.01,18.82,18.91,5620
BVS,20180418,19.01,19.11,18.53,19.01,47376
BVS,20180417,18.33,19.1,18.33,19.01,18600
BVS,20180416,19.68,19.68,18.33,19.1,29100
BVS,20180413,18.72,19.2,18.62,19.1,47220
BVS,20180412,18.92,19.2,18.24,19.2,94670
BVS,20180411,19.3,19.3,18.91,19.3,42900
BVS,20180410,19.68,19.68,19.1,19.49,70420
BVS,20180409,19.2,19.68,18.72,19.68,50029
BVS,20180406,19.11,19.49,19.01,19.49,16460
BVS,20180405,19.97,19.97,18.72,19.49,28550
BVS,20180404,19.68,20.64,19.01,19.01,23653
BVS,20180403,18.91,20.16,18.91,19.68,84915
BVS,20180402,19.01,19.11,18.24,19.1,35100
BVS,20180330,18.24,19.0,18.24,19.01,20240
BVS,20180329,18.34,19.1,18.34,19.1,26038
BVS,20180328,19.01,19.2,19.01,19.2,6130
BVS,20180327,19.0,19.39,19.0,19.39,27660
BVS,20180326,20.64,20.64,18.81,19.1,9840
BVS,20180323,18.14,19.1,17.86,18.91,36980
BVS,20180322,17.96,18.34,17.86,18.24,32174
BVS,20180321,18.24,18.43,18.05,18.34,24310
BVS,20180320,17.86,18.44,17.86,18.43,28018
BVS,20180319,17.95,18.34,17.86,18.34,16800
BVS,20180316,18.04,18.24,17.76,18.24,43717
BVS,20180315,18.24,18.24,18.14,18.14,1986
BVS,20180314,17.95,18.24,17.76,18.24,27200
BVS,20180313,17.57,17.95,17.57,17.95,22540
BVS,20180312,18.24,19.01,17.67,17.95,71814
BVS,20180309,17.76,18.14,17.76,17.86,97325
BVS,20180308,18.24,18.24,17.76,18.14,33300
BVS,20180307,17.76,18.24,17.57,18.24,55204
BVS,20180306,17.57,18.05,17.37,17.95,49831
BVS,20180305,17.95,18.05,17.47,17.95,49550
BVS,20180302,17.28,18.05,17.28,17.95,41100
BVS,20180301,18.14,18.14,17.76,18.05,4700
BVS,20180228,17.66,18.14,17.08,18.14,81930
BVS,20180227,17.47,17.66,17.37,17.66,63600
BVS,20180226,17.76,17.95,17.56,17.66,35650
BVS,20180223,17.76,18.43,17.76,18.14,56810
BVS,20180222,17.76,18.14,17.47,18.14,46950
BVS,20180221,18.24,18.43,17.18,18.24,137740
BVS,20180213,19.11,19.11,18.15,18.43,26035
BVS,20180212,17.38,18.53,17.38,18.53,29400
BVS,20180209,17.08,18.04,16.41,18.05,56810
BVS,20180208,18.05,18.24,17.76,18.14,12350
BVS,20180207,18.72,19.1,17.37,18.43,93016
BVS,20180206,17.48,18.72,17.0,18.43,123510
BVS,20180205,19.68,19.68,17.86,18.82,125130
BVS,20180202,19.58,19.96,19.29,19.78,84350
