<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BWE,20180713,16.0,16.7,16.0,16.45,140270
BWE,20180712,16.05,16.1,15.7,16.05,112600
BWE,20180711,16.15,16.15,15.5,16.0,52440
BWE,20180710,16.15,16.2,16.0,16.15,147740
BWE,20180709,16.0,16.25,16.0,16.15,89420
BWE,20180706,16.2,16.3,15.8,15.8,367160
BWE,20180705,16.4,16.4,16.0,16.35,100860
BWE,20180704,16.35,16.5,16.25,16.35,151620
BWE,20180703,16.4,16.5,16.2,16.3,174340
BWE,20180702,16.35,16.5,16.1,16.35,118070
BWE,20180629,16.0,16.5,16.0,16.5,124880
BWE,20180628,16.45,16.75,16.2,16.5,172680
BWE,20180627,16.3,16.45,16.0,16.2,83660
BWE,20180626,17.1,17.1,15.95,16.3,683300
BWE,20180625,17.3,18.0,16.45,17.1,286950
BWE,20180622,15.8,17.1,15.8,17.1,270060
BWE,20180621,15.9,16.05,15.8,16.0,245070
BWE,20180620,16.5,16.5,15.85,15.9,501770
BWE,20180619,16.65,17.0,16.2,16.5,338520
BWE,20180618,17.0,17.1,16.8,17.0,411820
BWE,20180615,17.6,17.6,17.0,17.0,393620
BWE,20180614,17.95,17.95,17.4,17.8,347350
BWE,20180613,17.6,18.0,17.55,17.95,87390
BWE,20180612,18.5,18.5,17.5,17.8,203750
BWE,20180611,18.3,18.5,17.45,18.5,571510
BWE,20180608,18.8,18.8,18.4,18.45,54130
BWE,20180607,18.5,19.0,18.5,18.8,101180
BWE,20180606,19.1,19.1,18.4,18.5,221700
BWE,20180605,19.4,19.4,18.6,19.1,408540
BWE,20180604,19.1,19.75,19.1,19.75,90070
BWE,20180601,19.45,19.7,18.85,19.7,217060
BWE,20180531,19.05,19.3,18.9,19.3,131510
BWE,20180530,19.9,19.9,19.0,19.65,167050
BWE,20180529,19.0,20.0,18.9,20.0,134940
BWE,20180528,19.5,19.9,18.8,19.9,164950
BWE,20180525,19.2,19.8,18.7,19.8,194020
BWE,20180524,19.5,19.5,18.8,19.2,251110
BWE,20180523,20.9,20.9,19.45,19.5,395680
BWE,20180522,21.4,21.4,20.5,20.9,98990
BWE,20180521,22.1,22.1,21.0,21.0,111150
BWE,20180518,21.95,21.95,21.4,21.85,50000
BWE,20180517,22.0,22.3,21.6,21.95,22550
BWE,20180516,21.7,22.3,21.55,22.0,65300
BWE,20180515,21.1,21.75,21.05,21.6,82830
BWE,20180514,21.15,21.5,21.0,21.3,146510
BWE,20180511,21.6,21.85,21.25,21.7,324360
BWE,20180510,21.8,22.0,21.6,22.0,186090
BWE,20180509,22.4,22.4,21.7,22.0,241940
BWE,20180508,22.0,22.6,21.7,22.4,345030
BWE,20180507,22.0,22.7,22.0,22.7,43040
BWE,20180504,22.0,22.1,21.7,22.1,109460
BWE,20180503,22.2,22.2,21.8,22.2,100700
BWE,20180502,22.6,22.6,22.3,22.3,125060
BWE,20180427,23.0,23.0,22.5,22.9,51420
BWE,20180426,23.0,23.0,21.9,23.0,100790
BWE,20180424,23.2,23.2,22.8,23.2,34550
BWE,20180423,23.5,23.5,22.9,23.4,257210
BWE,20180420,23.3,23.8,23.1,23.5,254040
BWE,20180419,23.05,23.6,23.0,23.6,148630
BWE,20180418,23.8,23.8,23.0,23.75,416460
BWE,20180417,23.9,24.0,23.1,23.9,409470
BWE,20180416,23.65,23.9,23.0,23.9,374960
BWE,20180413,24.6,24.9,22.9,24.0,631590
BWE,20180412,25.0,25.0,24.5,24.6,136240
BWE,20180411,24.9,25.3,24.5,25.1,308430
BWE,20180410,25.4,25.4,24.8,25.3,295190
BWE,20180409,25.3,25.65,25.1,25.4,448430
BWE,20180406,25.4,25.4,24.8,25.3,160440
BWE,20180405,25.1,25.45,24.9,25.4,303800
BWE,20180404,24.9,25.4,24.81,25.35,266880
BWE,20180403,25.5,25.5,24.8,25.5,711610
BWE,20180402,25.1,25.5,24.65,25.4,328280
BWE,20180330,25.01,25.8,24.91,24.9,134130
BWE,20180329,25.79,26.19,24.9,25.8,281850
BWE,20180328,25.9,26.44,25.9,26.29,46310
BWE,20180327,26.55,26.59,25.8,26.59,127690
BWE,20180326,26.79,26.79,25.3,25.9,117250
BWE,20180323,26.89,26.89,26.2,26.84,402890
BWE,20180322,26.69,26.89,26.39,26.89,458380
BWE,20180321,26.69,26.79,26.3,26.34,85480
BWE,20180320,27.09,27.29,26.5,27.19,420380
BWE,20180319,27.48,27.58,26.29,27.19,488820
BWE,20180316,26.69,27.38,26.69,26.79,274870
BWE,20180315,27.68,27.73,26.69,26.69,609290
BWE,20180314,27.38,27.78,27.28,27.78,344170
BWE,20180313,27.78,27.88,27.38,27.68,361030
BWE,20180312,27.78,28.08,27.38,27.98,595470
BWE,20180309,28.28,28.28,27.68,27.78,368170
BWE,20180308,27.58,28.27,26.84,28.28,1464480
BWE,20180307,26.79,27.58,26.0,27.58,482280
BWE,20180306,25.99,26.69,25.79,26.69,531610
BWE,20180305,26.99,26.99,26.3,26.29,113390
BWE,20180302,27.09,27.19,26.89,26.94,48050
BWE,20180301,27.58,27.58,26.84,27.09,203620
BWE,20180228,27.78,27.88,27.58,27.58,179450
BWE,20180227,27.78,28.23,27.48,27.73,94080
BWE,20180226,27.28,27.78,26.78,27.68,559940
BWE,20180223,26.69,27.24,26.39,27.23,121750
BWE,20180222,26.79,26.79,26.3,26.79,120260
BWE,20180221,27.29,27.29,26.79,27.04,77150
BWE,20180213,27.73,27.73,26.88,27.09,222840
BWE,20180212,26.79,27.28,26.59,27.28,226530
BWE,20180209,26.59,26.59,24.75,26.59,338000
BWE,20180208,26.59,26.74,26.29,26.59,343250
BWE,20180207,26.29,26.78,25.89,26.79,95620
BWE,20180206,24.21,26.19,24.21,26.09,509040
BWE,20180205,27.22,27.22,26.04,26.04,358290
BWE,20180202,27.32,27.42,26.93,27.22,106760
BWE,20180201,27.52,27.72,26.83,27.47,234810
BWE,20180131,27.71,27.81,27.03,27.52,427500
BWE,20180130,27.52,28.01,27.42,27.91,206650
BWE,20180129,28.4,28.4,26.83,27.86,480970
BWE,20180126,26.34,27.52,25.26,27.52,1681240
BWE,20180125,25.9,25.9,25.26,25.75,324870
BWE,20180122,26.83,26.83,25.75,25.95,406590
BWE,20180119,26.68,26.83,26.39,26.83,362190
BWE,20180118,26.14,26.68,26.14,26.68,422930
BWE,20180117,25.84,26.83,25.65,26.14,890000
BWE,20180116,26.14,26.14,25.65,26.04,152260
BWE,20180115,26.53,26.53,25.75,26.14,122590
BWE,20180112,25.65,26.29,25.45,26.14,385660
BWE,20180111,26.04,26.14,25.35,26.04,332540
BWE,20180110,26.34,26.44,25.65,26.04,459990
BWE,20180109,24.47,26.24,24.47,26.24,893460
BWE,20180108,24.77,24.77,24.13,24.67,172230
BWE,20180105,25.06,25.16,24.47,24.77,140980
BWE,20180104,24.47,25.16,24.47,25.06,446070
BWE,20180103,23.0,24.32,22.31,24.32,306380
BWE,20180102,23.39,23.39,22.21,22.8,433820
BWE,20171229,21.82,22.31,21.82,22.31,117160
BWE,20171228,22.46,22.46,22.06,22.31,175190
BWE,20171227,22.11,22.31,21.82,22.21,113030
BWE,20171226,22.11,22.36,22.02,22.31,153420
BWE,20171225,22.41,22.75,22.21,22.36,182590
BWE,20171222,22.12,22.41,22.12,22.41,156870
BWE,20171221,22.36,22.51,21.97,22.51,97660
BWE,20171220,22.36,22.45,22.01,22.36,114030
BWE,20171219,22.5,22.5,22.11,22.11,124010
BWE,20171218,22.6,22.6,22.11,22.6,188120
BWE,20171215,20.64,22.07,20.64,22.06,494780
BWE,20171214,21.62,21.72,20.64,20.64,363340
BWE,20171213,21.23,21.62,21.13,21.62,266020
BWE,20171212,22.41,22.41,21.28,21.62,140320
BWE,20171211,22.6,22.6,22.4,22.41,191290
BWE,20171208,23.0,23.0,22.46,22.6,464320
BWE,20171207,23.1,23.25,22.66,23.0,93600
BWE,20171206,23.39,23.39,22.85,23.0,144070
BWE,20171205,23.39,23.39,23.0,23.29,121990
BWE,20171204,23.39,23.73,22.8,23.39,340630
BWE,20171201,22.65,23.44,22.5,23.39,239280
BWE,20171130,22.95,22.95,22.26,22.65,159140
BWE,20171129,24.08,24.08,22.41,22.46,587020
BWE,20171128,24.18,24.47,23.49,24.08,324720
BWE,20171127,24.28,24.38,23.99,24.08,89850
BWE,20171124,24.57,24.57,24.18,24.28,133290
BWE,20171123,24.86,24.86,24.17,24.57,216190
BWE,20171122,24.08,24.57,24.08,24.37,208710
BWE,20171121,24.52,24.57,24.03,24.08,98690
BWE,20171120,24.37,24.76,24.22,24.23,158930
BWE,20171117,24.76,24.86,24.37,24.37,266190
BWE,20171116,24.03,24.91,24.03,24.76,254430
BWE,20171115,23.99,24.33,23.99,24.13,400170
BWE,20171114,23.84,24.62,23.45,23.89,562720
BWE,20171113,24.27,24.37,23.83,23.84,163100
BWE,20171110,24.67,24.67,24.33,24.37,270440
BWE,20171109,24.42,24.66,24.32,24.62,90240
BWE,20171108,24.71,24.71,24.32,24.37,248710
BWE,20171107,24.32,24.9,24.32,24.81,122000
BWE,20171106,24.32,24.51,24.32,24.32,62350
BWE,20171103,24.32,24.51,24.03,24.32,278550
BWE,20171102,24.91,24.91,23.16,24.32,308420
BWE,20171101,24.81,25.01,24.67,24.86,142450
BWE,20171031,24.72,24.91,24.52,24.62,143460
BWE,20171030,24.91,24.91,24.62,24.91,218990
BWE,20171027,25.3,25.4,24.91,24.91,305970
BWE,20171026,25.59,25.64,25.3,25.3,496990
BWE,20171025,24.81,25.98,24.81,25.4,909870
BWE,20171024,24.52,24.9,23.83,24.42,634590
