<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BXH,20180713,,,,10.3,0
BXH,20180712,,,,10.3,0
BXH,20180711,,,,10.3,0
BXH,20180710,,,,10.3,0
BXH,20180709,,,,10.3,0
BXH,20180706,,,,10.3,0
BXH,20180705,,,,10.3,0
BXH,20180704,,,,10.3,0
BXH,20180703,,,,10.3,0
BXH,20180702,,,,10.3,0
BXH,20180629,,,,10.3,0
BXH,20180628,,,,10.3,0
BXH,20180627,,,,10.3,0
BXH,20180626,,,,10.3,0
BXH,20180625,,,,10.3,0
BXH,20180622,,,,10.3,0
BXH,20180621,,,,10.3,0
BXH,20180620,10.3,10.3,10.3,10.3,5015
BXH,20180619,,,,11.4,0
BXH,20180618,,,,11.4,0
BXH,20180615,,,,11.4,0
BXH,20180614,,,,11.4,0
BXH,20180613,,,,11.4,0
BXH,20180612,,,,11.4,0
BXH,20180611,,,,11.4,0
BXH,20180608,,,,11.4,0
BXH,20180607,,,,11.4,0
BXH,20180606,,,,11.4,0
BXH,20180605,,,,11.4,0
BXH,20180604,,,,11.4,0
BXH,20180601,,,,11.4,0
BXH,20180531,,,,11.4,0
BXH,20180530,11.4,11.4,11.4,11.4,100
BXH,20180529,15.4,15.4,12.6,12.6,90100
BXH,20180528,,,,14.0,0
BXH,20180525,,,,14.0,0
BXH,20180524,15.0,15.0,14.0,14.0,1100
BXH,20180523,,,,15.5,0
BXH,20180522,15.5,15.5,15.5,15.5,500
BXH,20180521,14.1,14.1,14.1,14.1,500
BXH,20180518,,,,12.9,0
BXH,20180517,12.9,12.9,12.9,12.9,5000
BXH,20180516,13.7,13.7,11.8,11.8,10100
BXH,20180515,,,,12.5,0
BXH,20180514,,,,12.5,0
BXH,20180511,,,,12.5,0
BXH,20180510,,,,12.5,0
BXH,20180509,,,,12.5,0
BXH,20180508,,,,12.5,0
BXH,20180507,,,,12.5,0
BXH,20180504,,,,12.5,0
BXH,20180503,,,,12.5,0
BXH,20180502,,,,12.5,0
BXH,20180427,12.5,12.5,12.5,12.5,500
BXH,20180426,16.2,16.2,13.6,13.6,1500
BXH,20180424,14.7,17.8,14.7,14.8,1100
BXH,20180423,,,,16.3,0
BXH,20180420,,,,16.3,0
BXH,20180419,,,,16.3,0
BXH,20180418,,,,16.3,0
BXH,20180417,16.3,16.3,16.3,16.3,300
BXH,20180416,14.9,14.9,14.9,14.9,24800
BXH,20180413,14.9,14.9,14.9,14.9,8600
BXH,20180412,14.9,14.9,14.9,14.9,5900
BXH,20180411,14.9,14.9,14.9,14.9,200
BXH,20180410,,,,14.7,0
BXH,20180409,,,,14.7,0
BXH,20180406,14.7,14.7,14.7,14.7,100
BXH,20180405,14.5,14.5,14.5,14.5,1000
BXH,20180404,,,,13.2,0
BXH,20180403,,,,13.2,0
BXH,20180402,,,,13.2,0
BXH,20180330,13.2,13.2,13.2,13.2,1600
BXH,20180329,13.2,13.2,13.2,13.2,200
BXH,20180328,,,,13.6,0
BXH,20180327,13.6,13.6,13.6,13.6,200
BXH,20180326,14.7,14.7,14.7,14.7,600
BXH,20180323,,,,16.3,0
BXH,20180322,16.3,16.3,16.3,16.3,21900
BXH,20180321,,,,14.9,0
