<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
C69,20180713,5.2,5.2,4.8,5.0,800
C69,20180712,,,,5.0,0
C69,20180711,5.0,5.0,5.0,5.0,100
C69,20180710,5.3,5.3,5.3,5.3,100
C69,20180709,5.0,5.0,5.0,5.0,147700
C69,20180706,,,,5.4,0
C69,20180705,,,,5.4,0
C69,20180704,,,,5.4,0
C69,20180703,,,,5.4,0
C69,20180702,5.5,5.5,5.0,5.4,11600
C69,20180629,5.5,5.5,5.5,5.5,100
C69,20180628,5.3,5.3,5.3,5.3,100
C69,20180627,4.9,4.9,4.9,4.9,100
C69,20180626,5.3,5.4,5.3,5.4,500
C69,20180625,5.4,5.4,5.4,5.4,100
C69,20180622,5.0,5.0,5.0,5.0,2200
C69,20180621,,,,5.2,0
C69,20180620,,,,5.2,0
C69,20180619,5.2,5.2,5.0,5.2,16010
C69,20180618,5.1,5.2,4.8,5.2,5600
C69,20180615,,,,5.2,0
C69,20180614,5.0,5.2,4.7,5.2,50700
C69,20180613,4.9,5.2,4.9,5.2,819600
C69,20180612,4.6,5.0,4.6,5.0,600
C69,20180611,5.0,5.0,4.6,5.0,1400
C69,20180608,,,,5.1,0
C69,20180607,5.6,5.6,5.0,5.1,1200
C69,20180606,,,,5.5,0
C69,20180605,5.5,5.5,5.5,5.5,100
C69,20180604,5.0,5.1,5.0,5.0,68700
C69,20180601,4.9,5.0,4.5,5.0,94200
C69,20180531,4.7,5.0,4.7,4.7,1000
C69,20180530,5.0,5.0,4.5,4.7,2700
C69,20180529,5.0,5.0,4.9,4.9,500
C69,20180528,4.8,4.8,4.2,4.8,600
C69,20180525,4.5,4.5,4.5,4.5,200
C69,20180524,4.7,4.9,4.1,4.1,600
C69,20180523,5.0,5.0,4.5,4.5,400
C69,20180522,5.1,5.1,4.7,4.7,1100
C69,20180521,5.2,5.2,5.2,5.2,110
C69,20180518,5.0,5.0,5.0,5.0,2800
C69,20180517,4.79,4.79,4.61,4.7,8000
C69,20180516,4.88,4.88,4.7,4.7,1010
C69,20180515,4.96,4.96,4.96,4.97,1000
C69,20180514,5.32,5.32,5.14,5.14,200
C69,20180511,4.97,5.06,4.61,5.05,29400
C69,20180510,4.88,4.88,4.88,4.88,13000
C69,20180509,4.79,5.05,4.79,4.88,10700
C69,20180508,4.87,4.96,4.52,4.7,11500
C69,20180507,5.06,5.06,4.52,4.52,25000
C69,20180504,4.79,4.79,4.79,4.79,300
C69,20180503,4.7,4.79,4.53,4.79,20300
C69,20180502,4.88,4.88,4.88,4.88,300
C69,20180427,4.7,4.88,4.7,4.88,2200
C69,20180426,4.61,4.7,4.61,4.7,200
C69,20180424,4.88,4.88,4.79,4.79,2100
C69,20180423,4.79,4.96,4.79,4.79,8300
C69,20180420,4.62,4.62,4.62,4.61,100
C69,20180419,4.97,4.97,4.97,4.97,500
C69,20180418,5.23,5.23,4.79,4.97,12900
C69,20180417,4.88,4.88,4.79,4.79,800
C69,20180416,4.87,4.87,4.7,4.7,300
C69,20180413,5.05,5.05,4.79,5.05,1300
C69,20180412,5.15,5.23,4.44,4.7,23400
C69,20180411,4.7,5.05,4.7,4.88,52800
C69,20180410,4.96,4.96,4.61,4.61,8800
C69,20180409,4.62,4.62,4.62,4.61,700
C69,20180406,4.88,4.97,4.26,4.26,12600
C69,20180405,4.61,4.88,4.52,4.7,1500
C69,20180404,4.96,4.96,4.61,4.61,1700
C69,20180403,5.05,5.05,4.61,4.61,3500
C69,20180402,4.7,5.05,4.61,5.05,65600
C69,20180330,4.7,4.88,4.61,4.61,7005
C69,20180329,4.87,5.05,4.61,4.61,13100
C69,20180328,4.61,5.05,4.61,5.05,35800
C69,20180327,5.49,5.49,4.7,4.7,29100
C69,20180326,5.05,5.14,5.05,5.14,31900
C69,20180323,4.44,4.71,4.44,4.7,65600
C69,20180322,4.44,4.52,4.26,4.35,11705
C69,20180321,4.26,4.52,4.17,4.17,80700
C69,20180320,4.17,4.35,4.17,4.17,145410
C69,20180319,4.08,4.17,4.08,4.08,8400
C69,20180316,4.08,4.17,3.99,4.17,7900
C69,20180315,4.08,4.08,3.99,3.99,33600
C69,20180314,3.9,4.17,3.9,4.08,25660
C69,20180313,3.9,3.99,3.9,3.99,9600
C69,20180312,4.17,4.17,3.99,3.99,43400
C69,20180309,3.9,4.08,3.9,4.08,6700
C69,20180308,3.9,4.08,3.72,3.9,28890
C69,20180307,4.17,4.17,3.9,3.9,57800
C69,20180306,4.43,4.87,4.25,4.26,96700
C69,20180305,4.52,4.52,4.43,4.43,2300
C69,20180302,4.08,4.43,3.73,4.43,29900
C69,20180301,4.35,4.44,4.08,4.08,111200
C69,20180228,4.25,4.52,4.17,4.35,8000
C69,20180227,4.35,4.53,4.35,4.52,5600
C69,20180226,4.26,4.44,4.17,4.35,10100
C69,20180223,4.26,4.26,3.99,4.26,18700
C69,20180222,4.62,4.62,4.17,4.26,9300
C69,20180221,4.43,4.43,4.26,4.35,10800
C69,20180213,4.08,4.61,3.99,4.08,352910
C69,20180212,5.06,5.06,4.44,4.43,194400
C69,20180209,5.14,5.14,4.87,4.88,203700
C69,20180208,5.06,5.06,4.79,5.05,2500
C69,20180207,4.97,4.97,4.88,4.97,38500
C69,20180206,4.61,4.96,4.52,4.88,7400
