<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CAP,20180713,40.0,40.2,39.9,40.1,19700
CAP,20180712,39.0,40.4,39.0,40.1,28700
CAP,20180711,41.0,41.0,38.5,40.0,22100
CAP,20180710,37.5,41.1,37.5,40.0,40824
CAP,20180709,36.9,37.4,36.7,37.4,28800
CAP,20180706,36.4,36.9,36.4,36.9,8850
CAP,20180705,35.0,37.0,35.0,36.4,46800
CAP,20180704,33.6,35.0,33.5,34.9,15100
CAP,20180703,33.5,33.9,33.0,33.9,7250
CAP,20180702,33.9,34.0,33.9,34.0,1000
CAP,20180629,33.5,34.4,33.5,34.0,2400
CAP,20180628,34.2,34.2,34.2,34.2,516
CAP,20180627,32.4,34.5,32.3,34.5,6800
CAP,20180626,34.0,34.4,32.0,34.4,15400
CAP,20180625,33.0,34.5,32.5,34.4,7700
CAP,20180622,34.4,34.5,34.4,34.4,900
CAP,20180621,,,,34.5,0
CAP,20180620,34.5,34.5,34.5,34.5,300
CAP,20180619,34.0,34.0,34.0,34.0,100
CAP,20180618,32.6,33.8,32.6,33.8,400
CAP,20180615,33.89,33.89,32.5,33.8,12200
CAP,20180614,34.26,34.26,32.41,33.8,2100
CAP,20180613,33.98,33.98,33.98,33.98,1337
CAP,20180612,33.89,33.98,33.8,33.98,16800
CAP,20180611,34.17,34.17,33.61,34.17,4000
CAP,20180608,34.08,34.17,34.08,34.17,1170
CAP,20180607,34.17,34.17,34.08,34.08,1900
CAP,20180606,33.89,34.08,33.71,34.08,3600
CAP,20180605,33.71,33.8,33.43,33.8,3300
CAP,20180604,33.71,33.8,33.71,33.71,3500
CAP,20180601,33.33,34.07,32.5,33.8,1900
CAP,20180531,,,,34.26,0
CAP,20180530,,,,34.26,0
CAP,20180529,34.26,34.26,34.26,34.26,210
CAP,20180528,32.51,34.27,32.51,34.26,810
CAP,20180525,34.36,34.36,34.36,34.36,4
CAP,20180524,34.36,34.36,34.36,34.36,900
CAP,20180523,34.07,34.07,34.07,34.08,500
CAP,20180522,33.8,33.98,33.34,33.98,2100
CAP,20180521,34.17,34.17,33.52,34.17,2700
CAP,20180518,33.7,34.17,33.61,34.17,5800
CAP,20180517,,,,34.26,0
CAP,20180516,34.26,34.26,34.26,34.26,4600
CAP,20180515,34.27,34.36,34.27,34.26,3500
CAP,20180514,34.35,34.35,34.26,34.36,5500
CAP,20180511,34.35,34.35,34.26,34.26,7500
CAP,20180510,34.26,34.35,34.26,34.26,4800
CAP,20180509,34.07,34.26,33.98,34.26,9500
CAP,20180508,34.08,34.27,33.8,33.98,8700
CAP,20180507,33.34,33.9,33.34,33.71,11900
CAP,20180504,32.6,33.89,32.6,32.97,28800
CAP,20180503,31.48,32.41,31.48,32.41,4600
CAP,20180502,31.3,32.88,31.3,32.87,13400
CAP,20180427,31.39,31.39,30.74,31.21,3200
CAP,20180426,31.49,31.49,30.65,30.65,9300
CAP,20180424,32.87,32.87,31.48,31.58,2900
CAP,20180423,33.8,33.8,33.8,33.8,150
CAP,20180420,32.41,35.0,32.32,32.41,14400
CAP,20180419,31.11,32.13,31.11,32.13,18910
CAP,20180418,31.39,31.39,31.11,31.11,4050
CAP,20180417,31.3,31.3,31.02,31.11,1700
CAP,20180416,31.3,31.3,30.93,31.02,2400
CAP,20180413,31.21,31.21,30.93,31.02,4900
CAP,20180412,31.21,31.21,30.93,30.93,3600
CAP,20180411,30.56,30.93,30.1,30.93,8200
CAP,20180410,30.74,30.93,30.46,30.93,4600
CAP,20180409,30.93,31.49,30.37,31.39,20900
CAP,20180406,30.28,30.93,30.28,30.93,6224
CAP,20180405,30.93,30.93,30.28,30.84,7800
CAP,20180404,30.56,30.56,30.28,30.56,2700
CAP,20180403,30.75,30.75,30.38,30.65,3400
CAP,20180402,30.93,30.93,30.47,30.84,2000
CAP,20180330,30.93,30.93,30.56,30.84,6200
CAP,20180329,30.56,30.56,30.56,30.56,2800
CAP,20180328,30.84,30.84,30.84,30.84,400
CAP,20180327,31.02,31.48,30.74,30.84,14101
CAP,20180326,30.65,30.65,30.65,30.65,1100
CAP,20180323,30.18,30.55,30.18,30.56,3523
CAP,20180322,30.74,30.83,30.65,30.74,5501
CAP,20180321,30.93,30.93,30.74,30.74,500
CAP,20180320,28.71,31.03,28.52,30.74,12523
CAP,20180319,30.09,30.74,28.7,28.71,11100
CAP,20180316,30.93,30.93,30.09,30.74,1701
CAP,20180315,30.65,31.02,30.09,31.02,13300
CAP,20180314,31.02,31.02,31.02,31.02,500
CAP,20180313,30.92,31.02,30.92,31.02,3500
CAP,20180312,30.84,31.12,30.84,31.11,5100
CAP,20180309,29.63,30.75,29.63,30.56,3314
CAP,20180308,30.93,30.93,30.09,30.56,10800
CAP,20180307,30.93,31.02,30.74,31.02,7300
CAP,20180306,30.56,30.93,30.47,30.74,5600
CAP,20180305,30.84,30.93,30.37,30.93,9500
CAP,20180302,30.56,30.93,30.56,30.93,2000
CAP,20180301,30.56,30.93,30.47,30.93,5000
CAP,20180228,30.19,31.21,30.19,30.93,6700
CAP,20180227,31.02,31.3,30.56,31.3,3900
CAP,20180226,31.21,31.3,31.21,31.3,1250
CAP,20180223,29.64,31.49,27.6,31.3,23200
CAP,20180222,28.24,28.71,28.15,28.71,4200
CAP,20180221,27.6,28.25,27.6,28.15,4650
CAP,20180213,27.69,27.69,27.13,27.6,11540
CAP,20180212,,,,27.32,0
CAP,20180209,26.39,27.31,26.39,27.32,3700
CAP,20180208,27.6,27.6,27.5,27.5,500
CAP,20180207,26.85,27.78,26.85,27.69,3300
CAP,20180206,26.67,26.67,25.74,26.39,14000
CAP,20180205,26.85,27.13,26.67,26.67,12500
CAP,20180202,27.41,27.41,27.13,27.41,4700
CAP,20180201,27.69,27.69,27.31,27.32,10200
CAP,20180131,27.5,27.69,27.31,27.5,13014
CAP,20180130,26.85,27.5,26.85,27.5,2200
CAP,20180129,26.85,27.69,26.85,26.85,5500
CAP,20180126,26.39,26.39,26.3,26.39,2270
CAP,20180125,26.12,26.4,25.75,26.11,14300
CAP,20180122,28.7,28.7,26.76,27.13,15320
CAP,20180119,26.67,27.04,25.0,26.76,19100
CAP,20180118,29.17,29.17,26.67,26.67,63349
CAP,20180117,28.89,29.63,28.89,29.54,7300
CAP,20180116,29.17,29.63,28.89,28.89,3401
CAP,20180115,29.63,29.63,29.63,29.63,15
CAP,20180112,29.63,29.63,29.54,29.63,2125
CAP,20180111,29.91,29.91,28.71,29.82,2600
CAP,20180110,30.0,30.09,29.63,29.91,16400
CAP,20180109,29.82,30.0,29.72,30.0,10500
CAP,20180108,29.64,30.01,29.64,29.91,10137
CAP,20180105,29.63,30.09,29.63,30.1,6900
CAP,20180104,29.63,30.47,28.71,29.63,20400
CAP,20180103,31.49,31.67,29.63,30.56,8920
CAP,20180102,31.95,31.95,31.49,31.95,3000
CAP,20171229,33.34,33.34,32.04,32.32,6480
CAP,20171228,33.8,33.8,32.78,32.78,700
CAP,20171227,31.58,32.69,31.58,32.69,15054
CAP,20171226,33.33,33.33,32.87,33.34,1200
CAP,20171225,33.34,34.27,32.41,34.26,3250
CAP,20171222,32.41,33.34,32.41,33.34,8100
CAP,20171221,,,,34.54,0
CAP,20171220,34.54,34.54,34.54,34.54,10000
CAP,20171219,34.73,34.73,34.54,34.54,10700
CAP,20171218,34.72,34.72,34.44,34.73,13802
CAP,20171215,34.27,34.64,33.8,34.63,10300
CAP,20171214,34.26,34.73,33.89,34.73,5600
CAP,20171213,34.35,34.54,34.17,34.54,2820
CAP,20171212,34.36,34.54,33.8,34.26,8109
CAP,20171211,34.73,34.73,34.73,34.73,100
CAP,20171208,34.63,35.09,34.63,35.1,200
CAP,20171207,35.56,35.56,34.73,35.28,3200
CAP,20171206,33.99,35.19,33.99,35.19,5600
CAP,20171205,35.56,35.56,34.82,35.19,5500
CAP,20171204,35.47,35.56,35.47,35.56,4700
CAP,20171201,35.19,35.65,35.19,35.56,2480
CAP,20171130,35.0,35.65,35.0,35.65,5900
CAP,20171129,35.19,35.19,35.19,35.19,520
CAP,20171128,35.28,35.65,35.19,35.19,1005
CAP,20171127,35.19,35.65,35.19,35.65,707
CAP,20171124,35.1,35.19,35.1,35.19,201
CAP,20171123,34.82,35.1,34.26,35.1,3500
CAP,20171122,35.19,35.56,35.19,35.19,2400
CAP,20171121,35.19,36.39,35.19,36.39,1100
CAP,20171120,36.12,36.49,34.27,36.3,3135
CAP,20171117,36.3,36.58,35.65,36.21,6201
CAP,20171116,36.39,36.39,36.11,36.3,20100
CAP,20171115,35.65,36.3,35.19,36.3,5240
CAP,20171114,36.11,36.11,35.65,35.93,7941
CAP,20171113,36.12,37.04,35.75,35.74,11000
CAP,20171110,35.19,37.04,34.26,36.58,51300
CAP,20171109,35.47,35.84,35.0,35.65,13540
CAP,20171108,35.19,35.38,35.1,35.28,9300
CAP,20171107,34.72,35.09,34.63,35.1,5800
CAP,20171106,34.73,35.47,34.63,34.63,5800
CAP,20171103,34.72,34.72,34.26,34.54,600
CAP,20171102,34.27,34.27,33.8,34.26,4876
CAP,20171101,34.26,34.72,34.26,34.73,7000
CAP,20171031,35.1,35.28,35.1,35.28,3600
CAP,20171030,33.8,35.18,33.33,35.19,2100
CAP,20171027,35.19,36.11,32.96,35.37,11630
CAP,20171026,35.0,35.0,35.0,35.0,385
CAP,20171025,34.36,35.01,33.34,35.0,2800
CAP,20171024,35.19,35.19,34.73,34.73,300
CAP,20171023,34.73,35.38,34.45,35.19,3900
CAP,20171020,34.26,35.37,34.26,34.45,2700
CAP,20171019,36.57,36.57,35.55,36.11,8900
CAP,20171018,36.12,37.04,35.19,36.11,12800
CAP,20171017,35.74,36.3,35.65,35.93,14285
CAP,20171016,35.19,36.3,35.19,35.65,30800
CAP,20171013,35.1,35.19,33.34,35.19,2200
CAP,20171012,35.09,35.19,34.26,35.19,7270
CAP,20171011,34.63,35.19,34.63,35.0,6500
CAP,20171010,34.17,34.73,33.8,34.63,4900
CAP,20171009,33.33,34.26,33.33,33.8,7540
CAP,20171006,32.87,34.26,32.87,34.26,205
CAP,20171005,33.33,34.45,33.33,34.26,4500
CAP,20171004,33.42,34.26,33.42,34.26,480
CAP,20171003,33.8,33.98,33.33,33.98,4500
CAP,20171002,35.0,35.0,33.52,33.52,9500
CAP,20170929,35.19,35.56,34.26,35.19,3380
CAP,20170928,35.19,35.19,35.19,35.19,60
CAP,20170927,35.55,35.55,33.89,35.19,2580
CAP,20170926,35.74,35.74,35.19,35.74,580
CAP,20170925,35.65,35.84,34.45,35.65,4420
CAP,20170922,33.71,35.56,33.71,35.56,16200
CAP,20170921,33.52,33.8,33.43,33.8,9700
CAP,20170920,33.34,33.43,33.25,33.43,9800
CAP,20170919,33.15,33.43,33.15,33.34,1600
CAP,20170918,33.15,33.43,32.87,33.34,3540
CAP,20170915,33.06,33.24,33.06,33.24,2000
CAP,20170914,32.69,33.25,32.41,33.15,15330
CAP,20170913,31.94,32.59,31.94,32.6,2780
CAP,20170912,31.67,32.5,31.67,32.5,7380
CAP,20170911,31.58,33.15,31.49,32.41,3790
CAP,20170908,32.69,32.69,32.69,32.69,100
CAP,20170907,,,,32.41,0
CAP,20170906,32.41,32.69,32.41,32.41,3800
CAP,20170905,32.78,32.87,32.41,32.78,7145
CAP,20170901,32.41,32.78,31.95,32.78,8110
CAP,20170831,31.94,32.41,31.94,32.41,15150
CAP,20170830,31.3,31.49,31.3,31.48,12250
CAP,20170829,31.21,31.3,31.11,31.3,4700
CAP,20170828,31.11,31.3,31.11,31.3,6900
