<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CCM,20180713,,,,25.3,0
CCM,20180712,,,,25.3,0
CCM,20180711,,,,25.3,0
CCM,20180710,,,,25.3,0
CCM,20180709,,,,25.3,0
CCM,20180706,25.3,25.3,25.3,25.3,100
CCM,20180705,,,,18.2,0
CCM,20180704,,,,18.2,0
CCM,20180703,,,,18.2,0
CCM,20180702,,,,18.2,0
CCM,20180629,,,,18.2,0
CCM,20180628,17.5,20.0,17.5,18.2,53400
CCM,20180627,23.5,23.5,19.3,19.3,22200
CCM,20180626,21.4,21.4,21.4,21.4,1052
CCM,20180625,23.7,23.7,23.7,23.7,1200
CCM,20180622,26.3,29.2,26.3,26.3,1888
CCM,20180621,29.5,29.5,29.2,29.2,3900
CCM,20180620,31.9,32.4,30.0,32.4,6300
CCM,20180619,,,,29.5,0
CCM,20180618,29.5,29.5,29.5,29.5,100
CCM,20180615,35.3,35.3,29.5,29.5,900
CCM,20180614,,,,32.4,0
CCM,20180613,32.4,32.4,32.4,32.4,400
CCM,20180612,36.0,36.0,36.0,36.0,100
CCM,20180611,,,,39.9,0
CCM,20180608,,,,39.9,0
CCM,20180607,39.9,39.9,39.9,39.9,300
CCM,20180606,38.4,38.4,38.4,38.4,300
CCM,20180605,37.5,37.5,37.5,37.5,201
CCM,20180604,34.4,34.4,34.4,34.4,22
CCM,20180601,,,,34.4,0
CCM,20180531,,,,34.4,0
CCM,20180530,,,,34.4,0
CCM,20180529,,,,34.4,0
CCM,20180528,34.4,34.4,34.4,34.4,200
CCM,20180525,,,,33.0,0
CCM,20180524,33.0,33.0,33.0,33.0,200
CCM,20180523,,,,34.0,0
CCM,20180522,,,,34.0,0
CCM,20180521,,,,34.0,0
CCM,20180518,,,,34.0,0
CCM,20180517,,,,34.0,0
CCM,20180516,,,,34.0,0
CCM,20180515,,,,34.0,0
CCM,20180514,,,,34.0,0
CCM,20180511,,,,34.0,0
CCM,20180510,,,,34.0,0
CCM,20180509,,,,34.0,0
CCM,20180508,,,,34.0,0
CCM,20180507,34.0,34.0,34.0,34.0,317
CCM,20180504,30.99,30.99,30.99,30.99,100
CCM,20180503,29.15,29.15,29.15,29.14,100
CCM,20180502,,,,29.73,0
CCM,20180427,29.73,29.73,29.73,29.73,300
CCM,20180426,30.51,30.51,26.23,29.73,960
CCM,20180424,,,,27.98,0
CCM,20180423,27.98,27.98,27.98,27.98,17
CCM,20180420,28.66,28.66,27.98,27.98,4200
CCM,20180419,,,,31.09,0
CCM,20180418,,,,31.09,0
CCM,20180417,32.06,32.06,31.09,31.09,1100
CCM,20180416,32.74,32.74,32.74,32.74,517
CCM,20180413,32.73,32.73,28.17,30.02,1200
CCM,20180412,30.02,30.02,29.63,29.82,1700
CCM,20180411,30.02,30.02,27.3,27.3,2700
CCM,20180410,27.3,27.3,27.3,27.3,100
CCM,20180409,26.62,26.62,24.29,24.97,1200
CCM,20180406,24.29,24.29,24.29,24.29,3200
CCM,20180405,24.29,24.29,24.29,24.29,3400
CCM,20180404,25.16,25.16,25.16,25.16,200
CCM,20180403,24.19,24.29,24.19,24.29,2300
CCM,20180402,24.19,24.29,24.19,24.29,6950
CCM,20180330,24.29,24.29,24.29,24.29,5700
CCM,20180329,25.06,25.06,24.29,24.29,900
CCM,20180328,23.8,23.8,23.8,23.8,100
CCM,20180327,23.8,23.8,23.8,23.8,600
CCM,20180326,24.68,24.68,23.8,24.19,600
CCM,20180323,24.19,24.19,24.19,24.19,230
CCM,20180322,,,,23.8,0
CCM,20180321,23.51,23.8,23.51,23.8,800
CCM,20180320,23.51,23.51,23.51,23.51,575
CCM,20180319,,,,23.51,0
CCM,20180316,24.28,24.28,23.51,23.51,700
CCM,20180315,23.32,25.07,23.32,25.06,1400
CCM,20180314,24.28,24.28,24.28,24.29,600
CCM,20180313,24.1,24.1,23.8,24.09,1600
CCM,20180312,19.92,23.61,19.43,23.61,13862
CCM,20180309,21.57,21.57,21.57,21.57,600
CCM,20180308,19.72,19.72,19.72,19.72,300
CCM,20180307,22.24,22.24,19.91,19.91,200
CCM,20180306,20.6,20.69,20.6,20.69,1100
CCM,20180305,,,,22.83,0
CCM,20180302,23.21,23.21,22.83,22.83,400
CCM,20180301,22.34,22.34,22.34,22.34,300
CCM,20180228,,,,23.99,0
CCM,20180227,,,,23.99,0
CCM,20180226,22.15,23.99,22.05,23.99,800
