<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CDC,20180713,16.9,16.9,16.9,16.9,50
CDC,20180712,16.85,16.85,16.5,16.85,1990
CDC,20180711,17.0,17.0,17.0,17.0,20
CDC,20180710,16.8,16.9,16.8,16.9,2050
CDC,20180709,17.0,17.0,17.0,17.0,40
CDC,20180706,16.9,16.9,16.2,16.85,170
CDC,20180705,17.4,17.4,16.5,16.5,12900
CDC,20180704,16.9,17.1,16.9,17.1,15050
CDC,20180703,16.8,16.8,16.8,16.8,2570
CDC,20180702,,,,17.3,0
CDC,20180629,,,,17.3,0
CDC,20180628,,,,17.3,0
CDC,20180627,17.3,17.3,17.3,17.3,50
CDC,20180626,17.3,17.3,17.3,17.3,50
CDC,20180625,17.3,17.3,17.3,17.3,50
CDC,20180622,17.25,17.25,17.25,17.25,100
CDC,20180621,17.1,17.1,16.6,16.6,1620
CDC,20180620,17.1,17.1,17.1,17.1,100
CDC,20180619,17.0,17.1,16.95,17.1,11600
CDC,20180618,15.8,17.0,15.8,17.0,50
CDC,20180615,16.3,16.3,16.3,16.3,160
CDC,20180614,16.0,17.2,16.0,16.5,130
CDC,20180613,16.2,16.2,16.2,16.2,10
CDC,20180612,17.5,17.5,16.5,17.1,290
CDC,20180611,16.0,17.3,16.0,17.1,130
CDC,20180608,16.6,16.6,16.6,16.6,500
CDC,20180607,17.0,17.3,16.5,17.3,81060
CDC,20180606,15.5,16.95,15.5,16.95,160
CDC,20180605,16.75,16.75,16.5,16.5,540
CDC,20180604,16.5,16.7,16.5,16.7,310
CDC,20180601,17.88,17.88,15.97,16.9,5240
CDC,20180531,17.27,17.27,16.99,17.09,360
CDC,20180530,16.9,17.18,16.81,17.18,6950
CDC,20180529,16.81,17.04,16.44,17.04,12990
CDC,20180528,16.81,16.81,15.97,15.97,3090
CDC,20180525,16.81,17.0,16.53,16.53,6060
CDC,20180524,17.28,17.28,16.81,16.81,190
CDC,20180523,16.81,17.37,16.81,17.37,880
CDC,20180522,16.9,17.74,16.81,17.74,6160
CDC,20180521,16.9,17.93,16.81,17.93,260
CDC,20180518,16.85,17.46,16.81,17.46,4120
CDC,20180517,16.43,16.52,16.1,16.34,5170
CDC,20180516,16.43,16.43,16.43,16.43,80
CDC,20180515,16.34,16.62,16.34,16.62,600
CDC,20180514,16.34,16.9,16.06,16.9,11230
CDC,20180511,16.43,16.43,16.34,16.34,5350
