<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CDN,20180713,14.3,14.5,14.3,14.5,5700
CDN,20180712,14.1,14.4,14.1,14.4,600
CDN,20180711,14.5,14.5,14.4,14.4,6200
CDN,20180710,14.5,14.5,14.4,14.4,1600
CDN,20180709,14.4,14.6,14.1,14.5,5700
CDN,20180706,,,,14.6,0
CDN,20180705,14.6,14.6,14.6,14.6,300
CDN,20180704,14.0,14.7,14.0,14.7,1750
CDN,20180703,14.4,15.1,14.0,14.8,4750
CDN,20180702,14.7,15.3,14.1,15.3,1100
CDN,20180629,16.4,16.4,15.0,15.5,3400
CDN,20180628,14.6,15.5,14.6,15.5,1400
CDN,20180627,,,,15.8,0
CDN,20180626,15.8,15.8,15.0,15.8,2700
CDN,20180625,16.1,16.1,15.2,15.8,800
CDN,20180622,14.2,15.2,14.2,15.2,2200
CDN,20180621,16.5,16.5,15.3,15.3,400
CDN,20180620,14.9,15.2,14.9,15.2,4950
CDN,20180619,15.0,15.2,14.5,15.2,1400
CDN,20180618,15.5,15.5,15.5,15.5,300
CDN,20180615,14.8,16.4,13.7,16.1,9750
CDN,20180614,15.5,16.5,14.9,15.0,17550
CDN,20180613,16.4,16.4,16.4,16.4,500
CDN,20180612,17.5,17.5,16.0,16.4,500
CDN,20180611,16.3,16.3,16.3,16.3,100
CDN,20180608,16.3,16.3,16.3,16.3,100
CDN,20180607,16.1,16.1,16.1,16.1,200
CDN,20180606,16.1,16.1,16.1,16.1,100
CDN,20180605,,,,16.5,0
CDN,20180604,16.5,16.5,16.5,16.5,300
CDN,20180601,16.6,17.0,16.6,16.8,700
CDN,20180531,17.0,17.0,16.5,16.5,1500
CDN,20180530,16.0,16.5,16.0,16.5,300
CDN,20180529,,,,16.9,0
CDN,20180528,16.5,17.8,16.4,16.9,1000
CDN,20180525,16.5,16.5,16.4,16.4,900
CDN,20180524,,,,17.6,0
CDN,20180523,,,,17.6,0
CDN,20180522,,,,17.6,0
CDN,20180521,17.8,17.8,17.6,17.6,300
CDN,20180518,15.64,16.8,15.64,16.8,1200
CDN,20180517,,,,17.19,0
CDN,20180516,,,,17.19,0
CDN,20180515,16.42,17.19,16.42,17.19,1100
CDN,20180514,,,,17.19,0
CDN,20180511,,,,17.19,0
CDN,20180510,,,,17.19,0
CDN,20180509,,,,17.19,0
CDN,20180508,,,,17.19,0
CDN,20180507,,,,17.19,0
CDN,20180504,16.61,17.19,16.61,17.19,1900
CDN,20180503,,,,18.25,0
CDN,20180502,,,,18.25,0
CDN,20180427,16.99,18.44,16.99,18.25,9400
CDN,20180426,,,,17.28,0
CDN,20180424,,,,17.28,0
