<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CDO,20180713,,,,1.0,0
CDO,20180712,,,,1.0,0
CDO,20180711,,,,1.0,0
CDO,20180710,,,,1.0,0
CDO,20180709,,,,1.0,0
CDO,20180706,,,,1.0,0
CDO,20180705,,,,1.0,0
CDO,20180704,,,,1.0,0
CDO,20180703,,,,1.0,0
CDO,20180702,,,,1.0,0
CDO,20180629,,,,1.0,0
CDO,20180628,,,,1.0,0
CDO,20180627,,,,1.0,0
CDO,20180626,,,,1.0,0
CDO,20180625,,,,1.0,0
CDO,20180622,,,,1.0,0
CDO,20180621,,,,1.0,0
CDO,20180620,,,,1.0,0
CDO,20180619,,,,1.0,0
CDO,20180618,,,,1.0,0
CDO,20180615,,,,1.0,0
CDO,20180614,,,,1.0,0
CDO,20180613,,,,1.0,0
CDO,20180612,,,,1.0,0
CDO,20180611,,,,1.0,0
CDO,20180608,,,,1.0,0
CDO,20180607,,,,1.0,0
CDO,20180606,,,,1.0,0
CDO,20180605,,,,1.0,0
CDO,20180604,,,,1.0,0
CDO,20180601,0.89,1.0,0.89,1.0,1197670
CDO,20180531,0.95,0.95,0.95,0.95,290780
CDO,20180530,1.02,1.02,1.02,1.02,243240
CDO,20180529,1.09,1.09,1.09,1.09,131500
CDO,20180528,1.2,1.2,1.12,1.17,24220
CDO,20180525,1.2,1.2,1.2,1.2,2260
CDO,20180524,1.2,1.2,1.2,1.2,6960
CDO,20180523,1.2,1.2,1.15,1.2,8480
CDO,20180522,1.2,1.24,1.15,1.22,58260
CDO,20180521,1.18,1.25,1.18,1.22,19130
CDO,20180518,1.23,1.23,1.18,1.18,17350
CDO,20180517,1.24,1.26,1.23,1.23,16430
CDO,20180516,1.25,1.28,1.2,1.25,20270
CDO,20180515,1.26,1.26,1.22,1.25,20370
CDO,20180514,1.23,1.26,1.23,1.26,12350
CDO,20180511,1.19,1.27,1.16,1.26,18710
CDO,20180510,1.25,1.28,1.21,1.21,24550
CDO,20180509,1.3,1.3,1.26,1.28,12530
CDO,20180508,1.2,1.25,1.2,1.25,66650
CDO,20180507,1.16,1.17,1.14,1.17,27960
CDO,20180504,1.15,1.15,1.1,1.1,39220
CDO,20180503,1.17,1.18,1.13,1.13,62930
CDO,20180502,1.2,1.2,1.17,1.17,32390
CDO,20180427,1.23,1.23,1.15,1.2,16450
CDO,20180426,1.24,1.26,1.16,1.16,71400
CDO,20180424,1.25,1.27,1.19,1.24,40490
CDO,20180423,1.25,1.27,1.19,1.25,165580
CDO,20180420,1.26,1.3,1.26,1.27,26460
CDO,20180419,1.29,1.32,1.29,1.32,11360
CDO,20180418,1.34,1.34,1.28,1.33,10220
CDO,20180417,1.34,1.34,1.28,1.32,6020
CDO,20180416,1.3,1.31,1.3,1.31,12260
CDO,20180413,1.29,1.31,1.27,1.31,22040
CDO,20180412,1.29,1.34,1.23,1.29,48460
CDO,20180411,1.3,1.35,1.21,1.29,62450
CDO,20180410,1.35,1.35,1.3,1.3,64800
CDO,20180409,1.34,1.35,1.34,1.34,56900
CDO,20180406,1.36,1.39,1.34,1.34,53600
CDO,20180405,1.4,1.4,1.35,1.37,64960
CDO,20180404,1.38,1.4,1.36,1.4,28610
CDO,20180403,1.39,1.39,1.35,1.38,33360
