<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CEE,20180713,18.9,18.9,18.9,18.9,10000
CEE,20180712,19.0,19.0,19.0,19.0,3010
CEE,20180711,18.15,18.15,17.85,17.9,6410
CEE,20180710,18.0,19.15,18.0,19.15,9010
CEE,20180709,18.85,18.85,17.5,18.8,3180
CEE,20180706,18.3,18.85,17.65,18.6,2660
CEE,20180705,18.15,18.15,17.65,17.65,810
CEE,20180704,18.95,18.95,18.95,18.95,10
CEE,20180703,,,,18.7,0
CEE,20180702,18.45,18.7,18.4,18.7,4400
CEE,20180629,19.25,19.25,19.25,19.25,5000
CEE,20180628,19.25,19.25,19.25,19.25,1110
CEE,20180627,19.4,19.4,18.05,19.1,2020
CEE,20180626,19.2,19.2,19.2,19.2,1130
CEE,20180625,19.45,19.45,19.45,19.45,200
CEE,20180622,19.45,19.45,17.7,19.45,10120
CEE,20180621,18.5,18.5,18.5,18.5,1830
CEE,20180620,18.45,18.5,18.45,18.5,360
CEE,20180619,18.9,18.9,18.9,18.9,500
CEE,20180618,19.4,19.9,18.1,19.0,5890
CEE,20180615,19.3,19.3,18.25,19.2,4030
CEE,20180614,19.05,19.1,19.05,19.1,120
CEE,20180613,19.05,19.1,19.05,19.1,1710
CEE,20180612,19.4,19.4,19.4,19.4,510
CEE,20180611,19.4,19.4,19.3,19.3,590
CEE,20180608,18.5,19.0,18.5,19.0,4050
CEE,20180607,19.7,19.7,18.6,19.3,20590
CEE,20180606,19.85,19.85,19.85,19.85,1010
CEE,20180605,18.25,19.15,18.25,19.15,12340
CEE,20180604,19.0,19.0,18.2,18.2,49320
CEE,20180601,19.0,19.3,19.0,19.2,14750
CEE,20180531,19.8,19.8,19.05,19.05,127660
CEE,20180530,19.35,19.4,18.15,19.4,92330
CEE,20180529,19.7,19.85,19.15,19.4,147250
CEE,20180528,19.5,19.9,19.15,19.15,100330
CEE,20180525,19.8,19.9,19.6,19.8,121090
CEE,20180524,19.9,19.9,19.8,19.85,120180
CEE,20180523,19.9,20.0,19.8,20.0,105120
CEE,20180522,20.15,20.15,19.0,19.9,117930
CEE,20180521,19.8,20.15,19.75,20.15,184120
CEE,20180518,19.75,19.8,19.35,19.7,216260
CEE,20180517,18.35,19.8,17.9,19.4,283980
CEE,20180516,18.2,19.3,18.2,19.2,103320
CEE,20180515,20.0,20.0,18.65,18.65,88430
CEE,20180514,18.6,20.2,18.6,20.0,187200
CEE,20180511,20.0,20.2,19.7,19.9,114260
CEE,20180510,20.8,20.8,19.6,19.8,105080
CEE,20180509,20.5,20.5,19.35,20.1,194000
CEE,20180508,20.5,20.8,20.35,20.8,20550
CEE,20180507,21.0,21.45,20.5,21.0,11140
CEE,20180504,21.2,21.45,20.0,21.0,99800
CEE,20180503,19.1,20.5,18.8,20.5,359430
CEE,20180502,19.5,19.5,18.5,19.2,63680
CEE,20180427,19.0,19.1,18.1,19.1,45110
CEE,20180426,18.2,18.6,18.2,18.2,102970
CEE,20180424,17.2,18.6,17.0,18.6,93530
CEE,20180423,18.4,18.4,17.5,17.5,16920
CEE,20180420,18.0,18.0,17.9,18.0,36240
CEE,20180419,17.9,19.0,17.9,18.0,67070
CEE,20180418,18.0,18.0,17.8,18.0,71700
CEE,20180417,18.0,18.0,17.9,18.0,24260
CEE,20180416,17.8,18.5,17.7,18.0,30840
CEE,20180413,18.0,18.4,17.9,17.9,36480
CEE,20180412,18.0,18.3,17.7,18.0,18160
CEE,20180411,17.5,18.0,17.4,18.0,19770
CEE,20180410,18.1,18.3,17.8,18.1,123420
CEE,20180409,18.7,18.8,18.1,18.2,154440
