<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CET,20180713,2.7,2.7,2.7,2.7,300
CET,20180712,2.8,2.8,2.8,2.8,700
CET,20180711,,,,2.9,0
CET,20180710,3.0,3.0,2.9,2.9,1000
CET,20180709,2.8,2.8,2.7,2.8,5100
CET,20180706,,,,3.0,0
CET,20180705,,,,3.0,0
CET,20180704,3.1,3.1,3.0,3.0,4100
CET,20180703,2.9,3.0,2.9,3.0,200
CET,20180702,2.8,2.8,2.8,2.8,9000
CET,20180629,2.9,2.9,2.9,2.9,7600
CET,20180628,3.0,3.0,2.9,2.9,5000
CET,20180627,,,,3.2,0
CET,20180626,2.8,3.2,2.8,3.2,3300
CET,20180625,3.1,3.1,3.1,3.1,4900
CET,20180622,,,,3.4,0
CET,20180621,,,,3.4,0
CET,20180620,,,,3.4,0
CET,20180619,,,,3.4,0
CET,20180618,3.4,3.4,3.4,3.4,138
CET,20180615,3.1,3.1,3.1,3.1,1350
CET,20180614,3.2,3.2,3.2,3.2,200
CET,20180613,,,,3.2,0
CET,20180612,3.2,3.2,3.2,3.2,24600
CET,20180611,3.4,3.5,3.4,3.5,200
CET,20180608,3.2,3.7,3.2,3.7,10320
CET,20180607,3.5,3.5,3.5,3.5,100
CET,20180606,3.5,3.5,3.2,3.4,29390
CET,20180605,3.2,3.5,3.1,3.5,17400
CET,20180604,3.4,3.4,3.4,3.4,7300
CET,20180601,3.2,3.7,3.2,3.7,23500
CET,20180531,3.4,3.4,3.4,3.4,60
CET,20180530,3.1,3.4,3.1,3.4,2900
CET,20180529,3.2,3.2,3.0,3.1,25010
CET,20180528,,,,3.3,0
CET,20180525,3.3,3.3,3.3,3.3,5000
CET,20180524,3.5,3.5,3.5,3.5,290
CET,20180523,3.3,3.3,3.3,3.3,200
CET,20180522,3.2,3.4,3.2,3.4,7147
CET,20180521,3.5,3.5,3.5,3.5,100
CET,20180518,3.4,3.4,3.4,3.4,100
CET,20180517,3.4,3.4,3.3,3.3,21900
CET,20180516,,,,3.6,0
CET,20180515,3.4,3.6,3.4,3.6,9700
CET,20180514,3.3,3.6,3.3,3.6,400
CET,20180511,3.5,3.6,3.4,3.6,14900
CET,20180510,,,,3.6,0
CET,20180509,3.6,3.6,3.5,3.6,513
CET,20180508,3.6,3.6,3.6,3.6,1200
CET,20180507,3.4,3.6,3.4,3.6,2410
CET,20180504,3.5,3.6,3.5,3.6,2800
CET,20180503,3.6,3.7,3.5,3.5,9400
CET,20180502,3.6,3.7,3.6,3.7,2787
CET,20180427,3.6,3.7,3.6,3.7,210
CET,20180426,3.6,3.6,3.6,3.6,100
CET,20180424,3.6,3.7,3.6,3.6,38900
CET,20180423,3.6,3.9,3.6,3.6,25500
CET,20180420,4.0,4.0,4.0,4.0,100
CET,20180419,4.0,4.0,4.0,4.0,3010
CET,20180418,,,,4.0,0
CET,20180417,3.8,4.0,3.8,4.0,4000
CET,20180416,,,,4.0,0
CET,20180413,,,,4.0,0
CET,20180412,3.7,4.0,3.7,4.0,2100
CET,20180411,4.0,4.1,4.0,4.1,11200
CET,20180410,4.0,4.1,4.0,4.1,960
CET,20180409,4.0,4.1,4.0,4.1,3700
CET,20180406,4.0,4.1,3.9,4.1,23500
CET,20180405,3.8,3.9,3.7,3.9,10110
CET,20180404,3.6,3.6,3.6,3.6,3500
CET,20180403,3.7,3.8,3.6,3.7,7500
CET,20180402,3.7,3.7,3.7,3.7,2600
CET,20180330,3.6,3.8,3.6,3.7,10400
CET,20180329,3.8,3.8,3.8,3.8,2000
CET,20180328,3.8,3.8,3.8,3.8,10
CET,20180327,3.7,3.8,3.7,3.8,10030
CET,20180326,3.8,3.8,3.8,3.8,10200
CET,20180323,3.8,3.8,3.7,3.8,3600
CET,20180322,3.8,3.9,3.8,3.9,3800
CET,20180321,3.8,3.9,3.8,3.9,4100
CET,20180320,3.7,3.9,3.7,3.9,3100
CET,20180319,3.9,3.9,3.7,3.9,12760
CET,20180316,3.9,3.9,3.8,3.9,2990
CET,20180315,3.9,4.0,3.9,3.9,5100
CET,20180314,3.8,4.0,3.8,3.9,21830
CET,20180313,4.1,4.1,3.9,3.9,16960
CET,20180312,4.0,4.0,4.0,4.0,8097
CET,20180309,4.0,4.1,3.9,4.1,35280
CET,20180308,3.8,4.0,3.8,4.0,31130
CET,20180307,4.0,4.0,3.9,3.9,11700
CET,20180306,3.8,4.0,3.8,4.0,3600
CET,20180305,3.9,3.9,3.9,3.9,7200
CET,20180302,3.9,3.9,3.9,3.9,9900
CET,20180301,3.8,4.0,3.8,4.0,1600
CET,20180228,4.0,4.1,3.9,3.9,17900
CET,20180227,3.9,4.1,3.8,4.0,16100
CET,20180226,4.1,4.1,4.0,4.0,3000
CET,20180223,3.9,4.0,3.8,4.0,52100
CET,20180222,3.9,4.0,3.9,4.0,5900
CET,20180221,4.1,4.1,4.1,4.1,1000
CET,20180213,4.3,4.3,4.0,4.0,1400
CET,20180212,4.2,4.2,4.1,4.1,22100
CET,20180209,4.0,4.0,3.9,3.9,53600
CET,20180208,4.5,4.5,4.0,4.3,4500
CET,20180207,4.4,4.4,4.3,4.3,1210
CET,20180206,3.8,4.4,3.8,4.4,17800
CET,20180205,3.8,4.0,3.8,4.0,12500
CET,20180202,4.0,4.1,4.0,4.1,17800
CET,20180201,4.0,4.2,4.0,4.1,31850
CET,20180131,4.3,4.3,3.9,4.1,103100
CET,20180130,4.3,4.4,4.2,4.3,33900
CET,20180129,4.3,4.4,4.1,4.4,104700
CET,20180126,4.4,4.6,4.3,4.5,18600
CET,20180125,4.3,4.7,4.0,4.2,103560
CET,20180122,5.2,5.3,5.0,5.0,68600
CET,20180119,5.4,5.5,5.1,5.2,71110
CET,20180118,5.7,6.0,5.3,5.5,102000
CET,20180117,5.0,5.5,5.0,5.5,185335
CET,20180116,4.4,5.0,4.4,5.0,59730
CET,20180115,4.4,4.8,4.3,4.6,23100
CET,20180112,4.6,4.7,4.3,4.5,24800
CET,20180111,4.3,4.6,4.3,4.6,9300
CET,20180110,4.4,4.5,4.3,4.3,71725
CET,20180109,4.4,4.6,4.3,4.6,19800
CET,20180108,5.0,5.0,4.6,4.6,12800
CET,20180105,5.2,5.2,4.6,4.9,68500
CET,20180104,5.2,5.3,5.1,5.1,68700
CET,20180103,4.7,4.9,4.7,4.9,20700
CET,20180102,4.1,4.5,4.1,4.5,85000
CET,20171229,4.1,4.2,4.0,4.1,24700
CET,20171228,4.1,4.2,4.0,4.1,24212
CET,20171227,4.0,4.1,4.0,4.1,30600
CET,20171226,,,,4.1,0
CET,20171225,4.0,4.1,4.0,4.1,26100
CET,20171222,4.0,4.1,4.0,4.0,9200
CET,20171221,4.0,4.0,4.0,4.0,34500
CET,20171220,4.0,4.0,4.0,4.0,11700
CET,20171219,4.0,4.1,3.9,4.1,9800
CET,20171218,4.0,4.1,4.0,4.1,200
CET,20171215,4.0,4.1,4.0,4.0,9700
CET,20171214,4.0,4.0,3.9,3.9,5900
CET,20171213,4.0,4.1,4.0,4.1,8210
CET,20171212,4.0,4.1,4.0,4.0,22600
CET,20171211,4.0,4.2,4.0,4.1,20400
CET,20171208,4.0,4.0,4.0,4.0,2217
CET,20171207,4.1,4.1,3.8,4.1,52000
CET,20171206,4.1,4.2,4.0,4.2,94630
CET,20171205,4.1,4.1,4.0,4.1,28100
CET,20171204,4.2,4.2,4.1,4.1,6000
CET,20171201,4.0,4.2,4.0,4.2,9000
CET,20171130,4.2,4.2,4.0,4.1,17300
CET,20171129,4.2,4.3,4.2,4.3,4900
CET,20171128,4.2,4.4,4.1,4.2,20900
CET,20171127,4.1,4.3,4.0,4.2,33300
CET,20171124,4.09,4.18,3.82,4.0,61810
CET,20171123,4.18,4.18,4.18,4.18,15000
CET,20171122,4.18,4.27,4.09,4.27,15900
CET,20171121,4.45,4.45,4.18,4.27,14700
CET,20171120,4.45,4.54,4.09,4.45,50419
CET,20171117,4.36,4.63,4.36,4.45,18160
CET,20171116,4.27,4.54,4.18,4.45,21640
CET,20171115,4.18,4.45,4.18,4.45,11600
CET,20171114,4.45,4.45,4.09,4.27,52800
CET,20171113,4.36,4.45,4.09,4.18,23800
CET,20171110,4.46,4.46,4.46,4.45,2200
CET,20171109,4.73,4.73,4.28,4.55,63000
CET,20171108,4.82,4.91,4.64,4.73,22700
CET,20171107,4.91,4.91,4.73,4.91,3000
CET,20171106,4.73,4.91,4.64,4.91,11500
CET,20171103,4.73,5.0,4.73,4.91,35300
CET,20171102,4.82,5.0,4.64,5.0,60300
CET,20171101,4.82,5.0,4.82,5.0,53900
CET,20171031,5.0,5.0,4.82,5.0,12610
CET,20171030,5.0,5.0,4.91,5.0,8500
CET,20171027,5.0,5.0,4.91,5.0,12700
CET,20171026,5.09,5.09,4.82,5.0,11800
CET,20171025,5.09,5.36,4.73,5.0,67800
CET,20171024,5.18,5.18,4.82,5.09,21800
CET,20171023,5.09,5.18,4.91,4.91,29100
CET,20171020,5.36,5.36,5.0,5.18,34000
CET,20171019,5.09,5.27,5.09,5.27,12630
CET,20171018,5.27,5.27,5.09,5.18,19701
CET,20171017,5.27,5.27,5.09,5.27,3300
CET,20171016,5.36,5.45,5.27,5.27,38700
CET,20171013,5.0,5.45,5.0,5.27,63800
CET,20171012,5.0,5.09,4.91,5.0,31700
CET,20171011,5.18,5.18,4.82,5.09,45800
CET,20171010,5.18,5.27,5.09,5.09,30500
CET,20171009,5.0,5.27,4.91,5.18,55200
CET,20171006,5.45,5.45,4.91,4.91,155300
CET,20171005,5.28,5.46,5.1,5.45,93300
CET,20171004,5.36,5.54,5.0,5.55,244002
CET,20171003,5.45,5.63,5.18,5.45,67100
CET,20171002,5.55,6.0,5.27,5.36,279100
CET,20170929,6.18,6.18,5.72,5.82,113100
CET,20170928,6.18,6.36,6.0,6.36,126700
CET,20170927,6.36,6.36,6.09,6.18,125700
CET,20170926,6.45,6.54,6.36,6.36,109500
CET,20170925,6.45,6.54,6.45,6.45,51100
CET,20170922,6.45,6.63,6.36,6.45,72802
CET,20170921,6.73,6.73,6.37,6.45,104600
CET,20170920,6.64,7.09,6.36,6.82,196820
CET,20170919,6.37,7.0,6.37,7.0,78600
CET,20170918,6.82,7.0,6.36,6.73,409989
CET,20170915,7.37,7.37,7.0,7.0,180712
CET,20170914,7.55,7.82,7.28,7.73,238000
CET,20170913,7.27,7.72,7.18,7.64,191700
CET,20170912,7.55,7.55,7.28,7.27,136800
CET,20170911,7.91,7.91,7.18,7.55,230500
CET,20170908,7.45,7.9,7.36,7.91,430800
CET,20170907,7.0,7.45,6.82,7.45,106500
CET,20170906,6.82,7.09,6.73,7.09,55000
CET,20170905,6.09,6.82,6.09,6.82,109600
CET,20170901,6.18,6.36,6.09,6.27,146200
CET,20170831,6.73,6.73,6.19,6.18,256400
CET,20170830,6.73,6.73,6.55,6.64,235500
CET,20170829,6.64,6.82,6.64,6.64,337000
CET,20170828,6.46,6.82,6.46,6.64,64300
CET,20170825,6.82,6.82,6.55,6.64,90000
CET,20170824,6.91,7.0,6.73,6.91,75300
CET,20170823,6.64,7.0,6.64,6.91,88300
CET,20170822,6.82,6.82,6.55,6.73,67300
CET,20170821,6.64,6.91,6.46,6.73,105600
CET,20170818,6.72,6.91,6.54,6.73,193490
CET,20170817,7.82,7.82,7.27,7.27,84400
CET,20170816,8.19,8.19,7.73,8.0,51000
CET,20170815,8.73,8.91,8.46,8.55,52000
CET,20170814,10.55,10.55,8.73,8.73,139800
CET,20170811,8.82,9.64,8.82,9.64,332800
CET,20170810,9.55,9.64,8.82,8.82,58800
CET,20170809,10.73,10.73,9.73,9.73,139300
CET,20170808,11.09,11.64,10.73,10.73,143700
CET,20170807,13.18,13.18,11.91,11.91,48300
CET,20170804,14.09,14.09,13.19,13.18,26900
CET,20170803,15.73,15.73,14.63,14.64,169600
CET,20170802,16.91,16.91,16.09,16.18,113200
CET,20170801,17.82,17.82,16.54,16.91,93200
CET,20170731,16.27,16.27,16.27,16.27,124400
CET,20170728,14.82,14.82,14.82,14.82,68000
