<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CIG,20180713,3.75,4.01,3.75,3.99,117350
CIG,20180712,3.78,3.9,3.71,3.78,240460
CIG,20180711,3.7,3.8,3.45,3.8,130770
CIG,20180710,3.5,3.7,3.5,3.7,202730
CIG,20180709,3.63,3.63,3.4,3.5,253320
CIG,20180706,3.25,3.41,3.25,3.4,280050
CIG,20180705,3.16,3.4,3.16,3.3,219660
CIG,20180704,3.13,3.24,3.11,3.2,196700
CIG,20180703,3.1,3.22,3.1,3.15,173250
CIG,20180702,3.13,3.13,2.94,3.1,107830
CIG,20180629,3.1,3.2,3.1,3.16,60150
CIG,20180628,3.24,3.3,3.05,3.2,253590
CIG,20180627,3.24,3.24,3.03,3.24,135540
CIG,20180626,3.0,3.03,3.0,3.03,76180
CIG,20180625,2.83,3.0,2.76,2.84,226750
CIG,20180622,2.75,2.83,2.64,2.83,274880
CIG,20180621,2.7,2.75,2.61,2.66,249340
CIG,20180620,2.7,2.75,2.57,2.67,333870
CIG,20180619,2.5,2.65,2.47,2.65,275770
CIG,20180618,2.32,2.59,2.32,2.48,138440
CIG,20180615,2.49,2.49,2.3,2.49,15750
CIG,20180614,,,,2.33,0
CIG,20180613,2.5,2.5,2.33,2.33,10030
CIG,20180612,2.5,2.54,2.5,2.5,15100
CIG,20180611,2.5,2.5,2.49,2.5,30710
CIG,20180608,2.54,2.54,2.54,2.54,10
CIG,20180607,2.4,2.41,2.3,2.41,24500
CIG,20180606,2.45,2.46,2.26,2.26,14440
CIG,20180605,2.24,2.42,2.24,2.42,310
CIG,20180604,2.4,2.4,2.4,2.4,10
CIG,20180601,2.5,2.5,2.4,2.4,6270
CIG,20180531,2.49,2.5,2.49,2.5,30
CIG,20180530,2.5,2.5,2.5,2.5,200
CIG,20180529,2.53,2.54,2.37,2.53,31720
CIG,20180528,2.55,2.55,2.25,2.54,420
CIG,20180525,2.41,2.41,2.25,2.41,2600
CIG,20180524,2.5,2.5,2.41,2.41,6010
CIG,20180523,2.61,2.61,2.4,2.59,1130
CIG,20180522,2.4,2.45,2.4,2.45,2480
CIG,20180521,2.45,2.45,2.42,2.42,12290
CIG,20180518,2.14,2.45,2.14,2.45,9810
CIG,20180517,2.3,2.3,2.3,2.3,20
CIG,20180516,2.49,2.5,2.45,2.45,1010
CIG,20180515,2.57,2.57,2.3,2.5,330
CIG,20180514,2.55,2.55,2.42,2.42,1020
CIG,20180511,,,,2.41,0
CIG,20180510,2.25,2.41,2.25,2.41,3180
CIG,20180509,2.26,2.26,2.26,2.26,100
CIG,20180508,2.26,2.4,2.26,2.4,21930
CIG,20180507,2.25,2.4,2.25,2.4,210
CIG,20180504,2.39,2.4,2.3,2.4,4780
CIG,20180503,2.56,2.56,2.24,2.4,7430
CIG,20180502,2.3,2.45,2.3,2.4,6110
CIG,20180427,,,,2.45,0
CIG,20180426,,,,2.45,0
CIG,20180424,,,,2.45,0
CIG,20180423,,,,2.45,0
CIG,20180420,2.29,2.45,2.29,2.45,19810
