<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CLC,20180713,28.3,28.95,28.3,28.5,1560
CLC,20180712,29.0,29.9,28.0,28.5,7320
CLC,20180711,30.0,30.0,28.5,29.0,7260
CLC,20180710,29.0,29.0,28.8,29.0,3200
CLC,20180709,29.1,30.85,29.1,29.7,1890
CLC,20180706,29.8,29.8,29.8,29.8,310
CLC,20180705,30.0,30.0,29.0,29.5,720
CLC,20180704,29.85,29.85,29.85,29.85,50
CLC,20180703,30.4,30.4,28.0,29.85,420
CLC,20180702,29.3,29.4,29.0,29.4,9360
CLC,20180629,30.0,30.2,29.05,29.8,1440
CLC,20180628,30.0,30.8,29.05,29.5,1530
CLC,20180627,31.3,31.5,29.5,29.5,6450
CLC,20180626,30.95,30.95,29.5,29.5,3360
CLC,20180625,31.3,31.3,29.95,29.95,4550
CLC,20180622,29.05,31.7,29.05,30.0,4690
CLC,20180621,29.05,30.0,29.0,30.0,520
CLC,20180620,30.5,30.5,30.0,30.4,3200
CLC,20180619,30.5,30.95,30.5,30.95,70
CLC,20180618,31.4,31.4,31.4,31.4,30
CLC,20180615,30.95,30.95,30.0,30.7,2210
CLC,20180614,30.5,31.0,30.0,30.5,5130
CLC,20180613,31.9,31.9,30.5,30.5,2740
CLC,20180612,30.9,32.7,30.7,30.7,750
CLC,20180611,30.5,31.6,30.0,30.7,6510
CLC,20180608,31.0,31.0,30.5,31.0,1020
CLC,20180607,30.5,31.1,30.1,31.0,5140
CLC,20180606,31.1,31.1,30.5,30.5,3430
CLC,20180605,32.0,32.0,31.1,31.1,3910
CLC,20180604,32.0,32.0,32.0,32.0,40
CLC,20180601,32.95,33.0,31.2,32.0,2300
CLC,20180531,30.5,34.6,30.5,33.0,4500
CLC,20180530,30.95,32.5,30.9,32.4,4530
CLC,20180529,30.1,30.95,30.1,30.95,3040
CLC,20180528,31.0,31.65,30.05,31.55,230
CLC,20180525,31.85,31.85,30.3,31.0,8340
CLC,20180524,31.7,31.7,31.0,31.0,690
CLC,20180523,31.95,32.6,30.5,31.15,1140
CLC,20180522,32.8,33.0,30.25,31.15,10190
CLC,20180521,31.9,33.15,31.7,31.7,4280
CLC,20180518,33.8,33.8,33.8,33.8,150
