<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CLH,20180713,15.7,15.7,15.7,15.7,100
CLH,20180712,,,,16.0,0
CLH,20180711,,,,16.0,0
CLH,20180710,16.0,16.0,16.0,16.0,400
CLH,20180709,16.5,16.5,16.5,16.5,500
CLH,20180706,16.5,16.5,16.5,16.5,400
CLH,20180705,16.5,16.5,16.5,16.5,100
CLH,20180704,16.5,16.5,16.5,16.5,100
CLH,20180703,17.5,17.5,17.5,17.5,200
CLH,20180702,15.4,16.4,15.4,16.4,200
CLH,20180629,16.9,16.9,16.9,16.9,100
CLH,20180628,15.4,15.4,15.4,15.4,100
CLH,20180627,,,,16.9,0
CLH,20180626,,,,16.9,0
CLH,20180625,15.4,16.9,15.4,16.9,200
CLH,20180622,,,,17.0,0
CLH,20180621,,,,17.0,0
CLH,20180620,,,,17.0,0
CLH,20180619,,,,17.0,0
CLH,20180618,17.0,17.0,17.0,17.0,100
CLH,20180615,,,,15.5,0
CLH,20180614,,,,15.5,0
CLH,20180613,,,,15.5,0
CLH,20180612,,,,15.5,0
CLH,20180611,,,,15.5,0
CLH,20180608,,,,15.5,0
CLH,20180607,,,,15.5,0
CLH,20180606,15.5,15.5,15.5,15.5,100
CLH,20180605,17.1,17.1,17.1,17.1,100
CLH,20180604,,,,18.8,0
CLH,20180601,17.0,18.8,17.0,18.8,200
CLH,20180531,18.7,18.7,18.7,18.7,100
CLH,20180530,17.2,17.2,17.2,17.2,100
CLH,20180529,,,,15.7,0
CLH,20180528,,,,15.7,0
CLH,20180525,,,,15.7,0
CLH,20180524,15.7,15.7,15.7,15.7,200
CLH,20180523,,,,14.3,0
CLH,20180522,,,,14.3,0
CLH,20180521,,,,14.3,0
CLH,20180518,14.3,14.3,14.3,14.3,100
CLH,20180517,,,,13.0,0
CLH,20180516,,,,13.0,0
CLH,20180515,15.7,15.7,13.0,13.0,900
CLH,20180514,,,,14.3,0
CLH,20180511,14.3,14.3,14.3,14.3,100
CLH,20180510,,,,13.0,0
CLH,20180509,,,,13.0,0
CLH,20180508,,,,13.0,0
CLH,20180507,13.0,13.0,13.0,13.0,100
CLH,20180504,11.83,14.26,11.83,14.25,4200
CLH,20180503,13.0,13.0,13.0,13.0,100
CLH,20180502,11.83,14.26,11.83,14.25,13300
CLH,20180427,12.64,13.0,12.64,13.0,1600
CLH,20180426,,,,13.9,0
CLH,20180424,,,,13.9,0
CLH,20180423,,,,13.9,0
CLH,20180420,14.16,14.34,13.9,13.9,9000
CLH,20180419,,,,15.42,0
CLH,20180418,15.42,15.42,15.42,15.42,100
CLH,20180417,,,,16.94,0
CLH,20180416,13.99,16.94,13.99,16.94,200
CLH,20180413,12.82,15.43,12.82,15.42,3100
CLH,20180412,14.08,14.08,14.08,14.08,100
CLH,20180411,12.64,13.45,12.64,13.45,200
CLH,20180410,13.45,13.45,13.45,13.45,18000
CLH,20180409,13.0,13.0,13.0,13.0,50000
CLH,20180406,,,,11.83,0
CLH,20180405,,,,11.83,0
CLH,20180404,,,,11.83,0
CLH,20180403,,,,11.83,0
CLH,20180402,,,,11.83,0
CLH,20180330,,,,11.83,0
CLH,20180329,11.83,11.83,11.83,11.83,300
CLH,20180328,,,,12.91,0
CLH,20180327,,,,12.91,0
CLH,20180326,12.91,12.91,12.91,12.91,20000
CLH,20180323,13.0,14.16,13.0,14.17,600
CLH,20180322,11.83,14.26,11.83,14.25,300
CLH,20180321,,,,13.0,0
CLH,20180320,,,,13.0,0
CLH,20180319,13.0,13.0,13.0,13.0,200
CLH,20180316,,,,14.25,0
CLH,20180315,13.54,14.26,13.45,14.25,376600
CLH,20180314,,,,13.0,0
CLH,20180313,,,,13.0,0
CLH,20180312,13.0,13.0,13.0,13.0,1000
CLH,20180309,,,,12.91,0
