<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CLL,20180713,,,,28.3,0
CLL,20180712,28.3,28.3,28.3,28.3,10
CLL,20180711,,,,28.3,0
CLL,20180710,,,,28.3,0
CLL,20180709,,,,28.3,0
CLL,20180706,29.0,29.0,28.3,28.3,5280
CLL,20180705,29.0,29.0,27.4,27.4,3750
CLL,20180704,,,,29.0,0
CLL,20180703,27.4,29.0,27.2,29.0,4400
CLL,20180702,28.9,30.0,27.6,27.6,3460
CLL,20180629,29.0,29.0,29.0,29.0,1000
CLL,20180628,29.05,29.05,27.9,27.9,60
CLL,20180627,30.0,30.0,29.1,29.1,3510
CLL,20180626,,,,29.0,0
CLL,20180625,29.0,29.0,28.0,29.0,2010
CLL,20180622,27.8,27.8,27.8,27.8,800
CLL,20180621,,,,27.5,0
CLL,20180620,,,,27.5,0
CLL,20180619,30.3,30.3,27.3,27.5,7560
CLL,20180618,,,,28.4,0
CLL,20180615,28.4,28.4,28.4,28.4,20
CLL,20180614,30.8,30.85,27.65,27.65,9080
CLL,20180613,,,,29.0,0
CLL,20180612,,,,29.0,0
CLL,20180611,,,,29.0,0
CLL,20180608,27.15,29.0,27.15,29.0,7420
CLL,20180607,,,,27.15,0
CLL,20180606,27.1,27.15,27.0,27.15,2010
CLL,20180605,,,,27.4,0
CLL,20180604,28.0,28.0,27.4,27.4,1170
CLL,20180601,28.9,28.9,27.9,28.9,930
CLL,20180531,28.7,28.7,28.7,28.7,1300
CLL,20180530,26.91,26.91,26.91,26.91,1750
CLL,20180529,,,,26.91,0
CLL,20180528,26.91,26.91,26.91,26.91,30
CLL,20180525,26.22,27.11,26.22,27.11,30
CLL,20180524,27.7,27.7,27.7,27.71,80
CLL,20180523,29.79,29.79,29.69,29.69,13030
CLL,20180522,29.79,29.79,27.8,28.0,5940
CLL,20180521,29.79,29.79,29.79,29.79,10
CLL,20180518,27.9,27.9,27.9,27.9,10
CLL,20180517,,,,29.79,0
CLL,20180516,27.8,29.79,27.8,29.79,10190
CLL,20180515,27.8,29.89,27.5,29.89,410
CLL,20180514,27.85,28.0,27.85,28.0,280
CLL,20180511,29.79,29.79,29.79,29.79,20
CLL,20180510,29.79,29.79,29.79,29.79,3240
CLL,20180509,,,,29.79,0
CLL,20180508,29.79,29.79,29.79,29.79,10
CLL,20180507,29.79,29.79,27.8,28.8,16040
CLL,20180504,29.79,29.79,29.79,29.79,1000
CLL,20180503,30.19,30.19,30.19,30.19,10
CLL,20180502,29.79,29.79,29.69,29.79,13550
CLL,20180427,,,,27.9,0
CLL,20180426,28.2,28.2,27.91,27.9,1770
CLL,20180424,28.65,28.69,28.65,28.7,110
CLL,20180423,31.18,31.18,28.89,30.78,670
CLL,20180420,30.99,30.99,30.99,30.98,10
CLL,20180419,30.98,31.18,29.19,29.2,16190
CLL,20180418,31.18,31.18,31.18,31.18,20
CLL,20180417,31.18,31.18,28.65,30.78,93210
CLL,20180416,31.18,31.18,30.78,30.78,30
CLL,20180413,32.17,32.17,32.17,32.17,400
CLL,20180412,30.29,31.18,30.29,31.18,300
CLL,20180411,30.44,30.44,30.44,30.44,200
CLL,20180410,32.18,32.18,30.19,30.39,13510
CLL,20180409,30.38,30.38,29.07,30.29,8250
CLL,20180406,30.01,30.29,30.01,30.29,2300
CLL,20180405,30.66,30.66,30.0,30.01,1410
CLL,20180404,28.79,30.95,28.79,30.66,2070
CLL,20180403,28.22,30.01,28.22,30.01,15400
CLL,20180402,30.01,30.01,28.13,28.13,1800
CLL,20180330,28.13,29.82,28.13,29.82,40
CLL,20180329,29.07,29.07,28.13,28.13,4990
CLL,20180328,31.61,31.61,29.07,29.07,1330
CLL,20180327,27.85,29.58,27.85,29.59,41780
CLL,20180326,26.73,27.67,26.73,27.66,3400
CLL,20180323,26.54,26.73,26.26,26.73,7130
CLL,20180322,26.26,26.45,26.26,26.26,2780
CLL,20180321,25.79,26.07,25.79,26.07,50
CLL,20180320,26.26,26.26,25.88,26.07,4270
CLL,20180319,26.07,26.26,26.07,26.26,190
CLL,20180316,,,,25.79,0
CLL,20180315,25.79,25.79,25.79,25.79,10
CLL,20180314,,,,26.26,0
CLL,20180313,26.26,26.26,25.79,26.26,8020
CLL,20180312,25.78,26.35,25.69,26.35,17760
CLL,20180309,25.79,25.79,25.69,25.69,60
CLL,20180308,26.26,26.26,24.57,25.41,9000
CLL,20180307,26.26,26.26,26.26,26.26,10
CLL,20180306,26.25,26.25,26.25,26.26,10
CLL,20180305,26.17,26.26,25.7,25.69,8310
CLL,20180302,,,,26.26,0
CLL,20180301,26.26,26.26,26.26,26.26,1030
CLL,20180228,25.32,25.51,25.32,25.51,700
CLL,20180227,26.26,26.26,26.26,26.26,50
CLL,20180226,,,,25.6,0
CLL,20180223,25.6,25.6,25.6,25.6,120
CLL,20180222,26.63,27.57,25.46,25.55,69490
CLL,20180221,,,,25.79,0
CLL,20180213,25.79,25.79,25.79,25.79,200
CLL,20180212,,,,26.07,0
CLL,20180209,25.32,26.07,25.32,26.07,3920
CLL,20180208,25.32,25.32,25.32,25.32,400
CLL,20180207,24.85,26.54,24.85,26.54,2690
CLL,20180206,24.85,24.85,24.85,24.85,1000
CLL,20180205,25.32,25.32,25.32,25.32,5010
CLL,20180202,26.26,26.26,26.26,26.26,220
CLL,20180201,25.32,26.54,25.32,26.54,7900
CLL,20180131,,,,26.54,0
CLL,20180130,,,,26.54,0
