<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMC,20180713,,,,5.5,0
CMC,20180712,,,,5.5,0
CMC,20180711,,,,5.5,0
CMC,20180710,,,,5.5,0
CMC,20180709,,,,5.5,0
CMC,20180706,,,,5.5,0
CMC,20180705,,,,5.5,0
CMC,20180704,,,,5.5,0
CMC,20180703,,,,5.5,0
CMC,20180702,,,,5.5,0
CMC,20180629,,,,5.5,0
CMC,20180628,,,,5.5,0
CMC,20180627,,,,5.5,0
CMC,20180626,,,,5.5,0
CMC,20180625,,,,5.5,0
CMC,20180622,,,,5.5,0
CMC,20180621,,,,5.5,0
CMC,20180620,,,,5.5,0
CMC,20180619,,,,5.5,0
CMC,20180618,,,,5.5,0
CMC,20180615,,,,5.5,0
CMC,20180614,5.5,5.5,5.5,5.5,50
CMC,20180613,,,,5.5,0
CMC,20180612,,,,5.5,0
CMC,20180611,,,,5.5,0
CMC,20180608,,,,5.5,0
CMC,20180607,,,,5.5,0
CMC,20180606,,,,5.5,0
CMC,20180605,,,,5.5,0
CMC,20180604,5.5,5.5,5.5,5.5,500
CMC,20180601,,,,5.1,0
CMC,20180531,5.1,5.1,5.1,5.1,100
CMC,20180530,,,,5.6,0
CMC,20180529,,,,5.6,0
CMC,20180528,,,,5.6,0
CMC,20180525,5.6,5.6,5.6,5.6,50
CMC,20180524,,,,5.6,0
CMC,20180523,,,,5.6,0
CMC,20180522,,,,5.6,0
CMC,20180521,5.6,5.6,5.6,5.6,1700
CMC,20180518,,,,5.6,0
CMC,20180517,,,,5.6,0
CMC,20180516,,,,5.6,0
CMC,20180515,,,,5.6,0
CMC,20180514,,,,5.6,0
CMC,20180511,,,,5.6,0
CMC,20180510,,,,5.6,0
CMC,20180509,,,,5.6,0
CMC,20180508,,,,5.6,0
CMC,20180507,,,,5.6,0
CMC,20180504,,,,5.6,0
CMC,20180503,,,,5.6,0
CMC,20180502,,,,5.6,0
CMC,20180427,,,,5.6,0
CMC,20180426,,,,5.6,0
CMC,20180424,,,,5.6,0
CMC,20180423,,,,5.6,0
CMC,20180420,5.6,5.6,5.6,5.6,700
CMC,20180419,,,,5.6,0
CMC,20180418,,,,5.6,0
CMC,20180417,,,,5.6,0
CMC,20180416,5.6,5.6,5.6,5.6,300
CMC,20180413,5.6,5.6,5.6,5.6,8200
CMC,20180412,5.6,5.6,5.6,5.6,200
CMC,20180411,,,,5.6,0
CMC,20180410,,,,5.6,0
CMC,20180409,,,,5.6,0
CMC,20180406,,,,5.6,0
CMC,20180405,,,,5.6,0
CMC,20180404,,,,5.6,0
CMC,20180403,,,,5.6,0
CMC,20180402,,,,5.6,0
CMC,20180330,,,,5.6,0
CMC,20180329,,,,5.6,0
CMC,20180328,,,,5.6,0
CMC,20180327,,,,5.6,0
CMC,20180326,,,,5.6,0
CMC,20180323,,,,5.6,0
CMC,20180322,5.6,5.6,5.6,5.6,1000
CMC,20180321,5.6,5.6,5.6,5.6,3100
CMC,20180320,5.6,5.6,5.6,5.6,1000
CMC,20180319,,,,5.6,0
CMC,20180316,5.6,5.6,5.6,5.6,2400
CMC,20180315,,,,5.6,0
CMC,20180314,,,,5.6,0
CMC,20180313,,,,5.6,0
CMC,20180312,,,,5.6,0
CMC,20180309,,,,5.6,0
CMC,20180308,,,,5.6,0
CMC,20180307,,,,5.6,0
CMC,20180306,,,,5.6,0
CMC,20180305,,,,5.6,0
CMC,20180302,,,,5.6,0
CMC,20180301,,,,5.6,0
CMC,20180228,5.6,5.6,5.6,5.6,200
CMC,20180227,,,,5.5,0
CMC,20180226,5.5,5.5,5.5,5.5,700
CMC,20180223,,,,5.3,0
CMC,20180222,,,,5.3,0
CMC,20180221,,,,5.3,0
CMC,20180213,,,,5.3,0
CMC,20180212,,,,5.3,0
CMC,20180209,,,,5.3,0
CMC,20180208,,,,5.3,0
CMC,20180207,5.3,5.3,5.3,5.3,1000
CMC,20180206,5.3,5.3,5.3,5.3,2700
CMC,20180205,,,,5.7,0
CMC,20180202,,,,5.7,0
CMC,20180201,5.7,5.7,5.3,5.7,2900
CMC,20180131,5.7,5.7,5.7,5.7,300
CMC,20180130,5.7,5.7,5.7,5.7,700
CMC,20180129,5.6,5.6,5.6,5.6,900
CMC,20180126,5.6,5.6,5.6,5.6,500
CMC,20180125,5.7,5.7,5.7,5.7,100
CMC,20180122,5.7,5.7,5.7,5.7,1200
CMC,20180119,5.5,5.5,5.5,5.5,1000
CMC,20180118,5.5,5.6,5.5,5.6,1480
CMC,20180117,5.5,5.5,5.5,5.5,500
CMC,20180116,6.1,6.1,6.1,6.1,1200
CMC,20180115,,,,6.7,0
CMC,20180112,6.7,6.7,6.7,6.7,100
CMC,20180111,,,,7.4,0
CMC,20180110,,,,7.4,0
CMC,20180109,,,,7.4,0
CMC,20180108,,,,7.4,0
CMC,20180105,,,,7.4,0
CMC,20180104,,,,7.4,0
CMC,20180103,,,,7.4,0
CMC,20180102,,,,7.4,0
CMC,20171229,,,,7.4,0
CMC,20171228,7.4,7.4,7.4,7.4,65
CMC,20171227,7.4,7.4,7.4,7.4,500
CMC,20171226,6.8,6.8,6.8,6.8,1100
CMC,20171225,,,,6.2,0
CMC,20171222,,,,6.2,0
CMC,20171221,6.2,6.2,6.2,6.2,15
CMC,20171220,6.2,6.2,6.2,6.2,100
CMC,20171219,,,,5.7,0
CMC,20171218,,,,5.7,0
CMC,20171215,,,,5.7,0
CMC,20171214,,,,5.7,0
CMC,20171213,,,,5.7,0
CMC,20171212,,,,5.7,0
CMC,20171211,5.6,5.7,5.6,5.7,810
CMC,20171208,5.6,5.6,5.6,5.6,100
CMC,20171207,6.2,6.2,6.2,6.2,500
CMC,20171206,6.8,6.8,6.2,6.2,950
CMC,20171205,,,,6.8,0
CMC,20171204,6.8,6.8,6.8,6.8,1200
CMC,20171201,,,,6.8,0
CMC,20171130,,,,6.8,0
CMC,20171129,,,,6.8,0
CMC,20171128,6.8,6.8,6.8,6.8,15
CMC,20171127,6.8,6.8,6.8,6.8,825
CMC,20171124,6.3,6.3,6.3,6.3,550
