<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CMI,20180713,1.2,1.2,1.0,1.1,12700
CMI,20180712,,,,1.1,0
CMI,20180711,,,,1.1,0
CMI,20180710,,,,1.1,0
CMI,20180709,,,,1.1,0
CMI,20180706,1.1,1.1,1.1,1.1,36700
CMI,20180705,,,,1.2,0
CMI,20180704,,,,1.2,0
CMI,20180703,,,,1.2,0
CMI,20180702,,,,1.2,0
CMI,20180629,1.1,1.2,1.1,1.2,50100
CMI,20180628,,,,1.2,0
CMI,20180627,,,,1.2,0
CMI,20180626,,,,1.2,0
CMI,20180625,,,,1.2,0
CMI,20180622,1.2,1.2,1.2,1.2,20400
CMI,20180621,,,,1.2,0
CMI,20180620,,,,1.2,0
CMI,20180619,,,,1.2,0
CMI,20180618,,,,1.2,0
CMI,20180615,1.2,1.2,1.2,1.2,62000
CMI,20180614,,,,1.1,0
CMI,20180613,,,,1.1,0
CMI,20180612,,,,1.1,0
CMI,20180611,,,,1.1,0
CMI,20180608,1.1,1.2,1.1,1.1,2400
CMI,20180607,,,,1.1,0
CMI,20180606,,,,1.1,0
CMI,20180605,,,,1.1,0
CMI,20180604,,,,1.1,0
CMI,20180601,1.2,1.2,1.1,1.1,57900
CMI,20180531,,,,1.1,0
CMI,20180530,,,,1.1,0
CMI,20180529,,,,1.1,0
CMI,20180528,,,,1.1,0
CMI,20180525,1.0,1.1,1.0,1.1,17400
CMI,20180524,,,,1.1,0
CMI,20180523,,,,1.1,0
CMI,20180522,,,,1.1,0
CMI,20180521,,,,1.1,0
CMI,20180518,1.2,1.2,1.1,1.1,50500
CMI,20180517,,,,1.2,0
CMI,20180516,,,,1.2,0
CMI,20180515,,,,1.2,0
CMI,20180514,,,,1.2,0
CMI,20180511,1.2,1.2,1.1,1.2,33300
CMI,20180510,,,,1.2,0
CMI,20180509,,,,1.2,0
CMI,20180508,,,,1.2,0
CMI,20180507,,,,1.2,0
CMI,20180504,1.2,1.2,1.1,1.2,6900
CMI,20180503,,,,1.1,0
CMI,20180502,,,,1.1,0
CMI,20180427,1.1,1.2,1.1,1.1,129300
CMI,20180426,,,,1.2,0
CMI,20180424,,,,1.2,0
CMI,20180423,,,,1.2,0
CMI,20180420,1.2,1.2,1.1,1.2,21100
CMI,20180419,,,,1.1,0
CMI,20180418,,,,1.1,0
CMI,20180417,,,,1.1,0
CMI,20180416,,,,1.1,0
CMI,20180413,1.2,1.2,1.1,1.1,75200
CMI,20180412,,,,1.2,0
CMI,20180411,,,,1.2,0
CMI,20180410,,,,1.2,0
CMI,20180409,,,,1.2,0
CMI,20180406,1.2,1.2,1.1,1.2,90220
CMI,20180405,,,,1.2,0
CMI,20180404,,,,1.2,0
CMI,20180403,,,,1.2,0
CMI,20180402,,,,1.2,0
CMI,20180330,1.3,1.3,1.2,1.2,93200
CMI,20180329,,,,1.3,0
CMI,20180328,,,,1.3,0
CMI,20180327,,,,1.3,0
CMI,20180326,,,,1.3,0
CMI,20180323,1.3,1.3,1.3,1.3,95000
CMI,20180322,,,,1.4,0
CMI,20180321,,,,1.4,0
CMI,20180320,,,,1.4,0
CMI,20180319,,,,1.4,0
CMI,20180316,1.4,1.4,1.4,1.4,243900
CMI,20180315,,,,1.5,0
CMI,20180314,,,,1.5,0
CMI,20180313,,,,1.5,0
CMI,20180312,,,,1.5,0
CMI,20180309,1.4,1.5,1.4,1.5,118900
CMI,20180308,,,,1.5,0
CMI,20180307,,,,1.5,0
CMI,20180306,,,,1.5,0
CMI,20180305,,,,1.5,0
CMI,20180302,1.4,1.5,1.4,1.5,232600
CMI,20180301,,,,1.5,0
CMI,20180228,,,,1.5,0
CMI,20180227,,,,1.5,0
CMI,20180226,,,,1.5,0
CMI,20180223,1.5,1.6,1.5,1.5,294000
CMI,20180222,,,,1.6,0
CMI,20180221,,,,1.6,0
CMI,20180213,,,,1.6,0
CMI,20180212,,,,1.6,0
CMI,20180209,1.6,1.6,1.6,1.6,13500
CMI,20180208,,,,1.7,0
CMI,20180207,,,,1.7,0
CMI,20180206,,,,1.7,0
CMI,20180205,,,,1.7,0
CMI,20180202,1.7,1.7,1.7,1.7,63900
CMI,20180201,,,,1.8,0
CMI,20180131,,,,1.8,0
CMI,20180130,,,,1.8,0
CMI,20180129,,,,1.8,0
CMI,20180126,2.0,2.0,1.8,1.8,69200
CMI,20180125,,,,2.0,0
CMI,20180122,,,,2.0,0
CMI,20180119,2.0,2.0,1.9,2.0,33900
CMI,20180118,,,,2.0,0
CMI,20180117,,,,2.0,0
CMI,20180116,,,,2.0,0
CMI,20180115,,,,2.0,0
CMI,20180112,2.0,2.1,1.9,2.0,160300
CMI,20180111,,,,2.0,0
CMI,20180110,,,,2.0,0
CMI,20180109,,,,2.0,0
CMI,20180108,,,,2.0,0
CMI,20180105,1.9,2.1,1.9,2.0,76500
CMI,20180104,,,,2.0,0
CMI,20180103,,,,2.0,0
CMI,20180102,,,,2.0,0
CMI,20171229,2.0,2.0,1.9,2.0,86700
CMI,20171228,,,,2.0,0
CMI,20171227,,,,2.0,0
CMI,20171226,,,,2.0,0
CMI,20171225,,,,2.0,0
CMI,20171222,2.0,2.1,1.9,2.0,122900
CMI,20171221,,,,2.0,0
CMI,20171220,,,,2.0,0
CMI,20171219,,,,2.0,0
CMI,20171218,,,,2.0,0
CMI,20171215,2.1,2.1,1.9,2.0,346000
CMI,20171214,,,,2.1,0
CMI,20171213,,,,2.1,0
CMI,20171212,,,,2.1,0
CMI,20171211,,,,2.1,0
CMI,20171208,2.0,2.1,1.9,2.1,239200
CMI,20171207,,,,2.1,0
CMI,20171206,,,,2.1,0
CMI,20171205,,,,2.1,0
CMI,20171204,,,,2.1,0
CMI,20171201,2.3,2.3,2.1,2.1,133220
CMI,20171130,,,,2.2,0
CMI,20171129,,,,2.2,0
CMI,20171128,,,,2.2,0
CMI,20171127,,,,2.2,0
CMI,20171124,2.0,2.2,2.0,2.2,433720
CMI,20171123,,,,2.0,0
CMI,20171122,,,,2.0,0
CMI,20171121,,,,2.0,0
CMI,20171120,,,,2.0,0
CMI,20171117,2.0,2.1,1.9,2.0,75800
CMI,20171116,,,,2.0,0
CMI,20171115,,,,2.0,0
CMI,20171114,,,,2.0,0
CMI,20171113,,,,2.0,0
CMI,20171110,2.0,2.1,2.0,2.0,531320
CMI,20171109,,,,2.2,0
CMI,20171108,,,,2.2,0
CMI,20171107,,,,2.2,0
CMI,20171106,,,,2.2,0
CMI,20171103,2.2,2.2,2.2,2.2,466900
CMI,20171102,,,,2.4,0
CMI,20171101,,,,2.4,0
CMI,20171031,,,,2.4,0
CMI,20171030,,,,2.4,0
CMI,20171027,2.6,2.6,2.4,2.4,245000
CMI,20171026,,,,2.6,0
CMI,20171025,,,,2.6,0
CMI,20171024,,,,2.6,0
CMI,20171023,,,,2.6,0
CMI,20171020,2.5,2.9,2.5,2.6,424100
CMI,20171019,,,,2.7,0
CMI,20171018,,,,2.7,0
CMI,20171017,,,,2.7,0
CMI,20171016,,,,2.7,0
CMI,20171013,2.7,3.0,2.7,2.7,1046900
CMI,20171012,,,,3.0,0
CMI,20171011,,,,3.0,0
CMI,20171010,,,,3.0,0
CMI,20171009,,,,3.0,0
CMI,20171006,3.0,3.0,3.0,3.0,24400
CMI,20171005,,,,3.3,0
CMI,20171004,,,,3.3,0
CMI,20171003,,,,3.3,0
CMI,20171002,,,,3.3,0
CMI,20170929,3.3,3.3,3.3,3.3,91700
CMI,20170928,,,,3.6,0
CMI,20170927,,,,3.6,0
CMI,20170926,,,,3.6,0
CMI,20170925,,,,3.6,0
CMI,20170922,3.6,3.6,3.6,3.6,206000
CMI,20170921,,,,3.9,0
CMI,20170920,,,,3.9,0
CMI,20170919,,,,3.9,0
CMI,20170918,,,,3.9,0
CMI,20170915,3.9,3.9,3.9,3.9,40100
CMI,20170914,,,,4.3,0
CMI,20170913,,,,4.3,0
CMI,20170912,,,,4.3,0
CMI,20170911,,,,4.3,0
CMI,20170908,4.5,4.5,4.3,4.3,338600
CMI,20170907,4.6,4.7,4.6,4.6,67800
CMI,20170906,4.9,5.0,4.6,4.6,299000
CMI,20170905,4.5,4.8,4.5,4.8,612500
CMI,20170901,4.4,4.5,4.3,4.4,100600
CMI,20170831,4.6,4.6,4.4,4.4,191500
CMI,20170830,4.5,4.6,4.5,4.6,92720
CMI,20170829,4.7,4.8,4.4,4.5,222800
CMI,20170828,4.6,4.7,4.4,4.7,754400
CMI,20170825,4.1,4.4,4.1,4.4,151700
CMI,20170824,4.4,4.4,4.0,4.2,345700
CMI,20170823,4.3,4.5,4.3,4.4,225605
CMI,20170822,4.4,4.6,4.2,4.2,633100
CMI,20170821,4.0,4.2,4.0,4.2,442430
CMI,20170818,4.1,4.1,3.8,3.9,206300
CMI,20170817,4.5,4.5,4.1,4.1,304400
CMI,20170816,4.5,4.7,4.4,4.5,236400
CMI,20170815,4.3,4.6,4.1,4.5,557800
CMI,20170814,4.8,4.8,4.5,4.5,605500
CMI,20170811,5.1,5.1,4.9,4.9,172000
CMI,20170810,5.1,5.4,5.0,5.0,169400
CMI,20170809,5.6,5.6,5.2,5.2,701900
CMI,20170808,6.3,6.5,5.7,5.7,443600
CMI,20170807,6.3,6.5,6.1,6.3,219800
CMI,20170804,6.3,6.5,6.1,6.3,393000
CMI,20170803,6.5,6.7,6.2,6.3,432631
CMI,20170802,6.6,6.6,6.4,6.6,784723
CMI,20170801,6.0,6.0,5.6,6.0,271500
