<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CSM,20180713,13.0,13.65,12.7,13.0,458540
CSM,20180712,12.8,13.1,12.8,12.8,43060
CSM,20180711,13.0,13.0,12.75,12.9,26890
CSM,20180710,13.6,13.6,13.0,13.0,27410
CSM,20180709,14.0,14.0,13.2,13.2,12520
CSM,20180706,13.3,13.55,12.75,13.4,83740
CSM,20180705,13.65,13.7,12.75,12.75,59290
CSM,20180704,14.1,14.1,13.6,13.65,16130
CSM,20180703,14.35,14.45,13.6,13.8,22090
CSM,20180702,13.9,13.95,13.6,13.95,60010
CSM,20180629,14.3,14.4,13.75,13.9,86590
CSM,20180628,14.6,14.65,14.2,14.2,23620
CSM,20180627,14.8,14.8,14.55,14.6,69190
CSM,20180626,14.2,14.6,14.0,14.6,208970
CSM,20180625,14.3,14.3,14.0,14.2,83570
CSM,20180622,14.0,14.4,14.0,14.3,76220
CSM,20180621,14.2,14.45,14.2,14.2,100230
CSM,20180620,13.71,14.29,13.61,14.05,71780
CSM,20180619,14.15,14.15,13.62,13.61,116210
CSM,20180618,14.44,14.49,14.1,14.15,156690
CSM,20180615,14.44,14.64,14.44,14.54,49400
CSM,20180614,14.49,14.78,14.44,14.54,36950
CSM,20180613,14.58,15.36,14.34,14.68,126720
CSM,20180612,14.92,14.92,14.29,14.39,159390
CSM,20180611,14.58,14.92,14.58,14.92,69070
CSM,20180608,15.46,15.46,14.83,14.92,80450
CSM,20180607,14.29,15.21,14.29,15.22,770870
CSM,20180606,14.58,14.58,14.24,14.24,198550
CSM,20180605,14.44,14.63,14.44,14.58,221030
CSM,20180604,14.58,14.58,14.39,14.39,168430
CSM,20180601,14.53,14.63,14.39,14.39,351920
CSM,20180531,14.83,14.83,14.59,14.58,222090
CSM,20180530,14.2,14.78,14.2,14.54,260850
CSM,20180529,13.95,14.58,13.95,14.2,284220
CSM,20180528,14.39,14.39,13.95,13.95,209940
CSM,20180525,14.1,14.78,14.1,14.39,617560
CSM,20180524,14.15,14.68,14.1,14.49,645970
CSM,20180523,13.51,14.14,13.12,14.15,394090
CSM,20180522,13.12,13.51,13.02,13.22,288910
CSM,20180521,12.74,13.28,12.74,13.17,120210
CSM,20180518,12.74,12.89,12.74,12.79,209510
CSM,20180517,12.35,12.79,12.35,12.79,96270
CSM,20180516,12.79,12.79,12.59,12.74,64540
CSM,20180515,12.64,12.74,12.59,12.64,84590
CSM,20180514,12.25,12.69,12.2,12.69,77790
CSM,20180511,12.3,12.45,12.3,12.35,33080
CSM,20180510,12.15,12.54,12.15,12.3,19900
CSM,20180509,12.59,12.59,12.15,12.15,184410
CSM,20180508,12.64,12.74,12.49,12.59,56060
CSM,20180507,12.54,12.64,12.25,12.64,166720
CSM,20180504,12.45,12.93,12.35,12.35,151560
CSM,20180503,12.74,12.74,12.45,12.64,119090
CSM,20180502,13.03,13.03,12.69,12.74,104950
CSM,20180427,12.88,12.98,12.88,12.98,73910
CSM,20180426,13.12,13.22,12.73,12.93,225190
CSM,20180424,13.22,13.41,13.12,13.22,216040
CSM,20180423,13.42,13.71,13.23,13.22,148680
CSM,20180420,13.51,13.71,13.37,13.42,200440
CSM,20180419,14.05,14.05,13.66,13.66,115530
CSM,20180418,13.85,14.0,13.85,13.9,64960
CSM,20180417,14.29,14.29,13.85,13.9,67090
CSM,20180416,14.1,14.1,13.76,13.9,86390
CSM,20180413,13.8,14.24,13.8,14.0,131410
CSM,20180412,13.91,14.2,13.91,13.9,224390
CSM,20180411,14.2,14.35,13.76,13.76,282810
CSM,20180410,14.2,14.39,13.91,14.2,179980
CSM,20180409,14.29,14.58,14.19,14.2,175330
CSM,20180406,14.49,14.49,14.25,14.24,131370
CSM,20180405,14.58,14.58,14.2,14.2,76610
CSM,20180404,14.2,14.59,14.1,14.39,307630
CSM,20180403,13.9,14.19,13.85,14.1,161670
CSM,20180402,13.9,14.29,13.9,13.95,203120
CSM,20180330,14.1,14.29,13.91,13.9,141000
CSM,20180329,14.39,14.39,14.05,14.1,107790
CSM,20180328,14.2,14.49,14.2,14.2,58160
CSM,20180327,14.58,14.58,14.15,14.2,326090
CSM,20180326,14.2,14.83,14.2,14.39,403110
CSM,20180323,13.86,14.54,13.86,14.2,178740
CSM,20180322,14.29,14.29,14.0,14.05,645770
CSM,20180321,14.19,14.39,14.1,14.29,158820
CSM,20180320,14.59,14.59,14.25,14.29,285670
CSM,20180319,14.39,14.59,14.39,14.54,73930
CSM,20180316,14.29,14.68,14.19,14.54,245060
CSM,20180315,14.39,14.68,14.29,14.29,96720
CSM,20180314,14.29,14.49,14.2,14.39,64280
CSM,20180313,14.58,14.87,14.29,14.39,119880
CSM,20180312,14.88,15.03,14.59,14.58,163430
CSM,20180309,14.29,15.07,14.29,14.88,387490
CSM,20180308,14.2,14.49,14.2,14.39,57640
CSM,20180307,13.91,14.59,13.86,14.2,179220
CSM,20180306,13.91,13.91,13.81,13.86,96980
CSM,20180305,14.05,14.05,13.81,13.86,89190
CSM,20180302,13.86,14.01,13.62,13.81,140020
CSM,20180301,13.81,13.9,13.61,13.86,209300
CSM,20180228,14.0,14.1,13.71,14.0,150670
CSM,20180227,14.19,14.48,13.8,14.0,438240
CSM,20180226,14.34,14.68,14.05,14.24,185430
CSM,20180223,13.85,14.44,13.85,14.44,107810
CSM,20180222,14.39,14.39,13.9,13.95,223730
CSM,20180221,14.29,14.58,14.29,14.39,115870
CSM,20180213,14.68,14.68,14.39,14.39,53980
CSM,20180212,13.9,14.39,13.9,14.39,120450
CSM,20180209,13.46,14.0,13.22,14.0,396440
CSM,20180208,13.95,14.09,13.61,13.9,159010
CSM,20180207,13.13,13.96,13.13,13.9,200550
CSM,20180206,12.54,13.42,12.5,13.13,769920
CSM,20180205,14.34,14.34,13.37,13.42,632190
CSM,20180202,14.44,14.78,14.1,14.34,233800
CSM,20180201,14.73,14.83,14.44,14.44,269450
CSM,20180131,14.78,15.07,14.58,14.78,398810
CSM,20180130,15.07,15.17,14.73,14.97,441780
CSM,20180129,15.31,15.65,15.17,15.17,219490
CSM,20180126,14.93,15.85,14.93,15.46,609850
