<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CT6,20180713,,,,5.0,0
CT6,20180712,,,,5.0,0
CT6,20180711,,,,5.0,0
CT6,20180710,,,,5.0,0
CT6,20180709,,,,5.0,0
CT6,20180706,,,,5.0,0
CT6,20180705,,,,5.0,0
CT6,20180704,,,,5.0,0
CT6,20180703,,,,5.0,0
CT6,20180702,,,,5.0,0
CT6,20180629,,,,5.0,0
CT6,20180628,,,,5.0,0
CT6,20180627,,,,5.0,0
CT6,20180626,,,,5.0,0
CT6,20180625,5.0,5.0,5.0,5.0,4000
CT6,20180622,,,,5.2,0
CT6,20180621,,,,5.2,0
CT6,20180620,,,,5.2,0
CT6,20180619,,,,5.2,0
CT6,20180618,,,,5.2,0
CT6,20180615,,,,5.2,0
CT6,20180614,,,,5.2,0
CT6,20180613,,,,5.2,0
CT6,20180612,,,,5.2,0
CT6,20180611,,,,5.2,0
CT6,20180608,,,,5.2,0
CT6,20180607,,,,5.2,0
CT6,20180606,,,,5.2,0
CT6,20180605,,,,5.2,0
CT6,20180604,,,,5.2,0
CT6,20180601,5.2,5.2,5.2,5.2,4900
CT6,20180531,,,,5.5,0
CT6,20180530,,,,5.5,0
CT6,20180529,,,,5.5,0
CT6,20180528,,,,5.5,0
CT6,20180525,,,,5.5,0
CT6,20180524,,,,5.5,0
CT6,20180523,,,,5.5,0
CT6,20180522,,,,5.5,0
CT6,20180521,,,,5.5,0
CT6,20180518,5.5,5.5,5.5,5.5,500
CT6,20180517,,,,5.5,0
CT6,20180516,,,,5.5,0
CT6,20180515,,,,5.5,0
CT6,20180514,,,,5.5,0
CT6,20180511,,,,5.5,0
CT6,20180510,,,,5.5,0
CT6,20180509,,,,5.5,0
CT6,20180508,5.5,5.5,5.5,5.5,1000
CT6,20180507,,,,5.5,0
CT6,20180504,,,,5.5,0
CT6,20180503,,,,5.5,0
CT6,20180502,,,,5.5,0
CT6,20180427,,,,5.5,0
CT6,20180426,,,,5.5,0
CT6,20180424,5.5,5.5,5.5,5.5,3700
CT6,20180423,,,,5.2,0
CT6,20180420,,,,5.2,0
CT6,20180419,5.2,5.2,5.2,5.2,24
CT6,20180418,,,,5.2,0
CT6,20180417,5.2,5.2,5.2,5.2,100
CT6,20180416,5.5,5.5,5.5,5.5,6
CT6,20180413,5.7,5.7,5.5,5.5,9000
CT6,20180412,6.0,6.0,5.7,5.7,1418
CT6,20180411,5.8,6.0,5.8,6.0,1100
CT6,20180410,6.0,6.0,6.0,6.0,738
CT6,20180409,,,,6.5,0
CT6,20180406,6.5,6.5,6.5,6.5,10
CT6,20180405,,,,6.5,0
CT6,20180404,,,,6.5,0
CT6,20180403,6.5,6.5,6.5,6.5,40
CT6,20180402,6.5,6.5,6.5,6.5,210
CT6,20180330,,,,6.5,0
CT6,20180329,6.5,6.5,6.5,6.5,46
CT6,20180328,,,,6.5,0
CT6,20180327,,,,6.5,0
CT6,20180326,,,,6.5,0
