<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTX,20180713,,,,28.6,0
CTX,20180712,,,,28.6,0
CTX,20180711,,,,28.6,0
CTX,20180710,,,,28.6,0
CTX,20180709,,,,28.6,0
CTX,20180706,,,,28.6,0
CTX,20180705,,,,28.6,0
CTX,20180704,,,,28.6,0
CTX,20180703,28.6,28.6,28.6,28.6,1800
CTX,20180702,,,,28.6,0
CTX,20180629,,,,28.6,0
CTX,20180628,28.6,28.6,28.6,28.6,500
CTX,20180627,,,,28.6,0
CTX,20180626,,,,28.6,0
CTX,20180625,,,,28.6,0
CTX,20180622,28.6,28.6,28.6,28.6,13200
CTX,20180621,,,,26.0,0
CTX,20180620,,,,26.0,0
CTX,20180619,26.0,26.0,26.0,26.0,3800
CTX,20180618,28.0,28.0,27.5,27.5,12900
CTX,20180615,,,,28.0,0
CTX,20180614,28.0,28.0,28.0,28.0,10000
CTX,20180613,28.0,31.9,28.0,30.0,5000
CTX,20180612,31.0,31.0,31.0,31.0,200
CTX,20180611,29.4,29.4,29.4,29.4,200
CTX,20180608,,,,26.9,0
CTX,20180607,26.9,26.9,26.9,26.9,2600
CTX,20180606,25.2,25.2,25.2,25.2,500
CTX,20180605,27.0,27.5,25.6,25.6,8600
CTX,20180604,26.8,26.9,25.0,25.0,13300
CTX,20180601,27.0,27.0,22.6,26.8,4400
CTX,20180531,24.8,24.8,24.8,24.8,200
CTX,20180530,25.0,27.4,25.0,27.4,400
CTX,20180529,,,,27.5,0
CTX,20180528,27.5,27.5,27.5,27.5,500
CTX,20180525,,,,27.0,0
CTX,20180524,,,,27.0,0
CTX,20180523,,,,27.0,0
CTX,20180522,27.0,27.0,27.0,27.0,5700
CTX,20180521,,,,28.1,0
CTX,20180518,28.1,28.1,28.1,28.1,100
CTX,20180517,28.0,28.0,28.0,28.0,8200
CTX,20180516,,,,28.0,0
CTX,20180515,27.5,28.8,27.5,28.0,15100
CTX,20180514,,,,27.5,0
CTX,20180511,,,,27.5,0
CTX,20180510,27.5,27.5,27.5,27.5,500
CTX,20180509,25.0,25.0,25.0,25.0,10000
CTX,20180508,,,,26.5,0
CTX,20180507,,,,26.5,0
CTX,20180504,26.5,26.5,26.5,26.5,5200
CTX,20180503,26.5,26.5,26.5,26.5,2000
CTX,20180502,,,,26.5,0
CTX,20180427,,,,26.5,0
CTX,20180426,28.0,28.0,26.5,26.5,2500
CTX,20180424,27.1,29.0,27.1,28.0,2400
CTX,20180423,,,,27.1,0
CTX,20180420,27.1,27.1,27.1,27.1,1000
CTX,20180419,,,,27.1,0
CTX,20180418,,,,27.1,0
CTX,20180417,27.1,27.1,27.1,27.1,200
CTX,20180416,27.1,27.5,27.1,27.1,9600
CTX,20180413,27.0,27.1,27.0,27.1,1000
CTX,20180412,26.8,26.8,26.8,26.8,6000
CTX,20180411,26.0,27.0,26.0,26.8,6400
CTX,20180410,,,,26.8,0
CTX,20180409,,,,26.8,0
CTX,20180406,,,,26.8,0
CTX,20180405,26.8,26.8,26.8,26.8,1900
CTX,20180404,26.7,26.8,26.7,26.8,5100
CTX,20180403,,,,27.1,0
CTX,20180402,,,,27.1,0
CTX,20180330,,,,27.1,0
CTX,20180329,,,,27.1,0
CTX,20180328,27.1,27.1,27.1,27.1,200
CTX,20180327,27.1,27.1,27.1,27.1,100
CTX,20180326,,,,25.7,0
CTX,20180323,,,,25.7,0
CTX,20180322,,,,25.7,0
CTX,20180321,,,,25.7,0
CTX,20180320,25.7,25.7,25.7,25.7,100
CTX,20180319,27.2,27.2,27.2,27.2,100
CTX,20180316,,,,27.2,0
CTX,20180315,,,,27.2,0
CTX,20180314,,,,27.2,0
CTX,20180313,,,,27.2,0
CTX,20180312,27.5,30.2,27.2,27.2,5300
CTX,20180309,29.4,29.4,27.5,27.5,2800
CTX,20180308,29.6,29.6,27.5,29.4,1900
CTX,20180307,27.6,29.4,27.6,29.4,1100
CTX,20180306,28.0,28.4,27.1,27.1,11300
CTX,20180305,27.0,28.3,27.0,28.2,16500
CTX,20180302,27.0,27.0,26.7,26.7,2800
CTX,20180301,27.0,27.0,25.8,25.8,700
CTX,20180228,27.9,27.9,27.9,27.9,100
CTX,20180227,27.2,27.2,27.2,27.2,200
CTX,20180226,28.5,29.5,27.3,27.3,1100
CTX,20180223,27.2,28.0,26.5,28.0,4500
CTX,20180222,28.6,28.6,28.6,28.6,100
CTX,20180221,28.6,28.6,26.0,26.0,700
CTX,20180213,29.1,29.2,27.4,27.4,2200
CTX,20180212,28.6,28.6,26.6,26.6,300
CTX,20180209,30.0,30.4,26.0,26.0,400
CTX,20180208,30.5,30.5,27.8,27.8,200
CTX,20180207,30.5,30.5,30.0,30.5,1600
CTX,20180206,30.3,30.3,28.0,28.0,200
CTX,20180205,31.7,31.7,29.5,30.3,85200
CTX,20180202,28.9,28.9,28.9,28.9,35700
CTX,20180201,26.3,26.3,26.3,26.3,100
CTX,20180131,28.2,28.2,28.2,28.2,1500
CTX,20180130,28.0,28.0,28.0,28.0,2800
CTX,20180129,29.7,29.7,29.7,29.7,1300
CTX,20180126,26.8,27.0,26.8,27.0,200
CTX,20180125,29.2,29.2,26.8,26.8,200
CTX,20180122,29.7,29.7,25.3,26.2,32000
CTX,20180119,27.0,27.0,27.0,27.0,107
CTX,20180118,28.7,28.7,24.1,28.7,2900
CTX,20180117,28.0,28.0,25.1,26.1,8300
CTX,20180116,,,,25.5,0
CTX,20180115,,,,25.5,0
CTX,20180112,27.7,27.7,25.2,25.5,5100
CTX,20180111,29.6,29.7,25.0,25.2,32400
CTX,20180110,,,,27.0,0
CTX,20180109,27.9,28.0,23.2,27.0,9700
CTX,20180108,25.5,25.5,25.5,25.5,100
CTX,20180105,23.2,23.2,23.2,23.2,300
CTX,20180104,25.0,27.9,25.0,25.5,3440
CTX,20180103,22.1,26.8,22.1,25.4,2200
CTX,20180102,24.4,24.4,24.4,24.4,200
CTX,20171229,25.5,28.6,25.5,27.0,3300
CTX,20171228,27.6,27.6,26.0,26.0,1100
CTX,20171227,27.6,27.6,25.1,25.1,5000
CTX,20171226,29.0,29.8,25.0,25.1,43400
CTX,20171225,25.0,27.1,23.7,27.1,7100
CTX,20171222,,,,24.7,0
CTX,20171221,26.0,26.9,24.7,24.7,11800
CTX,20171220,28.5,28.5,24.2,24.5,14500
CTX,20171219,23.7,26.0,23.7,26.0,9100
CTX,20171218,,,,23.7,0
CTX,20171215,,,,23.7,0
CTX,20171214,,,,23.7,0
CTX,20171213,,,,23.7,0
CTX,20171212,21.5,23.7,21.5,23.7,8000
CTX,20171211,,,,23.7,0
CTX,20171208,,,,23.7,0
CTX,20171207,26.5,26.5,23.7,23.7,33020
CTX,20171206,,,,24.1,0
CTX,20171205,24.1,24.1,24.1,24.1,1000
CTX,20171204,25.1,25.1,25.1,25.1,100
CTX,20171201,25.0,25.6,25.0,25.6,22200
CTX,20171130,23.3,23.3,23.3,23.3,300
CTX,20171129,21.2,21.2,21.2,21.2,2000
CTX,20171128,,,,22.0,0
CTX,20171127,22.0,22.0,22.0,22.0,1500
CTX,20171124,,,,23.0,0
CTX,20171123,,,,23.0,0
CTX,20171122,26.8,26.8,23.0,23.0,6300
CTX,20171121,,,,24.5,0
CTX,20171120,26.7,26.8,24.5,24.5,9100
CTX,20171117,24.4,26.7,24.4,24.4,20527
CTX,20171116,26.6,26.7,24.4,24.4,35400
CTX,20171115,24.3,24.3,24.3,24.3,15000
CTX,20171114,26.5,26.8,22.1,22.1,38700
CTX,20171113,24.5,24.5,24.5,24.5,100
CTX,20171110,,,,25.3,0
CTX,20171109,,,,25.3,0
CTX,20171108,23.5,25.3,23.5,25.3,1700
CTX,20171107,23.1,23.1,23.1,23.1,100
CTX,20171106,25.2,25.4,25.2,25.4,17020
CTX,20171103,24.7,24.9,23.1,23.1,103400
CTX,20171102,23.9,24.5,22.7,22.7,176600
CTX,20171101,23.0,23.2,21.1,22.3,23800
CTX,20171031,21.1,21.1,21.1,21.1,2100
CTX,20171030,21.5,23.2,20.2,22.2,69700
CTX,20171027,24.0,24.7,21.1,21.1,14200
CTX,20171026,22.6,22.6,20.6,22.6,6000
CTX,20171025,22.0,22.0,20.6,20.6,1500
CTX,20171024,19.2,20.0,19.2,20.0,4100
CTX,20171023,,,,19.4,0
CTX,20171020,21.5,21.6,19.4,19.4,10400
CTX,20171019,21.0,21.5,21.0,21.5,7200
CTX,20171018,23.0,23.1,21.1,21.4,12000
CTX,20171017,,,,21.0,0
CTX,20171016,21.0,23.1,21.0,21.0,17300
CTX,20171013,22.5,22.5,21.0,21.0,200
CTX,20171012,,,,20.8,0
CTX,20171011,22.5,22.5,20.4,20.8,12200
CTX,20171010,22.4,22.4,20.1,20.5,5800
CTX,20171009,22.9,22.9,20.4,20.4,1700
CTX,20171006,20.5,23.0,20.5,20.9,1800
CTX,20171005,22.3,22.3,20.2,22.3,32100
CTX,20171004,20.3,20.3,20.3,20.3,1400
CTX,20171003,21.9,22.0,18.5,18.5,12100
CTX,20171002,21.5,22.0,20.0,20.0,12200
CTX,20170929,19.7,23.6,19.7,20.0,24800
CTX,20170928,20.9,21.5,19.6,21.5,30300
CTX,20170927,19.6,19.6,19.6,19.6,200
CTX,20170926,19.5,20.1,19.3,20.1,8000
CTX,20170925,18.2,21.0,18.2,18.3,4300
CTX,20170922,,,,19.7,0
CTX,20170921,19.7,19.7,19.7,19.7,1500
CTX,20170920,21.0,21.0,19.7,19.7,8000
CTX,20170919,19.5,19.5,19.5,19.5,200
CTX,20170918,20.9,21.2,19.3,19.3,7500
CTX,20170915,19.5,19.5,19.3,19.3,1000
CTX,20170914,19.5,19.5,19.1,19.1,2200
CTX,20170913,19.0,19.0,19.0,19.0,1100
CTX,20170912,19.2,20.0,19.2,19.3,12000
CTX,20170911,,,,19.2,0
CTX,20170908,19.0,19.2,18.0,19.2,14300
CTX,20170907,17.5,17.5,17.5,17.5,1500
CTX,20170906,16.6,18.2,16.6,16.9,6100
CTX,20170905,,,,16.6,0
CTX,20170901,,,,16.6,0
CTX,20170831,,,,16.6,0
CTX,20170830,18.7,18.7,16.6,16.6,1100
CTX,20170829,,,,17.0,0
CTX,20170828,19.0,19.1,17.0,17.0,4900
CTX,20170825,19.5,19.5,17.4,17.4,5200
CTX,20170824,18.0,18.0,18.0,18.0,9800
CTX,20170823,,,,18.0,0
CTX,20170822,18.9,19.0,18.0,18.0,19900
CTX,20170821,19.0,19.0,19.0,19.0,5000
CTX,20170818,,,,19.0,0
CTX,20170817,,,,19.0,0
CTX,20170816,17.5,19.0,17.5,19.0,15600
CTX,20170815,,,,17.9,0
CTX,20170814,,,,17.9,0
CTX,20170811,,,,17.9,0
CTX,20170810,,,,17.9,0
CTX,20170809,17.9,17.9,17.9,17.9,100
CTX,20170808,,,,18.7,0
CTX,20170807,18.0,18.7,18.0,18.7,1100
CTX,20170804,19.0,19.0,19.0,19.0,100
CTX,20170803,,,,18.0,0
CTX,20170802,18.0,18.0,18.0,18.0,2000
CTX,20170801,18.4,18.4,18.0,18.1,7100
CTX,20170731,,,,18.4,0
CTX,20170728,,,,18.4,0
CTX,20170727,18.4,18.4,18.4,18.4,500
CTX,20170726,,,,17.4,0
CTX,20170725,,,,17.4,0
CTX,20170724,17.5,17.5,17.1,17.4,2000
CTX,20170721,,,,17.7,0
CTX,20170720,,,,17.7,0
CTX,20170719,,,,17.7,0
CTX,20170718,17.7,17.7,17.7,17.7,1100
CTX,20170717,17.8,19.2,17.8,19.2,2100
CTX,20170714,17.8,17.9,17.6,17.9,5000
CTX,20170713,,,,17.9,0
CTX,20170712,,,,17.9,0
CTX,20170711,,,,17.9,0
CTX,20170710,,,,17.9,0
CTX,20170707,17.9,17.9,17.9,17.9,147
CTX,20170706,,,,19.7,0
CTX,20170705,,,,19.7,0
CTX,20170704,,,,19.7,0
CTX,20170703,,,,19.7,0
CTX,20170630,,,,19.7,0
CTX,20170629,18.2,19.7,17.9,19.7,6500
CTX,20170628,18.3,18.3,18.2,18.2,16000
CTX,20170627,18.3,18.3,18.2,18.2,15000
CTX,20170626,18.2,18.2,18.2,18.2,3000
CTX,20170623,18.2,18.2,18.1,18.2,7500
CTX,20170622,,,,18.1,0
CTX,20170621,18.1,18.1,18.1,18.1,8000
CTX,20170620,18.1,18.1,18.1,18.1,500
CTX,20170619,18.0,18.0,17.8,18.0,5200
CTX,20170616,17.8,17.8,17.8,17.8,700
CTX,20170615,17.9,17.9,17.9,17.9,547
CTX,20170614,,,,17.8,0
CTX,20170613,,,,17.8,0
CTX,20170612,,,,17.8,0
CTX,20170609,,,,17.8,0
CTX,20170608,,,,17.8,0
CTX,20170607,,,,17.8,0
CTX,20170606,17.8,17.8,17.8,17.8,5000
CTX,20170605,18.0,18.0,17.8,17.9,12700
CTX,20170602,,,,18.0,0
CTX,20170601,18.1,18.1,18.0,18.0,5000
CTX,20170531,,,,18.5,0
CTX,20170530,18.0,18.5,18.0,18.5,5000
CTX,20170529,18.0,18.0,17.7,17.7,3800
CTX,20170526,,,,17.5,0
CTX,20170525,17.9,17.9,17.5,17.5,3200
CTX,20170524,18.0,19.2,17.0,19.2,16500
CTX,20170523,,,,17.5,0
CTX,20170522,17.5,17.5,17.5,17.5,1000
CTX,20170519,17.5,17.5,17.5,17.5,6000
CTX,20170518,,,,17.5,0
CTX,20170517,17.2,17.5,17.2,17.5,5900
CTX,20170516,17.0,17.0,17.0,17.0,3600
CTX,20170515,17.0,17.0,16.5,17.0,1200
CTX,20170512,17.0,17.0,17.0,17.0,2000
CTX,20170511,17.0,17.0,17.0,17.0,2000
CTX,20170510,,,,17.0,0
CTX,20170509,17.0,17.0,17.0,17.0,600
CTX,20170508,,,,17.0,0
CTX,20170505,,,,17.0,0
CTX,20170504,17.0,17.0,17.0,17.0,200
CTX,20170503,17.0,17.0,16.8,17.0,6400
CTX,20170428,17.0,17.0,17.0,17.0,2000
CTX,20170427,17.0,17.0,17.0,17.0,1000
CTX,20170426,,,,17.0,0
CTX,20170425,,,,17.0,0
CTX,20170424,17.0,17.0,17.0,17.0,6000
CTX,20170421,17.0,17.0,17.0,17.0,1701
CTX,20170420,16.9,17.0,16.9,17.0,6600
CTX,20170419,17.0,17.0,17.0,17.0,500
CTX,20170418,,,,16.6,0
CTX,20170417,17.0,17.0,16.6,16.6,1700
CTX,20170414,16.6,16.6,16.6,16.6,500
CTX,20170413,,,,17.0,0
CTX,20170412,,,,17.0,0
CTX,20170411,17.0,17.0,17.0,17.0,5000
CTX,20170410,,,,17.0,0
CTX,20170407,17.1,17.1,17.0,17.0,5400
CTX,20170405,18.0,18.0,17.1,17.1,17500
CTX,20170404,,,,18.0,0
CTX,20170403,,,,18.0,0
CTX,20170331,,,,18.0,0
CTX,20170330,18.0,18.0,18.0,18.0,100
CTX,20170329,,,,19.6,0
CTX,20170328,,,,19.6,0
CTX,20170327,,,,19.6,0
CTX,20170324,16.2,19.6,16.2,19.6,7600
CTX,20170323,,,,17.9,0
CTX,20170322,18.7,18.7,17.9,17.9,3000
CTX,20170321,,,,18.7,0
CTX,20170320,,,,18.7,0
CTX,20170317,,,,18.7,0
CTX,20170316,,,,18.7,0
CTX,20170315,,,,18.7,0
CTX,20170314,18.6,18.7,18.6,18.7,47900
CTX,20170313,17.6,18.5,17.0,17.0,13510
CTX,20170310,,,,17.5,0
CTX,20170309,,,,17.5,0
CTX,20170308,,,,17.5,0
CTX,20170307,,,,17.5,0
CTX,20170306,17.4,17.5,17.4,17.5,1700
CTX,20170303,,,,17.5,0
CTX,20170302,,,,17.5,0
