<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DCL,20180713,13.95,14.0,13.5,14.0,7120
DCL,20180712,13.95,14.0,13.2,13.95,3170
DCL,20180711,13.95,14.0,13.05,14.0,43820
DCL,20180710,14.3,14.35,13.85,14.0,20850
DCL,20180709,14.1,14.4,13.8,14.35,5320
DCL,20180706,14.3,14.3,13.7,14.15,8070
DCL,20180705,14.4,14.45,13.9,14.45,10580
DCL,20180704,14.4,14.5,13.8,14.5,2350
DCL,20180703,14.2,14.5,13.65,14.5,13560
DCL,20180702,14.8,14.8,13.8,14.6,23320
DCL,20180629,15.0,15.0,14.4,14.8,10720
DCL,20180628,14.9,15.0,14.6,14.65,19290
DCL,20180627,15.4,15.4,14.8,15.0,13840
DCL,20180626,14.75,15.1,14.75,15.05,1530
DCL,20180625,15.25,15.25,14.55,15.1,8430
DCL,20180622,15.4,15.4,14.8,15.25,5940
DCL,20180621,14.23,15.0,14.18,14.95,15080
DCL,20180620,13.79,15.0,13.79,15.0,8320
DCL,20180619,15.0,15.0,13.98,14.61,59780
DCL,20180618,15.48,15.48,15.0,15.0,5110
DCL,20180615,15.77,15.77,15.48,15.48,1910
DCL,20180614,15.91,15.91,15.48,15.77,16020
DCL,20180613,16.07,16.07,15.24,15.72,1620
DCL,20180612,15.49,15.68,15.24,15.68,42960
DCL,20180611,16.16,16.16,15.68,15.68,19250
DCL,20180608,16.36,16.36,15.73,15.97,14610
DCL,20180607,16.35,16.35,15.48,16.26,44970
DCL,20180606,16.4,16.4,16.06,16.35,9560
DCL,20180605,15.96,16.64,15.48,16.4,90140
DCL,20180604,16.64,16.64,15.97,16.4,43940
DCL,20180601,17.37,17.37,16.35,16.45,42230
DCL,20180531,17.18,17.22,16.35,16.45,72450
DCL,20180530,16.06,16.16,15.14,16.16,36730
DCL,20180529,14.42,15.15,14.33,15.14,89470
DCL,20180528,15.19,15.24,14.17,14.18,85720
DCL,20180525,15.24,15.24,14.71,15.19,37610
DCL,20180524,15.29,15.29,14.71,15.24,51810
DCL,20180523,15.29,15.48,14.71,15.48,55180
DCL,20180522,15.87,16.26,15.39,15.48,62400
DCL,20180521,16.55,16.55,16.26,16.45,10100
DCL,20180518,16.45,16.54,16.25,16.55,7360
DCL,20180517,16.45,16.74,16.45,16.64,4110
DCL,20180516,16.84,16.89,16.35,16.74,67750
DCL,20180515,16.88,16.93,16.45,16.74,33050
DCL,20180514,16.84,17.03,16.35,16.93,13760
DCL,20180511,16.79,16.79,16.26,16.74,17050
DCL,20180510,16.5,16.83,16.35,16.84,42350
DCL,20180509,16.45,17.13,16.45,16.98,10120
DCL,20180508,17.03,17.03,16.45,16.74,45700
DCL,20180507,17.22,17.22,17.12,17.22,37970
DCL,20180504,17.32,17.32,17.08,17.22,7350
DCL,20180503,17.32,17.32,16.84,17.13,10260
DCL,20180502,16.35,17.32,16.35,17.03,18080
DCL,20180427,16.93,17.37,16.93,17.37,17630
DCL,20180426,17.27,17.42,16.89,17.37,19830
DCL,20180424,17.42,17.52,16.45,17.42,101100
DCL,20180423,17.13,17.71,17.13,17.42,2830
DCL,20180420,17.42,17.95,16.55,17.66,30800
DCL,20180419,18.0,18.0,17.42,17.61,70870
DCL,20180418,17.42,18.09,17.42,17.61,145450
DCL,20180417,17.51,17.85,17.42,17.61,37990
DCL,20180416,18.14,18.14,17.41,17.95,42020
DCL,20180413,17.71,18.34,17.42,18.14,74290
DCL,20180412,17.41,17.8,17.27,17.61,194400
DCL,20180411,17.9,18.38,17.42,17.56,81610
DCL,20180410,18.58,18.58,17.42,17.9,33300
DCL,20180409,18.58,18.58,17.61,18.58,49290
DCL,20180406,18.97,18.97,18.39,18.58,38430
DCL,20180405,18.68,18.97,18.68,18.97,18240
DCL,20180404,19.06,19.06,18.48,18.97,35700
DCL,20180403,18.67,19.06,18.38,19.06,34570
DCL,20180402,19.16,19.16,18.97,19.06,11380
DCL,20180330,18.87,19.16,17.9,19.16,94160
DCL,20180329,18.97,18.97,18.72,18.87,23200
DCL,20180328,19.36,19.36,18.39,19.16,29640
DCL,20180327,19.35,19.35,19.01,19.26,10050
DCL,20180326,19.35,19.35,18.87,19.16,153970
DCL,20180323,19.16,19.35,18.87,19.35,63910
DCL,20180322,19.35,19.35,19.16,19.35,32040
DCL,20180321,19.54,19.64,19.35,19.35,21400
DCL,20180320,19.35,19.45,19.2,19.35,62940
DCL,20180319,19.79,19.79,19.25,19.35,131990
DCL,20180316,19.74,19.83,19.35,19.35,86080
DCL,20180315,19.35,19.69,19.06,19.35,106590
DCL,20180314,19.16,19.6,19.16,19.35,49850
DCL,20180313,19.74,19.83,19.16,19.55,77900
DCL,20180312,19.74,19.74,19.16,19.35,42600
DCL,20180309,19.84,19.94,19.6,19.74,27080
DCL,20180308,19.55,19.84,19.36,19.84,162500
DCL,20180307,19.45,19.64,19.35,19.55,55170
DCL,20180306,19.35,19.74,19.26,19.64,44470
DCL,20180305,19.59,19.84,19.3,19.74,36360
DCL,20180302,19.74,19.74,18.39,19.69,125570
DCL,20180301,19.79,19.79,19.16,19.74,105090
DCL,20180228,19.94,19.94,19.36,19.84,76910
DCL,20180227,19.84,19.84,19.36,19.84,58440
DCL,20180226,19.93,20.12,19.54,19.84,48690
DCL,20180223,20.22,20.22,19.69,19.93,30410
DCL,20180222,20.32,20.32,19.36,20.22,158280
