<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DGW,20180713,21.5,22.0,21.5,21.8,248890
DGW,20180712,21.5,22.05,21.3,21.5,291830
DGW,20180711,21.8,21.8,21.3,21.5,225870
DGW,20180710,21.4,22.8,21.4,22.5,540400
DGW,20180709,20.5,21.4,20.5,21.4,902810
DGW,20180706,20.0,21.5,20.0,20.0,729050
DGW,20180705,23.1,23.3,21.5,21.5,646540
DGW,20180704,23.4,23.5,21.95,23.1,239660
DGW,20180703,25.3,25.3,23.55,23.55,194660
DGW,20180702,26.0,26.0,24.5,25.3,212910
DGW,20180629,26.0,26.2,25.7,26.0,138140
DGW,20180628,26.5,26.6,25.6,26.0,192260
DGW,20180627,26.8,27.5,26.5,26.6,298690
DGW,20180626,26.8,26.8,26.2,26.8,105090
DGW,20180625,26.2,26.85,26.2,26.8,146530
DGW,20180622,25.3,26.2,25.0,26.2,179750
DGW,20180621,25.9,25.9,24.7,25.4,382100
DGW,20180620,25.2,25.9,25.1,25.9,234150
DGW,20180619,26.8,26.8,25.15,25.15,769300
DGW,20180618,28.3,28.4,27.0,27.0,437850
DGW,20180615,28.2,28.6,27.9,28.3,177090
DGW,20180614,28.9,28.9,28.3,28.3,227870
DGW,20180613,29.0,29.1,28.6,29.0,141130
DGW,20180612,29.7,29.7,28.3,29.0,455340
DGW,20180611,27.8,29.7,27.4,29.7,1037220
DGW,20180608,28.5,28.5,27.8,27.8,252100
DGW,20180607,28.95,29.15,28.6,28.6,270130
DGW,20180606,29.0,29.4,28.3,29.0,438720
DGW,20180605,27.2,29.0,26.8,29.0,1222990
DGW,20180604,26.8,27.2,26.3,27.15,187020
DGW,20180601,26.5,27.1,26.1,26.85,212460
DGW,20180531,26.0,26.5,25.7,26.5,156690
DGW,20180530,26.0,26.1,25.6,26.0,135910
DGW,20180529,25.0,26.3,25.0,26.0,196690
DGW,20180528,25.9,25.9,25.0,25.0,243150
DGW,20180525,26.0,26.5,25.8,25.9,251590
DGW,20180524,26.5,26.8,26.0,26.0,155000
DGW,20180523,26.0,26.5,25.5,26.5,272710
DGW,20180522,26.5,26.6,25.8,26.0,173430
DGW,20180521,27.0,27.1,26.6,26.6,313340
DGW,20180518,26.4,27.0,25.0,27.0,548070
DGW,20180517,26.7,26.7,26.3,26.4,121100
DGW,20180516,26.9,26.9,26.5,26.65,116830
DGW,20180515,26.7,27.6,26.5,26.9,471580
DGW,20180514,26.5,26.7,26.3,26.7,165830
DGW,20180511,26.1,26.39,25.81,26.3,122820
DGW,20180510,26.64,26.64,26.01,26.2,233870
DGW,20180509,27.08,27.18,26.64,26.64,257540
DGW,20180508,26.88,27.56,26.69,27.13,545970
DGW,20180507,26.11,26.89,25.96,26.88,397980
DGW,20180504,26.01,26.5,25.91,26.11,287580
DGW,20180503,26.01,26.01,25.33,26.01,170650
DGW,20180502,26.4,26.4,25.72,26.01,133810
DGW,20180427,26.3,26.59,25.33,26.4,318830
DGW,20180426,26.78,26.78,26.1,26.4,423910
DGW,20180424,26.98,27.42,26.5,26.88,347280
DGW,20180423,27.56,27.56,26.98,27.08,412750
