<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DPC,20180713,,,,18.0,0
DPC,20180712,,,,18.0,0
DPC,20180711,,,,18.0,0
DPC,20180710,,,,18.0,0
DPC,20180709,18.0,18.0,18.0,18.0,1000
DPC,20180706,18.0,18.0,18.0,18.0,2000
DPC,20180705,,,,18.0,0
DPC,20180704,,,,18.0,0
DPC,20180703,,,,18.0,0
DPC,20180702,,,,18.0,0
DPC,20180629,,,,18.0,0
DPC,20180628,,,,18.0,0
DPC,20180627,,,,18.0,0
DPC,20180626,18.0,18.0,18.0,18.0,600
DPC,20180625,,,,18.0,0
DPC,20180622,18.0,18.0,18.0,18.0,500
DPC,20180621,16.5,17.5,16.5,17.5,2100
DPC,20180620,16.3,16.3,16.3,16.3,600
DPC,20180619,,,,14.9,0
DPC,20180618,,,,14.9,0
DPC,20180615,,,,14.9,0
DPC,20180614,14.9,14.9,14.9,14.9,100
DPC,20180613,,,,13.6,0
DPC,20180612,,,,13.6,0
DPC,20180611,,,,13.6,0
DPC,20180608,13.6,13.6,13.6,13.6,100
DPC,20180607,,,,15.0,0
DPC,20180606,,,,15.0,0
DPC,20180605,15.0,15.0,15.0,15.0,100
DPC,20180604,16.5,16.5,16.5,16.5,100
DPC,20180601,15.0,15.0,15.0,15.0,100
DPC,20180531,16.5,16.5,16.5,16.5,1000
DPC,20180530,,,,16.5,0
DPC,20180529,,,,16.5,0
DPC,20180528,16.5,16.5,16.5,16.5,2000
DPC,20180525,,,,16.5,0
DPC,20180524,,,,16.5,0
DPC,20180523,16.5,16.5,16.5,16.5,2000
DPC,20180522,,,,16.5,0
DPC,20180521,,,,16.5,0
DPC,20180518,,,,16.5,0
DPC,20180517,,,,16.5,0
DPC,20180516,,,,16.5,0
DPC,20180515,16.5,16.5,16.5,16.5,650
DPC,20180514,,,,16.04,0
DPC,20180511,15.58,16.04,15.58,16.04,1500
DPC,20180510,15.59,15.59,15.59,15.58,200
DPC,20180509,15.12,15.12,15.12,15.13,1000
DPC,20180508,13.75,13.75,13.75,13.75,200
DPC,20180507,,,,13.75,0
DPC,20180504,13.75,13.75,13.75,13.75,400
DPC,20180503,15.12,15.12,15.12,15.13,2000
DPC,20180502,15.13,15.13,13.75,13.75,4800
DPC,20180427,14.76,14.76,14.76,14.76,630
DPC,20180426,,,,13.48,0
DPC,20180424,13.47,13.47,13.47,13.48,100
DPC,20180423,,,,12.28,0
DPC,20180420,,,,12.28,0
DPC,20180419,14.85,14.85,12.29,12.28,5100
DPC,20180418,,,,13.57,0
DPC,20180417,13.57,13.57,13.57,13.57,700
DPC,20180416,12.37,12.37,12.37,12.38,600
DPC,20180413,13.29,13.29,13.29,13.29,100
DPC,20180412,,,,14.39,0
DPC,20180411,,,,14.39,0
DPC,20180410,14.39,14.39,14.39,14.39,110
DPC,20180409,14.39,14.39,14.39,14.39,610
DPC,20180406,14.21,15.12,13.11,13.11,2200
DPC,20180405,13.75,13.75,13.75,13.75,760
DPC,20180404,13.75,13.75,13.75,13.75,100
DPC,20180403,13.57,13.57,13.57,13.57,100
DPC,20180402,12.38,12.38,12.38,12.38,600
DPC,20180330,13.75,13.75,12.38,12.38,900
DPC,20180329,13.75,13.75,13.75,13.75,70
DPC,20180328,14.48,14.57,13.75,13.75,5500
DPC,20180327,14.21,14.67,13.29,13.29,2200
DPC,20180326,14.11,14.11,14.11,14.12,2600
DPC,20180323,12.83,12.83,12.83,12.83,200
DPC,20180322,13.57,13.75,13.57,13.75,2100
DPC,20180321,14.94,15.12,14.94,14.94,4600
DPC,20180320,,,,16.5,0
DPC,20180319,16.51,16.51,16.51,16.5,100
DPC,20180316,12.47,15.12,12.47,15.13,300
DPC,20180315,12.65,13.84,12.65,13.75,5100
DPC,20180314,13.75,13.75,12.65,12.65,200
DPC,20180313,12.56,12.56,12.56,12.56,900
DPC,20180312,11.92,12.47,10.54,11.46,13100
DPC,20180309,,,,11.37,0
DPC,20180308,12.47,12.47,11.37,11.37,1300
