<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DRL,20180713,52.0,52.0,52.0,52.0,400
DRL,20180712,52.0,51.5,50.0,50.0,840
DRL,20180711,52.0,52.0,52.0,52.0,1060
DRL,20180710,52.0,52.0,52.0,52.0,1250
DRL,20180709,54.0,54.0,54.0,54.0,40
DRL,20180706,55.0,55.0,54.0,54.0,510
DRL,20180705,54.0,54.0,54.0,54.0,200
DRL,20180704,54.0,54.0,54.0,54.0,320
DRL,20180703,55.0,55.0,55.0,55.0,40
DRL,20180702,,,,56.0,0
DRL,20180629,56.0,56.0,56.0,56.0,770
DRL,20180628,56.0,56.0,56.0,56.0,500
DRL,20180627,55.0,55.0,55.0,55.0,510
DRL,20180626,55.0,55.0,55.0,55.0,380
DRL,20180625,,,,54.3,0
DRL,20180622,54.3,54.3,54.3,54.3,520
DRL,20180621,54.5,54.5,54.3,54.3,870
DRL,20180620,56.0,56.0,54.3,55.0,980
DRL,20180619,50.4,55.0,50.4,54.1,1740
DRL,20180618,54.3,54.3,54.1,54.1,1040
DRL,20180615,54.0,55.0,54.0,54.0,1440
DRL,20180614,53.0,54.0,53.0,53.0,860
DRL,20180613,54.0,54.0,54.0,54.0,220
DRL,20180612,53.0,54.0,53.0,54.0,500
DRL,20180611,53.0,53.0,53.0,53.0,20
DRL,20180608,54.0,54.0,54.0,54.0,10
DRL,20180607,,,,54.0,0
DRL,20180606,54.0,54.0,54.0,54.0,30
DRL,20180605,,,,52.5,0
DRL,20180604,52.5,52.5,52.5,52.5,220
DRL,20180601,,,,52.0,0
DRL,20180531,,,,52.0,0
DRL,20180530,,,,52.0,0
DRL,20180529,52.5,52.5,52.0,52.0,440
DRL,20180528,51.6,52.0,51.6,51.6,2320
DRL,20180525,51.0,51.6,51.0,51.6,110
DRL,20180524,51.0,51.0,51.0,51.0,30
DRL,20180523,51.0,51.5,51.0,51.0,330
DRL,20180522,51.5,51.5,51.0,51.0,110
DRL,20180521,53.0,53.0,52.7,52.7,90
DRL,20180518,,,,53.0,0
DRL,20180517,53.0,53.0,53.0,53.0,20
DRL,20180516,,,,53.0,0
