<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DTD,20180713,14.9,15.4,14.8,15.4,232700
DTD,20180712,14.8,15.0,14.6,15.0,198700
DTD,20180711,14.7,14.8,14.6,14.7,125500
DTD,20180710,14.8,15.1,14.6,14.7,156800
DTD,20180709,15.6,15.6,14.9,15.1,140200
DTD,20180706,15.2,15.7,15.2,15.6,201700
DTD,20180705,15.0,15.3,14.9,15.3,147600
DTD,20180704,14.5,15.0,14.5,15.0,226900
DTD,20180703,14.5,14.7,14.3,14.6,172900
DTD,20180702,14.6,14.8,14.4,14.6,103100
DTD,20180629,14.4,14.8,14.2,14.8,171300
DTD,20180628,14.7,14.9,14.4,14.5,135400
DTD,20180627,14.5,14.9,14.2,14.8,200100
DTD,20180626,14.5,14.6,14.0,14.5,177900
DTD,20180625,14.8,15.0,14.5,14.6,138300
DTD,20180622,15.0,15.8,14.8,15.0,317300
DTD,20180621,14.5,15.1,14.5,15.0,171900
DTD,20180620,14.0,14.6,13.8,14.5,150300
DTD,20180619,14.0,14.3,13.8,14.0,128800
DTD,20180618,14.8,15.0,14.1,14.5,126400
DTD,20180615,17.0,17.6,15.4,15.5,361600
DTD,20180614,16.2,16.2,15.8,16.2,272800
DTD,20180613,14.8,14.8,14.8,14.8,47900
DTD,20180612,13.5,13.5,13.5,13.5,76100
DTD,20180611,11.8,12.3,11.8,12.3,115500
DTD,20180608,,,,11.2,0
DTD,20180607,,,,11.2,0
DTD,20180606,,,,11.2,0
DTD,20180605,,,,11.2,0
DTD,20180604,11.2,11.2,11.2,11.2,100
DTD,20180601,12.4,12.4,12.4,12.4,100
DTD,20180531,12.5,12.5,12.5,12.5,100
DTD,20180530,,,,11.4,0
DTD,20180529,,,,11.4,0
DTD,20180528,,,,11.4,0
DTD,20180525,,,,11.4,0
DTD,20180524,,,,11.4,0
DTD,20180523,,,,11.4,0
DTD,20180522,11.4,11.4,11.4,11.4,1000
DTD,20180521,11.3,11.3,11.3,11.3,200
DTD,20180518,,,,12.5,0
DTD,20180517,,,,12.5,0
DTD,20180516,12.5,12.5,12.5,12.5,100
DTD,20180515,,,,11.4,0
DTD,20180514,,,,11.4,0
DTD,20180511,11.4,11.4,11.4,11.4,100
DTD,20180510,,,,12.5,0
DTD,20180509,,,,12.5,0
DTD,20180508,,,,12.5,0
DTD,20180507,12.5,12.5,12.5,12.5,100
DTD,20180504,,,,13.0,0
DTD,20180503,13.2,13.2,13.0,13.0,300
DTD,20180502,,,,13.3,0
DTD,20180427,12.1,13.3,12.1,13.3,1400
DTD,20180426,13.4,13.4,13.3,13.3,20500
DTD,20180424,13.7,13.8,13.7,13.7,20900
DTD,20180423,14.0,14.0,13.9,13.9,32600
