<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DTT,20180713,,,,16.35,0
DTT,20180712,17.55,16.35,16.35,16.35,10
DTT,20180711,,,,17.55,0
DTT,20180710,,,,17.55,0
DTT,20180709,,,,17.55,0
DTT,20180706,,,,17.55,0
DTT,20180705,,,,17.55,0
DTT,20180704,17.55,19.45,17.55,17.55,290
DTT,20180703,16.5,18.85,16.5,18.85,20
DTT,20180702,,,,17.7,0
DTT,20180629,15.45,17.7,15.45,17.7,40
DTT,20180628,14.5,16.6,14.5,16.6,20
DTT,20180627,15.55,17.45,15.55,15.55,40
DTT,20180626,14.65,16.7,14.65,16.7,20
DTT,20180625,,,,15.7,0
DTT,20180622,13.95,15.7,13.95,15.7,20
DTT,20180621,,,,14.95,0
DTT,20180620,14.95,14.95,14.95,14.95,10
DTT,20180619,13.05,14.45,13.05,14.45,20
DTT,20180618,12.25,14.0,12.25,14.0,20
DTT,20180615,14.0,15.05,13.15,13.15,30
DTT,20180614,13.0,14.1,13.0,14.1,20
DTT,20180613,12.6,13.2,12.6,13.2,30
DTT,20180612,12.6,12.6,12.6,12.6,10
DTT,20180611,10.5,11.95,10.45,11.95,320
DTT,20180608,,,,11.2,0
DTT,20180607,,,,11.2,0
DTT,20180606,,,,11.2,0
DTT,20180605,,,,11.2,0
DTT,20180604,,,,11.2,0
DTT,20180601,,,,11.2,0
DTT,20180531,,,,11.2,0
DTT,20180530,,,,11.2,0
DTT,20180529,,,,11.2,0
DTT,20180528,,,,11.2,0
DTT,20180525,,,,11.2,0
DTT,20180524,,,,11.2,0
DTT,20180523,,,,11.2,0
DTT,20180522,,,,11.2,0
DTT,20180521,,,,11.2,0
DTT,20180518,11.2,11.2,11.2,11.2,40
DTT,20180517,,,,10.72,0
DTT,20180516,10.72,10.72,10.72,10.72,10
DTT,20180515,,,,10.72,0
DTT,20180514,10.72,10.72,10.72,10.72,70
DTT,20180511,,,,10.72,0
DTT,20180510,,,,10.72,0
DTT,20180509,10.72,10.72,10.72,10.72,100
DTT,20180508,10.05,10.05,10.05,10.05,210
DTT,20180507,10.05,10.05,10.05,10.05,10
DTT,20180504,10.43,10.48,10.43,10.48,60
DTT,20180503,,,,10.48,0
DTT,20180502,,,,10.48,0
DTT,20180427,,,,10.48,0
DTT,20180426,,,,10.48,0
DTT,20180424,,,,10.48,0
DTT,20180423,10.48,10.48,10.48,10.48,10
DTT,20180420,,,,10.53,0
DTT,20180419,,,,10.53,0
DTT,20180418,,,,10.53,0
DTT,20180417,10.29,10.53,10.1,10.53,12720
DTT,20180416,10.05,10.53,10.05,10.53,5510
DTT,20180413,10.53,10.53,10.53,10.53,2010
DTT,20180412,9.96,9.96,9.96,9.96,2000
DTT,20180411,10.63,10.63,10.05,10.63,8380
DTT,20180410,10.53,10.53,10.53,10.53,17000
DTT,20180409,11.01,11.01,10.34,10.34,70
DTT,20180406,11.01,11.01,11.01,11.01,1500
DTT,20180405,11.01,11.01,11.01,11.01,30
DTT,20180404,,,,11.01,0
DTT,20180403,,,,11.01,0
DTT,20180402,,,,11.01,0
DTT,20180330,,,,11.01,0
DTT,20180329,,,,11.01,0
DTT,20180328,,,,11.01,0
DTT,20180327,11.01,11.01,11.01,11.01,10
DTT,20180326,,,,10.39,0
DTT,20180323,,,,10.39,0
DTT,20180322,,,,10.39,0
DTT,20180321,9.04,10.39,9.04,10.39,20
DTT,20180320,,,,9.72,0
