<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DVP,20180713,48.5,48.5,47.5,47.5,160
DVP,20180712,47.95,47.95,47.45,47.95,90
DVP,20180711,48.0,48.0,48.0,48.0,100
DVP,20180710,47.0,48.0,47.0,48.0,230
DVP,20180709,49.3,49.3,46.8,48.5,930
DVP,20180706,49.4,49.4,47.95,48.0,90
DVP,20180705,48.4,48.5,46.8,48.5,200
DVP,20180704,49.5,50.0,48.0,48.5,1280
DVP,20180703,46.8,48.5,46.15,48.5,2360
DVP,20180702,47.1,49.4,46.0,49.4,2900
DVP,20180629,49.0,49.0,48.0,48.5,1240
DVP,20180628,48.0,49.9,47.2,49.4,3980
DVP,20180627,47.0,48.5,47.0,48.5,540
DVP,20180626,47.2,48.5,47.1,48.4,380
DVP,20180625,49.0,49.0,48.5,48.5,400
DVP,20180622,46.7,49.0,46.7,49.0,740
DVP,20180621,49.9,49.9,49.9,49.9,110
DVP,20180620,49.9,49.9,48.5,48.6,60
DVP,20180619,48.5,48.5,48.0,48.5,2150
DVP,20180618,49.0,49.0,48.0,49.0,2240
DVP,20180615,50.8,50.8,48.5,49.8,1450
DVP,20180614,49.45,50.0,48.15,50.0,1790
DVP,20180613,48.96,48.96,47.9,48.0,1660
DVP,20180612,48.38,48.38,48.38,48.38,50
DVP,20180611,48.76,48.76,48.38,48.38,210
DVP,20180608,48.38,48.38,47.42,48.38,980
DVP,20180607,49.25,49.25,48.0,48.38,4180
DVP,20180606,49.82,49.92,48.09,48.77,1920
DVP,20180605,45.79,47.81,45.79,47.42,2060
DVP,20180604,45.88,45.88,45.69,45.79,1300
DVP,20180601,46.08,46.08,45.6,45.98,2350
DVP,20180531,44.64,46.08,44.64,46.08,4620
DVP,20180530,45.6,46.08,45.6,46.08,730
DVP,20180529,46.56,46.75,45.69,46.08,4160
DVP,20180528,47.04,47.04,45.12,46.75,1590
DVP,20180525,47.04,47.04,46.99,47.04,2070
DVP,20180524,48.47,48.47,46.55,47.04,11130
DVP,20180523,48.0,48.0,46.37,47.13,1370
DVP,20180522,47.04,48.09,47.04,48.0,940
DVP,20180521,49.34,49.34,47.04,49.15,1000
DVP,20180518,46.99,49.53,46.99,49.34,3870
DVP,20180517,50.21,50.21,49.92,50.11,5930
DVP,20180516,50.59,52.6,50.2,50.4,5130
DVP,20180515,50.88,52.7,49.92,52.7,5310
DVP,20180514,51.46,52.8,51.46,52.8,170
DVP,20180511,52.8,53.28,51.84,52.8,760
DVP,20180510,52.79,53.37,52.79,53.28,5600
DVP,20180509,54.72,54.72,53.38,53.37,380
DVP,20180508,54.72,54.72,53.28,54.72,540
DVP,20180507,55.1,56.64,53.95,55.39,480
DVP,20180504,54.62,54.62,54.62,54.62,100
DVP,20180503,55.0,55.0,54.62,54.62,530
DVP,20180502,52.89,54.62,52.89,54.62,80
DVP,20180427,54.91,54.91,54.91,54.91,280
DVP,20180426,55.68,55.68,54.72,54.91,4200
DVP,20180424,55.48,56.83,55.2,55.68,1590
DVP,20180423,55.68,57.02,55.68,57.02,1310
DVP,20180420,58.27,58.27,55.68,57.98,1760
DVP,20180419,55.87,57.79,55.68,57.5,630
DVP,20180418,56.35,58.85,55.68,58.85,1710
DVP,20180417,57.6,59.23,57.6,59.23,940
DVP,20180416,59.33,59.33,59.33,59.33,60
DVP,20180413,59.52,59.52,56.64,57.6,2170
DVP,20180412,59.33,59.33,59.33,59.33,60
DVP,20180411,59.33,59.33,59.33,59.33,60
DVP,20180410,59.33,59.33,59.33,59.33,10
DVP,20180409,59.43,59.43,59.04,59.33,640
DVP,20180406,58.46,59.32,58.46,59.33,730
DVP,20180405,,,,59.61,0
DVP,20180404,57.6,59.62,57.6,59.61,750
DVP,20180403,56.83,59.81,56.74,59.81,1530
DVP,20180402,58.46,59.8,57.6,59.81,700
DVP,20180330,58.46,58.46,58.46,58.46,280
DVP,20180329,58.46,58.46,57.79,57.79,570
DVP,20180328,58.08,60.19,58.08,58.08,420
DVP,20180327,57.98,58.36,57.98,58.08,760
DVP,20180326,57.6,58.46,57.6,58.46,60
DVP,20180323,57.69,58.75,56.63,58.75,1670
DVP,20180322,59.13,59.13,59.13,59.13,170
DVP,20180321,59.32,59.42,58.17,59.13,210
DVP,20180320,58.56,59.42,58.56,58.65,840
DVP,20180319,59.04,59.42,57.6,59.23,900
DVP,20180316,58.85,58.85,57.31,58.75,620
DVP,20180315,57.89,58.85,57.89,58.85,250
DVP,20180314,57.98,59.99,57.69,59.81,420
DVP,20180313,60.38,60.38,60.1,60.09,80
DVP,20180312,58.56,60.38,58.56,59.52,330
DVP,20180309,58.55,60.47,58.55,60.38,170
DVP,20180308,58.17,58.17,58.17,58.17,20
DVP,20180307,58.56,58.56,58.18,58.17,3830
DVP,20180306,60.48,60.48,60.48,60.48,30
DVP,20180305,61.35,61.35,59.81,60.48,160
DVP,20180302,61.34,61.34,61.25,61.25,210
DVP,20180301,61.35,61.44,58.56,58.56,1150
DVP,20180228,60.67,62.01,60.67,61.73,2070
DVP,20180227,58.66,63.26,58.66,63.26,2850
DVP,20180226,60.29,60.29,59.52,59.52,520
DVP,20180223,60.0,62.31,60.0,60.29,450
DVP,20180222,59.33,60.0,59.33,59.81,19360
DVP,20180221,59.52,59.52,59.52,59.52,430
DVP,20180213,57.6,60.38,57.6,60.38,1640
DVP,20180212,54.91,60.38,54.91,60.38,3400
DVP,20180209,54.53,57.12,54.53,57.12,1590
DVP,20180208,58.46,60.0,54.53,58.37,5790
DVP,20180207,59.32,60.48,58.46,58.56,1460
DVP,20180206,55.78,60.48,55.78,58.46,970
DVP,20180205,59.71,60.19,57.79,59.04,1290
DVP,20180202,60.0,60.0,60.0,60.0,50
DVP,20180201,60.09,61.24,57.98,60.0,3770
DVP,20180131,59.23,62.3,55.1,62.3,9010
DVP,20180130,57.31,59.23,57.31,59.23,3090
DVP,20180129,57.41,58.95,56.74,58.65,4530
DVP,20180126,57.69,59.32,57.21,57.41,2440
DVP,20180125,60.28,60.28,57.6,59.42,11900
DVP,20180122,59.71,59.71,58.56,59.42,4460
DVP,20180119,59.52,60.0,58.56,59.71,5510
DVP,20180118,60.48,60.48,60.0,60.48,510
DVP,20180117,61.44,61.44,59.9,61.25,2830
DVP,20180116,61.73,61.73,59.52,61.44,14970
DVP,20180115,62.69,62.69,59.62,61.25,2090
DVP,20180112,60.86,60.96,60.0,60.96,960
DVP,20180111,60.96,60.96,59.52,60.48,8890
DVP,20180110,61.43,62.39,61.43,61.44,2690
DVP,20180109,62.68,62.68,62.49,62.49,2520
DVP,20180108,62.78,62.78,61.06,62.3,140
DVP,20180105,62.4,64.8,61.44,61.44,340
DVP,20180104,60.96,62.21,60.96,62.21,2450
DVP,20180103,61.34,61.92,61.34,61.92,430
DVP,20180102,62.2,62.3,60.48,61.44,2340
DVP,20171229,60.58,61.34,60.48,61.34,1460
DVP,20171228,61.44,61.44,60.58,61.44,960
DVP,20171227,61.15,61.83,61.15,61.44,420
DVP,20171226,61.25,61.25,60.48,61.25,20550
DVP,20171225,61.44,61.44,60.48,60.48,1970
DVP,20171222,61.82,61.82,60.76,60.77,1170
DVP,20171221,61.44,61.44,60.86,60.86,1640
DVP,20171220,62.21,62.21,61.25,61.44,1020
DVP,20171219,62.21,62.21,60.86,61.44,2200
DVP,20171218,61.44,63.17,60.67,61.15,5270
DVP,20171215,64.7,64.7,61.44,61.63,1810
DVP,20171214,64.22,64.22,64.22,64.22,3710
DVP,20171213,63.74,64.6,60.96,64.22,2410
DVP,20171212,63.84,63.84,61.15,63.74,3220
DVP,20171211,64.71,66.05,64.13,65.09,260
DVP,20171208,63.17,64.13,63.17,64.13,40
DVP,20171207,63.17,64.9,63.07,64.51,1290
DVP,20171206,65.09,65.09,64.32,64.32,120
DVP,20171205,62.68,64.51,62.68,64.51,170
DVP,20171204,63.55,65.09,63.36,64.7,3790
DVP,20171201,63.36,65.18,63.36,64.99,1190
DVP,20171130,64.7,64.7,63.36,64.7,980
DVP,20171129,65.28,65.28,63.36,64.7,5050
DVP,20171128,,,,65.28,0
DVP,20171127,65.28,65.28,63.74,65.28,1970
DVP,20171124,65.76,65.76,61.53,65.28,9490
DVP,20171123,66.24,66.24,65.47,65.95,1430
DVP,20171122,67.01,67.01,64.51,64.51,1770
DVP,20171121,66.24,67.2,65.57,65.57,2370
DVP,20171120,65.64,65.64,64.62,64.8,2580
DVP,20171117,64.33,65.26,63.68,65.27,3180
DVP,20171116,64.33,64.33,63.68,64.33,6000
DVP,20171115,64.8,65.45,64.8,64.8,2830
DVP,20171114,64.8,64.8,64.8,64.8,510
DVP,20171113,,,,65.08,0
DVP,20171110,65.17,65.17,65.08,65.08,750
DVP,20171109,63.96,64.7,63.96,64.33,1200
DVP,20171108,64.33,65.08,63.86,64.89,1450
DVP,20171107,65.46,65.46,64.34,65.17,1550
DVP,20171106,,,,64.99,0
DVP,20171103,65.08,65.08,63.59,64.99,690
DVP,20171102,64.43,65.08,64.43,65.08,340
DVP,20171101,65.17,65.83,65.17,65.83,110
DVP,20171031,63.03,65.08,63.03,65.08,1870
DVP,20171030,64.8,64.8,64.33,64.61,1180
DVP,20171027,64.8,64.8,63.5,64.8,1570
DVP,20171026,65.92,65.92,64.33,64.99,1020
DVP,20171025,65.54,65.54,64.42,65.08,730
DVP,20171024,64.34,64.9,64.34,64.89,1010
DVP,20171023,65.73,66.01,65.26,65.27,60
DVP,20171020,65.73,65.73,63.86,65.17,1340
DVP,20171019,65.73,65.73,64.33,64.33,6590
DVP,20171018,65.27,65.27,64.34,65.17,390
DVP,20171017,65.27,65.27,65.27,65.27,10
DVP,20171016,64.34,65.27,64.34,65.27,5630
DVP,20171013,64.34,66.2,64.34,66.2,3220
DVP,20171012,66.1,66.2,66.1,66.2,40
DVP,20171011,64.8,65.73,64.8,65.73,1050
DVP,20171010,64.34,66.2,64.34,66.2,2950
DVP,20171009,,,,66.2,0
DVP,20171006,66.57,66.57,64.15,66.2,220
DVP,20171005,66.57,66.57,66.57,66.57,1420
DVP,20171004,66.2,66.67,65.73,66.66,9440
DVP,20171003,65.17,66.2,63.58,66.2,11410
DVP,20171002,64.99,65.27,64.9,64.89,18360
DVP,20170929,64.33,65.08,64.33,64.99,16150
DVP,20170928,64.7,65.17,64.7,64.8,2240
DVP,20170927,65.26,65.54,64.33,64.89,19620
DVP,20170926,64.24,65.73,63.4,65.73,2470
DVP,20170925,63.5,63.5,63.22,63.49,1170
DVP,20170922,64.24,64.24,63.21,63.87,4450
DVP,20170921,64.33,64.33,63.4,63.77,4580
DVP,20170920,64.8,64.8,63.49,63.68,2530
DVP,20170919,64.61,64.61,63.49,64.52,3200
DVP,20170918,66.94,66.94,63.77,64.61,1480
DVP,20170915,64.61,64.61,64.61,64.61,110
DVP,20170914,64.8,64.8,63.4,64.61,4140
DVP,20170913,64.89,67.13,64.8,64.8,2120
DVP,20170912,65.45,65.54,63.68,65.08,430
