<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EVE,20180713,15.9,16.2,15.6,16.0,32420
EVE,20180712,15.85,15.85,15.4,15.85,17860
EVE,20180711,15.6,15.8,15.3,15.65,42430
EVE,20180710,16.0,16.0,15.65,15.8,47260
EVE,20180709,15.6,16.1,15.6,16.0,34390
EVE,20180706,16.05,16.1,15.5,16.0,93870
EVE,20180705,16.1,16.3,15.65,15.9,50610
EVE,20180704,15.4,16.25,15.4,16.1,31910
EVE,20180703,16.2,16.4,15.85,15.9,175090
EVE,20180702,16.4,16.5,16.0,16.35,41720
EVE,20180629,16.6,16.6,16.4,16.5,26910
EVE,20180628,16.5,16.65,16.35,16.6,46430
EVE,20180627,16.8,16.8,16.4,16.5,46890
EVE,20180626,16.6,16.8,16.35,16.8,72420
EVE,20180625,16.35,16.7,16.35,16.55,43610
EVE,20180622,16.2,16.9,16.2,16.35,98050
EVE,20180621,17.1,17.1,16.4,16.6,16890
EVE,20180620,17.4,17.4,16.4,16.8,34060
EVE,20180619,17.1,17.1,16.05,16.9,128820
EVE,20180618,17.85,17.85,17.1,17.1,120230
EVE,20180615,18.0,18.0,17.3,17.9,64110
EVE,20180614,18.15,18.2,17.9,18.1,80690
EVE,20180613,18.25,18.25,17.85,18.15,56520
EVE,20180612,17.8,18.3,17.8,18.25,196590
EVE,20180611,18.0,18.65,17.7,17.8,246500
EVE,20180608,17.6,18.75,17.5,18.35,503910
EVE,20180607,17.4,17.8,17.3,17.8,159690
EVE,20180606,16.25,17.15,16.25,17.15,189350
EVE,20180605,16.3,16.3,16.05,16.05,88460
EVE,20180604,16.1,16.6,16.0,16.3,113150
EVE,20180601,16.5,16.6,16.1,16.1,132130
EVE,20180531,16.45,16.45,16.1,16.4,38500
EVE,20180530,16.0,16.4,15.5,16.2,72520
EVE,20180529,16.0,16.45,15.35,16.0,181400
EVE,20180528,17.2,17.2,16.0,16.0,228170
EVE,20180525,17.2,17.4,16.9,17.2,58190
EVE,20180524,17.4,17.6,17.1,17.2,84380
EVE,20180523,17.5,17.5,16.9,17.2,31860
EVE,20180522,17.55,17.55,16.8,17.1,114100
EVE,20180521,17.5,17.65,17.4,17.55,32660
EVE,20180518,17.85,17.85,17.2,17.5,124690
EVE,20180517,17.75,17.75,17.15,17.15,114060
EVE,20180516,17.8,17.9,17.1,17.5,103700
EVE,20180515,17.6,18.25,17.6,17.8,67330
EVE,20180514,17.3,18.0,17.3,17.9,94850
EVE,20180511,17.35,17.6,17.1,17.3,116460
EVE,20180510,17.4,17.7,17.3,17.4,65940
EVE,20180509,17.9,18.15,17.4,17.4,83210
EVE,20180508,17.93,17.93,17.51,17.6,178980
EVE,20180507,18.35,18.35,17.79,17.98,79270
EVE,20180504,18.4,18.4,17.88,18.07,203530
EVE,20180503,16.85,17.94,16.85,17.93,303050
