<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EVG,20180713,4.8,4.89,4.61,4.89,184500
EVG,20180712,4.8,4.82,4.69,4.8,177740
EVG,20180711,4.86,4.86,4.72,4.8,164420
EVG,20180710,5.0,5.0,4.81,4.93,203410
EVG,20180709,4.98,4.98,4.82,4.93,282610
EVG,20180706,4.53,4.84,4.51,4.84,297330
EVG,20180705,4.49,4.63,4.45,4.53,346830
EVG,20180704,4.53,4.53,4.42,4.49,195460
EVG,20180703,4.68,4.7,4.46,4.53,255910
EVG,20180702,4.64,4.78,4.6,4.68,362170
EVG,20180629,4.62,4.65,4.6,4.61,192750
EVG,20180628,4.64,4.64,4.53,4.61,217590
EVG,20180627,4.64,4.68,4.6,4.63,348160
EVG,20180626,4.5,4.71,4.49,4.62,252910
EVG,20180625,4.46,4.75,4.46,4.66,378200
EVG,20180622,4.47,4.47,4.35,4.44,116860
EVG,20180621,4.38,4.53,4.38,4.44,140950
EVG,20180620,4.31,4.48,4.31,4.4,165060
EVG,20180619,4.4,4.55,4.36,4.4,398240
EVG,20180618,4.6,4.63,4.51,4.55,642850
EVG,20180615,4.61,4.61,4.48,4.61,397710
EVG,20180614,4.64,4.64,4.54,4.61,307390
EVG,20180613,4.61,4.67,4.54,4.64,290700
EVG,20180612,4.71,4.71,4.53,4.62,520720
EVG,20180611,4.63,4.79,4.63,4.71,520080
EVG,20180608,4.8,4.87,4.71,4.79,331560
EVG,20180607,4.81,4.86,4.71,4.82,1607490
EVG,20180606,4.77,4.86,4.71,4.81,816120
EVG,20180605,4.8,4.86,4.74,4.79,435410
EVG,20180604,4.62,4.87,4.62,4.79,1424450
EVG,20180601,4.6,4.74,4.55,4.61,689160
EVG,20180531,4.61,4.67,4.47,4.54,323390
EVG,20180530,4.64,4.67,4.5,4.61,364420
EVG,20180529,4.53,4.66,4.4,4.64,474070
EVG,20180528,4.56,4.67,4.29,4.53,428540
EVG,20180525,4.65,4.71,4.58,4.59,392890
EVG,20180524,4.69,4.75,4.64,4.7,224810
EVG,20180523,4.6,4.73,4.6,4.7,268460
EVG,20180522,4.68,4.89,4.58,4.74,323250
EVG,20180521,4.76,4.89,4.68,4.74,1003140
EVG,20180518,4.73,4.99,4.67,4.72,572130
EVG,20180517,5.02,5.05,4.73,4.75,397580
EVG,20180516,5.08,5.08,4.91,4.9,521080
EVG,20180515,4.9,5.22,4.81,5.08,1366170
EVG,20180514,4.79,4.89,4.74,4.88,1011620
EVG,20180511,4.79,4.82,4.62,4.74,599450
EVG,20180510,4.88,4.88,4.75,4.79,355130
EVG,20180509,4.81,4.89,4.72,4.8,535280
EVG,20180508,4.75,4.87,4.66,4.78,536170
EVG,20180507,4.63,4.81,4.63,4.7,340350
EVG,20180504,4.56,4.75,4.56,4.7,280680
EVG,20180503,4.76,4.8,4.62,4.62,382380
EVG,20180502,4.92,4.92,4.68,4.8,372230
EVG,20180427,4.8,4.93,4.73,4.92,456930
EVG,20180426,4.79,5.13,4.71,4.89,626240
EVG,20180424,4.84,4.84,4.46,4.79,831230
EVG,20180423,4.93,4.93,4.59,4.79,853320
EVG,20180420,4.96,5.02,4.81,4.93,502530
EVG,20180419,4.99,4.99,4.81,4.86,397530
EVG,20180418,5.17,5.25,4.99,4.99,496800
EVG,20180417,5.17,5.34,5.04,5.17,614350
EVG,20180416,4.89,5.16,4.89,5.16,1101420
EVG,20180413,4.77,4.89,4.77,4.82,487580
EVG,20180412,4.72,4.83,4.71,4.77,437100
EVG,20180411,4.71,4.89,4.71,4.73,573360
EVG,20180410,4.71,4.72,4.66,4.72,397470
EVG,20180409,4.71,4.81,4.71,4.71,359090
EVG,20180406,4.66,4.71,4.64,4.68,357100
EVG,20180405,4.7,4.73,4.65,4.71,601220
EVG,20180404,4.67,4.74,4.64,4.7,448610
EVG,20180403,4.71,4.77,4.63,4.66,407190
EVG,20180402,4.82,4.82,4.61,4.71,452560
EVG,20180330,4.75,4.75,4.62,4.76,519510
EVG,20180329,4.97,5.02,4.74,4.8,415580
EVG,20180328,4.99,5.21,4.9,4.97,566140
EVG,20180327,4.67,4.97,4.6,4.97,1042910
EVG,20180326,4.75,4.78,4.65,4.65,344320
EVG,20180323,4.54,4.75,4.54,4.75,507310
EVG,20180322,4.97,4.97,4.63,4.69,820130
EVG,20180321,4.83,5.03,4.77,4.8,1047330
