<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FDT,20180713,,,,29.0,0
FDT,20180712,,,,29.0,0
FDT,20180711,,,,29.0,0
FDT,20180710,,,,29.0,0
FDT,20180709,,,,29.0,0
FDT,20180706,,,,29.0,0
FDT,20180705,29.0,29.0,29.0,29.0,1000
FDT,20180704,,,,32.0,0
FDT,20180703,,,,32.0,0
FDT,20180702,,,,32.0,0
FDT,20180629,,,,32.0,0
FDT,20180628,,,,32.0,0
FDT,20180627,32.0,32.0,32.0,32.0,2460
FDT,20180626,,,,35.0,0
FDT,20180625,,,,35.0,0
FDT,20180622,,,,35.0,0
FDT,20180621,,,,35.0,0
FDT,20180620,,,,35.0,0
FDT,20180619,,,,35.0,0
FDT,20180618,,,,35.0,0
FDT,20180615,,,,35.0,0
FDT,20180614,,,,35.0,0
FDT,20180613,37.0,37.0,35.0,35.0,4420
FDT,20180612,,,,37.0,0
FDT,20180611,,,,37.0,0
FDT,20180608,,,,37.0,0
FDT,20180607,,,,37.0,0
FDT,20180606,,,,37.0,0
FDT,20180605,,,,37.0,0
FDT,20180604,,,,37.0,0
FDT,20180601,37.0,37.0,37.0,37.0,2400
FDT,20180531,,,,40.7,0
FDT,20180530,,,,40.7,0
FDT,20180529,,,,40.7,0
FDT,20180528,,,,40.7,0
FDT,20180525,,,,40.7,0
FDT,20180524,40.7,40.7,40.7,40.7,1000
FDT,20180523,37.0,37.0,37.0,37.0,2920
FDT,20180522,37.0,40.7,37.0,40.7,1000
FDT,20180521,37.0,37.0,37.0,37.0,7480
FDT,20180518,41.1,41.1,41.1,41.1,100
FDT,20180517,37.4,37.4,37.4,37.4,1000
FDT,20180516,,,,34.0,0
FDT,20180515,,,,34.0,0
FDT,20180514,34.0,34.0,34.0,34.0,5220
FDT,20180511,,,,37.0,0
FDT,20180510,,,,37.0,0
FDT,20180509,,,,37.0,0
FDT,20180508,37.0,37.0,37.0,37.0,80
FDT,20180507,37.0,37.0,37.0,37.0,8760
FDT,20180504,,,,40.0,0
FDT,20180503,,,,40.0,0
