<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FTM,20180713,16.15,16.2,16.0,16.2,688890
FTM,20180712,16.15,16.15,16.0,16.15,498470
FTM,20180711,16.05,16.1,15.9,16.1,650060
FTM,20180710,16.0,16.1,16.0,16.05,282790
FTM,20180709,16.0,16.05,16.0,16.0,480270
FTM,20180706,16.0,16.0,15.75,16.0,227410
FTM,20180705,15.9,15.9,15.4,15.9,484640
FTM,20180704,16.0,16.0,15.2,15.9,240310
FTM,20180703,15.95,15.95,15.3,15.85,652530
FTM,20180702,16.4,16.5,16.05,16.05,1369060
FTM,20180629,16.5,16.75,16.35,16.5,1213270
FTM,20180628,16.2,16.6,16.2,16.55,978780
FTM,20180627,16.1,16.2,15.9,16.2,410920
FTM,20180626,16.0,16.05,15.7,16.05,1856330
FTM,20180625,16.15,16.15,15.65,16.0,949320
FTM,20180622,16.7,16.7,16.15,16.15,969750
FTM,20180621,16.25,16.7,16.2,16.7,831350
FTM,20180620,15.5,16.35,15.4,16.3,1693480
FTM,20180619,15.45,15.5,15.3,15.5,939390
FTM,20180618,15.4,15.45,15.35,15.45,1013050
FTM,20180615,15.5,15.5,15.25,15.4,599580
FTM,20180614,15.6,15.85,15.6,15.65,787080
FTM,20180613,15.6,15.7,15.5,15.7,645340
FTM,20180612,15.15,15.6,15.05,15.6,978970
FTM,20180611,15.1,15.15,15.05,15.15,1477380
FTM,20180608,15.05,15.05,15.0,15.0,522940
FTM,20180607,15.05,15.05,14.95,15.05,854720
FTM,20180606,15.05,15.05,14.95,15.05,674780
FTM,20180605,15.0,15.05,14.85,15.05,1282730
FTM,20180604,15.0,15.0,14.95,14.95,1770980
FTM,20180601,15.0,15.0,14.9,14.95,1785280
FTM,20180531,15.0,15.0,14.9,14.95,1878220
FTM,20180530,15.0,15.0,14.9,14.9,1356060
FTM,20180529,15.0,15.0,14.8,15.0,828870
FTM,20180528,15.0,15.05,14.85,15.0,955820
FTM,20180525,15.0,15.05,14.9,15.0,656440
FTM,20180524,15.0,15.05,14.95,15.0,1131140
FTM,20180523,15.0,15.0,14.9,14.95,1346800
FTM,20180522,14.85,14.9,14.8,14.9,1820120
FTM,20180521,14.85,15.0,14.85,14.85,1239040
FTM,20180518,14.85,14.95,14.85,14.9,1318850
FTM,20180517,14.95,14.95,14.7,14.9,992170
FTM,20180516,15.1,15.1,14.9,14.95,1061130
FTM,20180515,15.05,15.15,15.0,15.1,1109710
FTM,20180514,15.05,15.05,15.0,15.05,990000
FTM,20180511,15.05,15.1,15.0,15.05,1006870
FTM,20180510,15.1,15.15,15.05,15.05,924260
FTM,20180509,15.1,15.2,15.1,15.1,713160
FTM,20180508,15.1,15.1,15.05,15.1,733080
FTM,20180507,15.15,15.2,15.05,15.1,689950
FTM,20180504,15.05,15.2,15.0,15.15,653750
FTM,20180503,15.15,15.15,15.0,15.05,614710
FTM,20180502,15.2,15.25,15.15,15.15,361300
FTM,20180427,15.3,15.35,15.15,15.2,572310
FTM,20180426,15.35,15.4,15.35,15.35,508350
FTM,20180424,15.35,15.45,15.35,15.35,288740
FTM,20180423,15.35,15.4,15.2,15.35,371560
FTM,20180420,15.3,15.35,15.2,15.35,209460
FTM,20180419,15.3,15.3,15.15,15.3,391270
FTM,20180418,15.2,15.4,15.1,15.3,363690
FTM,20180417,15.1,15.2,15.05,15.2,443730
FTM,20180416,15.2,15.2,15.0,15.1,160610
FTM,20180413,15.25,15.25,15.05,15.2,335560
FTM,20180412,15.35,15.65,15.2,15.25,201720
FTM,20180411,15.75,15.75,15.5,15.65,757810
FTM,20180410,15.2,15.7,15.15,15.7,1032880
FTM,20180409,15.2,15.3,15.1,15.2,387330
FTM,20180406,15.0,15.2,14.95,15.2,360530
FTM,20180405,15.0,15.1,14.95,15.0,1514430
FTM,20180404,15.05,15.1,14.85,15.0,212810
FTM,20180403,15.0,15.1,15.0,15.1,1310580
FTM,20180402,14.8,15.0,14.7,15.0,366580
FTM,20180330,14.5,14.85,14.3,14.8,578100
