<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FUCVREIT,20180713,,,,9.3,0
FUCVREIT,20180712,10.0,9.3,9.3,9.3,160
FUCVREIT,20180711,,,,10.0,0
FUCVREIT,20180710,,,,10.0,0
FUCVREIT,20180709,10.0,10.0,10.0,10.0,20
FUCVREIT,20180706,9.4,9.4,9.4,9.4,90
FUCVREIT,20180705,8.5,9.4,8.5,9.4,250
FUCVREIT,20180704,8.84,9.0,8.84,8.9,750
FUCVREIT,20180703,9.0,9.5,8.8,9.5,190
FUCVREIT,20180702,9.0,9.0,7.91,9.0,720
FUCVREIT,20180629,8.5,8.5,8.5,8.5,20
FUCVREIT,20180628,9.03,10.0,9.03,9.03,380
FUCVREIT,20180627,8.89,9.7,8.89,9.7,80
FUCVREIT,20180626,8.5,9.1,8.47,9.1,4440
FUCVREIT,20180625,9.14,9.14,9.1,9.1,410
FUCVREIT,20180622,9.1,9.1,9.1,9.1,30
FUCVREIT,20180621,9.63,9.63,9.1,9.1,350
FUCVREIT,20180620,8.5,9.05,8.5,9.0,390
FUCVREIT,20180619,8.81,8.81,8.5,8.5,500
FUCVREIT,20180618,9.5,9.5,9.0,9.0,210
FUCVREIT,20180615,10.0,10.0,9.5,9.5,230
FUCVREIT,20180614,10.5,10.5,10.2,10.2,40
FUCVREIT,20180613,10.2,10.2,10.2,10.2,100
FUCVREIT,20180612,10.75,10.75,9.6,9.6,1390
FUCVREIT,20180611,10.65,10.65,10.15,10.2,1820
FUCVREIT,20180608,10.2,10.2,10.2,10.2,170
FUCVREIT,20180607,10.25,10.25,10.1,10.2,1120
FUCVREIT,20180606,10.0,10.0,9.8,9.8,230
FUCVREIT,20180605,9.5,9.5,9.5,9.5,100
FUCVREIT,20180604,9.54,10.2,9.54,10.2,940
FUCVREIT,20180601,10.45,10.45,10.25,10.25,1070
FUCVREIT,20180531,10.0,11.05,9.72,11.0,2400
FUCVREIT,20180530,11.25,11.25,10.2,10.45,280
FUCVREIT,20180529,10.95,10.95,10.95,10.95,100
FUCVREIT,20180528,11.2,11.2,11.0,11.0,100
FUCVREIT,20180525,11.0,11.0,10.95,10.95,60
FUCVREIT,20180524,11.6,11.6,11.5,11.6,240
FUCVREIT,20180523,11.2,11.4,11.2,11.4,120
FUCVREIT,20180522,11.1,11.2,11.0,11.2,1100
FUCVREIT,20180521,11.4,11.4,11.0,11.0,1110
FUCVREIT,20180518,12.05,12.7,11.85,12.7,1010
FUCVREIT,20180517,11.95,12.8,11.95,12.7,690
FUCVREIT,20180516,12.8,12.8,12.8,12.8,100
FUCVREIT,20180515,12.1,12.8,11.35,12.8,10530
FUCVREIT,20180514,12.2,12.2,12.0,12.2,50
FUCVREIT,20180511,11.5,12.2,11.5,12.2,120
FUCVREIT,20180510,11.3,12.3,11.2,12.2,1210
FUCVREIT,20180509,12.4,12.4,12.0,12.0,9460
FUCVREIT,20180508,12.7,12.7,11.3,12.45,80
FUCVREIT,20180507,12.0,12.2,12.0,12.15,30
FUCVREIT,20180504,12.4,12.4,12.0,12.0,400
FUCVREIT,20180503,11.65,11.65,11.65,11.65,50
FUCVREIT,20180502,12.5,12.5,12.5,12.5,110
FUCVREIT,20180427,12.2,12.2,10.9,12.2,2760
FUCVREIT,20180426,10.2,11.55,10.2,11.55,3370
FUCVREIT,20180424,10.3,10.8,10.3,10.8,450
FUCVREIT,20180423,10.6,10.6,10.0,10.1,9380
FUCVREIT,20180420,,,,10.6,0
FUCVREIT,20180419,10.7,10.7,10.5,10.6,310
FUCVREIT,20180418,10.7,10.7,10.7,10.7,270
FUCVREIT,20180417,10.0,10.7,10.0,10.7,50
FUCVREIT,20180416,10.7,11.0,10.7,10.7,1030
FUCVREIT,20180413,10.0,10.95,10.0,10.5,1080
FUCVREIT,20180412,9.78,10.5,9.78,10.5,100
FUCVREIT,20180411,10.5,10.5,10.5,10.5,90
FUCVREIT,20180410,11.0,11.0,10.95,10.95,570
FUCVREIT,20180409,10.8,11.0,9.96,11.0,8580
FUCVREIT,20180406,10.7,11.35,10.7,10.7,290
FUCVREIT,20180405,11.5,11.5,11.5,11.5,10
FUCVREIT,20180404,10.0,10.95,9.54,10.95,6270
FUCVREIT,20180403,11.0,11.0,10.25,10.25,1450
FUCVREIT,20180402,10.25,11.0,10.25,11.0,810
FUCVREIT,20180330,11.0,11.0,10.7,11.0,470
FUCVREIT,20180329,11.0,11.5,11.0,11.5,990
FUCVREIT,20180328,11.65,11.7,11.65,11.65,130
FUCVREIT,20180327,11.7,11.7,11.7,11.7,30
FUCVREIT,20180326,11.8,11.8,11.7,11.7,3050
FUCVREIT,20180323,11.15,11.95,11.15,11.8,80
FUCVREIT,20180322,11.2,11.95,11.2,11.95,520
FUCVREIT,20180321,11.1,11.9,11.1,11.2,1470
FUCVREIT,20180320,12.0,12.0,11.2,11.9,500
FUCVREIT,20180319,12.0,12.0,11.2,12.0,2250
FUCVREIT,20180316,11.2,12.0,11.2,12.0,2930
FUCVREIT,20180315,11.05,12.0,11.05,12.0,1870
FUCVREIT,20180314,11.9,11.9,11.2,11.85,320
FUCVREIT,20180313,10.5,11.85,10.5,11.15,4220
FUCVREIT,20180312,11.9,11.9,11.1,11.1,1720
FUCVREIT,20180309,11.95,12.0,11.2,11.9,1040
FUCVREIT,20180308,11.2,12.0,11.2,11.95,200
FUCVREIT,20180307,12.0,12.0,11.3,12.0,790
FUCVREIT,20180306,11.3,12.0,11.3,11.3,6680
FUCVREIT,20180305,12.5,12.5,12.1,12.1,2650
FUCVREIT,20180302,13.3,13.3,11.65,13.0,1110
FUCVREIT,20180301,13.0,13.0,12.5,12.5,33760
FUCVREIT,20180228,12.15,12.15,12.15,12.15,9820
FUCVREIT,20180227,11.35,11.4,11.0,11.4,5650
FUCVREIT,20180226,10.7,10.7,10.2,10.7,9150
FUCVREIT,20180223,10.0,10.0,10.0,10.0,11170
FUCVREIT,20180222,10.75,11.55,10.75,10.75,11790
FUCVREIT,20180221,12.4,12.4,11.55,11.55,2910
FUCVREIT,20180213,12.4,12.4,12.4,12.4,1260
FUCVREIT,20180212,14.25,14.25,13.3,13.3,760
FUCVREIT,20180209,14.25,14.25,14.25,14.25,840
FUCVREIT,20180208,15.3,15.3,13.9,15.3,14280
FUCVREIT,20180207,14.3,14.3,14.0,14.3,22700
FUCVREIT,20180206,13.4,13.4,13.4,13.4,40180
FUCVREIT,20180205,12.55,12.55,12.5,12.55,9020
FUCVREIT,20180202,11.75,11.75,11.75,11.75,5110
FUCVREIT,20180201,10.9,11.0,10.9,11.0,4610
FUCVREIT,20180131,9.63,10.3,9.63,10.3,10780
FUCVREIT,20180130,9.5,9.63,9.1,9.63,5330
FUCVREIT,20180129,9.0,9.0,9.0,9.0,320
FUCVREIT,20180126,8.83,9.0,8.83,9.0,3400
FUCVREIT,20180125,9.8,9.8,8.8,9.49,1350
FUCVREIT,20180122,9.2,9.2,9.0,9.2,360
FUCVREIT,20180119,9.7,9.88,9.16,9.16,80
FUCVREIT,20180118,9.01,9.9,9.01,9.26,1220
FUCVREIT,20180117,9.7,9.9,9.41,9.41,1120
FUCVREIT,20180116,9.9,9.9,9.6,9.6,1100
FUCVREIT,20180115,9.4,9.9,9.3,9.9,4430
FUCVREIT,20180112,9.12,9.99,9.12,9.99,2190
FUCVREIT,20180111,9.8,9.8,9.8,9.8,10
FUCVREIT,20180110,9.2,9.5,9.0,9.5,880
FUCVREIT,20180109,8.55,9.14,8.39,9.14,3170
FUCVREIT,20180108,9.28,9.28,8.55,8.55,210
FUCVREIT,20180105,8.66,8.68,8.66,8.68,1370
FUCVREIT,20180104,8.3,8.84,8.3,8.31,870
FUCVREIT,20180103,8.5,8.5,8.3,8.3,1040
FUCVREIT,20180102,9.49,10.0,8.86,8.86,260
FUCVREIT,20171229,9.0,9.48,8.99,9.48,170
FUCVREIT,20171228,9.0,9.49,8.99,9.0,3810
FUCVREIT,20171227,9.04,9.4,8.98,8.98,350
FUCVREIT,20171226,9.03,9.21,9.03,9.21,20
FUCVREIT,20171225,9.02,9.22,9.02,9.22,60
FUCVREIT,20171222,9.01,9.65,9.01,9.22,110
FUCVREIT,20171221,9.82,9.82,9.21,9.21,80
FUCVREIT,20171220,9.85,9.85,9.28,9.28,110
FUCVREIT,20171219,9.77,9.77,9.3,9.3,20
FUCVREIT,20171218,9.4,9.4,9.31,9.31,60
FUCVREIT,20171215,9.69,9.69,9.5,9.5,2160
FUCVREIT,20171214,9.76,9.76,9.76,9.76,10
FUCVREIT,20171213,9.79,9.79,9.79,9.79,10
FUCVREIT,20171212,10.15,10.15,9.2,9.2,5940
FUCVREIT,20171211,9.99,9.99,9.31,9.88,350
FUCVREIT,20171208,9.4,9.88,9.4,9.88,200
FUCVREIT,20171207,9.33,9.33,9.33,9.33,70
FUCVREIT,20171206,9.4,10.1,9.4,10.0,230
FUCVREIT,20171205,9.9,9.95,9.5,9.5,340
FUCVREIT,20171204,9.9,10.5,9.21,9.99,3180
FUCVREIT,20171201,9.45,10.0,9.45,9.9,1600
FUCVREIT,20171130,10.05,10.05,9.4,9.4,3420
FUCVREIT,20171129,10.1,10.1,10.1,10.1,110
FUCVREIT,20171128,10.2,10.2,10.1,10.1,30
FUCVREIT,20171127,9.4,10.05,9.35,10.05,5380
FUCVREIT,20171124,10.05,10.05,9.5,10.05,240
FUCVREIT,20171123,,,,10.05,0
FUCVREIT,20171122,10.8,10.8,10.05,10.05,4030
FUCVREIT,20171121,10.8,10.8,10.8,10.8,10
FUCVREIT,20171120,,,,10.3,0
FUCVREIT,20171117,9.37,10.75,9.36,10.3,1280
FUCVREIT,20171116,10.05,10.05,10.05,10.05,90
FUCVREIT,20171115,,,,10.8,0
FUCVREIT,20171114,10.8,10.8,10.8,10.8,10
FUCVREIT,20171113,10.2,10.25,10.2,10.25,40
FUCVREIT,20171110,9.98,9.98,9.98,9.98,10
FUCVREIT,20171109,9.72,9.99,9.72,9.72,3850
FUCVREIT,20171108,10.45,10.45,10.45,10.45,10
FUCVREIT,20171107,10.05,10.05,10.05,10.05,10
FUCVREIT,20171106,9.36,10.1,9.35,10.05,490
FUCVREIT,20171103,,,,10.05,0
FUCVREIT,20171102,9.41,10.05,9.4,10.05,510
FUCVREIT,20171101,9.99,10.1,9.99,10.1,30
FUCVREIT,20171031,9.5,10.0,9.49,10.0,1010
FUCVREIT,20171030,9.63,10.4,9.63,10.2,1040
FUCVREIT,20171027,9.68,10.35,9.68,10.35,630
FUCVREIT,20171026,10.65,10.65,9.31,10.4,190
FUCVREIT,20171025,9.91,10.0,9.91,10.0,980
FUCVREIT,20171024,10.1,10.65,10.1,10.65,170
FUCVREIT,20171023,10.1,10.85,10.1,10.85,1270
FUCVREIT,20171020,,,,10.85,0
FUCVREIT,20171019,10.85,10.85,10.85,10.85,10
FUCVREIT,20171018,10.4,10.4,10.4,10.4,10
FUCVREIT,20171017,10.6,10.6,9.22,10.4,2730
FUCVREIT,20171016,9.91,9.91,9.91,9.91,1040
FUCVREIT,20171013,10.4,10.4,9.91,9.91,140
FUCVREIT,20171012,10.0,10.4,10.0,10.4,1110
FUCVREIT,20171011,10.95,10.95,9.9,10.4,230
FUCVREIT,20171010,9.72,10.4,9.72,10.4,130
FUCVREIT,20171009,9.5,10.45,9.5,10.45,670
FUCVREIT,20171006,10.85,10.85,9.49,10.2,1390
FUCVREIT,20171005,10.2,10.75,10.2,10.2,580
FUCVREIT,20171004,10.75,10.95,10.75,10.95,60
FUCVREIT,20171003,10.5,11.0,10.25,11.0,1070
FUCVREIT,20171002,,,,11.0,0
FUCVREIT,20170929,11.0,11.0,11.0,11.0,10
FUCVREIT,20170928,9.4,10.7,9.4,10.7,1550
FUCVREIT,20170927,10.0,10.0,9.96,10.0,4780
FUCVREIT,20170926,10.4,10.95,10.4,10.7,1130
FUCVREIT,20170925,11.15,11.15,11.15,11.15,10
FUCVREIT,20170922,11.45,11.45,11.45,11.45,10
FUCVREIT,20170921,11.9,11.9,10.75,10.75,1030
FUCVREIT,20170920,10.3,11.65,10.3,11.55,1100
FUCVREIT,20170919,10.9,11.0,10.9,10.9,5290
FUCVREIT,20170918,11.2,11.7,11.2,11.7,3170
FUCVREIT,20170915,11.2,12.0,11.2,12.0,3340
FUCVREIT,20170914,11.95,12.0,11.95,12.0,100
FUCVREIT,20170913,12.4,12.4,11.1,11.9,830
FUCVREIT,20170912,,,,11.9,0
FUCVREIT,20170911,11.6,11.9,11.6,11.9,310
FUCVREIT,20170908,12.05,12.05,12.05,12.05,20
FUCVREIT,20170907,12.35,12.35,11.15,12.25,330
FUCVREIT,20170906,11.95,11.95,11.95,11.95,10
FUCVREIT,20170905,11.65,12.4,11.65,11.65,2580
FUCVREIT,20170901,12.5,12.5,12.5,12.5,110
FUCVREIT,20170831,12.95,12.95,12.65,12.65,50
FUCVREIT,20170830,12.0,12.85,12.0,12.5,850
FUCVREIT,20170829,,,,12.85,0
FUCVREIT,20170828,,,,12.85,0
FUCVREIT,20170825,13.15,13.15,12.85,12.85,110
FUCVREIT,20170824,11.95,12.3,11.95,12.3,440
FUCVREIT,20170823,,,,12.8,0
FUCVREIT,20170822,12.8,12.8,12.8,12.8,10
FUCVREIT,20170821,12.85,12.85,12.85,12.85,10
FUCVREIT,20170818,12.75,12.75,12.1,12.1,410
FUCVREIT,20170817,12.0,12.4,10.9,11.95,550
FUCVREIT,20170816,12.2,12.2,11.6,11.6,600
FUCVREIT,20170815,11.8,12.45,11.8,12.45,4510
FUCVREIT,20170814,12.0,12.7,12.0,12.65,1460
FUCVREIT,20170811,12.85,12.85,12.85,12.85,10
FUCVREIT,20170810,12.85,12.85,12.85,12.85,10
FUCVREIT,20170809,12.0,12.95,12.0,12.85,2120
FUCVREIT,20170808,12.9,12.9,12.5,12.9,1090
FUCVREIT,20170807,13.0,13.0,12.5,13.0,770
FUCVREIT,20170804,12.95,13.0,12.95,13.0,510
FUCVREIT,20170803,12.75,13.0,12.75,12.95,1060
FUCVREIT,20170802,12.75,12.75,12.75,12.75,10
FUCVREIT,20170801,12.0,12.95,12.0,12.0,8400
FUCVREIT,20170731,12.3,12.75,12.2,12.75,2120
FUCVREIT,20170728,12.5,13.1,12.4,13.05,930
FUCVREIT,20170727,12.7,13.3,12.7,13.3,300
FUCVREIT,20170726,13.9,13.9,13.55,13.55,60
FUCVREIT,20170725,13.35,13.35,12.1,13.35,4000
FUCVREIT,20170724,13.1,13.1,12.25,13.0,1330
FUCVREIT,20170721,13.15,13.45,12.25,12.25,2150
FUCVREIT,20170720,12.2,13.2,12.2,13.15,730
FUCVREIT,20170719,13.05,13.85,13.05,13.05,300
FUCVREIT,20170718,12.6,14.0,12.6,14.0,140
FUCVREIT,20170717,13.25,13.5,13.25,13.5,4720
FUCVREIT,20170714,14.3,14.3,12.8,14.2,100
FUCVREIT,20170713,14.5,14.5,13.5,13.5,1460
FUCVREIT,20170712,14.0,14.5,13.9,14.1,2820
FUCVREIT,20170711,14.7,14.7,14.7,14.7,10
FUCVREIT,20170710,14.9,14.9,13.8,14.7,5070
FUCVREIT,20170707,14.0,14.8,13.3,14.8,150
FUCVREIT,20170706,14.9,14.9,14.0,14.0,3090
FUCVREIT,20170705,14.2,14.9,14.2,14.9,1150
FUCVREIT,20170704,15.4,15.4,14.0,15.1,440
FUCVREIT,20170703,15.0,15.6,14.95,15.0,1220
FUCVREIT,20170630,14.8,15.0,14.0,14.7,4790
FUCVREIT,20170629,14.2,14.8,14.15,14.8,70
FUCVREIT,20170628,15.3,15.3,14.3,15.2,3520
FUCVREIT,20170627,15.4,15.45,15.3,15.3,800
FUCVREIT,20170626,15.3,15.3,15.2,15.3,80
FUCVREIT,20170623,15.5,15.5,14.5,15.3,1080
FUCVREIT,20170622,16.0,16.0,15.0,15.5,300
FUCVREIT,20170621,15.2,15.5,15.0,15.4,2950
FUCVREIT,20170620,15.3,15.5,15.2,15.2,1150
FUCVREIT,20170619,14.5,15.4,14.45,15.0,27490
FUCVREIT,20170616,14.4,14.4,14.4,14.4,20
FUCVREIT,20170615,14.7,14.7,13.5,13.9,8220
FUCVREIT,20170614,15.0,15.0,14.0,14.3,3040
FUCVREIT,20170613,14.9,14.9,14.5,14.8,2210
FUCVREIT,20170612,15.1,15.1,14.8,14.9,2220
FUCVREIT,20170609,14.8,15.1,14.7,14.9,8810
FUCVREIT,20170608,15.45,15.45,14.8,15.2,7810
FUCVREIT,20170607,15.45,15.45,14.8,15.0,8940
FUCVREIT,20170606,15.7,15.7,14.8,14.8,9410
FUCVREIT,20170605,16.2,16.25,14.9,15.0,11300
FUCVREIT,20170602,15.0,16.35,15.0,15.3,20430
FUCVREIT,20170601,15.2,15.5,15.0,15.3,49290
FUCVREIT,20170531,16.2,18.5,16.1,16.1,27480
FUCVREIT,20170530,17.3,17.4,17.3,17.3,8960
FUCVREIT,20170529,18.6,21.0,18.6,18.6,11810
FUCVREIT,20170526,20.5,20.5,20.0,20.0,1250
FUCVREIT,20170525,20.5,20.5,19.2,19.2,8320
FUCVREIT,20170524,16.7,19.2,16.7,19.2,13350
FUCVREIT,20170523,17.95,17.95,17.95,17.95,210
FUCVREIT,20170522,19.3,19.3,19.3,19.3,210
FUCVREIT,20170519,20.75,20.75,20.75,20.75,10
FUCVREIT,20170518,22.3,22.3,22.3,22.3,710
FUCVREIT,20170517,27.55,27.55,23.95,23.95,10430
FUCVREIT,20170516,25.75,25.75,25.75,25.75,810
FUCVREIT,20170515,24.1,24.1,24.1,24.1,3670
FUCVREIT,20170512,22.55,22.55,22.55,22.55,5070
FUCVREIT,20170511,21.1,21.1,21.1,21.1,2610
FUCVREIT,20170510,19.7,19.75,19.7,19.75,8290
FUCVREIT,20170509,17.3,18.5,17.3,18.5,8630
FUCVREIT,20170508,18.1,18.1,17.3,17.3,10140
FUCVREIT,20170505,16.95,16.95,16.95,16.95,5370
FUCVREIT,20170504,15.85,15.85,15.85,15.85,510
FUCVREIT,20170503,14.75,14.85,14.7,14.85,1260
FUCVREIT,20170428,13.5,13.9,12.6,13.9,480
FUCVREIT,20170427,13.5,13.5,13.5,13.5,4070
FUCVREIT,20170426,14.5,15.4,14.5,14.5,120
FUCVREIT,20170425,15.5,15.5,14.7,15.5,4490
FUCVREIT,20170424,14.2,15.9,14.15,15.8,1750
FUCVREIT,20170421,16.5,17.2,15.2,15.2,860
FUCVREIT,20170420,15.5,16.9,15.5,16.2,660
FUCVREIT,20170419,17.9,17.9,15.85,15.85,11020
FUCVREIT,20170418,16.5,17.0,16.5,17.0,3240
FUCVREIT,20170417,20.0,20.0,17.7,17.7,1070
FUCVREIT,20170414,18.25,20.9,18.25,19.0,6540
FUCVREIT,20170413,17.15,19.65,17.15,19.6,2440
FUCVREIT,20170412,17.15,18.4,17.15,18.4,6390
FUCVREIT,20170411,18.4,18.4,18.4,18.4,130
FUCVREIT,20170410,,,,19.75,0
FUCVREIT,20170407,19.75,19.75,19.75,19.75,10
FUCVREIT,20170405,21.2,21.2,21.2,21.2,490
FUCVREIT,20170404,22.75,22.75,22.75,22.75,300
FUCVREIT,20170403,,,,24.45,0
