<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GDT,20180713,42.6,43.5,42.6,43.45,13220
GDT,20180712,43.4,43.5,43.0,43.4,220
GDT,20180711,43.8,43.8,43.0,43.0,23890
GDT,20180710,42.6,43.35,42.6,43.35,890
GDT,20180709,42.05,43.2,42.0,43.15,370
GDT,20180706,43.1,43.15,42.0,43.1,9880
GDT,20180705,43.4,43.4,42.0,43.1,11140
GDT,20180704,43.4,43.4,42.5,43.0,1900
GDT,20180703,42.5,43.45,42.0,43.4,6620
GDT,20180702,43.0,43.1,42.0,43.1,9590
GDT,20180629,43.7,44.0,43.5,43.5,1700
GDT,20180628,43.5,44.0,43.2,43.95,1720
GDT,20180627,44.0,44.3,43.1,44.3,5320
GDT,20180626,43.5,43.5,43.0,43.5,2870
GDT,20180625,43.55,44.5,43.55,44.3,7400
GDT,20180622,,,,45.0,0
GDT,20180621,45.0,45.0,42.85,45.0,920
GDT,20180620,42.85,45.7,42.7,45.7,5550
GDT,20180619,43.5,43.5,42.8,42.8,11690
GDT,20180618,44.0,44.0,43.6,43.85,600
GDT,20180615,44.1,44.1,43.9,43.9,2030
GDT,20180614,45.1,45.1,44.0,44.0,16810
GDT,20180613,41.91,42.82,41.91,42.82,2180
GDT,20180612,42.68,42.68,41.0,42.68,10270
GDT,20180611,41.82,43.09,40.91,40.91,104480
GDT,20180608,42.82,42.91,42.77,42.77,12250
GDT,20180607,42.73,42.91,42.55,42.82,4070
GDT,20180606,42.82,42.91,42.64,42.91,3000
GDT,20180605,42.91,42.91,42.73,42.91,3360
GDT,20180604,43.09,43.27,42.73,43.09,2320
GDT,20180601,42.73,43.18,42.73,43.09,1510
GDT,20180531,42.46,42.73,41.82,42.73,9550
GDT,20180530,43.14,43.14,40.36,41.73,2740
GDT,20180529,40.0,41.73,39.95,41.59,1540
GDT,20180528,41.37,41.37,39.55,40.0,3250
GDT,20180525,41.37,41.59,39.09,40.82,19400
GDT,20180524,41.72,41.72,41.36,41.64,600
GDT,20180523,41.82,41.82,41.36,41.36,1240
GDT,20180522,42.27,42.27,39.09,40.91,23750
GDT,20180521,42.18,42.18,41.36,41.82,5760
GDT,20180518,41.63,42.27,41.63,42.27,1480
GDT,20180517,42.28,42.28,41.82,42.27,1420
GDT,20180516,41.64,42.73,41.55,42.73,14230
GDT,20180515,41.37,41.63,41.37,41.64,14150
GDT,20180514,41.03,41.38,41.03,41.37,9090
GDT,20180511,41.03,41.03,40.86,41.03,7400
GDT,20180510,41.37,41.54,41.02,41.03,12230
GDT,20180509,41.37,41.63,41.37,41.37,70650
GDT,20180508,41.81,41.81,41.38,41.37,14860
GDT,20180507,41.55,41.55,40.85,41.55,1240
GDT,20180504,41.55,41.64,40.77,41.55,3210
GDT,20180503,42.24,42.24,40.85,41.64,2990
GDT,20180502,43.11,43.11,41.81,42.59,170
GDT,20180427,40.76,43.55,39.93,43.46,29250
GDT,20180426,40.68,41.29,39.81,40.76,14260
GDT,20180424,41.72,41.72,40.5,40.68,4930
GDT,20180423,41.81,41.81,40.5,40.5,32260
GDT,20180420,40.94,41.72,40.5,41.72,5370
GDT,20180419,,,,41.81,0
GDT,20180418,40.5,42.68,40.5,41.81,22180
GDT,20180417,41.28,41.28,40.33,40.5,1000
GDT,20180416,40.94,41.38,39.89,40.5,25210
GDT,20180413,39.81,41.55,39.81,40.94,43820
GDT,20180412,39.81,39.81,39.2,39.81,3450
GDT,20180411,40.59,40.59,39.2,39.81,18850
GDT,20180410,41.2,41.2,40.5,40.94,4650
GDT,20180409,40.06,41.37,40.06,41.2,6840
GDT,20180406,41.81,41.81,40.5,41.37,420
GDT,20180405,39.72,42.46,39.72,41.81,61600
GDT,20180404,39.72,39.72,39.19,39.72,62200
GDT,20180403,39.89,40.24,39.63,39.63,26680
GDT,20180402,40.02,40.5,39.8,40.33,5740
GDT,20180330,40.94,40.94,40.07,40.5,8770
GDT,20180329,40.72,40.94,40.07,40.94,9630
GDT,20180328,40.07,40.94,40.07,40.94,1350
GDT,20180327,41.16,41.16,38.29,41.16,19880
GDT,20180326,41.55,41.55,41.16,41.16,2080
GDT,20180323,41.63,41.77,41.16,41.55,580
GDT,20180322,42.07,42.33,41.81,42.07,8560
GDT,20180321,42.07,42.07,41.81,42.07,2270
GDT,20180320,42.24,42.24,42.07,42.07,460
GDT,20180319,42.07,42.33,41.81,42.33,7320
GDT,20180316,41.98,42.15,41.8,42.07,1230
GDT,20180315,41.81,42.55,41.81,42.24,5730
GDT,20180314,42.68,42.68,41.81,42.59,2070
GDT,20180313,42.42,42.59,41.55,42.55,1000
GDT,20180312,41.46,42.42,41.38,42.42,4220
GDT,20180309,42.64,42.64,42.51,42.51,1490
GDT,20180308,42.59,42.76,41.81,42.68,170
GDT,20180307,42.68,42.68,41.9,42.59,350
GDT,20180306,41.11,42.68,41.11,42.68,1310
GDT,20180305,42.68,42.68,41.98,42.68,27020
GDT,20180302,43.12,43.12,42.25,42.68,8400
GDT,20180301,43.12,43.12,42.25,43.12,2700
GDT,20180228,43.12,43.12,42.68,43.12,1280
GDT,20180227,43.47,43.47,43.12,43.12,2360
GDT,20180226,44.16,44.16,43.11,43.12,2030
GDT,20180223,43.81,44.33,43.55,44.16,1490
GDT,20180222,44.42,44.42,43.55,44.42,50
GDT,20180221,44.42,44.86,43.55,44.86,150
GDT,20180213,42.59,45.46,42.59,44.86,7300
GDT,20180212,42.59,42.59,42.24,42.59,840
GDT,20180209,42.42,43.12,42.34,42.59,3030
GDT,20180208,42.33,43.55,42.33,43.12,18680
GDT,20180207,40.24,43.9,40.24,43.55,43170
GDT,20180206,41.81,42.42,39.15,41.72,7000
GDT,20180205,41.89,43.16,40.94,41.81,3870
GDT,20180202,43.46,43.46,42.68,43.2,130
GDT,20180201,44.77,44.77,43.37,43.46,4460
GDT,20180131,42.29,44.68,41.81,44.42,4270
GDT,20180130,41.8,42.24,41.8,41.81,10080
GDT,20180129,42.24,42.59,41.02,42.24,24980
GDT,20180126,40.5,43.55,40.5,42.24,15130
GDT,20180125,41.38,42.07,39.63,40.94,98160
GDT,20180122,40.94,40.94,40.5,40.94,24230
GDT,20180119,41.81,41.81,40.76,40.94,23460
GDT,20180118,41.15,43.46,40.93,41.81,34310
GDT,20180117,42.85,43.46,42.85,43.46,1510
GDT,20180116,43.55,43.55,42.68,43.55,13110
GDT,20180115,41.8,44.42,41.8,43.55,78120
GDT,20180112,42.59,42.59,42.24,42.24,18820
GDT,20180111,42.68,42.68,42.29,42.68,4940
GDT,20180110,42.68,43.12,42.24,42.68,6010
GDT,20180109,40.59,42.68,40.59,42.68,6240
GDT,20180108,40.64,40.81,40.51,40.59,1860
GDT,20180105,40.2,40.85,40.2,40.81,1480
GDT,20180104,40.89,40.89,40.06,40.85,7090
GDT,20180103,40.94,40.94,40.11,40.89,2030
GDT,20180102,40.94,41.29,39.37,40.94,36140
GDT,20171229,40.94,40.94,38.67,40.94,3100
GDT,20171228,41.77,41.77,39.2,40.98,22170
GDT,20171227,41.81,41.98,41.03,41.03,7410
GDT,20171226,41.81,42.07,41.54,41.81,8180
GDT,20171225,41.63,41.98,40.93,41.98,2740
GDT,20171222,41.37,43.11,41.37,41.37,38970
GDT,20171221,42.68,42.68,41.03,41.37,13950
