<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GMX,20180713,,,,23.4,0
GMX,20180712,23.4,23.4,23.4,23.4,1000
GMX,20180711,26.0,26.0,26.0,26.0,3000
GMX,20180710,26.0,26.0,26.0,26.0,2500
GMX,20180709,,,,26.0,0
GMX,20180706,26.0,26.0,26.0,26.0,80
GMX,20180705,,,,26.0,0
GMX,20180704,25.0,26.0,25.0,26.0,1400
GMX,20180703,25.0,25.0,25.0,25.0,1900
GMX,20180702,,,,26.6,0
GMX,20180629,26.6,26.6,26.6,26.6,100
GMX,20180628,,,,24.2,0
GMX,20180627,,,,24.2,0
GMX,20180626,,,,24.2,0
GMX,20180625,,,,24.2,0
GMX,20180622,,,,24.2,0
GMX,20180621,,,,24.2,0
GMX,20180620,,,,24.2,0
GMX,20180619,,,,24.2,0
GMX,20180618,,,,24.2,0
GMX,20180615,24.2,24.2,24.2,24.2,200
GMX,20180614,,,,22.0,0
GMX,20180613,,,,22.0,0
GMX,20180612,,,,22.0,0
GMX,20180611,,,,22.0,0
GMX,20180608,,,,22.0,0
GMX,20180607,,,,22.0,0
GMX,20180606,22.0,22.0,22.0,22.0,40
GMX,20180605,,,,22.0,0
GMX,20180604,,,,22.0,0
GMX,20180601,,,,22.0,0
GMX,20180531,,,,22.0,0
GMX,20180530,,,,22.0,0
GMX,20180529,,,,22.0,0
GMX,20180528,,,,22.0,0
GMX,20180525,22.0,22.0,22.0,22.0,100
GMX,20180524,,,,23.91,0
GMX,20180523,,,,23.91,0
GMX,20180522,23.91,23.91,23.91,23.91,6100
GMX,20180521,,,,23.91,0
GMX,20180518,23.92,23.92,23.92,23.91,100
GMX,20180517,,,,25.35,0
GMX,20180516,,,,25.35,0
GMX,20180515,,,,25.35,0
GMX,20180514,,,,25.35,0
GMX,20180511,25.35,25.35,25.35,25.35,104
GMX,20180510,,,,25.35,0
GMX,20180509,,,,25.35,0
GMX,20180508,25.35,25.35,25.35,25.35,26
GMX,20180507,25.34,25.34,25.34,25.35,100
GMX,20180504,,,,23.91,0
GMX,20180503,,,,23.91,0
GMX,20180502,,,,23.91,0
GMX,20180427,,,,23.91,0
GMX,20180426,,,,23.91,0
GMX,20180424,,,,23.91,0
GMX,20180423,,,,23.91,0
GMX,20180420,,,,23.91,0
GMX,20180419,,,,23.91,0
GMX,20180418,,,,23.91,0
GMX,20180417,,,,23.91,0
GMX,20180416,,,,23.91,0
GMX,20180413,,,,23.91,0
GMX,20180412,,,,23.91,0
GMX,20180411,,,,23.91,0
GMX,20180410,,,,23.91,0
GMX,20180409,23.91,23.91,23.91,23.91,900
GMX,20180406,,,,23.91,0
GMX,20180405,,,,23.91,0
GMX,20180404,,,,23.91,0
GMX,20180403,23.91,23.91,23.91,23.91,5
GMX,20180402,,,,23.91,0
GMX,20180330,,,,23.91,0
GMX,20180329,,,,23.91,0
GMX,20180328,,,,23.91,0
GMX,20180327,23.91,23.91,23.91,23.91,3000
GMX,20180326,23.91,23.91,23.91,23.91,2000
GMX,20180323,23.91,23.91,23.91,23.91,5
GMX,20180322,23.91,23.91,23.91,23.91,5030
GMX,20180321,23.91,23.91,23.91,23.91,4000
GMX,20180320,,,,23.91,0
GMX,20180319,23.91,23.91,23.91,23.91,1600
GMX,20180316,23.91,23.91,23.91,23.91,800
GMX,20180315,,,,23.91,0
GMX,20180314,,,,23.91,0
GMX,20180313,,,,23.91,0
GMX,20180312,,,,23.91,0
GMX,20180309,,,,23.91,0
GMX,20180308,23.91,23.91,23.91,23.91,50
GMX,20180307,23.91,23.91,23.91,23.91,2900
GMX,20180306,23.91,23.91,23.91,23.91,4000
GMX,20180305,23.44,23.44,23.44,23.43,1900
GMX,20180302,,,,24.87,0
GMX,20180301,24.87,24.87,24.87,24.87,200
GMX,20180228,,,,25.25,0
GMX,20180227,,,,25.25,0
GMX,20180226,25.25,25.25,25.25,25.25,500
GMX,20180223,,,,25.25,0
GMX,20180222,,,,25.25,0
GMX,20180221,25.25,25.25,25.25,25.25,1000
GMX,20180213,,,,25.25,0
GMX,20180212,25.26,25.26,25.26,25.25,100
GMX,20180209,,,,22.96,0
GMX,20180208,23.05,23.05,22.95,22.96,1100
GMX,20180207,,,,22.76,0
GMX,20180206,25.82,25.82,22.76,22.76,200
GMX,20180205,,,,25.25,0
GMX,20180202,25.25,25.25,25.25,25.25,100
GMX,20180201,,,,24.68,0
GMX,20180131,24.39,24.68,24.39,24.68,700
GMX,20180130,,,,26.59,0
GMX,20180129,26.59,26.59,26.59,26.59,100
GMX,20180126,24.2,24.2,24.2,24.2,800
GMX,20180125,,,,23.91,0
GMX,20180122,23.91,23.91,23.91,23.91,100
GMX,20180119,,,,23.91,0
GMX,20180118,23.91,23.91,23.91,23.91,100
GMX,20180117,,,,25.82,0
GMX,20180116,,,,25.82,0
GMX,20180115,25.82,25.82,25.82,25.82,30
GMX,20180112,25.82,25.82,25.82,25.82,10
GMX,20180111,,,,25.82,0
GMX,20180110,,,,25.82,0
GMX,20180109,25.83,25.83,25.83,25.82,1000
GMX,20180108,,,,25.35,0
GMX,20180105,25.35,25.35,25.35,25.35,60
GMX,20180104,25.45,25.45,25.35,25.35,3700
GMX,20180103,,,,25.35,0
GMX,20180102,25.34,25.34,25.34,25.35,1300
GMX,20171229,25.83,25.83,25.83,25.82,2100
GMX,20171228,,,,25.73,0
GMX,20171227,25.73,25.73,25.73,25.73,600
GMX,20171226,25.83,25.83,25.64,25.73,400
GMX,20171225,,,,28.41,0
GMX,20171222,28.4,28.4,28.4,28.41,1100
GMX,20171221,31.57,31.57,31.57,31.56,100
GMX,20171220,,,,35.01,0
GMX,20171219,,,,35.01,0
GMX,20171218,,,,35.01,0
GMX,20171215,,,,35.01,0
GMX,20171214,35.1,35.1,28.88,35.01,900
GMX,20171213,,,,32.04,0
GMX,20171212,32.04,32.04,32.04,32.04,100
GMX,20171211,,,,29.17,0
GMX,20171208,29.17,29.17,29.17,29.17,400
GMX,20171207,29.17,29.17,29.17,29.17,200
GMX,20171206,32.23,32.23,32.23,32.23,100
GMX,20171205,,,,32.23,0
GMX,20171204,32.23,32.23,32.23,32.23,100
GMX,20171201,,,,35.77,0
GMX,20171130,35.77,35.77,35.77,35.77,100
GMX,20171129,30.22,32.99,30.22,33.0,600
GMX,20171128,30.22,30.22,30.22,30.22,100
GMX,20171127,27.55,27.65,27.55,27.64,400
GMX,20171124,,,,25.16,0
GMX,20171123,,,,25.16,0
GMX,20171122,,,,25.16,0
GMX,20171121,,,,25.16,0
