<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTN,20180713,8.41,8.54,8.36,8.45,234660
GTN,20180712,8.45,8.6,8.21,8.45,211850
GTN,20180711,8.4,8.5,8.32,8.41,206440
GTN,20180710,8.44,8.9,8.4,8.7,99410
GTN,20180709,8.51,8.96,8.44,8.88,197500
GTN,20180706,8.35,9.0,8.3,8.88,245670
GTN,20180705,8.6,8.61,8.3,8.48,281460
GTN,20180704,8.31,8.64,8.31,8.6,156680
GTN,20180703,8.83,8.99,8.22,8.6,453930
GTN,20180702,9.1,9.1,8.8,8.83,190030
GTN,20180629,9.0,9.19,8.95,9.1,132970
GTN,20180628,9.1,9.2,8.91,8.93,146730
GTN,20180627,9.3,9.35,9.08,9.24,72430
GTN,20180626,9.3,9.3,9.1,9.3,22370
GTN,20180625,9.4,9.49,9.3,9.33,217390
GTN,20180622,9.3,9.4,9.05,9.4,129490
GTN,20180621,9.1,9.2,9.06,9.2,91140
GTN,20180620,9.13,9.25,9.02,9.1,245820
GTN,20180619,9.3,9.4,9.1,9.13,211850
GTN,20180618,9.67,9.7,9.4,9.4,152380
GTN,20180615,9.6,9.77,9.5,9.67,119640
GTN,20180614,9.52,9.87,9.45,9.5,370100
GTN,20180613,9.87,9.9,9.5,9.7,479390
GTN,20180612,10.4,10.4,9.87,9.87,687030
GTN,20180611,10.1,10.45,10.0,10.45,238190
GTN,20180608,10.5,10.5,10.1,10.2,218090
GTN,20180607,10.6,10.95,10.45,10.55,444370
GTN,20180606,9.86,10.55,9.7,10.55,895880
GTN,20180605,9.8,9.87,9.74,9.86,502380
GTN,20180604,9.38,9.98,9.32,9.73,400570
GTN,20180601,9.1,9.55,9.1,9.38,212000
GTN,20180531,8.9,9.3,8.9,9.28,312120
GTN,20180530,9.7,9.7,9.03,9.03,649610
GTN,20180529,9.3,9.8,9.3,9.7,762560
GTN,20180528,10.0,10.1,9.4,9.4,575810
GTN,20180525,10.3,10.55,10.0,10.1,612970
GTN,20180524,10.85,11.05,10.25,10.35,735930
GTN,20180523,10.5,10.8,10.45,10.75,243170
GTN,20180522,11.0,11.0,10.5,10.5,461000
GTN,20180521,11.1,11.3,10.95,11.0,362910
GTN,20180518,11.35,11.45,11.15,11.25,321460
GTN,20180517,11.35,11.55,11.3,11.4,422030
GTN,20180516,11.6,11.6,11.35,11.4,458850
GTN,20180515,11.45,11.7,11.45,11.55,320440
GTN,20180514,11.4,11.7,11.3,11.45,318340
GTN,20180511,11.5,11.8,11.4,11.5,187990
GTN,20180510,11.8,11.9,11.45,11.55,434280
GTN,20180509,12.0,12.15,11.85,11.85,513310
GTN,20180508,12.35,12.35,12.0,12.0,840380
GTN,20180507,11.6,12.35,11.55,12.3,871330
GTN,20180504,11.55,11.8,11.55,11.55,297240
GTN,20180503,11.5,11.65,11.35,11.65,706730
GTN,20180502,11.9,12.1,11.5,11.65,455280
GTN,20180427,11.7,12.15,11.5,12.1,907660
GTN,20180426,12.05,12.15,11.6,12.0,616960
GTN,20180424,12.05,12.35,11.65,12.15,896220
GTN,20180423,11.7,12.3,11.7,12.0,1575360
GTN,20180420,11.5,11.85,11.3,11.7,814860
GTN,20180419,11.05,11.5,11.05,11.5,650910
GTN,20180418,10.95,11.35,10.95,11.05,467930
GTN,20180417,11.0,11.15,10.95,11.05,358470
GTN,20180416,11.15,11.15,10.95,11.05,447790
GTN,20180413,11.05,11.4,11.05,11.15,533460
GTN,20180412,11.0,11.35,11.0,11.1,365650
GTN,20180411,11.5,11.7,11.0,11.0,893600
GTN,20180410,11.75,11.8,11.35,11.4,1102630
GTN,20180409,11.9,11.95,11.55,11.8,745480
GTN,20180406,11.75,12.25,11.75,11.85,1849590
GTN,20180405,10.85,11.6,10.85,11.6,1842710
GTN,20180404,10.65,10.95,10.65,10.85,433720
GTN,20180403,10.5,10.95,10.5,10.65,499130
GTN,20180402,10.45,10.65,10.45,10.55,396430
GTN,20180330,10.5,10.55,10.4,10.45,399430
GTN,20180329,10.35,10.75,10.3,10.55,170010
GTN,20180328,10.6,10.65,10.45,10.45,405020
GTN,20180327,10.8,10.95,10.7,10.75,444080
GTN,20180326,10.3,10.9,10.3,10.7,518840
GTN,20180323,10.8,11.0,10.5,10.5,1080870
GTN,20180322,11.2,11.35,11.1,11.2,836640
GTN,20180321,11.3,11.3,11.0,11.1,854740
GTN,20180320,11.6,11.6,11.3,11.3,338930
GTN,20180319,11.5,11.75,11.4,11.6,1368190
GTN,20180316,11.2,11.3,10.9,11.0,5608440
GTN,20180315,11.5,11.5,11.25,11.35,526040
GTN,20180314,11.5,11.65,11.35,11.45,850440
GTN,20180313,10.9,11.3,10.8,11.3,674410
GTN,20180312,11.0,11.15,10.7,10.8,565600
GTN,20180309,11.4,11.4,11.1,11.2,975460
GTN,20180308,11.2,11.5,10.9,11.25,1218830
GTN,20180307,10.5,11.0,10.4,11.0,1801520
GTN,20180306,10.1,10.4,10.0,10.3,2538770
GTN,20180305,10.25,10.25,10.1,10.1,496520
GTN,20180302,10.0,10.55,10.0,10.25,1380720
GTN,20180301,10.8,10.85,10.25,10.25,977410
GTN,20180228,10.5,11.05,10.35,10.6,1310730
GTN,20180227,10.2,10.8,10.0,10.35,451220
GTN,20180226,10.3,10.9,10.2,10.3,1243980
GTN,20180223,11.75,11.8,10.95,10.95,1981480
GTN,20180222,12.25,12.25,11.6,11.75,673940
GTN,20180221,12.95,12.95,12.2,12.25,542120
GTN,20180213,12.95,13.05,12.9,12.9,135800
