<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAR,20180713,5.08,5.35,4.98,5.35,395370
HAR,20180712,5.0,5.08,4.91,5.0,173350
HAR,20180711,5.0,5.1,4.9,5.07,121130
HAR,20180710,5.06,5.18,5.01,5.1,109260
HAR,20180709,5.29,5.29,5.03,5.06,96820
HAR,20180706,5.0,5.2,5.0,5.2,155940
HAR,20180705,5.43,5.43,4.84,5.1,474920
HAR,20180704,5.15,5.49,5.14,5.14,824410
HAR,20180703,5.68,5.68,5.45,5.45,555630
HAR,20180702,5.65,5.79,5.29,5.62,799200
HAR,20180629,5.7,5.8,5.5,5.67,212960
HAR,20180628,5.85,5.86,5.5,5.65,268180
HAR,20180627,5.9,6.1,5.7,5.85,183510
HAR,20180626,6.01,6.01,5.95,6.0,235780
HAR,20180625,6.18,6.26,6.06,6.1,282100
HAR,20180622,6.07,6.24,6.0,6.18,255270
HAR,20180621,6.24,6.24,6.0,6.0,1119480
HAR,20180620,5.66,5.84,5.48,5.84,388890
HAR,20180619,5.65,5.7,5.46,5.46,878020
HAR,20180618,5.91,5.91,5.77,5.82,900250
HAR,20180615,5.82,5.89,5.75,5.84,419770
HAR,20180614,5.7,5.96,5.7,5.82,1055330
HAR,20180613,5.4,5.76,5.4,5.7,253950
HAR,20180612,5.6,5.6,5.32,5.45,468310
HAR,20180611,5.6,5.99,5.53,5.6,2211940
HAR,20180608,5.85,5.98,5.6,5.6,923860
HAR,20180607,6.0,6.22,5.82,6.0,1407060
HAR,20180606,6.6,6.89,6.25,6.25,689380
HAR,20180605,6.71,6.71,6.4,6.71,2609660
HAR,20180604,6.28,6.28,6.28,6.28,524840
HAR,20180601,5.87,5.87,5.87,5.87,119830
HAR,20180531,5.49,5.49,5.49,5.49,150970
HAR,20180530,4.81,5.14,4.81,5.14,342150
HAR,20180529,4.5,4.81,4.5,4.81,848260
HAR,20180528,4.47,4.6,4.4,4.5,1039970
HAR,20180525,4.52,4.52,4.39,4.5,1221190
HAR,20180524,4.74,4.74,4.51,4.51,378610
HAR,20180523,4.7,4.86,4.6,4.74,545350
HAR,20180522,4.77,5.1,4.77,4.81,3087840
HAR,20180521,5.3,5.5,5.12,5.12,565440
HAR,20180518,5.46,5.6,5.3,5.5,389850
HAR,20180517,5.65,5.65,5.45,5.6,332570
HAR,20180516,5.69,5.69,5.5,5.65,567020
HAR,20180515,5.7,5.7,5.59,5.69,295640
HAR,20180514,5.7,5.75,5.58,5.7,413830
HAR,20180511,5.75,5.75,5.56,5.74,344620
HAR,20180510,5.79,5.79,5.66,5.75,392620
HAR,20180509,5.8,5.83,5.67,5.79,268570
HAR,20180508,5.8,5.99,5.72,5.8,323780
HAR,20180507,5.7,5.88,5.6,5.72,395940
HAR,20180504,5.7,5.75,5.62,5.72,423400
HAR,20180503,5.75,5.75,5.5,5.7,147040
HAR,20180502,5.7,5.95,5.5,5.75,318230
HAR,20180427,5.95,6.1,5.51,5.75,637520
HAR,20180426,6.29,6.29,5.85,5.85,1109000
HAR,20180424,6.61,6.61,6.29,6.29,857250
HAR,20180423,7.16,7.25,6.76,6.76,710100
HAR,20180420,7.22,7.26,7.02,7.26,367610
HAR,20180419,7.36,7.5,6.93,7.24,294490
HAR,20180418,7.6,7.6,7.39,7.39,511940
HAR,20180417,7.62,7.66,7.45,7.49,496940
HAR,20180416,7.69,7.69,7.46,7.59,367260
HAR,20180413,7.7,7.7,7.48,7.56,610030
HAR,20180412,7.29,7.64,7.28,7.6,797270
HAR,20180411,7.86,7.99,7.36,7.4,877820
HAR,20180410,8.4,8.4,7.83,7.86,1839880
HAR,20180409,8.8,8.8,8.41,8.41,1284640
HAR,20180406,8.82,8.9,8.69,8.7,3159490
HAR,20180405,8.72,8.95,8.72,8.8,3217820
HAR,20180404,8.66,8.9,8.66,8.72,3090520
HAR,20180403,8.88,8.88,8.59,8.66,3093700
HAR,20180402,8.8,8.8,8.37,8.8,1532730
HAR,20180330,8.9,8.99,8.8,8.8,1011130
HAR,20180329,9.02,9.2,8.91,9.0,1645420
HAR,20180328,8.83,9.2,8.48,9.06,3333830
HAR,20180327,8.8,9.08,8.8,8.95,1855790
HAR,20180326,9.24,9.48,8.77,8.8,2645430
HAR,20180323,9.8,10.0,9.35,9.35,3287610
HAR,20180322,9.23,10.4,9.22,10.05,7747440
HAR,20180321,10.65,10.95,9.91,9.91,3915670
HAR,20180320,11.0,11.35,10.65,10.65,2963110
HAR,20180319,11.35,11.5,11.0,11.4,2443910
HAR,20180316,11.3,11.6,11.15,11.6,3125460
HAR,20180315,11.65,11.9,11.35,11.5,2281310
HAR,20180314,11.55,12.35,11.55,11.9,3897520
HAR,20180313,10.6,11.55,10.6,11.55,1985440
HAR,20180312,10.9,11.0,10.4,10.8,2580340
HAR,20180309,10.8,11.2,10.8,10.95,3761330
HAR,20180308,10.65,11.0,10.65,10.8,1792510
HAR,20180307,11.25,11.45,10.7,10.7,3541310
HAR,20180306,10.65,11.4,10.65,11.3,3324520
HAR,20180305,11.2,11.4,10.5,11.15,3534960
HAR,20180302,10.5,11.2,10.5,11.2,3006420
HAR,20180301,9.84,10.5,9.84,10.5,3311830
HAR,20180228,9.3,9.86,9.3,9.84,2190910
HAR,20180227,9.35,9.49,9.25,9.38,924330
HAR,20180226,9.2,9.5,9.1,9.38,1661790
HAR,20180223,9.5,9.6,9.19,9.3,882330
HAR,20180222,10.0,10.0,9.6,9.6,313160
HAR,20180221,10.0,10.2,10.0,10.05,832890
HAR,20180213,10.0,10.0,9.6,10.0,553120
HAR,20180212,9.25,9.7,9.25,9.65,1456880
HAR,20180209,9.1,9.25,8.9,9.25,469430
HAR,20180208,9.2,9.8,9.11,9.3,1122380
HAR,20180207,9.1,9.2,8.6,9.2,702040
HAR,20180206,8.75,8.9,8.71,8.71,1016880
HAR,20180205,9.21,9.45,9.15,9.36,2225240
HAR,20180202,9.01,9.5,8.9,9.37,1524060
HAR,20180201,9.3,9.31,8.99,9.26,3538320
HAR,20180131,9.13,9.28,8.8,9.26,2671410
HAR,20180130,8.25,8.68,8.14,8.68,1238730
HAR,20180129,7.7,8.13,7.7,8.12,1504440
HAR,20180126,7.25,7.6,7.25,7.6,757420
HAR,20180125,7.63,7.66,7.21,7.25,2121580
HAR,20180122,8.03,8.2,7.64,7.66,1037520
HAR,20180119,8.21,8.25,8.02,8.03,998840
HAR,20180118,8.35,8.4,8.19,8.22,341170
HAR,20180117,8.37,8.48,8.35,8.37,901250
HAR,20180116,8.39,8.52,8.35,8.37,403360
HAR,20180115,8.39,8.55,8.35,8.38,1479940
HAR,20180112,8.4,8.7,8.3,8.39,1589950
HAR,20180111,8.6,8.6,8.38,8.4,741710
HAR,20180110,8.71,8.79,8.5,8.5,648120
HAR,20180109,8.75,8.95,8.69,8.72,433380
HAR,20180108,8.8,9.0,8.7,8.75,601320
HAR,20180105,8.58,8.8,8.55,8.76,2393610
HAR,20180104,8.59,8.84,8.52,8.61,707430
HAR,20180103,8.51,8.65,8.47,8.59,1856250
HAR,20180102,8.6,8.75,8.5,8.61,190820
HAR,20171229,8.78,8.94,8.5,8.5,470400
HAR,20171228,8.56,8.77,8.5,8.77,479270
HAR,20171227,8.3,8.59,8.3,8.4,1082060
HAR,20171226,8.16,8.25,8.15,8.22,449520
HAR,20171225,8.48,8.8,8.21,8.21,666020
HAR,20171222,8.9,8.98,8.6,8.6,850240
HAR,20171221,9.0,9.0,8.79,8.9,1798660
HAR,20171220,9.0,9.08,8.9,8.9,1526280
HAR,20171219,9.35,9.35,8.98,9.0,2864000
