<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAX,20180713,16.9,16.9,16.35,16.4,30700
HAX,20180712,16.3,16.75,16.2,16.3,32030
HAX,20180711,16.9,17.0,16.2,16.6,40150
HAX,20180710,16.7,17.0,16.6,16.9,165940
HAX,20180709,16.75,16.75,16.3,16.45,15650
HAX,20180706,16.6,16.6,15.8,16.0,105420
HAX,20180705,16.1,16.85,16.0,16.3,222060
HAX,20180704,15.7,16.0,15.7,16.0,61100
HAX,20180703,15.8,16.2,15.7,15.8,113030
HAX,20180702,15.8,16.0,15.3,15.8,37510
HAX,20180629,15.6,16.0,15.5,15.8,18360
HAX,20180628,16.0,16.0,15.5,15.8,20920
HAX,20180627,16.0,16.4,16.0,16.1,30430
HAX,20180626,16.5,16.5,16.05,16.25,4970
HAX,20180625,16.7,16.7,16.2,16.5,16570
HAX,20180622,16.0,16.9,16.0,16.7,149080
HAX,20180621,15.9,16.3,15.6,16.0,7520
HAX,20180620,15.5,16.2,15.35,16.0,57610
HAX,20180619,15.3,16.1,14.8,15.5,98870
HAX,20180618,16.8,16.8,15.8,15.8,14630
HAX,20180615,16.5,16.9,16.5,16.8,62420
HAX,20180614,16.6,16.7,16.35,16.55,7240
HAX,20180613,16.2,16.7,16.2,16.6,162640
HAX,20180612,15.7,16.2,15.45,16.0,130480
HAX,20180611,17.1,17.3,16.2,16.3,102030
HAX,20180608,17.2,17.3,16.85,17.3,50940
HAX,20180607,16.6,17.65,16.4,17.5,188660
HAX,20180606,16.55,16.55,16.0,16.5,62670
HAX,20180605,15.6,16.5,15.35,16.5,158250
HAX,20180604,15.5,15.75,15.0,15.5,103380
HAX,20180601,15.2,15.75,14.9,15.5,168100
HAX,20180531,14.7,15.05,14.7,14.85,84820
HAX,20180530,14.7,15.0,14.6,14.7,167560
HAX,20180529,15.0,15.0,14.1,14.7,96070
HAX,20180528,15.7,15.7,14.6,14.6,184550
HAX,20180525,15.8,15.9,15.5,15.5,55480
HAX,20180524,15.5,16.05,15.5,15.8,43640
HAX,20180523,15.5,15.9,15.2,15.5,49780
HAX,20180522,16.3,16.6,15.6,15.65,162730
HAX,20180521,17.3,17.3,16.6,16.7,44870
HAX,20180518,16.8,17.2,16.65,17.15,88220
HAX,20180517,17.8,17.8,17.2,17.2,12980
HAX,20180516,17.1,18.0,17.0,17.8,79660
HAX,20180515,16.7,17.1,16.7,17.0,21800
HAX,20180514,16.5,17.1,16.5,16.95,28020
HAX,20180511,16.4,17.0,16.4,16.95,44690
HAX,20180510,16.6,17.2,16.6,16.95,19440
HAX,20180509,17.0,17.4,17.0,17.15,23640
HAX,20180508,17.45,17.5,17.0,17.0,33640
HAX,20180507,16.4,17.5,16.4,17.4,41790
HAX,20180504,16.0,16.4,15.9,16.4,84090
HAX,20180503,16.3,16.5,16.0,16.0,99460
HAX,20180502,17.05,17.5,16.5,16.5,27640
HAX,20180427,16.5,17.15,16.5,17.05,23930
HAX,20180426,17.35,17.6,16.7,17.0,66910
HAX,20180424,17.4,17.6,17.3,17.35,279880
HAX,20180423,19.0,20.0,18.55,18.55,227530
HAX,20180420,20.1,20.35,19.7,19.9,28260
HAX,20180419,20.4,20.4,19.6,20.0,34060
HAX,20180418,20.2,20.8,20.0,20.4,37580
HAX,20180417,19.7,20.2,19.7,20.2,109130
HAX,20180416,19.7,19.9,19.5,19.6,66830
HAX,20180413,20.5,20.5,19.6,20.0,22240
HAX,20180412,19.6,21.0,19.6,20.5,64470
HAX,20180411,21.0,21.2,20.5,20.5,361070
HAX,20180410,23.0,23.1,21.55,22.0,115620
HAX,20180409,23.4,24.0,23.0,23.1,79670
HAX,20180406,22.5,23.75,22.5,23.3,108310
HAX,20180405,23.4,24.5,22.0,22.5,236900
HAX,20180404,23.46,23.52,23.2,23.33,228290
HAX,20180403,23.72,23.84,23.2,23.46,218350
HAX,20180402,24.26,24.26,23.78,23.78,135890
HAX,20180330,23.65,23.97,23.65,23.97,94300
HAX,20180329,24.29,24.29,23.65,23.91,96260
HAX,20180328,23.94,24.23,23.59,23.91,126750
HAX,20180327,23.59,24.29,23.53,23.59,92010
HAX,20180326,23.59,24.29,23.59,23.59,115780
HAX,20180323,22.76,24.04,22.76,23.65,131340
HAX,20180322,24.64,24.7,24.22,24.23,68770
HAX,20180321,24.55,24.94,24.49,24.64,218150
HAX,20180320,24.16,24.61,24.16,24.2,379410
HAX,20180319,24.29,24.29,23.39,23.52,130560
HAX,20180316,24.16,24.16,23.56,23.65,134490
HAX,20180315,24.04,24.04,23.66,23.78,37660
HAX,20180314,24.29,24.29,23.84,24.04,35170
HAX,20180313,23.53,24.29,23.33,24.29,82910
HAX,20180312,24.04,24.1,23.66,23.91,82160
HAX,20180309,23.85,24.23,23.85,24.04,85190
HAX,20180308,24.23,24.23,23.85,24.04,22140
HAX,20180307,24.55,24.55,24.04,24.23,54650
HAX,20180306,24.29,24.81,24.29,24.55,10130
HAX,20180305,24.93,24.93,24.51,24.55,27960
HAX,20180302,24.93,25.03,24.83,24.93,117070
HAX,20180301,24.93,25.0,24.61,24.93,20110
HAX,20180228,24.93,25.12,24.67,24.74,61140
HAX,20180227,24.77,24.8,24.29,24.61,59580
HAX,20180226,24.04,24.49,23.91,24.48,45430
HAX,20180223,24.29,24.48,24.03,24.04,22160
HAX,20180222,24.61,24.93,24.17,24.29,44280
HAX,20180221,25.25,25.25,24.39,24.39,44760
HAX,20180213,24.93,25.25,24.29,24.87,28150
HAX,20180212,24.29,24.93,24.29,24.93,13640
HAX,20180209,22.05,24.22,22.05,24.16,121670
HAX,20180208,24.29,24.29,23.52,23.52,25420
HAX,20180207,23.33,24.35,23.33,24.29,74980
HAX,20180206,23.01,24.55,23.01,23.33,283660
HAX,20180205,25.57,25.57,24.16,24.61,144460
HAX,20180202,25.89,26.14,25.76,25.89,247930
HAX,20180201,26.02,26.15,25.63,25.76,80780
HAX,20180131,26.53,26.53,25.25,25.89,243840
HAX,20180130,26.08,26.59,25.76,26.21,295310
HAX,20180129,25.57,26.27,25.57,26.08,228220
HAX,20180126,24.36,25.57,24.36,25.57,179880
HAX,20180125,24.93,24.93,24.29,24.36,153910
HAX,20180122,24.74,25.19,24.74,24.93,160030
HAX,20180119,25.31,25.63,24.8,24.93,207530
HAX,20180118,24.93,25.63,24.61,25.63,194220
HAX,20180117,26.47,26.47,25.44,25.44,182550
HAX,20180116,25.89,26.79,25.38,26.53,320300
HAX,20180115,27.33,27.33,25.89,26.21,236550
HAX,20180112,27.49,27.65,26.85,27.17,839690
HAX,20180111,25.13,25.86,24.62,25.86,722640
HAX,20180110,24.48,24.48,23.91,24.2,178020
HAX,20180109,24.48,24.8,24.16,24.45,214550
HAX,20180108,23.72,24.67,23.72,24.42,224350
HAX,20180105,23.72,23.85,23.4,23.62,59830
HAX,20180104,23.66,23.88,23.5,23.72,80010
HAX,20180103,23.65,23.71,23.46,23.56,208970
HAX,20180102,23.65,23.91,23.53,23.65,77410
HAX,20171229,23.78,23.97,23.43,23.43,79780
HAX,20171228,23.97,24.03,23.65,23.78,106710
HAX,20171227,23.78,24.16,23.65,23.97,86850
HAX,20171226,23.52,23.94,23.33,23.78,123580
HAX,20171225,23.88,23.91,23.53,23.52,87820
HAX,20171222,23.97,24.23,23.65,23.88,77000
HAX,20171221,24.29,24.29,23.78,23.97,72560
HAX,20171220,24.04,24.29,23.91,23.91,80620
HAX,20171219,24.48,24.74,24.1,24.42,92150
HAX,20171218,23.91,24.55,23.85,24.48,75050
HAX,20171215,24.48,24.48,23.84,23.91,101800
HAX,20171214,24.16,24.54,24.03,24.29,36000
HAX,20171213,24.04,24.94,24.04,24.16,43930
HAX,20171212,24.36,24.61,23.78,24.04,154660
HAX,20171211,25.12,25.12,24.42,24.55,93130
HAX,20171208,25.25,25.57,25.06,25.12,76820
HAX,20171207,26.02,26.12,25.38,25.57,107400
HAX,20171206,25.76,26.78,25.63,25.83,215010
