<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HBS,20180713,2.3,2.5,2.3,2.5,4100
HBS,20180712,2.3,2.3,2.3,2.3,100
HBS,20180711,2.5,2.5,2.5,2.5,100
HBS,20180710,2.3,2.4,2.3,2.4,5270
HBS,20180709,,,,2.2,0
HBS,20180706,2.2,2.2,2.2,2.2,130
HBS,20180705,2.2,2.2,2.2,2.2,100
HBS,20180704,2.2,2.2,2.2,2.2,200
HBS,20180703,2.2,2.2,2.2,2.2,6750
HBS,20180702,2.2,2.2,2.2,2.2,100
HBS,20180629,2.2,2.2,2.2,2.2,100
HBS,20180628,2.3,2.3,2.3,2.3,1150
HBS,20180627,2.3,2.3,2.3,2.3,100
HBS,20180626,2.3,2.3,2.3,2.3,100
HBS,20180625,2.3,2.3,2.3,2.3,100
HBS,20180622,2.4,2.4,2.2,2.2,377
HBS,20180621,2.2,2.2,2.2,2.2,600
HBS,20180620,2.2,2.2,2.2,2.2,2400
HBS,20180619,2.2,2.2,2.2,2.2,135
HBS,20180618,,,,2.3,0
HBS,20180615,2.3,2.3,2.3,2.3,100
HBS,20180614,,,,2.4,0
HBS,20180613,2.4,2.4,2.4,2.4,100
HBS,20180612,2.3,2.3,2.3,2.3,100
HBS,20180611,,,,2.4,0
HBS,20180608,2.4,2.4,2.4,2.4,100
HBS,20180607,2.3,2.3,2.3,2.3,100
HBS,20180606,2.4,2.4,2.4,2.4,8100
HBS,20180605,2.4,2.5,2.4,2.5,9100
HBS,20180604,2.3,2.3,2.3,2.3,100
HBS,20180601,2.2,2.3,2.2,2.3,20100
HBS,20180531,,,,2.1,0
HBS,20180530,2.1,2.1,2.1,2.1,200
HBS,20180529,2.4,2.4,2.2,2.2,700
HBS,20180528,2.2,2.2,2.2,2.2,500
HBS,20180525,,,,2.3,0
HBS,20180524,2.3,2.3,2.3,2.3,201
HBS,20180523,2.3,2.4,2.3,2.4,48000
HBS,20180522,2.4,2.4,2.3,2.3,9310
HBS,20180521,2.5,2.5,2.4,2.4,10900
HBS,20180518,2.5,2.5,2.5,2.5,17
HBS,20180517,2.5,2.5,2.5,2.5,13800
HBS,20180516,2.3,2.3,2.3,2.3,100
HBS,20180515,2.4,2.4,2.4,2.4,100
HBS,20180514,2.6,2.6,2.6,2.6,100
HBS,20180511,2.3,2.4,2.3,2.4,5100
HBS,20180510,2.3,2.3,2.3,2.3,100
HBS,20180509,2.4,2.5,2.4,2.5,6000
HBS,20180508,2.5,2.5,2.4,2.4,317
HBS,20180507,,,,2.6,0
HBS,20180504,2.6,2.6,2.6,2.6,100
HBS,20180503,2.5,2.5,2.5,2.5,100
HBS,20180502,2.3,2.3,2.3,2.3,2900
HBS,20180427,2.5,2.5,2.5,2.5,2200
HBS,20180426,,,,2.6,0
HBS,20180424,2.5,2.6,2.5,2.6,6200
HBS,20180423,,,,2.6,0
HBS,20180420,,,,2.6,0
HBS,20180419,2.5,2.6,2.5,2.6,57400
HBS,20180418,2.4,2.4,2.4,2.4,210
HBS,20180417,,,,2.6,0
HBS,20180416,,,,2.6,0
HBS,20180413,2.5,2.6,2.4,2.6,700
HBS,20180412,2.5,2.6,2.4,2.4,515
HBS,20180411,2.5,2.5,2.5,2.5,1300
HBS,20180410,2.6,2.6,2.5,2.6,700
HBS,20180409,2.5,2.6,2.5,2.6,18130
HBS,20180406,2.5,2.5,2.4,2.5,28200
HBS,20180405,2.6,2.6,2.6,2.6,100
HBS,20180404,2.5,2.5,2.4,2.4,39015
HBS,20180403,2.5,2.5,2.5,2.5,10050
HBS,20180402,2.6,2.6,2.5,2.5,13000
HBS,20180330,2.5,2.5,2.5,2.5,100
HBS,20180329,2.6,2.6,2.5,2.6,6500
HBS,20180328,2.6,2.7,2.6,2.7,400
HBS,20180327,2.5,2.6,2.5,2.6,13200
HBS,20180326,2.6,2.6,2.5,2.5,4100
HBS,20180323,2.4,2.5,2.4,2.4,15760
HBS,20180322,2.6,2.6,2.6,2.6,5050
HBS,20180321,2.6,2.6,2.6,2.6,5000
HBS,20180320,2.6,2.6,2.6,2.6,30900
HBS,20180319,2.6,2.7,2.6,2.6,5300
HBS,20180316,2.7,2.7,2.7,2.7,600
HBS,20180315,2.5,2.7,2.5,2.7,22400
HBS,20180314,2.6,2.6,2.5,2.6,14630
HBS,20180313,2.5,2.5,2.5,2.5,500
HBS,20180312,,,,2.5,0
HBS,20180309,2.6,2.6,2.5,2.5,43100
HBS,20180308,2.6,2.6,2.5,2.6,3300
HBS,20180307,2.6,2.6,2.5,2.5,25200
HBS,20180306,2.5,2.6,2.5,2.6,2520
HBS,20180305,2.6,2.6,2.5,2.5,2300
HBS,20180302,2.7,2.7,2.6,2.6,10100
HBS,20180301,2.7,2.7,2.7,2.7,1700
HBS,20180228,,,,2.8,0
HBS,20180227,2.6,2.8,2.6,2.8,610
HBS,20180226,2.7,2.8,2.7,2.8,2100
HBS,20180223,,,,2.8,0
HBS,20180222,2.8,2.8,2.7,2.8,7600
HBS,20180221,,,,2.8,0
HBS,20180213,,,,2.8,0
HBS,20180212,2.7,2.8,2.6,2.8,1900
HBS,20180209,2.7,2.7,2.7,2.7,5000
HBS,20180208,,,,2.8,0
HBS,20180207,2.8,2.8,2.8,2.8,200
