<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HCM,20180713,48.0,49.5,47.3,48.8,233650
HCM,20180712,47.0,48.5,46.1,47.0,308330
HCM,20180711,48.5,49.3,47.25,47.25,353110
HCM,20180710,51.0,52.5,50.1,50.8,171550
HCM,20180709,53.5,54.3,50.8,50.8,218650
HCM,20180706,48.0,53.5,48.0,53.5,565980
HCM,20180705,52.6,52.8,49.15,50.0,335830
HCM,20180704,48.0,52.8,46.1,52.8,671080
HCM,20180703,52.6,52.7,49.4,49.4,445880
HCM,20180702,55.5,56.0,53.1,53.1,519760
HCM,20180629,60.9,60.9,57.0,57.0,317400
HCM,20180628,60.3,62.0,59.0,59.6,343230
HCM,20180627,63.3,64.0,62.0,62.0,228890
HCM,20180626,59.5,62.5,59.5,62.5,79460
HCM,20180625,63.0,63.0,61.7,62.1,109680
HCM,20180622,58.3,61.5,58.3,61.5,176660
HCM,20180621,61.6,61.6,60.0,60.5,59120
HCM,20180620,61.5,62.3,59.5,62.3,110460
HCM,20180619,61.0,62.0,58.1,60.0,674590
HCM,20180618,67.0,67.0,62.4,62.4,482120
HCM,20180615,67.8,68.5,65.7,67.0,94010
HCM,20180614,67.4,69.0,67.4,67.8,208390
HCM,20180613,68.0,68.0,67.0,68.0,71030
HCM,20180612,68.0,68.0,65.5,68.0,322200
HCM,20180611,67.5,69.9,66.6,69.1,194250
HCM,20180608,68.0,69.5,67.2,68.9,182600
HCM,20180607,71.3,71.3,68.3,68.3,220080
HCM,20180606,67.0,70.0,66.0,70.0,336660
HCM,20180605,66.5,67.7,66.3,67.3,367370
HCM,20180604,65.0,67.5,64.5,67.4,315000
HCM,20180601,63.2,66.0,63.2,65.0,354520
HCM,20180531,62.0,65.5,60.5,64.1,393800
HCM,20180530,62.1,63.0,60.0,62.0,271060
HCM,20180529,58.0,62.0,58.0,62.0,307220
HCM,20180528,60.0,61.0,58.0,58.0,415920
HCM,20180525,63.8,64.8,62.3,62.3,156430
HCM,20180524,65.0,65.0,63.4,64.7,169090
HCM,20180523,61.0,64.0,60.0,64.0,380490
HCM,20180522,65.0,65.8,61.5,62.1,611840
HCM,20180521,68.0,69.0,66.1,66.1,105220
HCM,20180518,69.5,69.5,66.1,69.0,254470
HCM,20180517,69.0,70.0,68.4,69.8,187900
HCM,20180516,69.48,69.97,68.5,68.5,250220
HCM,20180515,67.81,70.94,67.81,69.97,285420
HCM,20180514,66.54,68.4,66.54,67.91,178570
HCM,20180511,65.56,68.4,64.58,66.54,586410
HCM,20180510,68.5,69.38,65.66,65.66,476000
HCM,20180509,70.95,71.73,70.26,70.26,288040
HCM,20180508,72.02,72.22,70.94,70.95,202130
HCM,20180507,70.07,72.03,68.7,72.02,356780
HCM,20180504,71.43,71.53,69.28,69.58,210640
HCM,20180503,69.48,71.05,65.57,70.65,349610
HCM,20180502,70.46,71.24,68.99,69.48,517140
HCM,20180427,68.4,70.26,67.32,69.97,370740
HCM,20180426,70.07,70.66,65.08,67.52,638680
HCM,20180424,70.46,73.01,69.97,69.97,284300
HCM,20180423,79.76,79.76,72.81,72.81,496660
HCM,20180420,76.33,78.39,75.84,78.29,467090
HCM,20180419,77.9,78.29,75.35,76.43,608940
HCM,20180418,79.75,80.63,78.87,79.07,428320
HCM,20180417,80.24,80.34,78.77,79.75,507810
HCM,20180416,79.75,80.63,78.28,79.26,568060
HCM,20180413,84.15,84.15,79.26,80.14,632520
HCM,20180412,82.68,84.05,81.41,82.98,462370
HCM,20180411,88.07,88.17,82.88,82.88,761480
HCM,20180410,91.01,91.01,86.12,88.07,602970
HCM,20180409,87.68,90.32,87.19,90.03,649140
HCM,20180406,87.78,89.54,86.6,87.09,554220
HCM,20180405,86.8,89.54,86.8,88.46,482140
HCM,20180404,87.09,87.97,86.6,87.29,336990
HCM,20180403,86.11,87.58,84.74,87.58,779630
HCM,20180402,79.17,83.57,78.78,83.57,1408520
HCM,20180330,77.31,78.19,75.94,78.19,226800
HCM,20180329,74.76,77.79,74.76,77.21,298070
HCM,20180328,75.35,76.33,74.96,75.15,336460
HCM,20180327,78.68,79.07,75.35,75.35,399370
HCM,20180326,77.21,78.29,75.64,77.31,249770
HCM,20180323,77.31,77.31,75.35,77.21,376300
HCM,20180322,79.26,79.75,77.3,78.09,400960
HCM,20180321,77.31,79.66,77.31,78.38,644360
HCM,20180320,77.31,77.8,76.33,77.31,142930
HCM,20180319,77.3,79.26,77.01,77.21,481780
HCM,20180316,75.34,78.18,74.76,77.01,580150
HCM,20180315,75.15,75.15,73.39,74.66,136740
HCM,20180314,75.26,76.14,74.86,75.15,255430
HCM,20180313,69.87,73.88,69.87,73.69,343260
HCM,20180312,73.0,73.78,69.77,69.87,355610
HCM,20180309,74.95,74.95,73.0,73.0,298750
HCM,20180308,73.0,73.88,72.51,73.78,204890
HCM,20180307,76.72,76.72,72.42,73.0,538850
HCM,20180306,73.4,77.31,72.12,76.33,585280
HCM,20180305,79.17,79.27,72.81,72.81,656280
HCM,20180302,77.8,78.19,76.52,78.19,373930
HCM,20180301,78.29,81.72,77.31,78.48,1563010
HCM,20180228,76.14,78.29,76.04,78.29,531210
HCM,20180227,78.77,79.36,76.33,76.92,294940
HCM,20180226,80.64,81.52,78.29,78.38,794440
HCM,20180223,77.51,78.39,76.92,78.29,158350
HCM,20180222,75.84,78.29,75.74,77.31,164260
HCM,20180221,78.29,79.75,77.6,77.8,377440
HCM,20180213,80.83,81.42,76.33,78.09,299780
HCM,20180212,79.26,81.22,79.26,80.83,260570
HCM,20180209,70.46,79.56,70.46,79.26,481760
HCM,20180208,72.52,77.31,72.52,75.25,371280
HCM,20180207,75.84,76.43,74.38,76.43,515890
HCM,20180206,70.27,75.35,70.27,71.44,1044810
HCM,20180205,78.77,78.77,74.66,75.55,765180
HCM,20180202,81.12,81.12,78.58,80.24,203070
HCM,20180201,78.78,81.71,78.48,80.24,575000
HCM,20180131,81.61,81.81,79.07,79.07,355990
HCM,20180130,79.17,84.06,77.6,81.22,829620
HCM,20180129,74.17,78.58,73.98,78.58,358490
HCM,20180126,69.48,73.5,68.21,73.49,1156770
HCM,20180125,65.17,68.7,64.98,68.7,831230
HCM,20180122,62.63,64.98,62.63,64.88,477210
HCM,20180119,59.69,61.65,59.69,61.65,497520
HCM,20180118,57.73,59.69,57.34,59.69,709500
HCM,20180117,60.67,60.86,58.22,58.22,283530
HCM,20180116,61.16,61.56,59.89,60.57,247890
HCM,20180115,59.1,61.35,58.71,61.36,347130
HCM,20180112,59.7,60.68,58.82,59.2,294650
HCM,20180111,59.99,60.68,58.23,59.99,601830
HCM,20180110,60.48,61.56,59.79,59.99,282000
HCM,20180109,61.56,62.14,60.38,60.48,244660
HCM,20180108,59.99,60.77,59.7,60.48,335960
HCM,20180105,61.44,61.44,59.6,59.7,161750
HCM,20180104,59.51,62.03,59.51,61.15,290370
HCM,20180103,57.67,60.09,57.67,60.09,298780
HCM,20180102,58.35,58.35,57.38,57.67,451690
HCM,20171229,58.63,59.51,57.66,58.25,282300
HCM,20171228,58.15,58.64,57.48,58.44,277890
HCM,20171227,56.6,58.15,56.6,57.67,237420
HCM,20171226,54.37,57.18,54.37,57.18,200420
HCM,20171225,55.24,55.34,54.27,54.37,144130
HCM,20171222,56.11,56.11,55.04,55.05,132380
HCM,20171221,55.14,56.21,54.56,56.11,268810
HCM,20171220,52.82,54.95,52.82,54.56,226000
HCM,20171219,54.27,54.75,52.82,52.82,294920
HCM,20171218,51.36,53.69,51.36,53.3,310690
HCM,20171215,51.08,52.24,50.3,51.17,406930
HCM,20171214,49.91,51.17,49.91,51.08,466380
HCM,20171213,51.37,51.37,49.92,50.2,230750
HCM,20171212,51.56,52.53,48.46,51.08,930520
HCM,20171211,51.37,53.31,51.37,51.56,229180
HCM,20171208,51.95,53.6,49.43,53.21,556960
HCM,20171207,53.3,53.59,51.17,51.95,368050
HCM,20171206,50.88,54.37,50.39,53.98,610050
