<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HLG,20180713,10.2,10.2,10.2,10.2,10
HLG,20180712,,,,9.6,0
HLG,20180711,9.6,9.6,9.6,9.6,100
HLG,20180710,10.25,10.25,10.25,10.25,1000
HLG,20180709,10.1,10.25,10.1,10.25,20
HLG,20180706,,,,9.7,0
HLG,20180705,,,,9.7,0
HLG,20180704,,,,9.7,0
HLG,20180703,,,,9.7,0
HLG,20180702,,,,9.7,0
HLG,20180629,,,,9.7,0
HLG,20180628,,,,9.7,0
HLG,20180627,,,,9.7,0
HLG,20180626,9.7,9.7,9.7,9.7,10
HLG,20180625,9.16,9.79,9.16,9.16,1570
HLG,20180622,,,,9.84,0
HLG,20180621,9.84,9.84,9.84,9.84,10
HLG,20180620,9.21,9.21,9.21,9.21,30
HLG,20180619,,,,9.9,0
HLG,20180618,,,,9.9,0
HLG,20180615,8.82,9.9,8.82,9.9,490
HLG,20180614,8.82,10.1,8.82,9.48,330
HLG,20180613,,,,9.48,0
HLG,20180612,,,,9.48,0
HLG,20180611,,,,9.48,0
HLG,20180608,8.24,9.48,8.24,9.48,240
HLG,20180607,8.85,8.86,8.84,8.86,440
HLG,20180606,9.5,9.5,9.5,9.5,150
HLG,20180605,10.2,10.2,10.2,10.2,10
HLG,20180604,,,,9.58,0
HLG,20180601,,,,9.58,0
HLG,20180531,9.6,9.6,9.58,9.58,60
HLG,20180530,,,,10.3,0
HLG,20180529,9.95,10.3,9.95,10.3,500
HLG,20180528,9.65,9.65,9.65,9.65,10
HLG,20180525,9.03,9.03,9.03,9.03,20
HLG,20180524,9.69,9.69,9.69,9.69,2000
HLG,20180523,,,,9.69,0
HLG,20180522,,,,9.69,0
HLG,20180521,9.7,9.7,9.07,9.69,1020
HLG,20180518,9.7,9.7,9.7,9.7,100
HLG,20180517,,,,9.7,0
HLG,20180516,9.7,9.7,9.7,9.7,10
HLG,20180515,9.49,9.49,8.8,9.47,70
HLG,20180514,9.25,9.88,8.61,9.39,140
HLG,20180511,9.05,9.3,9.03,9.25,200
HLG,20180510,,,,9.7,0
HLG,20180509,,,,9.7,0
HLG,20180508,,,,9.7,0
HLG,20180507,9.04,9.7,9.03,9.7,110
HLG,20180504,9.7,9.7,9.7,9.7,10
HLG,20180503,9.0,9.67,9.0,9.67,920
HLG,20180502,10.3,10.3,9.04,9.04,110
HLG,20180427,9.06,9.7,9.06,9.7,2010
HLG,20180426,,,,9.7,0
HLG,20180424,,,,9.7,0
HLG,20180423,9.85,9.85,9.7,9.7,38990
HLG,20180420,9.04,9.85,9.04,9.8,6340
HLG,20180419,9.7,9.85,9.7,9.7,35040
HLG,20180418,9.07,9.75,9.07,9.7,6170
HLG,20180417,9.8,9.8,9.75,9.75,39280
HLG,20180416,9.7,9.75,9.7,9.75,23000
HLG,20180413,9.7,9.75,9.7,9.75,30310
HLG,20180412,9.75,9.75,9.7,9.75,28970
HLG,20180411,9.9,9.9,9.8,9.8,40130
HLG,20180410,9.99,9.99,9.6,9.9,42840
HLG,20180409,9.8,9.8,9.8,9.8,200
HLG,20180406,9.5,10.0,9.5,9.8,39480
HLG,20180405,9.7,10.0,9.7,9.99,5970
HLG,20180404,9.68,9.86,9.68,9.7,20710
HLG,20180403,9.05,9.68,9.05,9.68,6220
HLG,20180402,9.68,9.68,9.68,9.68,7270
HLG,20180330,9.68,9.77,9.68,9.77,3400
HLG,20180329,9.48,9.98,9.48,9.68,13510
HLG,20180328,9.48,9.57,9.48,9.57,15920
HLG,20180327,9.2,9.48,9.2,9.48,12240
HLG,20180326,9.48,9.48,9.2,9.4,6570
HLG,20180323,9.17,9.6,9.17,9.48,13050
HLG,20180322,8.98,9.17,8.98,9.17,11690
HLG,20180321,8.64,8.64,7.55,8.59,83080
HLG,20180320,8.65,8.65,8.05,8.1,38760
HLG,20180319,9.4,9.4,8.65,8.65,28180
HLG,20180316,9.42,9.99,9.3,9.3,21710
HLG,20180315,9.8,10.0,9.8,10.0,110
HLG,20180314,,,,10.4,0
HLG,20180313,9.87,10.4,9.8,10.4,10640
HLG,20180312,9.6,9.88,9.6,9.88,1110
HLG,20180309,9.32,9.89,9.32,9.89,450
HLG,20180308,9.4,9.4,9.4,9.4,10
HLG,20180307,9.31,9.94,9.31,9.94,3040
HLG,20180306,9.4,9.69,9.1,9.69,15570
HLG,20180305,9.7,9.7,9.7,9.7,650
HLG,20180302,9.5,9.7,9.5,9.6,330
HLG,20180301,9.4,9.7,9.4,9.7,1010
HLG,20180228,9.1,9.7,9.1,9.7,20
HLG,20180227,9.5,9.6,9.0,9.6,2620
HLG,20180226,10.0,10.0,9.5,9.5,4110
HLG,20180223,9.6,10.25,9.51,9.52,1590
HLG,20180222,9.6,9.6,9.6,9.6,2000
HLG,20180221,9.8,9.8,9.63,9.8,8870
HLG,20180213,10.0,10.0,9.7,10.0,520
HLG,20180212,10.0,10.0,10.0,10.0,50
HLG,20180209,9.7,10.0,9.7,10.0,1340
HLG,20180208,10.0,10.0,10.0,10.0,3500
HLG,20180207,9.7,10.8,9.7,10.35,590
HLG,20180206,9.86,10.4,9.86,10.35,5120
HLG,20180205,10.2,10.6,10.2,10.6,730
HLG,20180202,10.9,10.9,10.2,10.9,320
HLG,20180201,10.4,10.9,10.3,10.9,820
HLG,20180131,10.7,11.0,10.7,11.0,2460
HLG,20180130,11.0,11.15,10.35,11.0,150
HLG,20180129,10.9,11.0,10.8,11.0,4470
HLG,20180126,11.6,11.6,10.95,11.3,320
HLG,20180125,10.85,11.7,10.8,11.3,21340
HLG,20180122,11.0,11.5,11.0,11.5,370
HLG,20180119,11.7,11.7,11.7,11.7,10
HLG,20180118,10.75,11.8,10.75,11.5,1210
HLG,20180117,10.7,11.5,10.7,11.5,20
HLG,20180116,11.3,11.8,11.2,11.5,900
HLG,20180115,,,,11.8,0
HLG,20180112,11.3,11.8,11.3,11.8,3600
HLG,20180111,,,,11.8,0
HLG,20180110,11.3,11.8,11.3,11.8,250
HLG,20180109,11.3,11.8,11.3,11.7,60
HLG,20180108,11.3,11.7,11.3,11.7,1010
HLG,20180105,11.4,11.8,11.0,11.8,2310
HLG,20180104,11.5,11.8,11.5,11.8,1770
HLG,20180103,11.3,11.5,11.3,11.5,60
HLG,20180102,11.4,11.8,11.4,11.8,110
HLG,20171229,11.5,11.8,11.1,11.8,12930
HLG,20171228,11.5,11.9,11.5,11.9,1440
HLG,20171227,11.2,12.0,11.0,12.0,6210
HLG,20171226,11.3,11.8,11.3,11.6,40
HLG,20171225,12.0,12.0,11.3,11.5,7570
HLG,20171222,11.6,11.6,11.6,11.6,100
HLG,20171221,11.7,11.7,11.6,11.6,6310
HLG,20171220,11.7,11.8,11.6,11.8,8790
HLG,20171219,,,,11.7,0
HLG,20171218,11.3,11.7,11.3,11.7,2550
HLG,20171215,11.5,11.95,11.5,11.75,6270
HLG,20171214,11.7,11.75,11.7,11.75,190
HLG,20171213,11.8,11.8,11.8,11.8,1160
HLG,20171212,11.85,11.85,11.7,11.7,2630
HLG,20171211,11.5,11.95,11.3,11.8,57560
HLG,20171208,10.55,11.5,10.5,11.2,8810
HLG,20171207,11.2,11.2,11.2,11.2,5040
HLG,20171206,11.25,11.95,11.2,11.95,2610
HLG,20171205,11.8,12.2,11.1,12.0,8780
HLG,20171204,10.9,11.85,10.9,11.85,19340
HLG,20171201,10.1,11.1,10.1,11.1,20
HLG,20171130,10.05,10.7,10.05,10.7,7520
HLG,20171129,10.7,10.7,10.3,10.7,3020
HLG,20171128,10.2,10.7,10.2,10.3,6770
HLG,20171127,10.2,10.5,10.0,10.0,59010
HLG,20171124,10.1,10.2,10.1,10.2,1010
HLG,20171123,10.0,10.1,9.7,10.1,43170
HLG,20171122,9.8,9.8,9.8,9.8,5000
HLG,20171121,9.7,9.9,9.6,9.7,13700
HLG,20171120,9.9,10.0,9.7,9.8,10020
HLG,20171117,10.0,10.0,10.0,10.0,600
HLG,20171116,,,,10.0,0
HLG,20171115,,,,10.0,0
HLG,20171114,9.99,10.0,9.9,10.0,2000
HLG,20171113,9.9,10.0,9.9,10.0,110
HLG,20171110,9.9,9.99,9.6,9.99,4050
HLG,20171109,9.3,9.9,9.3,9.9,4120
HLG,20171108,,,,9.9,0
HLG,20171107,9.9,9.9,9.9,9.9,1500
HLG,20171106,9.9,9.96,9.9,9.96,1010
HLG,20171103,9.89,9.98,9.89,9.98,6060
HLG,20171102,9.4,9.9,9.4,9.5,1070
HLG,20171101,,,,9.99,0
HLG,20171031,9.9,10.0,9.68,9.99,1110
HLG,20171030,9.9,10.0,9.9,10.0,570
HLG,20171027,9.68,9.98,9.68,9.98,2100
HLG,20171026,9.9,9.9,9.68,9.9,8260
HLG,20171025,9.8,9.8,9.68,9.8,8000
HLG,20171024,10.0,10.0,10.0,10.0,1000
HLG,20171023,9.51,9.68,9.51,9.68,2480
HLG,20171020,9.05,9.05,9.05,9.05,10
HLG,20171019,9.75,9.75,9.05,9.05,110
HLG,20171018,,,,9.69,0
HLG,20171017,9.6,9.69,9.6,9.69,1940
HLG,20171016,9.7,9.7,9.7,9.7,10
HLG,20171013,9.5,9.69,9.1,9.1,580
HLG,20171012,9.7,9.7,9.5,9.5,4260
HLG,20171011,9.89,9.89,9.89,9.89,110
HLG,20171010,9.4,9.7,9.25,9.7,8670
HLG,20171009,9.5,9.99,9.4,9.9,7870
HLG,20171006,9.5,9.5,9.5,9.5,3600
HLG,20171005,9.5,9.6,9.5,9.5,2010
