<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HMC,20180713,12.2,12.25,11.9,11.9,6570
HMC,20180712,12.0,12.1,11.9,12.1,5500
HMC,20180711,11.95,12.0,11.7,12.0,4110
HMC,20180710,12.0,12.5,12.0,12.0,360
HMC,20180709,12.1,12.3,12.0,12.0,6660
HMC,20180706,11.65,12.1,11.5,12.1,20610
HMC,20180705,11.9,11.9,11.7,11.7,44220
HMC,20180704,11.7,12.2,11.65,12.1,78710
HMC,20180703,11.9,12.05,11.7,11.9,31030
HMC,20180702,12.1,12.1,11.7,11.8,65400
HMC,20180629,12.2,12.35,12.2,12.35,14680
HMC,20180628,12.0,12.2,11.75,12.2,14100
HMC,20180627,12.3,12.4,11.6,12.4,18420
HMC,20180626,12.25,12.3,12.1,12.3,420
HMC,20180625,12.3,12.3,12.3,12.3,1970
HMC,20180622,12.3,12.3,12.15,12.3,3130
HMC,20180621,12.65,12.65,12.0,12.3,13260
HMC,20180620,12.35,12.35,12.1,12.2,740
HMC,20180619,12.55,12.55,11.9,12.2,19660
HMC,20180618,12.4,12.6,12.0,12.3,13980
HMC,20180615,12.7,12.7,12.05,12.4,10120
HMC,20180614,12.85,12.85,12.4,12.5,3710
HMC,20180613,12.65,12.65,12.3,12.5,8200
HMC,20180612,12.5,12.5,12.05,12.4,3560
HMC,20180611,12.3,12.6,12.15,12.15,15400
HMC,20180608,12.85,12.85,12.1,12.1,30200
HMC,20180607,12.75,12.75,12.7,12.75,660
HMC,20180606,12.85,12.85,12.6,12.75,3700
HMC,20180605,12.5,12.9,12.45,12.85,12130
HMC,20180604,12.3,12.5,12.15,12.5,9960
HMC,20180601,12.4,12.4,11.55,12.15,11590
HMC,20180531,11.6,12.35,11.6,12.35,18180
HMC,20180530,11.95,12.0,11.6,11.6,1600
HMC,20180529,12.0,12.0,11.1,11.6,22070
HMC,20180528,12.2,12.5,11.35,11.6,30270
HMC,20180525,12.2,12.8,12.0,12.2,5690
HMC,20180524,12.5,12.65,12.0,12.5,41810
