<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HNG,20180713,11.8,11.85,11.6,11.7,2238540
HNG,20180712,11.75,11.85,11.5,11.75,2127010
HNG,20180711,11.45,11.95,11.1,11.5,4481370
HNG,20180710,11.5,11.85,11.35,11.45,2696000
HNG,20180709,11.05,11.7,11.05,11.5,2832280
HNG,20180706,10.5,11.2,10.4,11.2,2472530
HNG,20180705,10.45,10.6,10.25,10.55,1687740
HNG,20180704,10.1,10.5,9.5,10.5,2335150
HNG,20180703,10.5,10.65,10.1,10.1,2614510
HNG,20180702,10.5,10.55,10.1,10.45,3117520
HNG,20180629,9.9,10.3,9.9,10.2,2897410
HNG,20180628,9.9,9.92,9.63,9.9,1913080
HNG,20180627,9.83,9.96,9.83,9.9,4682580
HNG,20180626,9.5,9.95,9.42,9.8,3009140
HNG,20180625,9.3,9.82,9.3,9.6,4596710
HNG,20180622,9.25,9.26,9.1,9.2,1170600
HNG,20180621,9.2,9.25,8.75,9.25,4489160
HNG,20180620,9.35,9.35,9.14,9.2,2460770
HNG,20180619,9.11,9.3,8.58,9.3,4697820
HNG,20180618,9.15,9.6,9.11,9.22,3825940
HNG,20180615,9.25,9.25,9.09,9.15,2660220
HNG,20180614,8.79,9.22,8.7,9.1,5686770
HNG,20180613,8.54,8.63,8.5,8.62,2899520
HNG,20180612,8.57,8.58,8.4,8.54,2527170
HNG,20180611,8.59,8.59,8.36,8.59,861700
HNG,20180608,8.6,8.6,8.51,8.59,1358440
HNG,20180607,8.65,8.65,8.4,8.6,1680710
HNG,20180606,8.7,8.71,8.54,8.6,1123660
HNG,20180605,8.59,8.7,8.5,8.6,1722980
HNG,20180604,7.69,8.36,7.69,8.36,1924260
HNG,20180601,7.33,7.82,7.33,7.82,725000
HNG,20180531,7.48,7.5,7.3,7.5,590470
HNG,20180530,7.41,7.59,7.21,7.34,394170
HNG,20180529,7.01,7.7,7.01,7.56,1729730
HNG,20180528,8.0,8.0,7.53,7.53,676680
HNG,20180525,8.1,8.25,8.09,8.09,619660
HNG,20180524,8.0,8.27,8.0,8.1,856740
HNG,20180523,8.0,8.3,8.0,8.0,823950
HNG,20180522,8.46,8.54,8.25,8.28,872220
HNG,20180521,8.58,8.58,8.45,8.55,383990
HNG,20180518,8.58,8.62,8.5,8.58,729320
HNG,20180517,8.46,8.64,8.46,8.58,206140
HNG,20180516,8.52,8.59,8.45,8.58,678010
HNG,20180515,8.56,8.61,8.5,8.58,1302600
HNG,20180514,8.69,8.7,8.56,8.61,793030
