<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HPM,20180713,11.6,11.6,11.6,11.6,100
HPM,20180712,,,,11.6,0
HPM,20180711,,,,11.6,0
HPM,20180710,,,,11.6,0
HPM,20180709,,,,11.6,0
HPM,20180706,11.6,11.6,11.6,11.6,100
HPM,20180705,,,,11.6,0
HPM,20180704,,,,11.6,0
HPM,20180703,,,,11.6,0
HPM,20180702,,,,11.6,0
HPM,20180629,11.6,11.6,11.6,11.6,100
HPM,20180628,,,,11.6,0
HPM,20180627,,,,11.6,0
HPM,20180626,,,,11.6,0
HPM,20180625,,,,11.6,0
HPM,20180622,11.6,11.6,11.6,11.6,100
HPM,20180621,,,,11.6,0
HPM,20180620,,,,11.6,0
HPM,20180619,11.6,11.6,11.6,11.6,100
HPM,20180618,,,,11.8,0
HPM,20180615,11.8,11.8,11.8,11.8,100
HPM,20180614,,,,11.8,0
HPM,20180613,,,,11.8,0
HPM,20180612,,,,11.8,0
HPM,20180611,,,,11.8,0
HPM,20180608,11.8,11.8,11.8,11.8,100
HPM,20180607,,,,11.8,0
HPM,20180606,,,,11.8,0
HPM,20180605,,,,11.8,0
HPM,20180604,,,,11.8,0
HPM,20180601,11.8,11.8,11.8,11.8,100
HPM,20180531,,,,11.8,0
HPM,20180530,,,,11.8,0
HPM,20180529,,,,11.8,0
HPM,20180528,,,,11.8,0
HPM,20180525,,,,11.8,0
HPM,20180524,,,,11.8,0
HPM,20180523,11.8,11.8,11.8,11.8,100
HPM,20180522,12.0,12.0,12.0,12.0,100
HPM,20180521,12.0,12.0,12.0,12.0,100
HPM,20180518,12.0,12.0,12.0,12.0,100
HPM,20180517,12.0,12.0,12.0,12.0,100
HPM,20180516,12.2,12.2,12.2,12.2,100
HPM,20180515,12.2,12.2,12.2,12.2,100
HPM,20180514,12.3,12.3,12.3,12.3,100
HPM,20180511,12.3,12.3,12.3,12.3,100
HPM,20180510,12.3,12.3,12.3,12.3,100
HPM,20180509,12.3,12.3,12.3,12.3,100
HPM,20180508,,,,12.5,0
HPM,20180507,12.5,12.5,12.5,12.5,100
HPM,20180504,12.6,12.6,12.6,12.6,100
HPM,20180503,,,,12.7,0
HPM,20180502,13.0,13.0,12.7,12.7,200
HPM,20180427,13.0,13.0,13.0,13.0,100
HPM,20180426,13.8,13.8,13.3,13.3,200
HPM,20180424,,,,13.8,0
HPM,20180423,,,,13.8,0
HPM,20180420,13.8,13.8,13.7,13.8,700
HPM,20180419,,,,13.7,0
HPM,20180418,,,,13.7,0
HPM,20180417,,,,13.7,0
HPM,20180416,,,,13.7,0
HPM,20180413,13.7,13.7,13.7,13.7,200
HPM,20180412,,,,15.2,0
HPM,20180411,,,,15.2,0
HPM,20180410,,,,15.2,0
HPM,20180409,15.1,15.2,15.1,15.2,200
HPM,20180406,15.0,15.1,15.0,15.1,1300
HPM,20180405,15.0,15.0,15.0,15.0,100
HPM,20180404,15.0,15.0,15.0,15.0,200
HPM,20180403,15.0,15.0,15.0,15.0,100
HPM,20180402,15.1,15.1,15.0,15.0,300
HPM,20180330,15.1,15.1,15.1,15.1,100
HPM,20180329,15.0,15.0,14.4,15.0,300
HPM,20180328,15.1,15.1,15.0,15.0,1100
HPM,20180327,15.1,15.1,15.1,15.1,800
HPM,20180326,15.1,15.1,15.1,15.1,100
HPM,20180323,13.5,15.1,13.5,15.1,1400
HPM,20180322,15.0,15.0,15.0,15.0,100
HPM,20180321,15.0,15.1,15.0,15.1,200
HPM,20180320,15.0,15.1,14.9,15.0,1900
HPM,20180319,15.0,15.0,14.9,14.9,200
HPM,20180316,15.6,15.6,14.9,15.6,1300
HPM,20180315,15.6,15.6,15.6,15.6,100
HPM,20180314,15.6,15.7,15.6,15.7,200
HPM,20180313,15.6,15.6,15.5,15.5,200
HPM,20180312,15.6,15.6,15.0,15.6,1300
HPM,20180309,15.6,15.7,15.6,15.7,200
HPM,20180308,15.8,16.9,15.1,15.6,4200
HPM,20180307,15.7,15.7,15.5,15.5,1300
HPM,20180306,15.7,15.8,15.0,15.8,2400
HPM,20180305,15.6,15.7,15.6,15.7,200
HPM,20180302,16.9,16.9,15.4,15.6,300
HPM,20180301,16.9,16.9,15.4,15.5,1300
HPM,20180228,16.9,16.9,15.3,16.9,1300
HPM,20180227,16.9,16.9,16.8,16.8,600
HPM,20180226,16.9,16.9,16.9,16.9,900
HPM,20180223,16.8,16.9,16.8,16.9,1700
HPM,20180222,16.8,16.9,16.8,16.9,200
HPM,20180221,18.0,18.0,15.9,16.8,2000
HPM,20180213,16.5,16.7,16.5,16.7,400
HPM,20180212,16.4,16.7,16.4,16.7,200
HPM,20180209,17.9,17.9,16.4,16.4,1400
HPM,20180208,17.9,17.9,16.5,17.9,300
HPM,20180207,17.9,17.9,17.9,17.9,100
HPM,20180206,18.0,18.0,17.9,17.9,200
HPM,20180205,16.8,17.9,16.8,17.9,200
HPM,20180202,17.9,18.0,17.9,18.0,200
HPM,20180201,17.8,17.9,17.8,17.9,700
HPM,20180131,19.2,19.2,17.6,17.8,500
HPM,20180130,19.1,19.1,17.8,17.8,200
HPM,20180129,19.5,19.6,17.6,17.6,500
HPM,20180126,19.5,19.5,19.5,19.5,100
HPM,20180125,19.4,19.5,19.4,19.5,200
HPM,20180122,19.3,19.4,19.3,19.4,200
HPM,20180119,19.2,19.3,19.2,19.3,200
HPM,20180118,19.1,19.2,19.0,19.2,500
HPM,20180117,19.1,19.1,19.1,19.1,100
HPM,20180116,19.2,19.2,19.2,19.2,100
HPM,20180115,20.7,20.8,19.2,20.8,500
HPM,20180112,20.7,20.8,20.7,20.8,200
HPM,20180111,20.6,20.7,20.6,20.7,200
HPM,20180110,20.6,20.6,20.6,20.6,100
HPM,20180109,20.6,20.6,20.5,20.5,200
HPM,20180108,20.6,20.6,19.9,20.6,300
HPM,20180105,20.6,20.6,20.6,20.6,100
HPM,20180104,20.6,20.6,20.6,20.6,100
HPM,20180103,20.6,20.6,20.5,20.5,200
HPM,20180102,20.6,20.6,19.9,20.6,300
HPM,20171229,20.6,20.6,20.6,20.6,100
HPM,20171228,20.6,20.6,20.5,20.5,200
HPM,20171227,20.6,20.6,20.6,20.6,100
HPM,20171226,20.6,20.6,19.9,20.5,300
HPM,20171225,20.6,20.6,20.6,20.6,100
HPM,20171222,20.5,20.5,20.5,20.5,100
HPM,20171221,20.5,20.5,20.4,20.4,200
HPM,20171220,20.4,20.5,20.4,20.5,200
HPM,20171219,20.3,20.4,20.3,20.4,200
HPM,20171218,20.4,20.4,20.3,20.3,200
HPM,20171215,20.4,20.4,20.4,20.4,100
HPM,20171214,20.3,20.3,19.6,20.3,300
HPM,20171213,20.3,20.4,20.3,20.4,200
HPM,20171212,20.3,20.4,20.3,20.4,200
HPM,20171211,20.3,20.4,20.3,20.4,200
HPM,20171208,20.3,20.3,20.3,20.3,100
HPM,20171207,20.3,20.4,19.1,20.4,300
HPM,20171206,20.3,20.3,20.3,20.3,100
HPM,20171205,20.3,20.4,18.5,20.4,600
HPM,20171204,20.3,20.4,20.3,20.4,200
HPM,20171201,20.3,20.3,19.0,20.3,300
HPM,20171130,20.2,20.3,20.2,20.3,200
HPM,20171129,20.2,20.2,20.2,20.2,100
HPM,20171128,20.2,20.2,20.2,20.2,100
HPM,20171127,20.2,20.2,20.2,20.2,100
HPM,20171124,20.2,20.2,20.1,20.1,200
HPM,20171123,20.2,20.2,20.2,20.2,100
HPM,20171122,20.2,20.2,20.2,20.2,100
HPM,20171121,20.2,20.3,20.2,20.3,200
HPM,20171120,20.2,20.2,20.2,20.2,100
HPM,20171117,20.2,20.2,20.1,20.1,200
HPM,20171116,20.2,20.2,20.2,20.2,100
HPM,20171115,20.2,20.2,20.1,20.1,200
HPM,20171114,20.2,20.2,19.7,20.1,300
HPM,20171113,20.2,20.2,20.2,20.2,700
HPM,20171110,20.2,20.2,20.1,20.1,200
HPM,20171109,20.2,20.2,20.1,20.1,200
HPM,20171108,20.2,20.2,20.2,20.2,100
HPM,20171107,20.2,20.2,19.7,20.1,300
HPM,20171106,20.2,20.2,20.2,20.2,100
HPM,20171103,20.2,20.3,20.2,20.3,200
HPM,20171102,20.2,20.2,20.2,20.2,100
HPM,20171101,20.1,20.1,19.5,20.1,300
HPM,20171031,20.1,20.2,20.1,20.2,400
HPM,20171030,20.2,20.2,20.1,20.1,200
HPM,20171027,20.1,20.2,20.1,20.2,200
HPM,20171026,20.1,20.1,20.1,20.1,100
HPM,20171025,20.1,20.1,20.1,20.1,100
HPM,20171024,20.0,20.1,20.0,20.1,200
HPM,20171023,20.0,20.1,20.0,20.1,200
HPM,20171020,20.0,20.1,20.0,20.1,200
HPM,20171019,20.0,20.0,19.9,20.0,300
HPM,20171018,20.0,20.0,20.0,20.0,100
HPM,20171017,19.9,19.9,19.3,19.9,300
HPM,20171016,19.8,19.9,19.8,19.9,200
HPM,20171013,19.9,19.9,19.9,19.9,100
HPM,20171012,19.8,19.9,19.8,19.9,200
HPM,20171011,19.7,19.8,19.7,19.8,200
HPM,20171010,19.6,19.6,19.5,19.6,300
HPM,20171009,19.6,19.6,19.6,19.6,100
HPM,20171006,19.7,19.7,19.6,19.6,200
HPM,20171005,19.7,19.8,19.7,19.8,200
HPM,20171004,19.8,19.8,19.7,19.7,200
HPM,20171003,19.8,19.8,19.2,19.7,900
HPM,20171002,19.8,19.8,19.7,19.7,200
HPM,20170929,19.8,19.8,19.8,19.8,100
HPM,20170928,19.8,20.4,19.7,19.7,1200
HPM,20170927,19.9,19.9,19.8,19.8,200
HPM,20170926,19.8,19.9,19.7,19.9,500
HPM,20170925,19.8,19.8,19.8,19.8,100
HPM,20170922,19.7,19.7,19.7,19.7,100
HPM,20170921,19.7,19.7,19.6,19.6,200
HPM,20170920,19.8,19.8,19.7,19.7,200
HPM,20170919,19.7,19.8,19.7,19.8,200
HPM,20170918,19.8,19.8,19.7,19.7,200
HPM,20170915,19.8,19.8,19.8,19.8,100
HPM,20170914,19.8,19.8,19.8,19.8,100
HPM,20170913,19.8,19.9,19.8,19.9,200
HPM,20170912,19.7,19.8,19.7,19.8,200
HPM,20170911,19.6,20.5,19.6,19.7,1000
HPM,20170908,19.5,19.6,19.5,19.6,200
HPM,20170907,19.6,19.6,19.6,19.6,100
HPM,20170906,19.5,19.6,19.5,19.6,400
HPM,20170905,19.5,19.6,19.4,19.6,500
