<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HTL,20180713,18.8,20.75,18.8,20.75,120
HTL,20180712,18.9,20.2,20.1,20.2,130
HTL,20180711,18.9,18.9,18.9,18.9,10
HTL,20180710,,,,20.0,0
HTL,20180709,,,,20.0,0
HTL,20180706,19.85,21.9,19.85,20.0,40
HTL,20180705,21.25,23.55,21.25,21.3,80
HTL,20180704,20.15,22.8,20.15,22.8,20
HTL,20180703,21.6,21.65,19.05,21.6,740
HTL,20180702,,,,20.25,0
HTL,20180629,,,,20.25,0
HTL,20180628,20.2,20.25,20.2,20.25,60
HTL,20180627,21.2,21.2,18.95,18.95,40
HTL,20180626,19.65,22.0,19.65,19.85,120
HTL,20180625,21.1,22.35,21.1,21.1,1170
HTL,20180622,21.05,21.1,21.05,21.1,3360
HTL,20180621,19.8,22.0,19.75,19.75,290
HTL,20180620,21.2,21.2,21.15,21.15,120
HTL,20180619,21.25,22.7,21.25,22.7,4940
HTL,20180618,21.3,22.8,21.3,22.8,5280
HTL,20180615,23.0,23.0,20.3,22.9,660
HTL,20180614,21.8,21.8,19.0,21.8,2010
HTL,20180613,20.4,22.5,20.4,20.4,60
HTL,20180612,21.9,21.9,21.9,21.9,30
HTL,20180611,23.0,23.0,21.85,21.9,2020
HTL,20180608,21.85,21.9,21.85,21.9,1770
HTL,20180607,20.45,21.8,20.45,20.5,270
HTL,20180606,21.6,21.85,21.6,21.8,580
HTL,20180605,20.3,22.35,20.3,20.5,620
HTL,20180604,22.5,24.9,21.8,21.8,730
HTL,20180601,25.05,25.05,21.85,23.4,4030
HTL,20180531,22.2,23.45,22.0,23.45,3110
HTL,20180530,23.4,26.45,23.3,23.45,1820
HTL,20180529,27.65,27.7,25.05,25.05,700
HTL,20180528,26.75,26.8,26.75,26.8,400
HTL,20180525,24.95,28.4,24.95,28.4,1540
HTL,20180524,25.9,26.9,25.9,26.8,170
HTL,20180523,25.9,25.9,25.9,25.9,40
HTL,20180522,22.4,24.9,21.9,24.7,1080
HTL,20180521,24.5,26.85,23.5,23.5,2270
HTL,20180518,27.2,27.65,25.25,25.25,320
HTL,20180517,24.65,26.9,24.65,26.9,1030
HTL,20180516,26.5,27.95,26.5,26.5,1130
HTL,20180515,27.9,28.5,26.0,28.45,1290
HTL,20180514,27.9,27.9,27.9,27.9,20
HTL,20180511,30.35,30.35,26.5,30.0,1630
HTL,20180510,28.45,28.45,28.45,28.45,70
HTL,20180509,28.25,30.55,28.25,30.55,570
HTL,20180508,30.35,30.35,30.35,30.35,150
HTL,20180507,28.45,28.45,28.45,28.45,200
HTL,20180504,24.75,28.4,24.75,26.6,7080
HTL,20180503,24.8,28.45,24.8,26.6,120
HTL,20180502,29.8,30.4,26.6,26.6,110
HTL,20180427,28.5,28.5,28.5,28.5,10
HTL,20180426,28.35,30.5,28.35,30.45,460
HTL,20180424,30.0,30.5,27.8,30.45,470
HTL,20180423,28.9,29.5,28.9,29.5,600
HTL,20180420,31.8,31.8,27.9,28.0,1670
HTL,20180419,27.5,30.0,27.5,30.0,1480
HTL,20180418,29.0,29.0,27.0,28.95,760
HTL,20180417,28.0,29.0,27.95,29.0,2240
HTL,20180416,30.0,30.0,30.0,30.0,20
HTL,20180413,28.1,28.1,28.1,28.1,10
HTL,20180412,28.6,30.0,26.6,30.0,2570
HTL,20180411,28.6,30.5,28.6,28.6,1020
HTL,20180410,30.45,30.45,28.55,28.6,390
HTL,20180409,30.5,30.5,28.6,28.6,360
HTL,20180406,30.05,30.05,30.05,30.05,50
HTL,20180405,29.5,29.5,29.25,29.5,270
HTL,20180404,30.8,31.4,30.8,31.4,1700
HTL,20180403,30.0,30.9,29.5,30.5,1720
HTL,20180402,29.4,29.4,29.3,29.3,600
HTL,20180330,30.0,31.5,30.0,31.5,350
HTL,20180329,30.25,30.25,29.95,29.95,1210
HTL,20180328,31.0,31.0,28.3,28.3,11720
HTL,20180327,30.25,31.0,30.2,30.2,26180
HTL,20180326,32.45,32.45,32.45,32.45,50
HTL,20180323,32.71,32.71,30.95,30.95,380
HTL,20180322,29.56,30.95,29.28,30.95,240
HTL,20180321,31.76,33.91,29.57,31.47,1930
HTL,20180320,31.76,31.76,31.76,31.76,150
HTL,20180319,33.66,35.14,33.66,34.14,1610
HTL,20180316,29.9,33.76,29.9,33.76,370
HTL,20180315,28.62,32.15,28.62,32.14,2080
HTL,20180314,28.61,30.19,28.23,30.19,8650
HTL,20180313,30.28,30.28,28.23,28.23,3770
HTL,20180312,30.28,30.28,30.28,30.28,550
HTL,20180309,31.04,31.04,31.04,31.04,10
HTL,20180308,,,,33.38,0
HTL,20180307,,,,33.38,0
HTL,20180306,,,,33.38,0
HTL,20180305,33.38,33.38,33.38,33.38,80
HTL,20180302,,,,32.9,0
HTL,20180301,32.91,32.91,32.91,32.9,10
HTL,20180228,32.52,32.62,32.52,32.62,40
HTL,20180227,33.38,33.38,30.52,30.52,130
HTL,20180226,27.76,31.38,27.76,31.38,1220
HTL,20180223,29.33,29.33,29.33,29.33,40
HTL,20180222,31.38,31.38,31.38,31.38,70
HTL,20180221,30.52,30.71,30.52,30.71,40
HTL,20180213,31.47,31.95,28.71,28.71,60
HTL,20180212,33.33,33.33,30.66,30.66,2130
HTL,20180209,30.9,32.95,30.9,32.95,230
HTL,20180208,33.19,33.19,33.19,33.19,20
HTL,20180207,31.52,31.52,27.47,31.28,3170
HTL,20180206,29.52,29.52,29.52,29.52,450
HTL,20180205,31.81,31.81,29.62,31.71,250
HTL,20180202,31.81,31.81,31.81,31.81,10
HTL,20180201,32.05,34.24,32.05,34.19,640
HTL,20180131,,,,34.43,0
HTL,20180130,30.24,34.43,30.19,34.43,150
HTL,20180129,33.1,34.53,30.14,32.43,720
