<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HU3,20180713,,,,9.8,0
HU3,20180712,9.8,9.8,9.8,9.8,10
HU3,20180711,9.8,9.8,9.5,9.5,60
HU3,20180710,9.77,9.8,9.77,9.8,3870
HU3,20180709,10.2,10.2,9.2,9.2,25590
HU3,20180706,10.3,10.3,9.57,9.57,540
HU3,20180705,10.15,10.5,9.77,9.79,3230
HU3,20180704,10.3,10.5,10.15,10.5,1230
HU3,20180703,10.9,10.9,10.2,10.9,150
HU3,20180702,10.53,10.95,10.53,10.7,26690
HU3,20180629,10.54,10.62,10.28,10.53,9530
HU3,20180628,10.74,10.74,10.53,10.62,5350
HU3,20180627,10.53,10.95,10.36,10.53,13800
HU3,20180626,10.49,10.49,10.49,10.49,590
HU3,20180625,10.53,10.53,10.53,10.53,1300
HU3,20180622,10.53,10.53,10.53,10.53,1310
HU3,20180621,10.45,10.57,10.36,10.57,12850
HU3,20180620,10.36,10.53,10.28,10.49,3690
HU3,20180619,10.44,10.44,10.11,10.36,15010
HU3,20180618,10.78,11.29,10.53,10.78,19670
HU3,20180615,10.11,10.78,10.11,10.78,24640
HU3,20180614,10.28,10.28,10.11,10.11,10090
HU3,20180613,10.11,10.36,10.03,10.36,7010
HU3,20180612,10.28,10.28,9.94,10.28,3200
HU3,20180611,10.44,10.44,10.44,10.45,10
HU3,20180608,10.28,10.36,10.28,10.36,200
HU3,20180607,10.53,10.53,10.36,10.36,890
HU3,20180606,9.81,10.53,9.81,10.53,1540
HU3,20180605,10.53,10.53,10.53,10.53,3000
HU3,20180604,10.53,10.53,10.53,10.53,10
HU3,20180601,10.11,10.45,9.86,9.86,3010
HU3,20180531,10.28,10.28,10.28,10.28,10
HU3,20180530,10.11,10.11,10.11,10.11,10
HU3,20180529,10.78,10.78,10.78,10.78,6120
HU3,20180528,10.78,10.78,10.78,10.78,20
HU3,20180525,10.79,10.79,10.79,10.78,10
HU3,20180524,10.78,10.95,9.77,10.62,5670
HU3,20180523,10.32,10.36,10.13,10.36,20810
HU3,20180522,10.44,10.44,10.28,10.32,12490
HU3,20180521,10.48,10.48,10.44,10.44,3760
HU3,20180518,10.44,10.44,10.36,10.44,12840
HU3,20180517,10.28,10.44,10.28,10.44,25810
HU3,20180516,10.28,10.36,10.2,10.36,11690
HU3,20180515,10.28,10.36,10.28,10.36,19500
HU3,20180514,10.21,10.36,10.21,10.36,9610
HU3,20180511,10.13,10.13,10.13,10.13,21290
HU3,20180510,10.21,10.29,10.13,10.13,29480
HU3,20180509,10.21,10.21,10.21,10.21,4590
HU3,20180508,10.13,10.44,10.13,10.21,7930
HU3,20180507,10.25,10.25,10.13,10.21,5530
HU3,20180504,10.29,10.29,10.21,10.29,3840
HU3,20180503,,,,10.6,0
HU3,20180502,10.44,10.6,10.29,10.6,25040
HU3,20180427,10.44,10.6,10.44,10.6,800
HU3,20180426,10.76,10.76,10.44,10.44,7150
HU3,20180424,10.52,10.6,10.52,10.6,8030
HU3,20180423,10.44,10.59,10.44,10.6,5010
HU3,20180420,10.52,10.68,10.52,10.67,6510
HU3,20180419,10.67,10.67,10.59,10.64,8700
HU3,20180418,10.91,10.91,10.6,10.71,8340
HU3,20180417,10.6,10.6,10.52,10.6,23530
HU3,20180416,10.6,10.72,10.52,10.6,10450
HU3,20180413,10.75,10.75,10.6,10.6,20
HU3,20180412,10.52,10.52,10.52,10.52,14710
HU3,20180411,10.44,10.6,10.44,10.52,14990
HU3,20180410,10.29,10.44,10.29,10.44,6210
HU3,20180409,10.52,10.64,10.21,10.52,12400
HU3,20180406,10.59,10.83,10.59,10.64,10140
HU3,20180405,11.26,11.26,10.6,10.67,7260
HU3,20180404,10.44,10.95,10.44,10.83,79700
HU3,20180403,10.52,10.52,10.13,10.25,25090
HU3,20180402,10.52,10.52,10.13,10.21,59260
HU3,20180330,10.6,10.6,10.13,10.52,18410
HU3,20180329,10.29,10.52,10.29,10.29,27740
HU3,20180328,10.83,10.83,10.29,10.29,49900
HU3,20180327,11.14,11.14,10.59,10.91,46070
HU3,20180326,11.3,11.3,10.6,11.14,38370
HU3,20180323,10.9,11.02,10.32,11.03,197970
HU3,20180322,10.32,10.32,10.32,10.32,34740
HU3,20180321,9.04,9.66,9.04,9.66,132690
HU3,20180320,9.12,9.12,9.04,9.04,33000
HU3,20180319,9.74,9.74,9.04,9.12,81270
HU3,20180316,9.11,9.11,9.03,9.12,10030
HU3,20180315,9.27,9.27,9.11,9.19,13890
HU3,20180314,9.58,9.58,9.19,9.19,400
HU3,20180313,9.27,9.27,9.19,9.19,4000
HU3,20180312,8.96,9.28,8.89,9.27,25650
HU3,20180309,8.26,8.73,8.26,8.73,23770
HU3,20180308,8.18,8.18,8.11,8.18,9450
HU3,20180307,7.94,7.94,7.94,7.95,200
HU3,20180306,,,,8.49,0
HU3,20180305,,,,8.49,0
HU3,20180302,,,,8.49,0
HU3,20180301,8.49,8.49,8.49,8.49,10
HU3,20180228,,,,8.3,0
HU3,20180227,8.3,8.3,8.3,8.3,20
HU3,20180226,7.79,8.14,7.79,8.14,610
HU3,20180223,8.26,8.26,8.1,8.26,3600
HU3,20180222,,,,8.1,0
HU3,20180221,7.64,8.11,7.48,8.1,2110
HU3,20180213,7.41,7.71,7.41,7.71,3740
HU3,20180212,7.32,7.32,7.32,7.32,20
HU3,20180209,7.02,7.02,6.86,6.86,11580
HU3,20180208,7.02,7.25,7.02,7.25,20
HU3,20180207,,,,6.78,0
HU3,20180206,6.72,6.78,6.72,6.78,1040
HU3,20180205,6.93,7.2,6.93,7.2,430
HU3,20180202,6.74,6.74,6.74,6.73,30
HU3,20180201,,,,7.22,0
HU3,20180131,7.64,7.64,7.22,7.22,1330
HU3,20180130,7.18,7.18,7.18,7.18,30
HU3,20180129,7.48,7.48,7.48,7.48,990
HU3,20180126,7.17,7.48,7.17,7.48,110
HU3,20180125,7.83,7.83,7.37,7.37,60
HU3,20180122,,,,7.36,0
HU3,20180119,7.36,7.36,7.36,7.36,30
HU3,20180118,7.17,7.17,7.17,7.17,10
HU3,20180117,,,,7.17,0
HU3,20180116,7.56,7.56,7.17,7.17,70
HU3,20180115,7.56,7.56,7.56,7.56,10
HU3,20180112,7.17,7.17,7.17,7.17,40
HU3,20180111,7.09,7.32,7.09,7.17,2110
HU3,20180110,,,,7.09,0
HU3,20180109,,,,7.09,0
HU3,20180108,7.32,7.32,7.09,7.09,60
HU3,20180105,6.93,6.93,6.93,6.93,60
HU3,20180104,7.01,7.01,6.93,6.93,2330
HU3,20180103,7.01,7.01,7.01,7.01,40
HU3,20180102,,,,7.09,0
HU3,20171229,7.4,7.4,7.09,7.09,1050
HU3,20171228,7.09,7.09,7.09,7.09,50
HU3,20171227,7.15,7.17,7.15,7.17,100
HU3,20171226,6.93,6.93,6.93,6.93,50
HU3,20171225,6.93,6.93,6.93,6.93,30
HU3,20171222,6.93,6.93,6.93,6.93,30
HU3,20171221,7.01,7.01,7.01,7.01,50
HU3,20171220,7.32,7.32,7.01,7.01,20
HU3,20171219,6.93,6.93,6.93,6.93,1000
HU3,20171218,7.05,7.05,6.93,6.93,240
HU3,20171215,7.01,7.01,7.01,7.01,5000
HU3,20171214,7.01,7.01,6.94,6.94,5340
HU3,20171213,7.01,7.01,7.01,7.01,1560
HU3,20171212,7.5,7.5,7.05,7.05,60
HU3,20171211,7.02,7.02,7.02,7.02,50
HU3,20171208,7.47,7.47,7.47,7.47,10
HU3,20171207,,,,7.02,0
HU3,20171206,,,,7.02,0
HU3,20171205,,,,7.02,0
HU3,20171204,7.02,7.02,7.02,7.02,10
HU3,20171201,7.26,7.64,7.02,7.01,8380
HU3,20171130,7.21,7.21,7.21,7.21,60
HU3,20171129,,,,7.21,0
HU3,20171128,7.78,7.78,7.2,7.21,2100
HU3,20171127,7.32,7.32,7.32,7.32,1190
HU3,20171124,7.79,7.79,7.32,7.32,5020
HU3,20171123,7.32,7.78,7.32,7.78,50
HU3,20171122,,,,7.48,0
HU3,20171121,7.48,7.48,7.48,7.48,10
HU3,20171120,,,,7.48,0
HU3,20171117,7.48,7.48,7.48,7.48,3530
HU3,20171116,7.32,7.32,7.32,7.32,10
HU3,20171115,,,,7.79,0
HU3,20171114,7.79,7.79,7.79,7.79,10
HU3,20171113,,,,7.79,0
HU3,20171110,,,,7.79,0
HU3,20171109,7.8,7.8,7.8,7.79,90
HU3,20171108,7.79,8.03,7.79,8.03,6380
HU3,20171107,7.4,7.87,7.4,7.87,9630
HU3,20171106,7.65,8.1,7.65,7.65,9770
HU3,20171103,8.22,8.22,8.22,8.22,10
HU3,20171102,,,,7.79,0
HU3,20171101,,,,7.79,0
HU3,20171031,7.79,7.79,7.79,7.79,10
HU3,20171030,7.48,7.48,7.48,7.48,80
HU3,20171027,6.94,7.31,6.94,7.31,420
HU3,20171026,6.47,6.84,6.47,6.85,11950
HU3,20171025,6.41,6.41,6.41,6.4,10
HU3,20171024,7.22,7.22,6.78,6.78,280
HU3,20171023,7.22,7.22,7.22,7.22,230
HU3,20171020,7.21,7.21,7.21,7.22,40
HU3,20171019,,,,7.75,0
HU3,20171018,7.75,7.75,7.75,7.75,1520
HU3,20171017,7.75,7.75,7.75,7.75,20
HU3,20171016,7.41,7.76,7.41,7.75,7160
HU3,20171013,,,,7.25,0
HU3,20171012,7.26,7.26,7.25,7.25,3000
HU3,20171011,7.24,7.24,7.24,7.25,1200
HU3,20171010,7.11,7.8,7.11,7.79,220
HU3,20171009,,,,7.64,0
HU3,20171006,7.64,7.64,7.64,7.64,10
HU3,20171005,,,,7.64,0
HU3,20171004,7.64,7.64,7.64,7.64,230
HU3,20171003,,,,7.6,0
HU3,20171002,7.6,8.26,7.59,7.6,70
HU3,20170929,,,,8.1,0
HU3,20170928,8.03,8.11,8.03,8.1,14070
HU3,20170927,8.18,8.18,7.63,8.03,39550
HU3,20170926,8.18,8.18,8.18,8.18,2000
HU3,20170925,,,,8.3,0
HU3,20170922,8.34,8.34,8.3,8.3,20
HU3,20170921,7.58,8.37,7.58,8.38,30
HU3,20170920,7.64,8.15,7.64,8.14,8610
HU3,20170919,7.64,7.79,7.64,7.64,2720
HU3,20170918,7.48,7.48,7.48,7.48,300
HU3,20170915,,,,7.79,0
HU3,20170914,7.79,7.79,7.48,7.79,2750
HU3,20170913,7.09,7.5,7.09,7.48,3160
HU3,20170912,7.4,7.48,7.01,7.01,16460
HU3,20170911,,,,7.17,0
HU3,20170908,7.17,7.17,7.17,7.17,2350
HU3,20170907,7.25,7.25,6.86,6.86,12200
HU3,20170906,7.17,7.17,7.17,7.17,7020
HU3,20170905,7.16,7.32,6.93,7.01,24320
HU3,20170901,7.02,7.17,6.86,6.93,7660
HU3,20170831,7.17,7.25,6.86,6.86,26390
HU3,20170830,6.85,6.85,6.85,6.86,2400
HU3,20170829,7.08,7.08,6.94,6.94,17510
HU3,20170828,6.7,7.08,6.62,6.62,24500
HU3,20170825,7.02,7.02,6.63,6.62,2900
HU3,20170824,7.0,7.0,7.0,7.0,4600
HU3,20170823,7.0,7.0,6.55,6.55,5960
HU3,20170822,6.47,7.0,6.47,6.55,22370
HU3,20170821,6.55,6.7,6.55,6.55,5510
HU3,20170818,6.63,6.63,6.47,6.47,4010
HU3,20170817,6.47,6.55,6.47,6.55,5490
HU3,20170816,6.39,6.47,6.39,6.47,1500
HU3,20170815,6.39,6.39,6.39,6.39,1630
HU3,20170814,6.31,6.31,6.31,6.31,2300
HU3,20170811,6.31,6.31,6.31,6.31,2600
HU3,20170810,6.23,6.31,6.23,6.31,4560
HU3,20170809,6.31,6.31,6.23,6.23,2160
HU3,20170808,6.23,6.35,6.23,6.35,60
HU3,20170807,6.25,6.33,6.23,6.23,4700
HU3,20170804,5.92,5.92,5.92,5.92,500
HU3,20170803,6.31,6.35,6.31,6.35,1020
HU3,20170802,6.47,6.47,6.03,6.02,4100
HU3,20170801,6.62,6.62,6.31,6.47,3680
HU3,20170731,6.55,6.78,6.55,6.78,2460
HU3,20170728,6.46,6.46,6.46,6.47,50
HU3,20170727,6.27,6.27,6.23,6.23,8230
HU3,20170726,6.08,6.27,5.66,6.27,8070
HU3,20170725,6.16,6.16,6.0,6.08,360
HU3,20170724,6.16,6.16,6.16,6.16,20
HU3,20170721,6.15,6.15,6.07,6.16,1530
HU3,20170720,6.49,6.49,5.81,6.16,5160
HU3,20170719,6.62,6.69,6.28,6.27,6790
HU3,20170718,6.69,6.69,6.31,6.31,5170
HU3,20170717,6.9,6.9,6.76,6.76,4190
HU3,20170714,7.04,7.04,6.65,6.9,21930
HU3,20170713,6.86,7.07,6.86,7.07,1970
HU3,20170712,6.45,6.86,6.45,6.86,400
HU3,20170711,6.83,6.83,6.73,6.76,800
HU3,20170710,6.9,7.18,6.9,7.18,150
HU3,20170707,7.11,7.21,6.97,6.97,18530
HU3,20170706,6.42,6.78,6.42,6.78,21230
HU3,20170705,6.44,6.44,6.34,6.34,130
HU3,20170704,6.34,6.43,6.34,6.41,6020
HU3,20170703,6.28,6.28,6.28,6.28,18730
HU3,20170630,6.34,6.34,6.34,6.34,1240
HU3,20170629,6.41,6.41,6.41,6.41,100
HU3,20170628,6.28,6.28,6.28,6.28,10
HU3,20170627,,,,6.27,0
HU3,20170626,6.27,6.27,6.27,6.27,520
HU3,20170623,6.24,6.25,6.24,6.24,1230
HU3,20170622,,,,6.34,0
HU3,20170621,6.34,6.34,6.34,6.34,70
HU3,20170620,6.21,6.21,6.21,6.21,20
HU3,20170619,,,,6.48,0
HU3,20170616,,,,6.48,0
HU3,20170615,6.45,6.48,6.45,6.48,160
HU3,20170614,6.44,6.44,6.44,6.45,10
HU3,20170613,6.27,6.27,6.27,6.27,150
HU3,20170612,6.27,6.27,6.27,6.27,880
HU3,20170609,,,,6.41,0
HU3,20170608,,,,6.41,0
HU3,20170607,6.47,6.48,6.28,6.41,3780
HU3,20170606,6.44,6.44,6.44,6.45,10
HU3,20170605,6.4,6.41,6.4,6.41,3140
HU3,20170602,6.41,6.41,6.41,6.4,1100
HU3,20170601,6.27,6.47,6.27,6.47,20180
HU3,20170531,6.27,6.27,6.27,6.27,1880
HU3,20170530,6.27,6.27,6.27,6.27,5540
HU3,20170529,6.14,6.41,6.13,6.41,310
HU3,20170526,,,,6.41,0
HU3,20170525,,,,6.41,0
HU3,20170524,6.42,6.42,6.42,6.41,2990
HU3,20170523,6.45,6.45,6.45,6.45,10
HU3,20170522,6.27,6.39,6.13,6.39,1010
HU3,20170519,6.48,6.48,6.27,6.27,200
HU3,20170518,6.28,6.48,6.28,6.48,6340
HU3,20170517,6.35,6.49,6.29,6.48,2990
HU3,20170516,6.62,6.76,6.58,6.59,2000
HU3,20170515,6.17,6.55,6.17,6.55,11200
HU3,20170512,6.06,6.34,5.99,6.34,18540
HU3,20170511,6.48,6.48,6.06,6.06,50
HU3,20170510,,,,6.48,0
HU3,20170509,6.48,6.48,6.48,6.48,10200
HU3,20170508,6.77,6.77,6.49,6.48,40
HU3,20170505,6.06,6.33,6.06,6.34,60
HU3,20170504,6.27,6.27,5.92,5.92,3310
HU3,20170503,6.2,6.27,6.2,6.27,3700
HU3,20170428,6.27,6.27,6.27,6.27,4000
HU3,20170427,6.3,6.3,6.3,6.3,10
HU3,20170426,5.88,5.88,5.88,5.89,10
HU3,20170425,,,,5.85,0
HU3,20170424,5.85,5.85,5.85,5.85,1930
HU3,20170421,5.85,5.85,5.85,5.85,1000
HU3,20170420,,,,5.85,0
HU3,20170419,,,,5.85,0
HU3,20170418,,,,5.85,0
HU3,20170417,5.88,5.88,5.85,5.85,5100
HU3,20170414,5.68,5.68,5.68,5.68,850
HU3,20170413,5.95,5.95,5.95,5.96,120
HU3,20170412,6.44,6.44,5.92,5.92,20
HU3,20170411,6.2,6.2,6.2,6.2,1370
HU3,20170410,5.92,6.06,5.92,6.06,2040
HU3,20170407,6.13,6.13,5.79,5.79,20
HU3,20170405,6.0,6.04,5.79,5.78,9100
HU3,20170404,5.57,6.2,5.57,5.65,9390
HU3,20170403,6.37,6.37,5.83,5.83,220
HU3,20170331,5.92,6.27,5.77,6.27,13540
HU3,20170330,6.35,6.35,5.65,6.2,1160
HU3,20170329,,,,6.04,0
HU3,20170328,6.04,6.04,5.3,6.04,9700
HU3,20170327,5.97,5.97,5.65,5.65,1110
HU3,20170324,6.1,6.1,5.57,5.58,15030
HU3,20170323,6.13,6.13,5.7,5.7,20
HU3,20170322,5.92,5.93,5.92,5.93,500
HU3,20170321,5.93,5.93,5.93,5.93,200
HU3,20170320,,,,5.93,0
HU3,20170317,6.13,6.2,5.92,5.93,280
HU3,20170316,6.06,6.06,5.92,6.06,3240
HU3,20170315,5.72,6.2,5.72,6.2,90
HU3,20170314,6.35,6.35,5.82,5.82,50
HU3,20170313,6.19,6.19,6.19,6.2,10
HU3,20170310,5.72,6.27,5.72,6.27,540
HU3,20170309,6.13,6.13,5.87,5.87,690
HU3,20170308,,,,6.27,0
HU3,20170307,5.84,6.28,5.84,6.27,30
HU3,20170306,6.27,6.27,6.27,6.27,1010
HU3,20170303,,,,6.2,0
HU3,20170302,6.2,6.2,6.2,6.2,10
HU3,20170301,5.71,6.12,5.71,6.13,20
HU3,20170228,6.13,6.13,6.13,6.13,500
HU3,20170227,6.13,6.13,6.13,6.13,10
HU3,20170224,5.85,5.85,5.85,5.85,1810
HU3,20170223,,,,5.85,0
HU3,20170222,6.13,6.13,5.85,5.85,270
HU3,20170221,6.2,6.2,6.2,6.2,400
HU3,20170220,,,,6.2,0
HU3,20170217,6.2,6.2,6.2,6.2,600
HU3,20170216,5.92,5.92,5.92,5.92,150
HU3,20170215,5.44,6.24,5.44,5.54,30
HU3,20170214,,,,5.84,0
HU3,20170213,,,,5.84,0
HU3,20170210,6.27,6.27,5.84,5.84,80
HU3,20170209,5.83,6.27,5.83,6.27,500
HU3,20170208,5.92,6.27,5.92,6.27,8010
HU3,20170207,5.99,6.27,5.99,6.27,340
HU3,20170206,6.03,6.44,6.03,6.44,800
HU3,20170203,6.27,6.48,6.27,6.48,200
HU3,20170202,,,,6.48,0
HU3,20170125,,,,6.48,0
HU3,20170124,,,,6.48,0
HU3,20170123,5.96,6.48,5.96,6.48,40
HU3,20170120,,,,6.41,0
HU3,20170119,,,,6.41,0
HU3,20170118,6.41,6.41,6.41,6.41,10
HU3,20170117,6.02,6.27,6.02,6.27,520
HU3,20170116,6.48,6.48,6.48,6.47,10
HU3,20170113,6.1,6.1,6.1,6.1,500
HU3,20170112,6.16,6.55,6.16,6.55,3030
HU3,20170111,,,,6.62,0
HU3,20170110,5.99,6.62,5.99,6.62,12580
HU3,20170109,6.55,6.55,6.41,6.41,30
HU3,20170106,6.47,6.47,6.47,6.47,20
HU3,20170105,6.2,6.2,6.2,6.2,20
HU3,20170104,5.82,5.82,5.82,5.81,20
HU3,20170103,,,,5.44,0
HU3,20161230,5.44,5.44,5.44,5.44,130
HU3,20161229,5.08,5.08,5.08,5.08,10
HU3,20161228,5.36,5.72,5.0,5.44,60
HU3,20161227,5.36,5.36,5.36,5.36,100
HU3,20161226,5.01,5.01,5.01,5.01,10
HU3,20161223,5.78,5.78,5.38,5.38,6130
HU3,20161222,5.79,5.79,5.79,5.78,3760
HU3,20161221,6.12,6.12,6.12,6.13,10
HU3,20161220,5.79,5.79,5.79,5.78,41740
HU3,20161219,,,,6.03,0
HU3,20161216,6.03,6.03,6.03,6.03,10
HU3,20161215,6.48,6.48,6.48,6.48,10
HU3,20161214,,,,6.12,0
HU3,20161213,5.78,6.13,5.69,6.12,30540
HU3,20161212,6.11,6.12,6.11,6.11,70
HU3,20161209,6.57,6.57,6.57,6.57,30
HU3,20161208,6.34,6.34,6.34,6.34,10
HU3,20161207,5.65,5.95,5.65,5.95,2710
HU3,20161206,6.26,6.26,5.59,5.59,30
HU3,20161205,6.25,6.25,5.86,5.86,20
HU3,20161202,6.54,6.54,5.85,5.85,250
HU3,20161201,,,,6.27,0
HU3,20161130,6.26,6.26,6.26,6.27,100
HU3,20161129,5.93,5.93,5.91,5.9,1400
HU3,20161128,6.59,6.59,5.9,5.9,110
HU3,20161125,6.01,6.26,6.01,6.27,160
HU3,20161124,6.3,6.3,5.99,6.0,8250
HU3,20161123,5.92,6.3,5.57,6.3,1120
HU3,20161122,,,,5.92,0
HU3,20161121,6.62,6.62,5.93,5.92,3300
HU3,20161118,6.27,6.27,6.27,6.27,100
HU3,20161117,6.13,6.13,5.86,5.87,210
HU3,20161116,6.27,6.27,5.78,5.78,560
HU3,20161115,6.62,6.62,6.16,6.16,210
