<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IDV,20180713,31.1,31.7,31.1,31.5,3000
IDV,20180712,31.0,31.1,31.0,31.1,3500
IDV,20180711,30.5,31.2,30.3,31.0,7400
IDV,20180710,31.0,31.0,31.0,31.0,450
IDV,20180709,30.8,31.0,30.8,31.0,800
IDV,20180706,30.6,30.6,30.1,30.1,300
IDV,20180705,28.9,30.7,28.9,30.7,2400
IDV,20180704,30.4,30.9,30.4,30.9,700
IDV,20180703,28.4,28.4,28.4,28.4,1300
IDV,20180702,32.0,32.0,30.1,30.1,1400
IDV,20180629,32.2,32.5,30.2,32.0,1400
IDV,20180628,30.2,31.9,30.1,31.9,2700
IDV,20180627,30.1,30.1,30.1,30.1,5100
IDV,20180626,31.2,31.2,30.1,30.1,5653
IDV,20180625,31.2,32.1,31.2,32.1,2868
IDV,20180622,30.0,30.0,30.0,30.0,1100
IDV,20180621,30.0,30.0,30.0,30.0,100
IDV,20180620,30.5,31.9,30.5,31.9,400
IDV,20180619,29.5,29.5,29.0,29.0,4900
IDV,20180618,30.0,30.0,29.5,29.5,1355
IDV,20180615,30.0,30.0,30.0,30.0,2275
IDV,20180614,30.0,30.0,30.0,30.0,2400
IDV,20180613,30.0,30.1,30.0,30.0,6100
IDV,20180612,31.0,31.0,30.0,30.0,3200
IDV,20180611,31.2,31.2,31.2,31.2,200
IDV,20180608,31.7,31.7,31.0,31.0,2100
IDV,20180607,31.9,33.5,31.9,33.5,400
IDV,20180606,30.51,30.7,30.51,30.7,1100
IDV,20180605,30.02,30.7,30.02,30.7,2400
IDV,20180604,30.21,30.79,28.76,30.7,2500
IDV,20180601,31.66,31.86,31.66,31.86,300
IDV,20180531,29.05,29.05,29.05,29.05,600
IDV,20180530,,,,30.89,0
IDV,20180529,30.89,30.89,30.89,30.89,500
IDV,20180528,29.54,30.89,27.89,30.89,500
IDV,20180525,31.09,31.09,30.99,30.99,400
IDV,20180524,31.09,31.57,31.09,31.57,1700
IDV,20180523,31.18,31.18,31.08,31.09,3500
IDV,20180522,31.18,31.18,30.99,31.18,4800
IDV,20180521,31.38,31.38,31.19,31.18,3100
IDV,20180518,31.86,31.86,31.38,31.38,4000
IDV,20180517,32.25,32.25,31.86,31.86,7620
IDV,20180516,31.96,32.25,31.96,32.25,8608
IDV,20180515,31.18,34.28,31.18,31.96,10166
IDV,20180514,31.18,31.18,31.08,31.18,5300
IDV,20180511,31.37,31.37,31.18,31.18,6400
IDV,20180510,31.18,31.28,31.18,31.18,5200
IDV,20180509,31.38,31.38,31.28,31.28,320
IDV,20180508,31.18,31.18,31.08,31.09,7700
IDV,20180507,31.37,31.37,31.18,31.18,2403
IDV,20180504,31.38,31.38,31.19,31.18,18800
IDV,20180503,31.28,31.37,31.28,31.38,8243
IDV,20180502,31.19,31.19,31.19,31.18,6300
IDV,20180427,31.18,31.37,31.18,31.38,600
IDV,20180426,31.48,31.48,31.19,31.18,9300
IDV,20180424,31.47,31.47,31.37,31.38,28400
IDV,20180423,31.95,31.95,31.47,31.47,17343
IDV,20180420,31.47,31.47,31.47,31.47,5650
