<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IMP,20180713,49.6,52.9,49.6,52.9,18650
IMP,20180712,52.9,54.0,51.0,52.9,56560
IMP,20180711,51.9,52.5,51.0,52.5,19270
IMP,20180710,52.0,52.0,51.0,51.2,3170
IMP,20180709,51.0,52.0,51.0,52.0,12580
IMP,20180706,51.7,52.0,51.7,52.0,1010
IMP,20180705,51.2,51.7,51.0,51.7,640
IMP,20180704,51.7,52.3,50.1,52.3,670
IMP,20180703,53.9,53.9,51.7,51.7,1550
IMP,20180702,53.6,55.5,53.6,55.5,10000
IMP,20180629,50.1,52.5,49.95,52.5,18340
IMP,20180628,53.0,53.0,49.5,49.5,3510
IMP,20180627,53.5,53.5,52.6,52.6,7780
IMP,20180626,52.9,53.0,52.0,53.0,9070
IMP,20180625,53.1,53.1,53.0,53.0,110
IMP,20180622,51.8,53.0,51.8,52.0,1340
IMP,20180621,52.2,56.0,51.3,53.8,28900
IMP,20180620,54.3,54.3,52.9,52.9,430
IMP,20180619,52.5,55.0,51.4,53.0,26080
IMP,20180618,51.5,54.0,51.5,52.9,28410
IMP,20180615,54.0,54.0,53.2,53.5,600
IMP,20180614,56.0,56.0,54.0,54.0,2440
IMP,20180613,54.0,54.5,54.0,54.0,3750
IMP,20180612,52.5,53.1,52.5,53.0,2600
IMP,20180611,54.5,55.0,54.5,55.0,17510
IMP,20180608,54.9,54.9,54.8,54.9,7300
IMP,20180607,55.5,56.0,55.1,55.1,11510
IMP,20180606,55.5,55.5,55.5,55.5,2890
IMP,20180605,57.5,57.5,55.5,55.5,6440
IMP,20180604,55.0,55.0,53.6,54.0,3920
IMP,20180601,52.87,53.04,52.17,52.35,2920
IMP,20180531,50.61,53.04,50.61,53.04,9970
IMP,20180530,52.17,52.78,50.61,50.61,2670
IMP,20180529,49.39,52.78,46.09,52.78,1443440
IMP,20180528,53.39,53.39,49.39,49.39,27220
IMP,20180525,53.47,53.47,53.04,53.04,810
IMP,20180524,53.47,53.47,53.04,53.04,6380
IMP,20180523,54.35,54.35,53.05,53.04,9590
IMP,20180522,54.52,54.52,53.22,54.35,18210
IMP,20180521,54.43,54.43,53.48,53.48,4130
IMP,20180518,53.57,54.53,53.22,54.52,5530
IMP,20180517,53.92,54.44,53.48,53.57,30480
IMP,20180516,54.34,54.34,53.47,54.35,1360
IMP,20180515,54.43,54.43,54.43,54.43,30
IMP,20180514,53.91,54.52,53.91,54.43,23100
IMP,20180511,53.91,53.91,53.48,53.48,4110
IMP,20180510,53.48,53.91,53.48,53.48,41560
IMP,20180509,53.92,53.92,53.48,53.48,64520
IMP,20180508,53.57,54.53,53.48,53.57,71030
IMP,20180507,54.53,54.61,53.57,53.57,16530
IMP,20180504,54.79,54.79,53.48,53.57,22730
IMP,20180503,53.91,53.91,53.04,53.22,35050
IMP,20180502,53.92,54.79,53.13,53.91,7190
IMP,20180427,53.04,54.7,53.04,54.7,3030
IMP,20180426,54.61,54.61,53.13,53.13,8760
IMP,20180424,54.17,54.78,53.91,53.91,20870
IMP,20180423,55.04,55.21,54.69,54.78,16810
IMP,20180420,54.79,54.79,54.44,54.78,1580
IMP,20180419,54.35,54.78,54.35,54.7,3870
IMP,20180418,54.35,54.79,54.35,54.35,6310
IMP,20180417,54.7,55.22,54.7,54.7,10610
IMP,20180416,55.22,55.22,54.7,54.7,3460
IMP,20180413,56.53,56.53,54.7,54.7,11880
IMP,20180412,55.65,55.65,54.0,54.7,29440
IMP,20180411,54.78,54.86,54.43,54.78,8520
IMP,20180410,55.22,55.22,54.44,54.43,29130
IMP,20180409,55.21,55.21,54.78,55.22,40620
IMP,20180406,54.78,55.13,54.7,54.78,2910
IMP,20180405,55.21,55.21,54.61,54.61,4550
IMP,20180404,55.21,55.21,55.04,55.04,1190
IMP,20180403,54.78,54.87,54.78,54.78,16900
IMP,20180402,54.78,55.48,54.52,54.78,14690
IMP,20180330,54.78,54.78,54.78,54.78,2210
IMP,20180329,55.21,55.21,54.78,54.78,8280
IMP,20180328,54.61,54.79,54.52,54.78,6050
IMP,20180327,54.79,55.31,54.79,55.22,27500
IMP,20180326,55.22,55.48,55.22,55.22,11630
IMP,20180323,54.35,55.57,54.35,55.48,2760
IMP,20180322,55.39,55.39,55.13,55.22,6790
IMP,20180321,55.91,55.91,55.13,55.13,21330
IMP,20180320,54.78,55.21,54.78,55.13,4400
IMP,20180319,55.65,55.65,54.79,54.78,11910
IMP,20180316,54.95,55.21,54.78,55.22,11000
IMP,20180315,54.78,55.21,54.35,54.43,7410
IMP,20180314,53.91,54.87,53.91,54.78,11460
IMP,20180313,54.79,54.79,54.79,54.78,12500
IMP,20180312,54.87,55.22,54.35,55.22,17410
IMP,20180309,55.22,55.22,55.13,55.13,17210
IMP,20180308,55.22,55.22,55.22,55.22,15130
IMP,20180307,55.39,55.39,54.96,55.22,29360
IMP,20180306,55.39,55.39,55.22,55.39,22920
IMP,20180305,55.91,55.91,55.22,55.22,20640
IMP,20180302,55.57,55.57,55.22,55.48,8920
IMP,20180301,55.13,55.65,54.78,55.57,9830
IMP,20180228,55.13,55.13,53.83,55.13,22290
IMP,20180227,53.91,55.21,53.04,55.22,37640
IMP,20180226,54.43,54.43,53.73,53.91,53980
IMP,20180223,55.39,55.39,54.43,54.43,9020
IMP,20180222,54.78,55.21,54.78,54.78,18430
IMP,20180221,54.35,54.78,54.35,54.78,22970
IMP,20180213,54.43,54.78,54.43,54.78,14050
IMP,20180212,54.78,54.78,53.91,54.43,11190
IMP,20180209,50.87,54.09,50.87,53.48,6570
IMP,20180208,53.48,54.61,53.48,53.83,13580
IMP,20180207,55.65,55.65,54.78,54.78,11980
IMP,20180206,53.91,53.91,51.3,53.39,31900
IMP,20180205,54.78,55.22,53.91,53.91,9350
IMP,20180202,55.65,55.65,55.21,55.65,13890
IMP,20180201,56.52,56.52,55.66,56.43,6860
IMP,20180131,56.52,56.52,53.91,56.09,28190
IMP,20180130,53.74,56.52,53.74,56.17,42780
IMP,20180129,56.53,56.96,55.74,56.52,25830
IMP,20180126,56.0,56.96,56.0,56.96,8400
IMP,20180125,57.39,57.39,56.0,56.0,62660
IMP,20180122,57.04,58.26,56.52,56.87,25060
IMP,20180119,58.61,58.61,58.26,58.43,19910
IMP,20180118,58.26,58.26,56.96,58.26,9360
IMP,20180117,58.7,58.7,58.26,58.26,1210
IMP,20180116,59.91,59.91,58.26,58.96,7820
IMP,20180115,57.56,59.48,57.39,59.48,28510
IMP,20180112,57.39,57.82,57.13,57.39,31050
IMP,20180111,57.65,57.65,57.13,57.39,12710
IMP,20180110,57.13,57.83,57.13,57.65,34110
IMP,20180109,57.22,57.31,56.96,57.13,21060
IMP,20180108,56.53,57.22,56.53,57.22,5110
IMP,20180105,57.39,57.48,56.96,56.96,9630
IMP,20180104,57.39,57.56,57.39,57.39,29740
IMP,20180103,57.57,57.57,56.53,57.39,41890
IMP,20180102,56.09,56.96,56.09,56.96,4770
IMP,20171229,57.3,57.47,56.52,57.39,8230
IMP,20171228,56.52,57.31,56.52,57.3,6440
IMP,20171227,56.7,57.22,56.53,57.22,5900
IMP,20171226,57.82,57.82,56.52,56.7,8920
IMP,20171225,57.57,58.09,56.53,57.39,5720
IMP,20171222,56.95,57.82,56.95,57.57,9910
IMP,20171221,56.78,56.96,56.78,56.78,13850
IMP,20171220,57.4,57.57,56.96,57.39,9930
IMP,20171219,56.96,57.65,56.96,57.57,9540
IMP,20171218,57.83,57.92,56.96,57.74,17380
IMP,20171215,56.52,57.82,56.52,57.83,19410
IMP,20171214,56.52,56.52,56.09,56.52,24010
IMP,20171213,57.39,57.39,55.65,56.52,22350
IMP,20171212,57.56,57.56,55.22,55.65,27360
IMP,20171211,57.66,58.0,57.39,57.39,4930
IMP,20171208,58.0,58.26,57.92,58.09,15580
IMP,20171207,58.17,58.17,57.39,57.83,17270
IMP,20171206,57.39,58.0,56.95,57.65,6200
IMP,20171205,58.0,58.0,57.65,57.65,10750
IMP,20171204,57.65,58.0,57.65,58.0,27590
IMP,20171201,57.83,58.09,57.39,57.65,19020
IMP,20171130,58.44,59.05,57.83,58.09,15470
IMP,20171129,57.4,58.87,57.4,58.09,8150
IMP,20171128,57.82,58.69,57.39,57.83,19520
IMP,20171127,58.6,58.69,57.05,57.39,23790
IMP,20171124,57.82,58.6,57.65,58.6,22880
IMP,20171123,59.2,59.2,58.34,58.6,21070
IMP,20171122,58.69,60.41,58.69,59.98,24790
IMP,20171121,62.99,62.99,57.82,58.86,73670
IMP,20171120,60.84,64.21,60.41,61.7,131320
IMP,20171117,58.68,60.41,57.47,60.41,67530
IMP,20171116,58.25,59.11,58.08,58.68,66190
IMP,20171115,56.01,58.26,54.81,58.25,119270
IMP,20171114,54.8,56.01,54.45,54.46,23570
IMP,20171113,54.28,54.8,53.93,54.8,16820
IMP,20171110,54.37,54.37,53.76,54.28,4200
IMP,20171109,54.8,54.8,54.28,54.28,11550
IMP,20171108,53.94,54.8,53.94,54.37,4780
IMP,20171107,54.8,54.8,54.28,54.8,4080
IMP,20171106,53.68,54.54,53.51,54.54,17310
IMP,20171103,53.51,53.94,53.34,53.94,17420
IMP,20171102,54.2,54.2,53.77,53.94,14850
IMP,20171101,53.77,54.03,53.77,53.94,6510
IMP,20171031,53.17,53.94,53.17,53.77,8470
IMP,20171030,54.37,54.37,53.59,53.77,20920
IMP,20171027,53.85,54.98,53.85,54.8,2300
IMP,20171026,54.37,55.15,53.76,54.63,12410
IMP,20171025,54.37,54.8,54.37,54.8,12040
IMP,20171024,54.37,54.81,53.94,54.37,11240
IMP,20171023,55.41,55.67,54.37,54.46,16930
IMP,20171020,56.01,56.09,55.14,55.15,18740
IMP,20171019,54.8,57.39,54.37,56.87,28600
IMP,20171018,54.8,54.8,54.8,54.8,4220
IMP,20171017,54.8,55.15,54.8,54.8,6850
IMP,20171016,53.93,55.49,53.85,54.8,26210
IMP,20171013,53.76,54.37,53.76,54.02,1630
IMP,20171012,53.77,54.11,53.68,54.11,4130
IMP,20171011,54.02,54.19,53.93,53.94,18450
IMP,20171010,54.02,54.11,54.02,54.02,12210
IMP,20171009,54.02,54.37,54.02,54.02,7720
IMP,20171006,55.06,55.06,54.02,54.02,6430
IMP,20171005,54.2,54.72,54.2,54.71,1230
IMP,20171004,53.94,54.97,53.94,54.37,5560
IMP,20171003,54.37,54.81,53.94,54.8,12750
IMP,20171002,54.37,54.54,53.77,54.46,7030
IMP,20170929,53.34,54.37,53.34,54.37,33990
IMP,20170928,53.51,53.77,53.34,53.77,6330
IMP,20170927,53.77,53.77,53.25,53.77,27900
IMP,20170926,54.29,54.29,53.34,53.77,110410
IMP,20170925,53.51,54.37,53.51,53.94,68090
IMP,20170922,54.37,55.06,54.02,54.11,7320
IMP,20170921,54.37,55.06,54.11,55.06,15220
IMP,20170920,54.8,55.15,54.37,54.37,16080
IMP,20170919,56.01,56.01,53.5,54.37,47000
IMP,20170918,54.37,54.37,53.33,53.59,49210
IMP,20170915,56.27,56.87,53.51,54.37,245330
IMP,20170914,56.1,56.88,55.67,56.27,27020
IMP,20170913,55.32,56.1,55.32,55.41,10540
IMP,20170912,56.1,56.1,54.98,55.75,10990
